Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
13-Nov-2012,156.00,157.45,150.25, 150.90,151.50,347824,533.88
12-Nov-2012,168.00,169.00,153.90, 154.80,155.25,1611768,2570.58
09-Nov-2012,161.20,164.75,158.50, 163.95,163.05,1614540,2621.66
08-Nov-2012,151.00,161.90,142.50, 159.10,159.65,2298736,3533.17
07-Nov-2012,161.90,167.00,148.15, 150.20,151.05,1795155,2835.24
06-Nov-2012,164.00,172.40,157.50, 159.50,159.70,2678513,4393.07
05-Nov-2012,150.00,170.90,150.00, 162.60,163.90,4066100,6753.48
02-Nov-2012,125.55,149.80,125.50, 147.15,148.05,3487121,4882.48
01-Nov-2012,115.00,128.60,115.00, 125.20,125.60,920560,1144.72
31-Oct-2012,114.00,115.90,113.25, 114.95,114.45,142597,163.17
30-Oct-2012,111.00,114.30,110.00, 113.70,113.30,214282,239.81
29-Oct-2012,107.05,112.30,107.05, 110.50,110.25,108521,120.11
26-Oct-2012,110.50,110.60,105.80, 106.05,106.55,157936,170.36
25-Oct-2012,111.45,113.65,109.40, 110.10,109.90,100287,111.37
23-Oct-2012,110.60,117.65,109.45, 109.55,110.70,157416,176.06
22-Oct-2012,111.15,119.45,108.80, 110.40,110.25,240989,273.27
19-Oct-2012,113.05,113.05,110.00, 111.60,111.30,106223,117.95
18-Oct-2012,113.10,113.45,110.90, 111.75,111.85,153353,171.25
17-Oct-2012,114.00,116.25,111.65, 112.70,112.65,172048,195.65
16-Oct-2012,117.90,117.90,114.00, 115.15,114.50,216817,248.98
15-Oct-2012,117.35,119.60,114.10, 115.40,115.15,98092,114.06
12-Oct-2012,118.15,119.80,116.70, 117.00,117.20,194149,227.80
11-Oct-2012,121.00,122.80,116.10, 119.00,117.75,125291,148.55
10-Oct-2012,118.50,123.50,118.35, 120.00,120.30,166257,201.78
09-Oct-2012,123.00,124.90,111.00, 119.15,117.65,144949,173.59
08-Oct-2012,120.20,124.00,119.05, 123.40,122.35,214248,261.35
05-Oct-2012,132.00,132.00,116.50, 120.05,118.80,247201,302.60
04-Oct-2012,120.00,125.95,120.00, 121.80,122.10,159658,197.19
03-Oct-2012,119.80,125.50,119.80, 123.00,123.05,291743,358.63
01-Oct-2012,111.00,120.90,111.00, 119.45,119.75,490534,579.11
28-Sep-2012,105.25,113.35,105.25, 111.35,111.40,372016,411.67
27-Sep-2012,109.00,113.90,105.70, 107.00,107.25,213993,236.64
26-Sep-2012,123.90,123.90,100.00, 110.00,108.85,964444,1048.75
25-Sep-2012,133.90,133.90,122.00, 122.75,123.05,461204,591.21
24-Sep-2012,131.60,138.40,124.25, 132.75,131.80,470494,630.31
21-Sep-2012,139.00,148.00,135.00, 136.00,136.50,1521097,2145.91
20-Sep-2012,138.20,144.00,134.00, 137.50,138.20,365847,505.65
18-Sep-2012,140.65,145.50,138.10, 144.40,142.60,439051,625.72
17-Sep-2012,126.50,141.45,126.50, 140.00,139.75,811974,1093.95
14-Sep-2012,121.90,129.25,120.30, 124.00,125.50,202150,251.35
13-Sep-2012,122.00,123.25,118.30, 120.35,120.45,151173,181.84
12-Sep-2012,120.00,123.00,119.60, 121.35,120.85,145769,177.52
11-Sep-2012,120.50,121.00,119.25, 120.45,119.90,107465,129.12
10-Sep-2012,119.20,121.00,118.60, 120.00,119.55,111926,133.63
08-Sep-2012,119.50,119.75,118.40, 119.00,118.80,18610,22.16
07-Sep-2012,118.35,120.50,118.35, 119.45,119.15,76948,92.08
06-Sep-2012,119.75,121.30,118.25, 118.60,118.75,76952,92.28
05-Sep-2012,119.25,123.10,118.00, 119.50,118.75,186801,224.23
04-Sep-2012,117.50,119.60,116.05, 119.05,118.70,103506,122.57
03-Sep-2012,119.25,120.85,114.80, 115.60,116.15,140751,165.41
31-Aug-2012,121.00,121.25,118.00, 118.00,118.45,109431,131.02
30-Aug-2012,120.75,123.30,119.95, 120.00,120.55,96546,117.14
29-Aug-2012,120.50,124.70,119.75, 119.75,120.85,204372,248.41
28-Aug-2012,119.00,121.60,117.20, 119.20,120.05,182215,217.38
27-Aug-2012,116.80,124.75,116.60, 118.10,118.40,416811,504.95
24-Aug-2012,116.00,119.40,115.55, 115.60,116.25,214959,252.21
23-Aug-2012,117.00,119.80,115.00, 115.85,116.10,149790,176.08
22-Aug-2012,118.00,118.30,116.00, 116.50,116.35,69282,81.26
21-Aug-2012,117.00,118.75,115.45, 118.00,117.85,130080,152.33
17-Aug-2012,117.25,117.55,115.50, 115.50,116.20,93905,109.65
16-Aug-2012,118.80,119.80,116.00, 116.05,116.60,208695,245.30
14-Aug-2012,120.00,123.00,117.50, 117.70,118.10,388823,466.30
13-Aug-2012,117.10,121.25,114.70, 119.00,118.90,354652,421.36
10-Aug-2012,116.40,117.90,113.05, 113.75,113.55,223147,257.20
09-Aug-2012,115.00,119.30,113.50, 115.25,116.40,247344,285.62
08-Aug-2012,113.40,116.75,113.40, 114.00,113.90,234131,268.13
07-Aug-2012,115.20,119.55,111.50, 112.90,113.40,441120,508.68
06-Aug-2012,103.70,118.00,100.00, 115.00,115.10,912182,1003.36
03-Aug-2012,98.00,109.00,97.45, 99.20,99.50,259722,260.35
02-Aug-2012,97.00,97.85,96.60, 97.30,96.85,129005,125.44
01-Aug-2012,97.45,98.00,95.55, 97.05,96.95,119602,116.38
31-Jul-2012,98.00,98.45,96.80, 96.80,97.05,116624,113.73
30-Jul-2012,97.20,98.90,96.50, 97.55,97.70,92758,90.55
27-Jul-2012,97.15,98.00,96.00, 96.50,96.20,111850,107.94
26-Jul-2012,96.50,97.65,94.95, 96.15,96.15,147336,141.62
25-Jul-2012,97.45,97.55,96.00, 96.90,96.95,125825,121.59
24-Jul-2012,97.80,99.00,96.15, 96.95,96.55,117888,115.03
23-Jul-2012,95.90,97.90,95.90, 97.45,96.70,122573,118.25
20-Jul-2012,97.90,97.90,94.95, 96.05,95.50,135800,130.30
19-Jul-2012,96.00,98.45,95.60, 96.50,96.35,218252,210.74
18-Jul-2012,93.50,100.40,93.00, 95.40,94.90,496350,481.42
17-Jul-2012,92.90,93.90,91.50, 92.00,91.95,110556,102.18
16-Jul-2012,93.00,96.90,91.00, 91.25,91.15,92798,86.05
13-Jul-2012,94.00,95.00,91.35, 91.90,91.80,123807,115.30
12-Jul-2012,94.60,96.80,92.00, 93.20,92.35,225896,212.76
11-Jul-2012,86.65,98.20,85.05, 93.60,94.50,812265,757.11
10-Jul-2012,88.00,93.80,83.35, 84.50,84.45,541121,473.50
09-Jul-2012,87.00,87.45,85.10, 87.00,86.80,122792,106.40
06-Jul-2012,89.00,89.00,85.90, 86.10,86.40,84008,73.24
05-Jul-2012,87.80,89.50,87.55, 88.10,87.95,93275,82.28
04-Jul-2012,87.85,88.40,86.60, 87.60,87.70,92392,80.97
03-Jul-2012,86.50,87.70,86.25, 87.25,87.05,93865,81.70
02-Jul-2012,86.60,87.90,85.55, 86.40,86.25,141454,121.87
29-Jun-2012,86.00,87.25,84.85, 85.90,85.80,121703,104.78
28-Jun-2012,86.85,86.90,85.55, 85.60,85.70,100672,86.77
27-Jun-2012,87.40,87.95,85.00, 86.30,85.80,120288,104.14
26-Jun-2012,87.90,88.50,85.55, 85.65,86.25,104573,90.71
25-Jun-2012,85.00,87.70,85.00, 86.40,86.60,140730,122.33
22-Jun-2012,86.50,87.00,84.50, 85.30,85.20,161878,138.47
21-Jun-2012,85.65,86.95,84.60, 85.80,86.35,101030,86.81
20-Jun-2012,86.00,86.20,84.50, 85.00,84.70,112509,95.80
19-Jun-2012,88.20,88.20,84.75, 84.75,85.05,111879,96.23
18-Jun-2012,87.90,88.85,87.00, 87.65,87.20,96300,84.41
15-Jun-2012,88.90,88.90,86.50, 86.50,86.90,143532,125.75
14-Jun-2012,88.90,88.90,87.50, 88.50,87.80,112386,98.96
13-Jun-2012,89.90,89.90,87.00, 87.50,87.95,80920,72.01
12-Jun-2012,90.75,91.60,88.55, 88.55,88.80,100296,89.37
11-Jun-2012,90.50,90.50,87.45, 89.40,89.75,103250,92.51
08-Jun-2012,87.85,90.40,86.20, 88.20,89.95,128960,114.21
07-Jun-2012,88.00,90.20,86.55, 86.55,87.30,99043,88.32
06-Jun-2012,90.85,90.85,86.50, 89.35,89.35,142233,127.10
05-Jun-2012,90.35,91.00,88.40, 89.25,89.10,79532,71.46
04-Jun-2012,86.30,92.00,86.10, 89.90,89.85,87675,78.89
01-Jun-2012,90.60,91.35,88.40, 88.50,89.60,51511,46.62
31-May-2012,90.25,91.00,89.60, 90.20,90.30,75578,68.17
