Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
13-Nov-2012,384.50,389.00,382.00, 388.25,387.45,137513,530.60
12-Nov-2012,398.25,398.90,380.00, 380.65,381.05,431206,1667.09
09-Nov-2012,411.95,413.10,394.00, 394.75,396.40,440740,1775.28
08-Nov-2012,418.20,420.00,409.50, 410.65,411.00,474191,1963.57
07-Nov-2012,426.75,431.90,420.10, 420.10,421.75,379253,1618.28
06-Nov-2012,438.00,439.85,423.55, 424.75,426.70,326754,1410.72
05-Nov-2012,439.80,443.30,435.25, 435.65,437.65,184177,807.50
02-Nov-2012,443.95,450.50,438.70, 439.70,440.95,320042,1419.47
01-Nov-2012,441.85,452.80,440.55, 442.95,443.95,283934,1266.91
31-Oct-2012,441.00,445.10,435.50, 440.50,440.40,202366,891.16
30-Oct-2012,449.65,452.80,434.10, 437.50,439.20,250685,1110.42
29-Oct-2012,452.95,459.00,444.50, 445.20,447.45,208901,942.72
26-Oct-2012,460.00,460.00,448.20, 451.00,451.25,266486,1206.59
25-Oct-2012,462.70,464.75,454.35, 458.95,458.95,218465,1003.93
23-Oct-2012,462.05,470.70,460.55, 462.00,462.75,324113,1508.01
22-Oct-2012,467.00,467.00,460.00, 462.00,462.40,210982,975.81
19-Oct-2012,467.20,475.40,462.00, 465.95,467.70,351049,1645.43
18-Oct-2012,469.40,475.90,465.20, 473.00,473.25,667991,3151.53
17-Oct-2012,456.60,470.95,454.70, 469.30,467.45,546122,2529.70
16-Oct-2012,459.90,468.60,451.00, 452.90,453.20,538274,2481.73
15-Oct-2012,458.95,464.85,456.00, 456.00,458.40,279110,1283.95
12-Oct-2012,466.00,467.00,455.00, 457.80,458.70,386640,1780.99
11-Oct-2012,461.70,467.65,455.10, 463.00,463.95,493279,2280.03
10-Oct-2012,471.95,471.95,452.25, 461.00,458.40,573406,2630.82
09-Oct-2012,464.25,482.00,464.25, 470.25,471.55,665652,3148.00
08-Oct-2012,463.00,480.00,458.65, 463.00,461.90,562112,2634.39
05-Oct-2012,485.50,486.40,460.75, 469.00,470.45,664513,3131.19
04-Oct-2012,476.00,486.40,468.90, 482.00,483.30,1505533,7190.45
03-Oct-2012,445.00,474.70,444.10, 472.50,472.80,1851557,8555.19
01-Oct-2012,440.85,448.00,437.80, 445.75,445.80,459607,2040.55
28-Sep-2012,437.00,448.00,435.15, 440.00,437.80,605804,2677.92
27-Sep-2012,447.95,459.20,431.10, 435.65,435.10,2256280,10065.98
26-Sep-2012,430.65,451.90,428.50, 445.25,447.25,1380228,6129.41
25-Sep-2012,440.20,448.20,428.05, 431.05,433.10,1031930,4505.85
24-Sep-2012,430.00,454.10,425.15, 443.80,442.50,1950185,8679.35
21-Sep-2012,419.10,434.80,418.05, 428.90,430.40,932798,3989.41
20-Sep-2012,436.00,436.00,414.20, 414.60,417.15,634515,2671.53
18-Sep-2012,433.85,444.00,430.15, 431.00,432.95,1235699,5417.44
17-Sep-2012,420.00,438.70,416.00, 435.90,433.95,1183476,5066.47
14-Sep-2012,418.00,427.90,414.40, 416.70,418.80,749391,3165.84
13-Sep-2012,419.15,426.00,410.25, 411.20,413.95,638427,2673.14
12-Sep-2012,423.90,429.55,415.50, 418.45,419.25,659735,2780.56
11-Sep-2012,427.80,432.10,421.00, 422.40,423.95,616848,2628.77
10-Sep-2012,425.00,437.95,417.70, 432.00,432.70,1049937,4523.97
08-Sep-2012,426.95,433.00,423.00, 423.50,423.95,67849,287.87
07-Sep-2012,428.80,433.45,418.15, 421.65,423.10,823561,3493.05
06-Sep-2012,414.00,428.90,411.35, 422.20,424.95,1153311,4867.74
05-Sep-2012,420.00,423.80,411.10, 415.00,414.75,921879,3846.93
04-Sep-2012,394.95,425.40,391.25, 423.90,422.30,1440995,5947.58
03-Sep-2012,412.00,412.00,389.50, 393.00,393.55,435877,1728.71
31-Aug-2012,473.70,473.70,394.25, 399.00,400.85,631225,2544.24
30-Aug-2012,377.70,404.75,372.20, 403.95,399.75,811518,3159.35
29-Aug-2012,379.15,392.00,374.35, 376.50,378.50,575422,2210.49
28-Aug-2012,384.60,385.55,372.20, 380.95,380.80,393757,1490.20
27-Aug-2012,397.40,400.05,383.20, 383.85,386.95,427904,1670.44
24-Aug-2012,407.00,407.00,395.00, 397.50,397.65,479661,1912.11
23-Aug-2012,410.60,417.90,402.00, 406.50,406.00,559614,2293.80
22-Aug-2012,423.35,427.90,408.50, 409.20,409.45,541578,2260.18
21-Aug-2012,425.00,428.80,421.10, 423.50,423.85,794002,3376.53
17-Aug-2012,407.95,424.30,406.30, 422.90,421.55,1461316,6106.15
16-Aug-2012,414.20,414.20,401.00, 404.50,404.85,426644,1735.83
14-Aug-2012,405.00,413.00,404.70, 409.90,410.55,599629,2453.92
13-Aug-2012,395.80,406.50,392.70, 405.40,404.50,710057,2856.49
10-Aug-2012,391.40,400.70,387.05, 394.60,394.80,562598,2223.69
09-Aug-2012,397.70,400.00,389.00, 392.80,393.30,609083,2403.36
08-Aug-2012,391.00,405.95,389.65, 393.45,394.15,1448449,5764.65
07-Aug-2012,393.20,397.80,387.00, 391.15,390.90,434615,1709.09
06-Aug-2012,395.90,398.80,390.00, 391.50,392.65,542715,2138.24
03-Aug-2012,384.75,393.90,381.20, 389.00,389.55,485944,1886.04
02-Aug-2012,389.90,396.40,382.00, 388.50,388.70,541841,2113.45
01-Aug-2012,380.05,394.20,372.60, 388.50,389.65,788887,3045.81
31-Jul-2012,377.75,386.00,367.70, 380.50,381.35,499246,1886.06
30-Jul-2012,370.00,380.00,370.00, 375.90,375.90,382647,1436.13
27-Jul-2012,365.00,370.90,362.35, 367.40,368.15,515402,1892.22
26-Jul-2012,384.25,384.25,355.00, 358.90,359.35,827418,3049.51
25-Jul-2012,386.20,388.00,374.25, 382.90,381.90,743720,2834.36
24-Jul-2012,397.50,400.50,319.85, 390.10,391.85,549711,2165.87
23-Jul-2012,408.00,409.40,395.50, 397.50,397.80,478027,1925.32
20-Jul-2012,418.00,421.70,408.25, 412.50,412.75,555556,2312.94
19-Jul-2012,418.25,422.65,414.25, 414.90,416.15,591691,2474.23
18-Jul-2012,413.90,418.90,402.30, 415.00,416.40,1088761,4476.85
17-Jul-2012,422.00,428.00,412.95, 414.00,415.65,890952,3753.78
16-Jul-2012,426.00,432.75,416.40, 417.85,420.30,1191864,5086.90
13-Jul-2012,420.00,432.00,418.50, 426.00,428.00,1227021,5221.43
12-Jul-2012,405.15,423.40,405.15, 415.20,417.60,660731,2768.56
11-Jul-2012,419.00,430.40,416.85, 420.50,421.15,1034761,4398.95
10-Jul-2012,408.00,423.90,406.95, 419.20,421.15,1066862,4439.81
09-Jul-2012,411.95,413.80,403.50, 406.30,407.30,646599,2641.64
06-Jul-2012,422.80,425.75,412.05, 413.70,414.85,811210,3386.68
05-Jul-2012,405.70,424.80,402.50, 422.00,422.70,1507657,6287.99
04-Jul-2012,398.00,411.95,398.00, 405.50,407.15,1210606,4936.54
03-Jul-2012,395.80,401.95,392.10, 395.00,396.05,570933,2264.21
02-Jul-2012,391.00,401.70,386.05, 393.00,394.35,901205,3567.37
29-Jun-2012,385.05,395.30,382.90, 388.00,389.75,1171690,4581.58
28-Jun-2012,350.00,389.75,347.70, 387.00,379.05,2695728,9907.07
27-Jun-2012,351.10,357.45,346.40, 355.00,356.05,714692,2519.29
26-Jun-2012,350.00,352.00,346.00, 350.50,350.75,406621,1419.89
25-Jun-2012,350.00,357.00,346.80, 352.90,350.40,422904,1491.72
22-Jun-2012,350.05,357.50,347.05, 352.40,352.10,521371,1837.40
21-Jun-2012,350.00,354.95,346.40, 353.50,352.70,498277,1747.49
20-Jun-2012,353.00,359.85,351.15, 353.00,354.80,450880,1605.08
19-Jun-2012,354.30,355.75,347.25, 353.00,352.65,380401,1338.45
18-Jun-2012,350.00,365.00,348.00, 354.90,356.20,769623,2727.19
15-Jun-2012,347.25,352.00,345.05, 346.00,348.55,316789,1103.84
14-Jun-2012,350.00,352.95,341.05, 351.25,346.60,551009,1906.57
