Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,3640.00,3643.00,3456.05, 3511.25,3544.05,141,5.04
29-Dec-2011,3650.05,3650.05,3650.00, 3650.00,3650.00,100,3.65
28-Dec-2011,3659.00,3670.00,3650.00, 3670.00,3670.00,24,0.88
27-Dec-2011,3678.95,3678.95,3626.00, 3626.00,3626.00,4,0.15
26-Dec-2011,3747.90,3747.90,3650.00, 3680.00,3680.00,60,2.21
23-Dec-2011,3642.65,3642.65,3525.00, 3626.00,3626.00,209,7.52
22-Dec-2011,3548.00,3548.00,3510.00, 3522.80,3522.80,34,1.20
21-Dec-2011,3550.00,3550.00,3430.00, 3462.05,3480.20,238,8.24
20-Dec-2011,3584.25,3595.00,3401.00, 3500.00,3494.20,189,6.56
19-Dec-2011,3647.15,3869.70,3410.10, 3425.20,3463.30,141,4.92
16-Dec-2011,3562.10,3598.60,3490.25, 3550.00,3532.25,238,8.47
15-Dec-2011,3544.30,3600.00,3544.30, 3600.00,3590.40,79,2.82
14-Dec-2011,3583.00,3650.00,3566.30, 3590.00,3590.40,83,3.00
13-Dec-2011,3650.00,3673.60,3601.60, 3625.00,3627.75,103,3.74
12-Dec-2011,3575.00,3739.90,3575.00, 3687.95,3604.30,147,5.31
09-Dec-2011,3698.75,3698.75,3600.00, 3638.00,3646.90,330,11.96
08-Dec-2011,3700.00,3710.00,3636.00, 3637.00,3640.00,197,7.22
07-Dec-2011,3685.00,3738.00,3580.00, 3700.00,3694.10,1028,37.65
05-Dec-2011,3836.00,3840.00,3690.00, 3690.00,3705.60,615,23.01
02-Dec-2011,3849.00,3849.00,3784.10, 3840.00,3835.65,34,1.30
01-Dec-2011,3849.90,3875.00,3780.00, 3780.00,3797.60,320,12.20
30-Nov-2011,3751.10,3850.00,3751.10, 3800.00,3814.60,25,0.96
29-Nov-2011,3810.00,3886.00,3750.00, 3782.00,3814.80,188,7.17
28-Nov-2011,3885.00,3885.00,3799.95, 3825.00,3812.65,121,4.64
25-Nov-2011,3802.00,3860.00,3750.00, 3750.00,3796.95,374,14.24
24-Nov-2011,3894.95,3895.00,3750.00, 3780.00,3774.70,725,27.41
23-Nov-2011,4025.00,4025.00,3655.05, 3790.00,3753.60,1536,58.80
22-Nov-2011,4025.05,4070.00,3925.00, 3925.00,3963.10,318,12.72
21-Nov-2011,4080.10,4125.00,4045.10, 4045.10,4061.05,67,2.75
18-Nov-2011,4174.70,4230.00,4105.00, 4125.00,4128.25,594,24.46
17-Nov-2011,4171.00,4250.00,4170.00, 4200.00,4200.05,561,23.57
16-Nov-2011,4105.00,4248.00,4001.05, 4125.00,4126.65,192,7.87
15-Nov-2011,4115.00,4185.00,4100.00, 4149.00,4150.70,144,5.97
14-Nov-2011,4300.00,4300.00,4110.20, 4150.00,4145.45,92,3.83
11-Nov-2011,4380.00,4399.00,4126.10, 4126.10,4148.90,224,9.50
09-Nov-2011,4440.05,4473.00,4301.00, 4301.00,4316.35,175,7.62
08-Nov-2011,4363.00,4463.00,4350.00, 4410.00,4421.15,304,13.39
04-Nov-2011,4382.20,4489.00,4382.20, 4430.00,4446.35,698,30.84
03-Nov-2011,4349.95,4693.00,4330.00, 4350.00,4366.00,6602,294.21
02-Nov-2011,4199.95,4200.00,4106.05, 4199.95,4190.20,41,1.71
01-Nov-2011,4200.00,4201.00,3949.75, 4120.00,4129.85,2124,86.37
31-Oct-2011,4265.00,4299.95,4265.00, 4280.00,4270.10,577,24.64
28-Oct-2011,4341.90,4341.90,4240.00, 4265.00,4262.80,783,33.37
26-Oct-2011,4200.00,4343.00,4200.00, 4298.00,4313.60,59,2.53
25-Oct-2011,4345.00,4345.00,4295.00, 4300.00,4300.00,303,13.03
24-Oct-2011,4282.05,4349.95,4282.05, 4349.95,4349.95,15,0.65
21-Oct-2011,4306.00,4375.00,4306.00, 4339.00,4346.35,237,10.30
20-Oct-2011,4325.00,4325.00,4255.00, 4255.00,4260.85,30,1.29
19-Oct-2011,4355.00,4489.00,4251.00, 4300.00,4300.00,471,20.32
18-Oct-2011,4313.00,4363.90,4310.00, 4310.00,4310.00,129,5.61
17-Oct-2011,4285.00,4389.95,4285.00, 4350.00,4355.35,360,15.58
14-Oct-2011,4304.40,4305.00,4200.10, 4285.00,4260.45,446,19.02
13-Oct-2011,4299.90,4325.00,4295.00, 4324.95,4312.50,388,16.69
12-Oct-2011,4308.00,4308.00,4260.00, 4270.00,4269.80,234,10.02
11-Oct-2011,4320.00,4492.00,4260.00, 4299.00,4263.00,192,8.20
10-Oct-2011,4235.00,4279.95,4221.00, 4252.00,4254.80,436,18.52
07-Oct-2011,4189.00,4245.00,4189.00, 4205.05,4223.35,61,2.58
05-Oct-2011,4098.95,4249.90,4070.00, 4180.10,4200.25,570,23.82
04-Oct-2011,4105.00,4169.70,4058.00, 4060.00,4061.85,88,3.60
03-Oct-2011,4107.00,4168.90,4107.00, 4116.00,4122.35,103,4.24
30-Sep-2011,4114.20,4220.00,4114.20, 4177.00,4156.40,76,3.17
29-Sep-2011,4177.00,4200.00,4133.05, 4165.00,4173.80,71,2.96
28-Sep-2011,4250.00,4250.00,4210.05, 4210.05,4210.05,27,1.14
27-Sep-2011,4220.05,4260.95,4202.00, 4207.00,4208.30,636,26.81
26-Sep-2011,4190.00,4250.05,4110.00, 4186.10,4215.75,673,28.01
23-Sep-2011,4255.00,4329.95,4200.00, 4200.00,4203.75,492,20.81
22-Sep-2011,4332.00,4355.00,4200.00, 4300.00,4278.20,453,19.49
21-Sep-2011,4375.00,4380.00,4285.00, 4285.00,4313.85,174,7.56
20-Sep-2011,4440.00,4440.00,4316.00, 4350.10,4356.00,247,10.77
19-Sep-2011,4378.05,4540.00,4315.05, 4356.05,4361.40,73,3.20
16-Sep-2011,4330.05,4454.00,4330.05, 4440.00,4424.05,85,3.73
15-Sep-2011,4370.00,4419.00,4315.00, 4350.00,4361.45,153,6.68
14-Sep-2011,4351.40,4440.00,4349.35, 4394.95,4378.65,153,6.71
13-Sep-2011,4386.00,4450.00,4329.10, 4375.00,4389.00,338,14.80
12-Sep-2011,4450.00,4450.00,4249.95, 4326.00,4341.05,225,9.71
09-Sep-2011,4555.00,4560.00,4460.00, 4460.00,4474.35,490,21.99
08-Sep-2011,4540.60,4590.00,4540.40, 4550.00,4555.05,119,5.43
07-Sep-2011,4550.00,4620.00,4550.00, 4600.00,4594.55,410,18.83
06-Sep-2011,4550.00,4585.00,4520.00, 4520.00,4529.35,129,5.86
05-Sep-2011,4591.75,4591.75,4472.00, 4570.00,4553.65,333,15.19
02-Sep-2011,4610.00,4771.00,4559.95, 4561.95,4591.75,582,27.00
