Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,30.00,30.00,28.00, 28.05,28.00,508,0.14
29-Dec-2011,28.40,29.80,27.00, 27.90,27.60,2816,0.78
28-Dec-2011,30.00,30.00,28.20, 28.20,28.20,133,0.04
27-Dec-2011,29.05,29.85,28.60, 28.85,29.75,1033,0.30
26-Dec-2011,30.50,30.95,28.70, 29.00,29.00,188,0.06
23-Dec-2011,31.25,31.25,29.05, 29.05,29.05,949,0.28
22-Dec-2011,30.35,30.50,29.10, 30.50,30.35,535,0.16
21-Dec-2011,30.05,32.20,29.00, 29.25,29.25,1966,0.59
20-Dec-2011,31.50,31.50,29.05, 30.90,30.90,363,0.11
19-Dec-2011,29.55,33.35,28.00, 29.95,29.95,215,0.06
16-Dec-2011,32.00,32.00,30.55, 30.60,30.60,453,0.14
15-Dec-2011,33.85,33.85,30.70, 32.30,32.30,113,0.03
14-Dec-2011,32.70,32.70,32.70, 32.70,32.70,1,0.00
13-Dec-2011,32.65,32.65,31.70, 31.70,31.70,54,0.02
12-Dec-2011,34.40,34.40,31.60, 31.60,32.70,240,0.08
09-Dec-2011,33.55,33.85,32.00, 33.80,33.55,412,0.14
08-Dec-2011,34.00,34.00,32.30, 33.00,32.95,336,0.11
07-Dec-2011,33.05,34.00,33.05, 33.85,33.85,759,0.26
05-Dec-2011,32.55,32.90,32.55, 32.85,32.85,124,0.04
02-Dec-2011,32.20,34.00,31.50, 31.50,31.70,192,0.06
01-Dec-2011,31.00,34.95,31.00, 31.75,31.75,887,0.28
30-Nov-2011,31.55,33.50,31.00, 32.00,32.00,322,0.10
29-Nov-2011,32.25,32.95,32.20, 32.95,32.65,1086,0.35
28-Nov-2011,33.00,33.00,32.10, 32.25,32.25,67,0.02
25-Nov-2011,31.00,33.95,30.25, 31.80,31.80,548,0.18
24-Nov-2011,30.50,32.95,30.00, 32.70,32.55,190,0.06
23-Nov-2011,32.00,32.00,30.50, 30.50,30.50,208,0.06
22-Nov-2011,31.65,31.70,31.10, 31.10,31.10,252,0.08
21-Nov-2011,30.00,32.00,29.50, 31.05,31.25,2810,0.87
18-Nov-2011,30.15,32.00,29.70, 31.00,31.00,477,0.15
17-Nov-2011,30.50,31.60,29.15, 31.10,31.10,2552,0.78
16-Nov-2011,31.30,32.50,29.50, 31.80,30.20,5703,1.77
15-Nov-2011,33.00,34.90,31.65, 32.70,32.80,214,0.07
14-Nov-2011,31.60,36.00,31.60, 33.00,34.05,322,0.11
11-Nov-2011,35.50,37.80,32.65, 35.60,36.30,512,0.18
09-Nov-2011,36.50,37.45,36.00, 37.05,36.55,1951,0.72
08-Nov-2011,35.00,38.00,34.50, 38.00,34.95,391,0.14
04-Nov-2011,36.90,36.90,35.50, 35.70,35.70,153,0.05
03-Nov-2011,35.35,36.95,35.30, 36.95,36.35,12951,4.58
02-Nov-2011,36.50,36.65,35.20, 36.45,36.40,693,0.25
01-Nov-2011,34.40,36.75,34.30, 36.00,35.85,317,0.11
31-Oct-2011,34.50,35.00,34.10, 35.00,35.00,100,0.03
28-Oct-2011,35.05,35.75,35.00, 35.70,35.55,485,0.17
26-Oct-2011,39.00,39.00,34.55, 34.90,34.70,5,0.00
25-Oct-2011,34.90,34.90,34.80, 34.80,34.80,78,0.03
24-Oct-2011,39.00,39.00,33.60, 34.00,34.10,102,0.04
21-Oct-2011,33.30,35.45,33.30, 34.60,34.60,2005,0.69
20-Oct-2011,34.50,36.80,33.35, 34.55,34.40,2215,0.76
19-Oct-2011,35.00,35.00,34.00, 34.00,34.20,182,0.06
18-Oct-2011,33.20,33.50,33.20, 33.50,33.50,37,0.01
17-Oct-2011,35.35,36.00,33.30, 34.00,34.00,4034,1.38
14-Oct-2011,35.00,35.00,34.30, 34.30,34.30,1358,0.47
13-Oct-2011,35.60,35.90,35.00, 35.00,35.05,718,0.25
12-Oct-2011,35.50,36.90,35.10, 35.10,35.60,978,0.35
11-Oct-2011,36.00,36.85,35.60, 36.50,36.45,509,0.18
10-Oct-2011,35.75,35.75,34.15, 34.35,34.35,401,0.14
07-Oct-2011,35.00,35.30,35.00, 35.30,35.10,140,0.05
05-Oct-2011,35.15,35.15,33.90, 33.90,33.90,101,0.03
04-Oct-2011,35.35,35.40,33.25, 33.95,33.95,92,0.03
03-Oct-2011,35.00,35.75,34.25, 34.35,34.35,356,0.12
30-Sep-2011,35.35,36.50,35.30, 35.60,35.65,174,0.06
29-Sep-2011,36.00,36.00,34.30, 35.60,35.30,742,0.26
28-Sep-2011,38.45,38.95,34.30, 34.30,34.70,1227,0.43
27-Sep-2011,35.10,37.00,33.95, 36.00,36.95,817,0.29
26-Sep-2011,40.00,40.00,33.40, 37.00,35.85,1147,0.41
23-Sep-2011,36.00,36.20,35.00, 36.20,36.20,702,0.25
22-Sep-2011,36.35,36.95,35.35, 35.90,35.60,1694,0.61
21-Sep-2011,37.70,37.70,36.00, 36.70,36.15,2368,0.86
20-Sep-2011,36.50,37.75,36.50, 36.50,36.65,1234,0.45
19-Sep-2011,37.70,37.70,36.05, 36.10,36.80,3803,1.40
16-Sep-2011,35.15,38.50,35.00, 36.70,36.70,1252,0.45
15-Sep-2011,35.10,35.10,35.05, 35.05,35.05,100,0.04
14-Sep-2011,36.60,38.00,35.00, 36.45,36.45,622,0.22
13-Sep-2011,36.30,36.30,34.00, 35.00,35.20,1265,0.46
12-Sep-2011,36.45,38.00,36.10, 36.95,36.75,2341,0.86
09-Sep-2011,33.95,35.30,33.00, 35.00,35.00,3571,1.23
08-Sep-2011,34.00,34.00,32.55, 34.00,33.90,968,0.33
07-Sep-2011,31.80,33.95,31.80, 32.90,33.40,3333,1.09
06-Sep-2011,32.00,32.05,30.60, 30.60,30.90,3400,1.06
05-Sep-2011,35.10,35.10,31.95, 32.50,32.00,6201,2.02
02-Sep-2011,36.00,36.00,34.10, 35.50,35.10,2006,0.70
30-Aug-2011,33.00,34.85,32.00, 34.85,34.85,156,0.05
29-Aug-2011,31.40,31.50,30.85, 30.85,30.85,407,0.13
26-Aug-2011,31.55,32.75,30.35, 30.35,30.35,2708,0.84
25-Aug-2011,31.70,32.00,31.55, 31.55,31.55,1120,0.35
24-Aug-2011,32.00,33.95,32.00, 33.95,32.65,476,0.15
23-Aug-2011,32.20,32.20,31.15, 32.00,31.50,1923,0.61
22-Aug-2011,30.10,32.30,30.10, 30.50,32.00,5150,1.60
19-Aug-2011,31.00,33.75,29.65, 31.45,30.15,937,0.29
18-Aug-2011,34.00,34.00,29.10, 32.15,31.95,3694,1.16
