Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,114.00,114.00,112.05, 113.00,112.80,411,0.46
29-Dec-2011,118.70,118.80,112.00, 112.00,112.15,1310,1.50
28-Dec-2011,115.00,117.00,112.10, 113.55,114.90,648,0.74
27-Dec-2011,116.40,119.00,114.00, 114.00,115.70,1217,1.42
26-Dec-2011,110.25,117.80,108.20, 116.25,116.65,1630,1.88
23-Dec-2011,111.70,118.00,111.65, 114.60,114.70,1912,2.19
22-Dec-2011,113.00,113.00,110.20, 112.00,111.05,992,1.11
21-Dec-2011,109.70,112.80,108.55, 111.75,112.60,953,1.06
20-Dec-2011,119.80,119.80,109.70, 109.70,109.95,2148,2.38
19-Dec-2011,119.80,120.00,111.00, 111.00,111.35,3085,3.47
16-Dec-2011,120.00,120.95,114.30, 114.40,116.00,3094,3.64
15-Dec-2011,119.00,120.00,117.05, 119.00,118.80,1316,1.56
14-Dec-2011,121.00,122.65,119.00, 119.90,119.35,1325,1.59
13-Dec-2011,121.85,121.85,119.05, 119.05,120.10,785,0.94
12-Dec-2011,121.65,123.35,120.00, 120.00,120.20,1298,1.57
09-Dec-2011,126.00,126.00,120.10, 122.00,122.05,553,0.67
08-Dec-2011,124.80,124.80,120.00, 120.05,120.30,2494,3.02
07-Dec-2011,122.30,125.95,122.10, 122.60,123.75,2774,3.43
05-Dec-2011,122.20,123.50,121.30, 122.20,122.35,2804,3.44
02-Dec-2011,122.00,124.00,121.00, 123.50,123.65,2732,3.35
01-Dec-2011,124.80,125.00,121.50, 122.85,122.25,2284,2.80
30-Nov-2011,123.35,123.35,119.00, 120.00,120.15,5100,6.17
29-Nov-2011,124.15,125.95,123.20, 123.20,124.25,1826,2.27
28-Nov-2011,123.50,125.75,123.50, 123.80,124.35,914,1.14
25-Nov-2011,123.85,125.95,122.50, 122.90,123.15,1419,1.76
24-Nov-2011,120.65,124.00,120.65, 123.00,123.25,1176,1.44
23-Nov-2011,123.25,124.00,121.60, 122.05,122.80,2177,2.67
22-Nov-2011,123.00,128.35,123.00, 124.15,124.60,2318,2.89
21-Nov-2011,125.00,127.90,123.30, 125.50,124.70,4740,5.91
18-Nov-2011,126.00,127.70,123.00, 127.10,127.10,3839,4.78
17-Nov-2011,128.50,128.50,126.10, 126.30,126.45,4017,5.10
16-Nov-2011,131.00,132.00,126.65, 127.00,127.15,4429,5.69
15-Nov-2011,136.00,136.00,130.10, 130.95,131.35,2680,3.55
14-Nov-2011,138.10,140.95,132.75, 133.00,134.20,3996,5.44
11-Nov-2011,139.00,140.00,136.45, 137.10,137.50,4561,6.31
09-Nov-2011,142.05,142.55,140.10, 140.50,140.80,3988,5.65
08-Nov-2011,142.00,142.95,140.60, 142.40,141.95,1670,2.37
04-Nov-2011,142.00,142.00,140.25, 140.35,140.75,2767,3.91
03-Nov-2011,142.25,142.25,140.50, 140.75,140.90,1227,1.73
02-Nov-2011,142.60,142.60,140.65, 141.55,142.25,2464,3.50
01-Nov-2011,142.00,142.00,141.00, 141.00,141.40,1317,1.86
31-Oct-2011,142.30,145.50,141.20, 141.25,141.75,5550,7.88
28-Oct-2011,146.00,146.00,142.15, 144.15,143.75,3251,4.68
26-Oct-2011,142.00,145.55,141.95, 144.00,143.95,1926,2.76
25-Oct-2011,140.50,142.50,138.70, 139.50,140.20,1819,2.54
24-Oct-2011,142.20,142.20,140.20, 140.70,140.35,7637,10.77
21-Oct-2011,141.80,143.00,141.50, 141.50,141.90,1816,2.59
20-Oct-2011,144.05,144.05,141.50, 142.00,142.10,2482,3.54
19-Oct-2011,145.10,146.30,144.10, 144.15,144.65,3653,5.31
18-Oct-2011,145.00,147.70,145.00, 145.50,146.40,2232,3.26
17-Oct-2011,145.20,148.50,145.20, 145.95,146.55,2476,3.63
14-Oct-2011,143.00,147.50,141.25, 147.50,146.80,7748,11.14
13-Oct-2011,140.50,147.25,140.50, 147.00,146.80,2041,2.96
12-Oct-2011,143.30,147.00,143.30, 146.00,145.80,2785,4.05
11-Oct-2011,147.00,148.70,142.90, 144.50,143.30,4203,6.11
10-Oct-2011,141.25,145.65,141.25, 144.25,144.55,2505,3.61
