Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,236.10,241.90,231.20, 233.00,232.55,64649,153.29
29-Dec-2011,230.05,238.60,221.25, 233.05,234.50,138028,319.63
28-Dec-2011,251.90,252.50,231.05, 231.80,232.90,110538,264.36
27-Dec-2011,260.00,260.00,251.05, 251.55,251.95,54464,138.56
26-Dec-2011,259.00,263.00,252.75, 256.10,259.70,238058,617.39
23-Dec-2011,254.80,265.00,250.00, 258.00,256.80,277722,711.43
22-Dec-2011,261.00,261.00,248.30, 250.00,251.20,60247,152.46
21-Dec-2011,268.05,274.80,256.00, 258.00,261.10,177390,468.86
20-Dec-2011,275.05,284.00,256.55, 263.00,264.55,197786,528.81
19-Dec-2011,283.00,295.00,248.10, 271.20,274.40,331003,907.96
16-Dec-2011,300.00,301.75,278.20, 278.50,281.15,76927,223.01
15-Dec-2011,295.10,308.50,283.90, 294.00,296.30,122715,360.03
14-Dec-2011,291.95,304.30,291.10, 295.00,296.10,94499,281.60
13-Dec-2011,302.15,314.00,286.75, 296.30,294.85,224380,677.96
12-Dec-2011,335.00,347.00,298.15, 298.30,301.95,379834,1230.88
09-Dec-2011,294.00,338.20,288.00, 328.00,332.35,511213,1673.18
08-Dec-2011,312.90,314.40,297.00, 302.00,299.45,45853,138.61
07-Dec-2011,324.80,326.00,310.20, 313.00,313.20,58527,186.05
05-Dec-2011,319.00,324.65,316.25, 317.00,317.00,36455,116.50
02-Dec-2011,312.00,326.30,309.00, 318.15,317.40,75128,239.72
01-Dec-2011,319.00,323.40,300.55, 312.00,306.60,53263,164.41
30-Nov-2011,317.95,321.90,304.60, 308.00,306.70,33452,105.03
29-Nov-2011,326.70,340.00,315.00, 320.50,318.40,33743,110.18
28-Nov-2011,338.85,338.85,323.20, 327.80,324.70,29897,98.03
25-Nov-2011,322.40,344.50,314.60, 325.00,323.35,65594,218.00
24-Nov-2011,326.00,334.00,310.00, 317.50,319.60,105219,333.96
23-Nov-2011,340.55,340.55,321.00, 322.45,326.40,23086,75.98
22-Nov-2011,345.00,355.85,338.40, 341.00,340.85,44986,155.43
21-Nov-2011,356.10,365.95,333.15, 335.00,337.35,56724,198.09
18-Nov-2011,389.80,389.80,361.10, 369.00,369.25,65398,245.35
17-Nov-2011,394.00,437.40,390.10, 391.00,395.25,288287,1207.07
16-Nov-2011,414.50,414.50,389.05, 397.30,400.30,40625,162.80
15-Nov-2011,424.60,428.50,405.20, 415.05,416.35,56017,232.25
14-Nov-2011,447.00,460.40,422.70, 424.50,426.15,109298,483.33
11-Nov-2011,450.00,462.00,440.00, 454.40,450.35,425656,1922.55
09-Nov-2011,396.00,461.90,392.40, 442.50,443.00,661323,2929.78
08-Nov-2011,410.00,410.00,390.25, 396.00,394.30,16419,65.44
04-Nov-2011,392.90,401.95,388.65, 396.60,395.20,32797,130.16
03-Nov-2011,392.75,397.00,386.10, 388.00,389.20,9630,37.59
02-Nov-2011,395.00,398.95,392.75, 392.80,393.20,8978,35.47
01-Nov-2011,399.30,404.00,396.15, 396.25,398.05,9824,39.38
31-Oct-2011,399.50,404.80,398.00, 400.00,399.20,11219,45.04
28-Oct-2011,409.00,409.00,397.20, 400.70,399.85,19955,79.92
26-Oct-2011,385.00,406.75,385.00, 405.25,397.55,14446,57.11
25-Oct-2011,381.55,385.00,375.10, 385.00,382.40,8064,30.70
24-Oct-2011,387.00,392.00,377.05, 379.15,380.55,16726,64.45
21-Oct-2011,399.75,400.70,378.15, 382.50,382.40,15151,58.91
20-Oct-2011,396.50,402.00,391.05, 396.00,396.25,35104,139.59
19-Oct-2011,401.10,405.85,392.70, 396.10,396.80,18237,73.09
18-Oct-2011,400.00,404.25,396.50, 401.00,400.50,23318,93.31
17-Oct-2011,397.95,413.00,397.95, 404.00,403.20,86611,351.40
14-Oct-2011,384.65,404.00,384.65, 395.00,395.35,84182,333.08
13-Oct-2011,379.50,390.95,377.90, 386.00,384.70,33235,127.84
12-Oct-2011,368.80,382.00,367.25, 380.95,377.80,41663,156.85
11-Oct-2011,367.00,376.50,364.05, 364.15,367.45,46618,173.69
10-Oct-2011,363.50,369.00,360.05, 363.15,364.80,18108,66.11
07-Oct-2011,354.00,363.00,347.00, 362.00,360.25,32675,116.52
05-Oct-2011,347.00,354.40,340.00, 351.00,349.90,24476,85.18
04-Oct-2011,361.00,365.75,342.25, 346.00,344.90,32172,114.74
03-Oct-2011,349.95,364.55,344.70, 356.10,356.45,57960,207.65
30-Sep-2011,357.50,379.90,340.70, 354.95,355.20,69933,254.68
29-Sep-2011,370.00,373.25,355.00, 358.10,357.50,39027,141.57
28-Sep-2011,386.00,389.00,371.50, 373.95,373.20,22887,87.13
27-Sep-2011,387.00,393.70,382.40, 383.25,383.75,30794,119.42
26-Sep-2011,397.00,398.80,380.40, 382.00,382.90,29625,115.41
23-Sep-2011,382.25,404.90,381.00, 399.35,396.00,70015,274.77
22-Sep-2011,397.00,408.00,378.35, 398.00,390.45,61701,245.64
21-Sep-2011,405.00,409.05,394.40, 400.75,400.20,33875,136.99
20-Sep-2011,398.05,411.40,398.00, 403.65,404.40,80537,326.70
19-Sep-2011,396.00,405.70,391.00, 396.95,397.30,90926,363.36
16-Sep-2011,407.00,414.00,393.00, 396.00,395.45,88866,360.48
15-Sep-2011,394.00,411.35,392.55, 407.95,405.35,240860,972.63
14-Sep-2011,379.00,394.70,378.00, 393.55,390.15,141083,544.09
13-Sep-2011,365.00,384.80,363.15, 377.00,377.60,161872,608.81
12-Sep-2011,363.95,369.10,355.05, 361.00,361.00,55836,202.69
09-Sep-2011,363.90,375.05,362.15, 364.15,363.95,91625,337.80
08-Sep-2011,363.00,364.20,356.15, 360.65,361.00,37182,134.25
07-Sep-2011,359.40,368.40,357.25, 360.00,361.20,98353,356.71
06-Sep-2011,348.00,365.70,345.05, 355.80,356.25,115629,414.93
05-Sep-2011,347.95,357.90,343.65, 348.10,349.90,151961,532.65
02-Sep-2011,355.00,358.85,344.00, 348.10,350.30,69524,243.66
30-Aug-2011,350.95,364.45,350.00, 355.30,356.75,335393,1203.48
29-Aug-2011,340.05,357.90,337.20, 357.00,348.35,277967,961.82
26-Aug-2011,317.30,344.70,315.20, 335.90,334.80,440004,1470.03
25-Aug-2011,321.00,333.90,294.65, 319.00,318.30,151756,492.00
24-Aug-2011,332.50,348.50,320.00, 325.00,325.20,697208,2361.90
23-Aug-2011,288.90,335.40,282.10, 330.00,331.20,461898,1484.33
22-Aug-2011,277.40,286.90,275.10, 282.60,284.45,48267,135.72
19-Aug-2011,265.10,277.50,256.00, 277.50,272.40,38157,101.39
18-Aug-2011,275.00,281.90,266.20, 272.00,269.05,84106,230.59
17-Aug-2011,284.00,287.85,272.05, 276.15,274.80,32338,90.09
16-Aug-2011,288.20,295.00,281.00, 282.00,283.55,46339,134.07
12-Aug-2011,301.70,301.70,282.50, 283.10,286.00,41022,119.94
11-Aug-2011,292.00,305.00,292.00, 296.50,295.60,239516,715.94
10-Aug-2011,262.90,296.90,262.90, 296.90,287.90,178594,507.70
09-Aug-2011,251.20,268.00,251.20, 259.00,259.25,35134,91.44
08-Aug-2011,260.25,269.95,255.15, 262.95,261.85,27129,71.40
05-Aug-2011,275.25,278.90,262.70, 270.00,270.95,41693,113.49
04-Aug-2011,278.00,299.00,278.00, 284.70,284.70,60368,175.42
03-Aug-2011,283.00,294.60,280.25, 291.50,290.75,69045,199.17
02-Aug-2011,295.10,299.85,285.15, 290.05,290.45,53151,155.01
01-Aug-2011,312.00,314.35,295.00, 300.00,298.60,66728,202.50
29-Jul-2011,316.90,324.00,305.00, 308.50,307.00,218697,691.61
28-Jul-2011,313.00,325.80,312.65, 319.00,316.95,578510,1853.60
27-Jul-2011,290.00,318.50,288.45, 317.10,313.90,839436,2587.03
26-Jul-2011,301.00,306.55,282.60, 288.15,288.20,240040,714.58
25-Jul-2011,289.95,306.35,289.80, 303.00,302.40,582633,1747.84
22-Jul-2011,277.50,304.70,274.00, 288.55,287.75,542457,1587.52
21-Jul-2011,279.95,281.55,272.60, 273.00,275.15,45680,126.19
20-Jul-2011,282.00,282.65,274.20, 278.00,277.55,37955,105.33
19-Jul-2011,272.90,281.00,271.00, 279.35,279.55,105755,293.11
18-Jul-2011,274.00,277.65,270.25, 270.25,271.60,37686,103.19
15-Jul-2011,272.90,283.50,272.05, 274.00,274.25,270141,751.75
14-Jul-2011,260.10,275.75,260.10, 271.30,272.90,171573,464.63
13-Jul-2011,259.50,269.00,259.50, 266.00,265.80,95257,252.39
12-Jul-2011,260.00,266.45,256.00, 257.95,258.70,53536,139.79
11-Jul-2011,258.85,266.50,255.20, 264.35,263.85,102186,267.85
08-Jul-2011,265.25,275.90,257.20, 258.45,258.85,221687,595.56
07-Jul-2011,263.05,269.00,262.00, 264.90,265.25,116133,308.57
06-Jul-2011,268.10,269.80,262.05, 262.50,262.80,70471,186.72
05-Jul-2011,263.00,275.50,259.05, 267.75,267.65,497899,1345.21
04-Jul-2011,261.00,264.80,257.65, 261.10,261.25,108266,283.16
01-Jul-2011,259.95,280.40,255.50, 259.90,259.00,151295,393.53
30-Jun-2011,252.80,264.00,252.75, 256.90,255.95,393129,1015.00
29-Jun-2011,245.00,271.00,244.20, 250.30,250.40,610645,1585.94
28-Jun-2011,247.10,254.00,243.05, 244.55,243.95,99553,247.60
27-Jun-2011,253.10,257.20,243.50, 244.00,245.95,99914,249.18
24-Jun-2011,258.00,264.40,251.10, 254.40,254.60,170041,436.56
23-Jun-2011,268.00,272.95,251.00, 256.30,256.65,366107,960.62
22-Jun-2011,284.85,291.00,263.50, 266.40,267.90,959007,2694.91
21-Jun-2011,247.95,291.80,240.10, 282.00,281.45,1700875,4790.00
20-Jun-2011,271.30,278.65,231.40, 246.10,246.45,102179,260.80
17-Jun-2011,272.20,285.40,267.00, 273.35,275.45,179867,502.41
16-Jun-2011,275.25,288.80,269.95, 278.00,278.15,421157,1182.06
15-Jun-2011,274.95,291.40,266.65, 276.60,277.60,881799,2474.38
14-Jun-2011,290.30,292.20,272.00, 272.00,274.80,813799,2279.50
