Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,305.90,305.90,297.30, 300.00,298.65,1843,5.53
29-Dec-2011,301.00,304.00,298.50, 300.10,302.65,13444,40.64
28-Dec-2011,306.00,308.85,300.00, 302.95,302.35,5590,16.98
27-Dec-2011,313.95,313.95,302.25, 305.35,306.75,3222,9.96
26-Dec-2011,308.00,319.75,308.00, 310.15,312.80,21540,67.85
23-Dec-2011,308.95,313.00,304.00, 305.10,306.00,4226,13.06
22-Dec-2011,302.00,312.00,300.15, 312.00,307.15,8993,27.56
21-Dec-2011,301.00,306.00,296.00, 301.60,302.30,4509,13.55
20-Dec-2011,300.35,307.00,292.00, 293.00,294.30,7716,23.05
19-Dec-2011,303.25,311.55,298.00, 298.10,299.35,9667,29.34
16-Dec-2011,325.00,339.95,309.40, 316.00,313.90,25359,82.26
15-Dec-2011,315.00,322.90,305.90, 321.70,318.80,7062,22.18
14-Dec-2011,315.00,318.00,313.20, 316.50,315.55,2515,7.93
13-Dec-2011,317.00,323.00,310.15, 317.00,316.05,8259,26.21
12-Dec-2011,339.05,339.05,316.10, 318.00,319.30,9761,31.62
09-Dec-2011,330.35,340.00,330.30, 340.00,334.05,6374,21.36
08-Dec-2011,344.85,347.70,335.05, 337.00,336.45,15448,52.38
07-Dec-2011,350.00,356.00,335.05, 344.50,342.25,60989,209.08
05-Dec-2011,336.95,349.00,304.00, 345.10,345.05,13337,45.15
02-Dec-2011,345.80,352.00,343.00, 343.50,345.15,5600,19.45
01-Dec-2011,344.00,347.05,335.15, 344.00,344.25,26324,90.61
30-Nov-2011,330.00,343.50,328.30, 339.10,339.00,22283,75.28
29-Nov-2011,338.40,383.80,323.05, 330.00,330.20,23540,78.38
28-Nov-2011,332.00,333.00,326.65, 328.35,330.15,6972,22.99
25-Nov-2011,322.00,327.95,315.40, 324.00,323.80,7014,22.73
24-Nov-2011,315.00,324.10,312.20, 322.10,323.00,8484,27.02
23-Nov-2011,311.50,321.00,306.50, 320.40,318.65,14450,45.78
22-Nov-2011,306.05,326.90,306.00, 322.50,319.45,30881,98.70
21-Nov-2011,310.00,325.00,306.25, 315.00,313.45,36506,115.58
18-Nov-2011,295.20,315.00,294.00, 315.00,308.50,8435,25.44
17-Nov-2011,306.00,316.00,295.50, 300.00,299.50,11808,36.15
16-Nov-2011,319.05,322.00,305.05, 306.10,307.45,15203,47.44
15-Nov-2011,335.25,335.25,319.10, 319.20,322.00,4295,14.00
14-Nov-2011,342.00,344.45,331.00, 338.00,333.15,4846,16.39
11-Nov-2011,345.50,345.50,337.70, 340.55,340.50,5029,17.13
09-Nov-2011,347.50,359.90,343.05, 345.10,345.50,14618,51.14
08-Nov-2011,341.50,352.60,335.00, 346.50,349.25,24488,84.56
04-Nov-2011,337.80,341.00,334.00, 339.95,339.00,19276,65.17
03-Nov-2011,335.00,340.00,331.00, 334.10,335.10,11809,39.56
02-Nov-2011,330.00,337.95,330.00, 334.00,332.90,7892,26.40
01-Nov-2011,329.10,343.95,329.10, 332.60,334.05,21748,73.69
31-Oct-2011,324.30,340.00,320.60, 335.05,336.35,35429,118.19
28-Oct-2011,328.00,330.50,321.10, 325.05,326.85,11032,36.01
26-Oct-2011,326.50,327.45,319.00, 319.05,322.85,7785,25.24
25-Oct-2011,323.00,325.55,308.10, 319.35,318.40,18677,58.91
24-Oct-2011,329.00,334.90,320.25, 324.10,323.00,37047,121.38
21-Oct-2011,324.00,331.00,322.10, 323.00,324.90,15694,51.26
20-Oct-2011,321.15,332.80,320.25, 322.05,323.25,25348,83.01
19-Oct-2011,322.00,333.40,315.15, 327.05,326.45,57085,186.73
18-Oct-2011,305.00,344.80,302.10, 318.90,318.35,313391,1036.34
17-Oct-2011,305.00,309.90,304.00, 305.05,305.90,3096,9.49
14-Oct-2011,306.00,306.50,303.05, 305.00,304.85,1670,5.09
13-Oct-2011,310.00,314.95,306.00, 306.25,307.10,2495,7.72
12-Oct-2011,306.25,312.50,306.25, 310.00,310.90,5738,17.84
11-Oct-2011,302.30,315.45,302.25, 307.00,304.80,13395,41.37
10-Oct-2011,303.50,307.50,300.05, 304.85,303.30,2543,7.74
07-Oct-2011,302.00,307.50,301.15, 302.00,303.90,1792,5.46
05-Oct-2011,304.55,305.00,298.00, 298.00,299.60,2455,7.39
04-Oct-2011,300.00,312.00,300.00, 305.00,304.15,7472,22.85
03-Oct-2011,296.00,301.90,288.00, 300.40,298.90,9854,29.13
30-Sep-2011,301.00,301.20,295.00, 296.50,298.05,3753,11.21
29-Sep-2011,301.05,304.90,298.00, 299.00,300.60,5494,16.52
28-Sep-2011,312.65,316.00,301.50, 301.50,304.40,4311,13.24
27-Sep-2011,305.00,313.00,305.00, 310.80,309.55,5785,17.85
26-Sep-2011,311.10,313.00,299.00, 302.00,301.55,11605,35.21
23-Sep-2011,308.00,311.90,300.60, 310.90,310.05,8357,25.58
22-Sep-2011,322.00,323.75,311.10, 313.85,312.95,3896,12.32
21-Sep-2011,328.40,328.40,311.05, 321.00,321.40,4301,13.85
20-Sep-2011,323.00,328.80,320.40, 324.70,323.90,5276,17.10
19-Sep-2011,322.85,324.30,319.00, 322.10,321.75,4056,13.03
16-Sep-2011,323.00,325.95,319.00, 319.55,319.60,4839,15.56
15-Sep-2011,325.50,328.95,315.05, 321.05,321.80,4759,15.35
14-Sep-2011,328.00,328.00,322.00, 324.50,324.70,3512,11.42
13-Sep-2011,330.00,335.50,326.00, 327.25,327.85,9539,31.55
12-Sep-2011,325.10,333.00,315.60, 330.05,330.80,12033,39.22
09-Sep-2011,338.95,338.95,323.20, 328.50,327.55,15137,49.94
08-Sep-2011,339.00,345.95,332.40, 334.50,336.65,25305,85.78
07-Sep-2011,326.30,339.90,323.30, 339.00,335.85,19892,66.09
06-Sep-2011,318.90,323.70,312.55, 322.00,321.70,9539,30.53
05-Sep-2011,310.00,318.00,305.50, 315.00,316.65,4567,14.40
02-Sep-2011,315.00,320.00,312.00, 314.20,315.60,9685,30.60
30-Aug-2011,306.90,318.50,301.00, 317.00,316.10,54821,171.06
29-Aug-2011,308.00,309.00,301.30, 304.00,303.05,23090,70.20
26-Aug-2011,309.00,309.00,292.00, 294.30,293.90,10643,31.86
25-Aug-2011,309.95,312.95,302.15, 304.00,303.75,9496,29.19
24-Aug-2011,309.00,317.50,305.05, 306.45,307.40,35281,110.10
23-Aug-2011,296.35,308.00,290.15, 303.00,303.60,15455,46.57
22-Aug-2011,299.00,299.00,281.50, 296.00,295.05,8813,25.72
19-Aug-2011,292.00,293.00,281.30, 285.00,284.45,15182,43.40
18-Aug-2011,302.00,302.00,291.10, 295.00,293.35,21770,64.19
17-Aug-2011,304.00,308.95,296.25, 298.60,298.55,9881,29.76
16-Aug-2011,317.00,320.95,301.00, 306.90,303.35,12696,39.70
12-Aug-2011,316.00,319.90,313.10, 314.30,315.50,15728,49.75
11-Aug-2011,316.10,322.90,309.00, 310.05,310.40,16159,50.81
10-Aug-2011,309.75,320.90,309.75, 320.00,319.15,23107,73.23
09-Aug-2011,300.00,312.00,295.00, 303.50,304.35,25661,77.93
08-Aug-2011,300.00,308.50,290.25, 305.30,305.90,28191,85.22
05-Aug-2011,315.00,315.00,290.15, 309.00,307.20,21962,67.58
04-Aug-2011,324.00,331.45,318.00, 320.35,320.60,20207,65.81
03-Aug-2011,333.00,333.00,312.05, 321.15,320.75,68510,218.78
02-Aug-2011,348.55,352.00,333.80, 337.50,336.75,12873,43.89
01-Aug-2011,352.00,356.00,346.05, 347.65,348.55,20301,71.46
29-Jul-2011,347.05,356.55,344.00, 350.00,347.80,33863,119.49
28-Jul-2011,357.00,368.00,346.25, 350.00,350.85,73926,263.41
27-Jul-2011,356.10,364.00,356.00, 360.00,359.45,21477,77.38
26-Jul-2011,358.50,366.95,355.10, 357.00,356.40,32180,115.92
25-Jul-2011,356.10,360.95,352.05, 356.20,357.30,10572,37.76
22-Jul-2011,362.20,369.00,356.55, 358.10,358.40,68781,249.68
21-Jul-2011,346.00,359.80,340.05, 358.00,356.30,121476,428.69
20-Jul-2011,332.00,351.95,331.00, 345.90,343.60,212607,732.29
19-Jul-2011,329.50,338.70,329.50, 330.25,330.70,36112,120.44
18-Jul-2011,323.80,333.00,321.00, 331.00,329.70,39034,128.19
15-Jul-2011,323.20,324.90,318.35, 319.10,320.10,11563,37.13
14-Jul-2011,320.50,330.00,315.00, 321.25,321.20,30580,98.97
13-Jul-2011,319.95,325.80,316.05, 322.60,322.65,42253,136.19
