Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,770.05,794.90,770.00, 789.00,789.15,3927,30.92
29-Dec-2011,779.80,779.80,761.10, 763.00,769.25,343,2.64
28-Dec-2011,770.00,784.00,760.90, 775.05,777.50,6451,49.69
27-Dec-2011,749.60,778.00,749.60, 765.00,768.80,510,3.91
26-Dec-2011,752.00,769.95,741.25, 756.25,763.70,549,4.17
23-Dec-2011,740.00,770.00,719.00, 770.00,751.10,3422,25.24
22-Dec-2011,740.90,744.95,718.00, 725.55,737.60,4069,29.69
21-Dec-2011,745.00,755.00,715.00, 749.00,746.45,4143,30.60
20-Dec-2011,745.00,754.00,700.00, 750.00,727.95,3060,22.03
19-Dec-2011,742.50,760.00,699.00, 760.00,746.55,5501,39.56
16-Dec-2011,750.55,772.00,730.30, 730.30,744.45,818,6.22
15-Dec-2011,752.35,764.00,740.30, 760.15,757.15,1644,12.39
14-Dec-2011,787.95,787.95,753.05, 775.00,767.85,41054,314.11
13-Dec-2011,770.05,790.00,770.05, 780.00,780.10,3749,29.26
12-Dec-2011,783.00,800.00,770.00, 776.15,780.90,4315,33.62
09-Dec-2011,809.95,809.95,786.70, 791.35,792.05,1779,14.12
08-Dec-2011,814.05,820.00,783.65, 820.00,800.10,1752,13.96
07-Dec-2011,781.00,813.85,781.00, 801.65,802.55,647,5.20
05-Dec-2011,819.00,819.00,787.00, 810.00,795.30,109584,871.19
02-Dec-2011,810.00,810.00,786.00, 799.90,801.15,1905,15.27
01-Dec-2011,824.95,825.00,797.00, 798.00,800.50,2481,20.02
30-Nov-2011,824.00,824.00,805.00, 810.00,809.35,1855,15.09
29-Nov-2011,832.30,832.30,810.50, 810.50,819.50,5237,42.94
28-Nov-2011,828.95,831.00,809.00, 828.00,826.90,3172,25.95
25-Nov-2011,836.95,836.95,811.00, 820.05,820.90,523,4.27
24-Nov-2011,842.00,842.00,812.10, 815.00,815.90,5866,47.83
23-Nov-2011,829.00,843.50,814.50, 831.95,827.50,178959,1476.50
22-Nov-2011,830.05,850.00,803.40, 826.05,832.90,76478,638.49
21-Nov-2011,854.90,858.00,820.05, 840.00,845.00,7386,61.43
18-Nov-2011,820.10,864.40,817.20, 836.00,836.55,2306,19.25
