Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,116.45,117.90,114.10, 114.50,114.90,607261,703.60
29-Dec-2011,113.40,118.50,113.40, 115.00,115.45,1349190,1565.22
28-Dec-2011,121.95,121.95,116.40, 116.80,117.50,1257657,1481.35
27-Dec-2011,124.05,125.30,120.25, 120.75,121.15,1422689,1753.90
26-Dec-2011,121.80,124.60,119.60, 124.10,124.05,814646,1000.93
23-Dec-2011,125.60,125.60,118.25, 119.70,119.75,1822256,2232.99
22-Dec-2011,124.50,125.90,120.50, 124.35,124.60,1588928,1950.59
21-Dec-2011,129.00,130.15,121.30, 126.25,125.05,1652496,2056.03
20-Dec-2011,132.70,132.70,125.00, 125.55,125.95,1164095,1478.62
19-Dec-2011,140.00,141.10,128.20, 131.55,131.25,2088876,2745.17
16-Dec-2011,147.85,150.00,140.50, 140.70,141.60,1127320,1635.56
15-Dec-2011,149.75,149.80,144.50, 146.50,146.30,519744,762.26
14-Dec-2011,149.40,153.30,148.35, 149.90,149.95,537946,815.30
13-Dec-2011,152.00,154.00,148.35, 150.90,150.70,619756,937.70
12-Dec-2011,159.25,160.30,150.00, 150.30,150.80,667428,1032.80
09-Dec-2011,151.95,159.00,150.25, 158.20,157.80,1040366,1631.57
08-Dec-2011,164.00,164.80,153.50, 153.80,154.70,746532,1181.60
07-Dec-2011,165.60,167.00,163.30, 163.75,164.85,707304,1170.68
05-Dec-2011,163.80,165.45,160.30, 164.00,164.10,956313,1566.34
02-Dec-2011,160.40,164.00,156.55, 163.85,162.25,1922912,3083.40
01-Dec-2011,155.00,160.25,155.00, 159.40,158.60,1356154,2153.29
30-Nov-2011,154.00,154.90,149.00, 153.50,151.45,821667,1243.41
29-Nov-2011,154.25,157.00,152.55, 154.45,154.55,1038157,1611.40
28-Nov-2011,147.00,155.65,147.00, 155.50,154.00,499336,755.50
25-Nov-2011,146.50,150.70,144.70, 146.40,145.85,801143,1186.98
24-Nov-2011,145.50,148.85,143.80, 146.50,146.55,1201419,1761.01
23-Nov-2011,144.00,147.55,120.85, 145.85,146.35,1012414,1471.64
22-Nov-2011,147.00,151.65,144.65, 146.15,146.40,970662,1434.36
21-Nov-2011,148.00,150.00,144.15, 146.20,146.95,829913,1215.31
18-Nov-2011,155.00,155.00,145.50, 147.00,147.80,1528231,2271.96
17-Nov-2011,159.95,160.00,153.40, 156.45,155.05,1020769,1596.97
16-Nov-2011,159.45,161.50,156.00, 160.00,159.10,632863,1008.34
15-Nov-2011,164.55,166.45,159.40, 159.65,160.00,1006787,1632.43
14-Nov-2011,167.00,169.80,164.10, 165.50,164.95,382443,638.01
11-Nov-2011,162.00,169.90,162.00, 168.00,166.80,915794,1514.10
09-Nov-2011,173.00,173.80,165.00, 165.00,165.85,1150131,1951.10
08-Nov-2011,170.00,173.60,168.00, 173.45,172.65,1106189,1894.84
04-Nov-2011,166.35,170.50,165.70, 169.10,169.80,2103430,3533.01
03-Nov-2011,160.00,169.20,160.00, 167.55,167.50,4742268,7897.96
02-Nov-2011,148.00,163.70,147.55, 160.85,160.85,6097825,9648.61
01-Nov-2011,144.40,150.90,142.25, 149.10,148.95,778826,1159.38
31-Oct-2011,149.40,159.40,144.10, 149.60,149.90,743381,1103.99
28-Oct-2011,145.00,146.90,144.00, 144.35,144.60,1050506,1525.19
26-Oct-2011,141.95,143.75,141.00, 142.15,142.25,155755,221.58
25-Oct-2011,148.70,148.70,139.00, 140.10,139.95,2578143,3626.62
24-Oct-2011,149.80,154.10,146.00, 146.90,146.75,1213791,1835.50
21-Oct-2011,151.30,152.70,148.70, 149.50,149.80,358436,542.53
20-Oct-2011,151.00,152.20,148.85, 151.40,151.30,523492,787.52
19-Oct-2011,150.65,152.75,150.40, 152.50,152.00,330037,501.16
18-Oct-2011,154.50,154.50,149.00, 150.00,149.80,384316,576.97
17-Oct-2011,156.80,156.80,153.50, 153.50,153.85,299189,462.95
14-Oct-2011,150.50,156.85,150.25, 155.75,155.50,371599,574.47
13-Oct-2011,157.75,160.00,153.65, 153.80,154.60,550890,866.90
12-Oct-2011,149.95,155.90,149.30, 155.55,155.20,834468,1266.75
11-Oct-2011,147.90,153.00,147.25, 150.40,149.25,734318,1100.25
10-Oct-2011,145.30,147.25,141.00, 146.95,146.35,538156,782.64
07-Oct-2011,144.00,147.95,143.55, 145.50,145.15,478785,699.20
05-Oct-2011,147.50,151.70,140.10, 142.50,141.70,939062,1336.49
04-Oct-2011,155.05,157.10,144.90, 146.25,145.90,1551963,2337.57
03-Oct-2011,156.00,156.85,153.25, 154.00,154.60,428775,662.46
30-Sep-2011,157.00,162.25,154.80, 158.00,157.65,487210,775.62
29-Sep-2011,158.60,159.65,156.05, 159.05,157.45,522196,821.78
28-Sep-2011,161.90,162.45,158.00, 158.90,158.60,405732,649.69
27-Sep-2011,163.50,164.00,160.00, 161.00,160.90,1177562,1906.41
26-Sep-2011,162.05,162.50,155.20, 160.10,161.20,637630,1015.09
23-Sep-2011,160.00,163.95,154.10, 161.15,160.95,864611,1381.63
22-Sep-2011,165.40,166.00,159.10, 159.50,160.15,502826,816.84
21-Sep-2011,166.20,168.50,164.50, 166.85,167.15,711318,1187.13
20-Sep-2011,162.90,167.70,162.90, 165.10,165.90,857694,1422.59
19-Sep-2011,162.00,165.50,160.50, 165.15,164.70,855952,1393.13
16-Sep-2011,168.15,169.50,162.40, 164.15,164.25,1221127,2029.09
15-Sep-2011,166.00,168.00,164.55, 167.40,167.55,502106,837.71
14-Sep-2011,166.30,168.65,164.10, 165.30,165.05,510692,846.93
13-Sep-2011,164.25,167.30,163.85, 166.00,166.30,981588,1628.86
12-Sep-2011,165.45,168.00,162.00, 162.40,163.75,481711,795.81
09-Sep-2011,176.00,177.35,169.10, 169.50,170.40,616630,1072.23
08-Sep-2011,178.00,178.90,174.45, 175.85,175.90,725520,1281.79
07-Sep-2011,174.00,178.80,174.00, 176.80,176.40,720490,1273.29
06-Sep-2011,175.75,175.75,172.10, 173.70,173.45,719460,1247.83
05-Sep-2011,175.00,176.85,172.00, 175.30,175.80,318379,556.90
02-Sep-2011,180.10,180.35,173.75, 175.30,175.30,563648,992.83
30-Aug-2011,174.15,180.40,174.00, 179.75,179.10,535399,945.44
29-Aug-2011,178.00,178.00,169.15, 173.00,172.05,540912,931.30
26-Aug-2011,173.50,173.50,166.70, 167.00,167.75,301416,512.94
25-Aug-2011,177.45,178.95,171.00, 172.10,173.70,700340,1211.72
24-Aug-2011,183.95,186.85,175.00, 175.00,176.30,568710,1033.45
23-Aug-2011,182.40,184.30,179.35, 184.30,183.05,251924,458.81
22-Aug-2011,175.40,183.00,172.15, 182.50,181.90,376348,670.09
19-Aug-2011,176.00,182.00,173.85, 176.70,177.00,512995,913.95
18-Aug-2011,188.10,188.80,180.00, 180.00,181.25,780782,1419.04
17-Aug-2011,187.15,190.80,184.90, 187.10,188.50,770169,1446.99
16-Aug-2011,195.00,195.00,185.30, 189.00,187.40,741821,1409.10
12-Aug-2011,197.05,197.45,187.00, 189.45,189.60,718973,1373.58
11-Aug-2011,195.30,198.80,195.00, 195.00,195.70,228520,449.99
10-Aug-2011,199.40,199.40,194.60, 198.00,196.95,268992,528.83
09-Aug-2011,185.00,193.85,183.55, 190.70,191.15,506121,961.09
08-Aug-2011,190.40,193.55,185.75, 188.25,189.00,668045,1264.97
05-Aug-2011,189.00,194.10,185.65, 194.10,192.85,482885,917.81
04-Aug-2011,199.50,201.00,194.25, 194.25,196.30,341582,675.12
03-Aug-2011,195.40,199.00,193.05, 198.95,197.85,479806,938.05
02-Aug-2011,203.90,204.95,196.90, 198.65,198.40,508914,1007.98
01-Aug-2011,203.00,206.50,200.50, 202.00,202.05,506553,1026.68
29-Jul-2011,201.50,204.05,195.50, 202.50,201.90,938326,1892.61
28-Jul-2011,210.00,211.00,200.55, 201.00,201.55,1150919,2342.02
27-Jul-2011,215.40,218.80,210.45, 212.00,212.10,534675,1138.31
26-Jul-2011,220.40,222.00,214.10, 215.10,215.40,707415,1530.65
25-Jul-2011,218.70,221.80,215.20, 220.65,220.25,1010943,2210.58
22-Jul-2011,210.90,219.30,205.70, 218.50,218.00,3350894,7212.50
21-Jul-2011,204.85,210.80,202.05, 209.30,209.15,741405,1530.17
20-Jul-2011,208.20,209.70,202.55, 203.00,203.75,417979,863.84
19-Jul-2011,210.00,211.05,205.30, 207.50,207.85,696830,1447.36
18-Jul-2011,207.00,210.50,205.00, 208.85,209.65,175136,365.21
15-Jul-2011,208.65,209.00,206.10, 207.00,206.60,333405,690.38
14-Jul-2011,205.85,209.40,204.40, 207.00,207.50,556955,1157.29
13-Jul-2011,206.65,206.65,203.55, 206.00,206.10,1058697,2175.80
12-Jul-2011,203.50,204.75,200.10, 203.75,203.50,630644,1277.30
11-Jul-2011,205.70,206.70,202.95, 204.75,205.45,408996,839.22
08-Jul-2011,209.80,211.70,203.55, 205.00,205.25,949134,1981.47
07-Jul-2011,198.30,206.45,197.30, 206.45,205.95,1661247,3379.64
06-Jul-2011,200.40,200.40,195.00, 198.20,198.30,367860,726.48
05-Jul-2011,197.60,199.70,194.55, 196.10,196.30,1038991,2031.27
04-Jul-2011,197.50,199.50,195.50, 199.10,198.55,508944,1006.99
01-Jul-2011,198.00,199.80,192.35, 195.00,195.00,1602667,3137.38
30-Jun-2011,195.00,198.00,193.70, 197.00,197.15,738478,1449.92
29-Jun-2011,198.00,198.25,194.00, 196.25,196.25,429198,841.16
28-Jun-2011,201.00,202.60,195.20, 196.10,196.75,459164,905.69
27-Jun-2011,194.30,201.50,193.05, 201.00,200.15,427241,847.19
24-Jun-2011,190.00,195.85,189.45, 194.75,195.45,324104,626.11
23-Jun-2011,188.10,190.85,186.00, 190.50,188.55,449570,843.31
22-Jun-2011,185.40,192.45,185.40, 189.10,188.70,444295,841.54
21-Jun-2011,194.40,198.00,187.90, 187.90,189.25,346972,669.77
20-Jun-2011,197.10,199.00,190.55, 193.80,194.15,370921,722.45
17-Jun-2011,199.00,200.50,195.55, 198.20,197.50,384052,759.05
16-Jun-2011,195.05,199.85,195.05, 199.15,199.00,362347,716.89
15-Jun-2011,198.70,199.35,196.15, 197.50,197.55,312055,615.26
14-Jun-2011,199.30,200.25,198.05, 199.05,199.30,315119,628.15
13-Jun-2011,200.05,200.50,195.25, 198.50,198.45,272082,537.12
10-Jun-2011,201.50,203.00,199.10, 199.65,199.50,295754,591.71
09-Jun-2011,200.90,204.05,199.05, 202.10,202.00,434655,877.92
08-Jun-2011,198.65,200.85,197.60, 200.00,200.30,408570,814.63
