Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
27-Dec-2011,70.40,70.40,70.40, 70.40,70.40,100,0.07
26-Dec-2011,68.25,68.25,67.80, 67.80,67.80,125,0.08
22-Dec-2011,65.00,65.00,65.00, 65.00,65.00,85,0.06
21-Dec-2011,61.05,66.55,61.00, 66.55,66.55,50,0.03
19-Dec-2011,59.50,63.50,59.50, 63.40,63.40,153,0.09
16-Dec-2011,63.00,66.30,60.80, 60.80,60.80,341,0.21
14-Dec-2011,62.10,67.80,62.10, 63.15,63.15,160,0.10
13-Dec-2011,64.90,65.10,64.90, 65.10,65.10,20,0.01
08-Dec-2011,67.95,68.65,67.95, 68.65,68.15,350,0.24
07-Dec-2011,60.10,65.40,60.10, 65.40,65.40,10,0.01
01-Dec-2011,62.30,62.30,62.30, 62.30,62.30,100,0.06
30-Nov-2011,65.55,65.55,65.55, 65.55,65.55,32,0.02
28-Nov-2011,65.00,69.00,65.00, 69.00,69.00,60,0.04
24-Nov-2011,67.70,67.70,67.70, 67.70,67.70,50,0.03
23-Nov-2011,76.00,76.00,71.25, 71.25,71.25,111,0.08
22-Nov-2011,70.35,75.00,70.35, 75.00,75.00,713,0.50
15-Nov-2011,74.05,74.05,74.05, 74.05,74.05,6,0.00
11-Nov-2011,77.95,77.95,77.95, 77.95,77.95,9,0.01
09-Nov-2011,76.00,76.00,76.00, 76.00,76.00,50,0.04
08-Nov-2011,77.00,79.90,77.00, 79.90,79.90,199,0.16
04-Nov-2011,73.15,80.85,73.15, 77.00,77.05,8210,6.63
03-Nov-2011,77.00,77.00,74.00, 77.00,77.00,225,0.17
02-Nov-2011,73.35,73.35,73.35, 73.35,73.35,14,0.01
01-Nov-2011,72.00,72.00,69.00, 69.00,69.85,305,0.22
31-Oct-2011,74.95,74.95,72.00, 72.00,72.00,41,0.03
28-Oct-2011,74.75,74.75,74.75, 74.75,74.75,10,0.01
26-Oct-2011,72.45,72.45,72.45, 72.45,72.45,300,0.22
24-Oct-2011,69.00,69.00,69.00, 69.00,69.00,10,0.01
20-Oct-2011,67.50,69.00,64.00, 65.25,67.10,468,0.31
19-Oct-2011,68.00,69.00,66.50, 67.00,67.05,750,0.51
18-Oct-2011,66.55,66.55,66.55, 66.55,66.55,25,0.02
17-Oct-2011,67.50,68.10,67.50, 68.10,68.10,26,0.02
14-Oct-2011,67.25,67.25,67.25, 67.25,67.25,50,0.03
13-Oct-2011,62.00,64.05,62.00, 64.05,64.05,374,0.23
12-Oct-2011,61.00,61.00,61.00, 61.00,61.00,100,0.06
11-Oct-2011,58.10,58.10,58.10, 58.10,58.10,1,0.00
07-Oct-2011,52.50,55.30,52.50, 55.30,55.30,20,0.01
27-Sep-2011,54.55,54.55,54.55, 54.55,54.55,1,0.00
26-Sep-2011,53.90,53.90,53.90, 53.90,53.90,5,0.00
23-Sep-2011,56.60,56.60,56.60, 56.60,56.60,1,0.00
19-Sep-2011,60.55,60.55,60.55, 60.55,60.55,25,0.02
16-Sep-2011,60.80,60.80,60.55, 60.55,60.55,6,0.00
15-Sep-2011,60.75,60.75,60.75, 60.75,60.75,1,0.00
14-Sep-2011,57.85,57.85,57.85, 57.85,57.85,99,0.06
13-Sep-2011,57.50,63.00,57.50, 60.90,60.90,126,0.07
12-Sep-2011,60.20,60.20,60.20, 60.20,60.20,123,0.07
09-Sep-2011,63.00,63.30,60.50, 63.30,63.30,205,0.13
08-Sep-2011,62.60,62.60,60.00, 60.30,62.60,1562,0.97
07-Sep-2011,59.85,59.85,59.00, 59.85,59.60,1250,0.75
05-Sep-2011,57.00,57.00,57.00, 57.00,57.00,534,0.30
02-Sep-2011,54.40,54.40,54.30, 54.40,54.40,448,0.24
30-Aug-2011,46.90,51.85,46.90, 51.80,51.80,117,0.06
19-Aug-2011,65.55,65.55,65.55, 65.55,65.55,333,0.22
08-Aug-2011,69.00,69.00,69.00, 69.00,69.00,215,0.15
05-Aug-2011,70.00,70.00,70.00, 70.00,70.00,125,0.09
03-Aug-2011,72.00,72.00,72.00, 72.00,72.00,20,0.01
01-Aug-2011,70.15,70.15,69.00, 69.00,69.00,1091,0.76
27-Jul-2011,66.80,66.80,66.80, 66.80,66.80,10,0.01
26-Jul-2011,70.00,70.00,70.00, 70.00,70.00,50,0.04
25-Jul-2011,67.00,67.00,67.00, 67.00,67.00,480,0.32
22-Jul-2011,68.40,68.40,68.40, 68.40,68.40,50,0.03
18-Jul-2011,72.00,72.00,72.00, 72.00,72.00,50,0.04
12-Jul-2011,74.00,74.00,74.00, 74.00,74.00,21,0.02
01-Jul-2011,71.10,71.10,71.10, 71.10,71.10,41,0.03
23-Jun-2011,73.30,73.30,73.20, 73.25,73.25,1747,1.28
22-Jun-2011,66.00,72.95,66.00, 72.95,72.95,140,0.10
20-Jun-2011,66.00,69.45,66.00, 69.45,69.45,5070,3.52
15-Jun-2011,63.00,66.10,63.00, 66.10,66.10,300,0.20
14-Jun-2011,62.90,62.95,62.90, 62.95,62.95,140,0.09
13-Jun-2011,60.00,60.00,60.00, 60.00,60.00,62,0.04
10-Jun-2011,62.45,63.00,62.45, 63.00,63.00,200,0.13
09-Jun-2011,60.00,60.00,60.00, 60.00,60.00,50,0.03
08-Jun-2011,62.00,62.00,59.85, 59.85,59.85,526,0.32
31-May-2011,60.50,63.00,60.50, 63.00,63.00,162,0.10
30-May-2011,63.60,63.60,63.60, 63.60,63.60,250,0.16
27-May-2011,56.15,61.00,56.15, 61.00,60.55,11,0.01
20-May-2011,58.10,58.10,58.10, 58.10,58.10,25,0.01
17-May-2011,61.10,61.10,61.10, 61.10,61.10,500,0.31
06-May-2011,62.00,62.00,62.00, 62.00,62.00,50,0.03
03-May-2011,60.45,64.45,60.45, 64.45,64.45,165,0.10
02-May-2011,63.45,63.45,63.45, 63.45,63.45,5,0.00
28-Apr-2011,63.40,63.40,63.40, 63.40,63.40,15,0.01
26-Apr-2011,60.40,60.40,60.40, 60.40,60.40,450,0.27
21-Apr-2011,60.35,60.40,57.50, 57.50,57.50,1590,0.96
20-Apr-2011,57.00,59.80,57.00, 57.50,57.50,895,0.51
19-Apr-2011,57.00,57.00,57.00, 57.00,57.00,500,0.28
18-Apr-2011,56.00,58.50,56.00, 57.00,57.00,575,0.33
15-Apr-2011,52.30,55.80,51.00, 55.80,55.80,78911,40.36
13-Apr-2011,53.45,53.45,53.45, 53.45,53.45,400,0.21
08-Apr-2011,54.00,54.00,50.90, 50.90,50.90,8823,4.52
07-Apr-2011,53.55,53.55,53.55, 53.55,53.55,57,0.03
05-Apr-2011,54.10,56.00,52.00, 56.00,55.75,2240,1.20
01-Apr-2011,53.95,53.95,53.95, 53.95,53.95,1,0.00
31-Mar-2011,51.50,51.50,51.50, 51.50,51.50,100,0.05
28-Mar-2011,52.10,52.10,52.10, 52.10,52.10,50,0.03
18-Mar-2011,52.55,52.55,52.55, 52.55,52.55,1,0.00
17-Mar-2011,54.15,54.15,54.15, 54.15,54.15,50,0.03
07-Mar-2011,57.00,57.00,57.00, 57.00,57.00,200,0.11
