Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,87.80,87.80,81.00, 81.00,81.00,22,0.02
29-Dec-2011,82.05,87.50,75.15, 87.45,84.25,342,0.29
28-Dec-2011,84.90,84.90,82.10, 84.90,84.90,461,0.39
26-Dec-2011,85.00,85.00,85.00, 85.00,85.00,20,0.02
22-Dec-2011,82.00,84.35,77.50, 84.00,82.95,2249,1.86
21-Dec-2011,75.10,88.00,75.10, 82.10,82.10,1004,0.86
20-Dec-2011,85.60,90.00,80.00, 80.00,80.00,314,0.26
19-Dec-2011,83.00,83.00,80.25, 81.00,81.00,113,0.09
16-Dec-2011,88.00,88.00,85.25, 85.25,85.55,621,0.54
15-Dec-2011,90.00,90.00,86.00, 86.20,86.40,375,0.33
14-Dec-2011,93.00,93.00,85.15, 89.95,89.70,827,0.74
13-Dec-2011,90.10,90.10,89.15, 89.15,89.15,111,0.10
12-Dec-2011,89.10,90.05,89.10, 90.00,90.00,140,0.13
09-Dec-2011,89.00,89.00,88.60, 88.60,88.60,25,0.02
08-Dec-2011,90.00,94.00,89.55, 89.55,89.55,53,0.05
07-Dec-2011,91.00,97.90,90.20, 90.20,90.20,629,0.57
05-Dec-2011,90.25,90.35,90.20, 90.20,90.20,498,0.45
02-Dec-2011,90.10,93.00,90.10, 90.80,90.65,587,0.53
01-Dec-2011,96.45,96.45,89.10, 90.10,90.15,219,0.20
30-Nov-2011,90.05,93.90,90.05, 93.90,93.90,1000,0.92
28-Nov-2011,90.20,90.20,90.20, 90.20,90.20,46,0.04
25-Nov-2011,90.40,90.40,90.30, 90.30,90.30,23,0.02
24-Nov-2011,90.05,90.05,87.75, 87.75,87.75,157,0.14
23-Nov-2011,90.20,90.20,89.00, 90.00,89.60,210,0.19
22-Nov-2011,90.00,91.50,90.00, 91.50,91.50,510,0.47
21-Nov-2011,90.05,90.05,88.20, 89.20,89.50,171,0.15
18-Nov-2011,88.55,90.05,87.20, 87.25,87.75,264,0.23
17-Nov-2011,90.05,90.05,90.00, 90.00,90.00,67,0.06
16-Nov-2011,92.50,93.00,89.15, 93.00,89.70,347,0.32
15-Nov-2011,90.35,95.70,90.35, 94.00,94.00,1050,0.98
14-Nov-2011,94.00,94.00,92.00, 92.00,92.45,82,0.08
11-Nov-2011,95.00,95.00,95.00, 95.00,95.00,2001,1.90
09-Nov-2011,97.95,97.95,97.95, 97.95,97.95,7,0.01
08-Nov-2011,94.25,97.45,94.00, 97.45,96.10,1545,1.48
04-Nov-2011,96.75,96.75,94.00, 94.00,94.00,110,0.10
03-Nov-2011,96.00,96.00,95.00, 95.00,95.00,560,0.53
02-Nov-2011,95.00,96.00,95.00, 96.00,96.00,2509,2.38
01-Nov-2011,92.50,94.00,92.50, 94.00,93.60,1258,1.18
31-Oct-2011,99.90,99.90,92.60, 94.00,94.00,1242,1.17
28-Oct-2011,100.00,102.00,95.00, 97.25,95.40,3304,3.21
26-Oct-2011,100.50,101.00,97.00, 99.30,100.20,232,0.23
25-Oct-2011,85.80,100.00,85.80, 97.00,96.90,7570,7.13
24-Oct-2011,90.80,90.80,86.00, 86.00,86.00,12,0.01
21-Oct-2011,85.10,88.90,85.00, 88.90,86.05,4872,4.22
20-Oct-2011,88.85,88.85,84.05, 84.10,84.10,76,0.06
19-Oct-2011,88.10,92.50,86.10, 86.10,87.50,761,0.67
18-Oct-2011,85.00,92.90,85.00, 90.00,89.95,1433,1.29
17-Oct-2011,90.00,90.00,82.10, 84.05,84.50,367,0.31
14-Oct-2011,89.10,89.10,84.95, 85.00,85.00,44,0.04
13-Oct-2011,83.65,85.00,83.00, 84.95,84.95,266,0.22
12-Oct-2011,83.00,85.00,81.50, 84.10,84.10,152,0.13
11-Oct-2011,86.00,88.95,83.05, 83.05,83.35,265,0.22
10-Oct-2011,88.70,93.00,86.00, 89.25,88.15,1156,1.03
07-Oct-2011,83.80,89.35,83.20, 86.90,86.90,87,0.08
05-Oct-2011,85.00,85.00,82.00, 82.05,83.70,128,0.11
04-Oct-2011,83.00,87.00,83.00, 87.00,87.00,200,0.17
03-Oct-2011,83.20,89.45,81.00, 81.65,81.65,1308,1.08
30-Sep-2011,89.25,89.25,83.70, 84.15,85.75,1741,1.49
29-Sep-2011,90.00,90.00,85.05, 85.05,85.05,77,0.07
28-Sep-2011,89.00,89.00,84.25, 88.95,88.55,1614,1.40
27-Sep-2011,82.50,89.80,82.50, 85.00,86.65,354,0.30
26-Sep-2011,83.55,85.00,83.30, 84.00,84.00,479,0.40
23-Sep-2011,88.00,88.00,83.55, 85.00,84.65,76,0.06
22-Sep-2011,85.20,87.90,84.20, 84.30,84.30,1193,1.03
21-Sep-2011,86.30,86.30,85.20, 85.20,85.20,1012,0.87
20-Sep-2011,86.00,90.00,84.00, 88.95,87.00,11788,10.27
19-Sep-2011,85.10,87.55,85.10, 87.55,87.55,1681,1.45
16-Sep-2011,86.15,90.00,85.10, 87.90,87.25,3771,3.29
15-Sep-2011,82.15,92.90,82.15, 88.60,85.15,2241,1.92
14-Sep-2011,75.10,85.60,75.10, 83.35,83.50,8406,7.05
13-Sep-2011,83.10,88.85,83.10, 83.25,83.65,1765,1.48
12-Sep-2011,89.00,89.00,82.60, 83.55,83.50,2797,2.39
09-Sep-2011,89.00,91.80,87.15, 87.25,87.35,2155,1.93
08-Sep-2011,87.20,92.15,87.15, 89.00,89.90,4046,3.62
07-Sep-2011,92.70,92.70,88.05, 89.80,88.60,3506,3.19
06-Sep-2011,91.40,94.00,89.10, 90.00,89.90,3301,3.00
05-Sep-2011,92.00,94.95,91.35, 94.90,92.00,4119,3.82
02-Sep-2011,87.50,102.65,82.40, 92.00,92.85,50795,48.99
30-Aug-2011,85.10,89.75,82.10, 87.85,86.10,4372,3.76
29-Aug-2011,84.50,85.10,82.00, 83.00,83.10,2809,2.38
26-Aug-2011,82.50,85.85,81.15, 85.85,85.85,1801,1.48
25-Aug-2011,82.00,83.00,80.15, 81.00,81.65,2668,2.17
24-Aug-2011,82.50,83.00,80.25, 81.40,81.50,3112,2.53
23-Aug-2011,80.10,83.00,80.05, 80.50,80.50,1737,1.41
22-Aug-2011,79.65,83.65,79.65, 80.50,81.40,2088,1.69
19-Aug-2011,83.90,84.40,80.00, 84.00,81.65,1888,1.56
18-Aug-2011,84.50,84.80,80.65, 84.80,81.90,2005,1.66
17-Aug-2011,84.30,86.20,80.25, 80.25,82.65,2151,1.82
16-Aug-2011,85.25,86.00,85.20, 85.20,85.20,1710,1.46
12-Aug-2011,84.75,85.55,84.75, 85.55,85.55,2018,1.72
11-Aug-2011,85.50,89.95,84.00, 89.95,86.05,5372,4.60
10-Aug-2011,85.40,89.25,85.00, 88.75,85.65,1735,1.53
