Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,60.00,60.00,55.00, 55.00,56.20,1922,1.10
29-Dec-2011,60.80,62.30,59.00, 60.00,60.00,7411,4.47
28-Dec-2011,60.20,63.00,60.20, 61.30,61.30,2715,1.67
27-Dec-2011,56.50,63.70,55.00, 60.25,60.25,2093,1.27
26-Dec-2011,58.00,58.00,56.35, 58.00,57.65,647,0.37
23-Dec-2011,57.80,57.80,54.80, 56.95,56.30,960,0.54
22-Dec-2011,58.00,58.75,53.80, 54.95,54.95,1471,0.83
21-Dec-2011,56.00,58.00,53.00, 54.50,54.60,1388,0.75
20-Dec-2011,54.20,56.40,54.10, 56.00,55.75,428,0.24
19-Dec-2011,52.25,61.80,52.25, 54.50,54.35,3627,2.06
16-Dec-2011,63.00,63.00,57.60, 60.00,59.15,2586,1.55
15-Dec-2011,63.00,63.25,60.15, 61.05,60.95,760,0.47
14-Dec-2011,63.95,66.75,61.20, 64.05,64.30,14763,9.61
13-Dec-2011,61.50,64.00,60.15, 61.00,61.20,2181,1.35
12-Dec-2011,65.00,67.00,62.00, 63.00,62.65,3163,2.04
09-Dec-2011,67.00,69.95,65.00, 65.10,65.40,1349,0.90
08-Dec-2011,69.50,70.00,66.80, 68.40,68.60,378,0.26
07-Dec-2011,65.05,72.90,65.00, 70.60,70.75,4450,3.14
05-Dec-2011,70.85,70.85,66.00, 66.25,66.15,532,0.36
02-Dec-2011,67.00,68.45,64.45, 68.45,68.45,103,0.07
01-Dec-2011,66.60,68.00,66.60, 67.50,67.50,227,0.15
30-Nov-2011,68.00,68.00,65.10, 67.90,66.25,2868,1.91
29-Nov-2011,68.25,69.95,66.20, 66.20,67.00,1238,0.84
28-Nov-2011,68.70,71.00,68.05, 68.95,69.20,1126,0.78
25-Nov-2011,68.95,70.00,67.15, 68.70,67.75,1007,0.69
24-Nov-2011,65.45,73.85,61.75, 67.00,67.65,5599,3.83
23-Nov-2011,65.00,68.00,62.00, 62.75,62.95,5347,3.46
22-Nov-2011,65.00,69.00,62.25, 65.50,65.75,3340,2.28
21-Nov-2011,61.55,66.80,61.50, 63.05,63.70,1676,1.07
18-Nov-2011,65.20,66.95,63.50, 63.50,64.05,4058,2.61
17-Nov-2011,66.60,68.85,65.10, 67.00,67.30,1438,0.96
16-Nov-2011,69.05,73.00,62.00, 66.60,66.05,5616,3.77
15-Nov-2011,71.95,73.00,70.00, 70.50,70.50,1116,0.80
14-Nov-2011,79.50,80.40,68.05, 69.00,70.20,26564,19.33
11-Nov-2011,83.95,83.95,75.00, 80.00,79.45,1934,1.55
09-Nov-2011,84.55,84.60,82.10, 82.10,82.70,1891,1.58
08-Nov-2011,84.50,85.70,83.85, 83.85,84.10,2251,1.90
04-Nov-2011,85.00,85.00,83.00, 83.00,83.00,4716,3.93
03-Nov-2011,82.65,85.75,82.65, 84.00,83.50,5545,4.66
02-Nov-2011,82.10,87.60,81.10, 83.55,83.90,6451,5.46
01-Nov-2011,90.35,96.35,84.90, 84.90,85.60,70765,63.61
31-Oct-2011,89.50,95.00,84.15, 87.90,87.65,26109,23.43
28-Oct-2011,85.00,89.00,84.25, 87.50,86.75,3053,2.64
26-Oct-2011,83.65,84.00,82.70, 83.95,83.35,640,0.53
25-Oct-2011,84.00,89.75,83.20, 83.50,83.70,6982,5.90
24-Oct-2011,87.00,93.00,84.20, 85.50,87.60,154,0.14
21-Oct-2011,87.00,90.00,85.55, 85.55,86.80,723,0.63
20-Oct-2011,88.00,90.80,86.60, 86.60,86.60,281,0.24
19-Oct-2011,91.00,91.90,87.00, 90.60,88.75,525,0.46
18-Oct-2011,87.90,91.45,87.50, 87.50,87.65,145,0.13
17-Oct-2011,89.00,91.50,89.00, 91.00,90.85,141,0.13
