Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,131.45,131.45,127.50, 130.00,129.60,38397,49.73
29-Dec-2011,130.50,130.50,127.50, 129.35,128.30,27286,35.27
28-Dec-2011,130.00,132.90,129.10, 129.10,129.55,52782,68.71
27-Dec-2011,132.00,134.50,129.15, 129.55,129.95,160189,210.63
26-Dec-2011,120.50,133.25,120.50, 131.00,130.75,263641,340.43
23-Dec-2011,121.95,122.70,118.25, 118.40,119.90,61357,74.24
22-Dec-2011,119.00,120.90,118.65, 119.90,119.90,22447,26.88
21-Dec-2011,120.10,122.50,118.55, 120.50,120.20,31978,38.52
20-Dec-2011,120.00,123.90,119.50, 119.55,121.80,55587,67.19
19-Dec-2011,121.00,122.85,116.55, 118.00,119.30,61980,73.90
16-Dec-2011,123.05,126.30,123.05, 123.95,123.75,33165,41.31
15-Dec-2011,124.95,124.95,122.30, 123.05,123.45,34380,42.42
14-Dec-2011,124.50,125.00,124.00, 124.50,124.20,119430,148.70
13-Dec-2011,124.00,125.40,122.80, 124.50,123.90,145983,181.41
12-Dec-2011,124.00,126.40,122.20, 124.35,123.25,151870,188.93
09-Dec-2011,123.40,124.45,123.00, 124.00,124.00,127592,157.70
08-Dec-2011,124.50,125.45,123.15, 124.00,123.95,141771,176.28
07-Dec-2011,125.05,127.20,124.20, 125.45,124.90,124187,155.62
05-Dec-2011,127.50,127.50,124.50, 125.10,125.45,42246,53.28
02-Dec-2011,124.05,128.10,122.50, 127.50,127.10,94564,118.58
01-Dec-2011,125.00,128.05,124.25, 125.65,124.55,103273,129.31
30-Nov-2011,123.40,125.35,122.35, 123.00,123.00,95036,117.58
29-Nov-2011,124.15,125.55,124.00, 124.30,124.70,58316,72.66
28-Nov-2011,126.00,126.00,124.25, 124.50,124.55,23446,29.25
25-Nov-2011,124.90,125.70,123.50, 124.30,124.00,117381,146.16
24-Nov-2011,124.50,125.95,122.00, 124.00,124.10,197999,246.24
23-Nov-2011,124.60,125.10,123.25, 125.00,123.65,167027,207.08
22-Nov-2011,124.10,126.70,123.70, 124.80,125.00,168743,210.80
21-Nov-2011,124.00,126.40,123.05, 124.65,124.30,216372,270.16
18-Nov-2011,128.05,129.00,119.60, 125.00,123.80,126917,159.46
17-Nov-2011,128.70,131.80,126.10, 126.10,127.35,209910,272.56
16-Nov-2011,128.50,131.40,126.65, 129.50,128.80,164886,212.77
15-Nov-2011,131.00,131.90,127.50, 128.00,128.25,211393,274.52
14-Nov-2011,130.90,134.50,126.20, 129.60,130.75,164039,214.60
11-Nov-2011,131.80,134.60,127.15, 128.60,128.35,196591,256.68
09-Nov-2011,127.05,135.70,123.80, 131.55,131.60,287742,374.68
08-Nov-2011,128.00,129.90,125.35, 127.40,126.85,192564,246.45
04-Nov-2011,128.75,131.40,126.20, 128.20,128.15,217418,280.66
03-Nov-2011,132.40,140.00,125.50, 127.00,127.00,542454,703.30
