Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,96.50,99.75,94.10, 96.10,94.80,84090,81.47
29-Dec-2011,96.15,96.80,95.00, 95.25,96.15,88844,85.65
28-Dec-2011,98.25,98.25,96.15, 98.00,97.05,70448,68.46
27-Dec-2011,96.50,102.30,96.05, 97.55,98.00,543004,539.70
26-Dec-2011,92.25,96.50,92.25, 96.50,95.75,119109,113.51
23-Dec-2011,94.75,95.00,92.70, 93.25,93.25,36984,34.70
22-Dec-2011,93.20,94.90,92.35, 93.40,93.65,93391,87.53
21-Dec-2011,94.50,97.70,91.30, 93.00,93.00,81433,76.32
20-Dec-2011,99.45,99.45,92.50, 94.75,93.90,137612,131.37
19-Dec-2011,90.00,97.70,86.10, 94.20,93.70,149947,139.74
16-Dec-2011,98.00,99.70,91.70, 94.50,93.40,407863,388.55
15-Dec-2011,98.00,98.00,91.10, 94.25,95.60,958488,913.19
14-Dec-2011,100.30,104.35,98.50, 99.70,100.00,134757,137.20
13-Dec-2011,110.95,110.95,100.40, 101.90,102.05,409326,426.23
12-Dec-2011,115.00,116.00,108.00, 109.00,108.85,105280,117.64
09-Dec-2011,114.95,114.95,112.10, 113.05,113.60,55280,62.87
08-Dec-2011,121.45,121.45,114.60, 115.70,115.65,111004,129.46
07-Dec-2011,119.00,121.50,117.10, 118.45,118.20,114862,136.99
05-Dec-2011,117.40,119.40,116.25, 118.60,118.10,138277,163.90
02-Dec-2011,117.75,118.30,115.25, 116.50,116.10,158809,185.13
01-Dec-2011,121.05,124.00,116.00, 116.85,116.90,225965,269.28
30-Nov-2011,124.40,130.05,115.60, 118.00,118.15,354699,419.37
29-Nov-2011,123.20,124.70,119.50, 120.25,120.55,304987,373.45
28-Nov-2011,123.00,126.50,121.50, 121.60,122.40,347933,429.17
25-Nov-2011,123.20,128.80,119.30, 120.55,121.75,773032,956.83
24-Nov-2011,122.10,130.90,113.25, 126.20,126.55,2369824,2929.43
23-Nov-2011,124.90,131.65,118.35, 123.25,122.05,3468766,4376.25
22-Nov-2011,104.70,121.00,104.50, 121.00,120.75,3429220,3942.94
21-Nov-2011,91.00,104.70,90.10, 103.50,100.80,2491543,2503.29
18-Nov-2011,109.95,112.90,88.70, 92.10,94.80,4010113,3800.36
17-Nov-2011,113.95,114.45,109.00, 110.20,110.85,271847,302.84
16-Nov-2011,113.00,114.90,110.60, 113.00,113.20,293794,334.05
15-Nov-2011,117.00,118.60,110.80, 111.15,113.55,531402,608.65
14-Nov-2011,121.00,123.05,117.10, 118.00,117.95,118670,141.70
11-Nov-2011,121.50,123.50,119.80, 120.50,120.95,484605,586.84
09-Nov-2011,123.05,125.65,121.20, 121.50,121.70,395483,484.00
08-Nov-2011,128.00,128.00,122.00, 122.80,122.80,563228,694.42
04-Nov-2011,128.00,128.50,125.55, 126.60,126.20,439970,558.85
03-Nov-2011,127.45,127.50,124.60, 126.90,126.50,188659,238.09
02-Nov-2011,126.20,129.00,125.40, 125.70,127.45,480446,614.24
01-Nov-2011,127.00,129.70,126.15, 127.90,127.45,668277,858.31
31-Oct-2011,124.45,129.20,124.40, 127.50,127.60,702706,898.13
28-Oct-2011,126.10,128.90,123.60, 125.10,124.35,371295,467.60
26-Oct-2011,124.10,127.00,124.10, 125.30,125.75,50821,63.92
25-Oct-2011,125.30,127.25,122.65, 124.05,124.00,321161,398.92
24-Oct-2011,126.75,130.90,122.55, 125.60,127.25,455279,583.74
21-Oct-2011,128.70,131.70,125.05, 126.70,126.65,234354,301.14
