Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,97.00,97.00,94.40, 95.50,95.20,35068,33.51
29-Dec-2011,92.50,96.15,92.05, 96.15,95.40,66744,63.15
28-Dec-2011,94.50,94.50,92.50, 93.00,92.95,67346,62.92
27-Dec-2011,92.25,95.00,92.25, 94.00,94.65,64362,60.53
26-Dec-2011,93.50,94.40,92.00, 92.10,92.55,10762,10.02
23-Dec-2011,95.50,95.90,91.55, 92.15,92.65,26402,24.58
22-Dec-2011,93.10,95.70,93.00, 95.00,95.00,189636,178.91
21-Dec-2011,95.20,97.00,93.30, 93.35,94.40,29206,27.89
20-Dec-2011,94.30,96.40,92.45, 96.35,94.60,197087,185.98
19-Dec-2011,93.00,99.60,90.20, 95.20,95.05,166954,158.12
16-Dec-2011,94.00,95.55,92.20, 93.95,93.30,188479,177.58
15-Dec-2011,88.25,95.00,86.10, 92.50,93.95,196077,181.49
14-Dec-2011,89.20,95.00,87.35, 90.00,89.65,419222,380.28
13-Dec-2011,89.90,92.00,87.20, 87.95,89.85,308900,277.56
12-Dec-2011,86.70,90.85,85.15, 90.50,89.90,360125,321.30
09-Dec-2011,88.05,89.65,83.15, 83.50,84.95,68864,59.64
08-Dec-2011,94.20,94.80,87.60, 88.70,89.70,145097,132.42
07-Dec-2011,95.00,100.50,92.60, 94.20,94.00,656486,638.84
05-Dec-2011,92.55,95.70,92.05, 95.00,94.85,128612,121.24
02-Dec-2011,95.00,96.25,93.00, 93.10,93.40,151672,142.70
01-Dec-2011,96.00,99.70,92.00, 94.25,95.45,1454325,1415.37
30-Nov-2011,94.15,99.20,92.25, 96.50,96.80,254966,247.24
29-Nov-2011,99.00,99.80,91.50, 96.95,95.00,406204,387.78
28-Nov-2011,87.70,100.00,85.25, 98.60,98.90,958838,906.75
25-Nov-2011,76.95,89.90,75.45, 86.10,87.05,705360,609.20
24-Nov-2011,78.00,79.15,75.25, 78.10,78.35,263975,204.47
23-Nov-2011,71.30,82.60,69.25, 76.00,78.05,1294502,1005.17
22-Nov-2011,71.00,74.40,69.10, 70.15,70.60,335465,237.15
21-Nov-2011,72.70,72.75,67.50, 68.50,69.05,140955,99.02
18-Nov-2011,133.00,144.00,106.80, 132.00,131.45,823916,1070.34
17-Nov-2011,134.00,135.55,131.10, 132.00,133.50,23146,30.95
16-Nov-2011,141.70,141.70,131.50, 131.70,133.45,41392,56.38
15-Nov-2011,140.50,145.40,138.10, 139.70,139.90,40788,57.88
14-Nov-2011,143.00,144.00,140.00, 140.00,141.10,33254,47.06
11-Nov-2011,144.00,144.00,136.50, 140.50,140.60,33536,46.79
09-Nov-2011,145.50,145.60,138.60, 141.25,140.15,20284,28.87
08-Nov-2011,141.25,148.00,141.25, 144.00,144.30,95106,138.45
04-Nov-2011,144.50,145.90,138.30, 140.45,140.95,112367,158.63
03-Nov-2011,142.00,147.00,141.00, 143.00,143.95,32643,46.89
02-Nov-2011,141.80,142.80,140.00, 141.00,141.00,528441,744.99
01-Nov-2011,145.00,148.85,142.20, 143.00,143.30,343832,498.41
31-Oct-2011,137.45,145.90,137.45, 145.80,144.90,246368,350.73
28-Oct-2011,136.05,140.00,135.10, 137.40,137.50,216702,297.85
26-Oct-2011,140.00,140.00,134.30, 135.50,135.05,2970,4.04
25-Oct-2011,135.00,135.80,132.05, 133.50,135.15,81292,109.47
24-Oct-2011,133.00,135.45,131.65, 133.85,133.60,15748,21.04
21-Oct-2011,135.00,136.75,130.15, 132.25,131.55,36826,48.81
20-Oct-2011,133.20,137.00,132.10, 134.40,135.15,26468,35.63
19-Oct-2011,133.00,134.85,132.90, 134.85,134.10,32276,43.29
18-Oct-2011,137.10,137.50,130.70, 131.00,132.30,329951,447.90
17-Oct-2011,137.80,139.40,136.00, 138.50,137.85,22567,31.16
14-Oct-2011,142.00,142.85,136.10, 136.15,137.80,56722,78.97
