Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,16.20,17.00,16.00, 16.00,16.00,14687,2.37
29-Dec-2011,17.30,17.45,16.55, 16.55,16.80,12124,2.05
28-Dec-2011,17.60,17.95,16.75, 17.20,17.10,8910,1.55
27-Dec-2011,17.05,18.15,17.05, 17.80,17.60,11798,2.10
26-Dec-2011,17.15,18.15,17.00, 17.20,17.30,14696,2.60
23-Dec-2011,17.40,17.55,17.10, 17.40,17.40,6528,1.14
22-Dec-2011,16.90,17.30,16.35, 16.45,16.75,13426,2.24
21-Dec-2011,17.00,18.00,16.80, 17.00,16.95,7042,1.21
20-Dec-2011,17.05,18.30,16.70, 17.35,17.35,6861,1.18
19-Dec-2011,18.10,18.85,17.15, 17.40,17.50,12387,2.17
16-Dec-2011,19.00,19.25,17.95, 18.15,18.05,22142,4.09
15-Dec-2011,19.35,19.80,18.90, 18.90,18.90,10062,1.91
14-Dec-2011,21.00,21.00,19.50, 19.60,19.85,16654,3.31
13-Dec-2011,22.00,22.00,20.45, 20.80,20.50,8173,1.72
12-Dec-2011,21.00,22.85,21.00, 21.80,21.50,20673,4.63
09-Dec-2011,22.70,22.80,21.20, 21.75,21.80,30915,6.79
08-Dec-2011,21.60,22.25,21.60, 22.25,22.25,20143,4.48
07-Dec-2011,20.95,21.20,20.55, 21.20,21.20,25459,5.39
05-Dec-2011,19.50,20.20,19.00, 20.20,20.20,11731,2.32
02-Dec-2011,18.95,19.25,17.65, 19.25,19.25,13938,2.64
01-Dec-2011,18.00,18.85,17.80, 18.00,18.35,5341,0.97
30-Nov-2011,17.50,18.45,17.50, 18.00,17.95,4469,0.80
29-Nov-2011,18.70,18.70,18.35, 18.35,18.40,13952,2.58
28-Nov-2011,19.00,19.80,18.65, 19.40,19.30,13548,2.65
25-Nov-2011,17.80,18.85,17.10, 18.85,18.85,32225,5.88
24-Nov-2011,18.25,18.25,17.55, 17.80,17.95,9566,1.70
23-Nov-2011,19.00,19.00,18.35, 18.50,18.45,15267,2.82
22-Nov-2011,19.00,20.00,18.40, 19.20,19.30,8713,1.67
21-Nov-2011,21.00,21.00,19.20, 19.20,19.35,10794,2.11
18-Nov-2011,20.15,21.00,19.90, 20.10,20.05,18824,3.78
17-Nov-2011,21.05,21.85,20.80, 20.90,20.95,18561,3.88
16-Nov-2011,23.00,23.40,21.90, 21.90,21.90,8864,1.95
15-Nov-2011,24.30,24.30,23.05, 23.05,23.05,20780,4.81
14-Nov-2011,25.25,25.25,24.25, 24.25,24.25,9405,2.31
11-Nov-2011,25.90,26.45,25.00, 25.00,25.50,5740,1.46
09-Nov-2011,25.35,26.20,25.35, 25.75,25.75,10427,2.67
08-Nov-2011,25.00,27.00,25.00, 26.35,26.30,5370,1.42
04-Nov-2011,26.00,26.75,24.75, 26.10,26.05,6863,1.79
03-Nov-2011,26.50,26.50,25.70, 25.80,25.90,7250,1.88
02-Nov-2011,25.25,26.40,25.25, 26.10,26.30,2716,0.71
01-Nov-2011,26.95,26.95,25.60, 26.40,26.40,5435,1.42
31-Oct-2011,26.90,26.90,26.10, 26.10,26.40,3772,1.00
28-Oct-2011,26.50,27.00,26.05, 26.95,26.65,11998,3.19
26-Oct-2011,26.45,26.70,26.00, 26.50,26.50,5130,1.36
25-Oct-2011,25.30,26.40,24.70, 26.40,25.60,2678,0.68
24-Oct-2011,25.50,26.25,25.30, 25.30,25.30,5828,1.49
21-Oct-2011,25.30,26.30,25.30, 25.60,25.80,3731,0.97
20-Oct-2011,26.00,26.45,25.20, 25.95,25.90,14662,3.74
19-Oct-2011,26.90,26.90,26.00, 26.50,26.50,17050,4.48
18-Oct-2011,27.95,27.95,26.60, 27.00,27.00,3961,1.07
17-Oct-2011,26.60,28.00,26.60, 27.55,27.55,3484,0.96
14-Oct-2011,28.60,28.60,27.05, 27.30,27.30,3564,0.98
13-Oct-2011,27.00,28.40,26.90, 27.70,27.70,2849,0.79
12-Oct-2011,27.75,28.35,27.50, 28.35,27.75,6027,1.68
11-Oct-2011,26.10,27.50,26.10, 27.50,27.40,5367,1.46
10-Oct-2011,27.05,28.05,26.40, 27.20,26.55,22087,6.00
07-Oct-2011,25.90,26.70,25.25, 26.70,26.70,7056,1.85
05-Oct-2011,26.10,26.75,25.05, 25.40,25.40,13908,3.56
04-Oct-2011,27.25,27.25,26.20, 26.20,26.20,16233,4.31
03-Oct-2011,29.00,29.00,27.55, 27.55,27.55,19044,5.25
30-Sep-2011,29.40,30.00,28.50, 29.00,29.00,12782,3.71
29-Sep-2011,29.30,29.90,28.25, 29.90,28.85,15739,4.52
28-Sep-2011,28.70,29.85,28.70, 29.65,29.10,5200,1.52
27-Sep-2011,30.50,30.50,29.35, 29.80,29.60,16264,4.85
26-Sep-2011,32.30,32.30,30.60, 30.60,30.60,17450,5.38
23-Sep-2011,34.05,34.05,30.95, 32.00,32.20,15250,4.89
22-Sep-2011,32.40,33.35,32.00, 32.20,32.40,43022,14.12
21-Sep-2011,32.05,32.50,31.00, 31.80,31.75,12005,3.82
20-Sep-2011,32.20,32.80,31.15, 31.90,32.35,17759,5.68
19-Sep-2011,31.00,32.50,30.85, 31.80,31.85,10727,3.40
16-Sep-2011,32.00,32.95,31.75, 32.10,31.95,23490,7.58
15-Sep-2011,32.75,33.90,31.80, 33.15,32.80,104391,34.39
14-Sep-2011,32.30,32.85,31.35, 32.25,31.80,41716,13.28
13-Sep-2011,33.50,33.80,31.95, 32.45,32.25,85884,28.41
12-Sep-2011,35.00,37.00,32.05, 32.85,32.70,196079,65.75
09-Sep-2011,34.55,37.70,34.30, 36.70,36.50,538554,196.46
08-Sep-2011,29.00,34.30,28.25, 34.30,34.30,459595,150.65
07-Sep-2011,27.10,28.95,27.10, 28.35,28.55,92981,26.46
06-Sep-2011,26.10,27.60,26.00, 27.60,27.40,10973,2.95
05-Sep-2011,27.45,27.45,26.00, 26.60,26.55,25940,6.86
02-Sep-2011,26.40,28.00,25.75, 27.25,27.15,60208,16.49
30-Aug-2011,25.30,26.55,25.30, 26.40,26.25,22859,5.97
29-Aug-2011,25.70,25.90,24.90, 25.45,25.35,35950,9.17
26-Aug-2011,26.00,26.75,24.80, 24.80,25.05,40922,10.52
25-Aug-2011,28.20,28.20,25.75, 27.00,26.75,126960,34.15
24-Aug-2011,24.10,28.45,23.55, 27.25,27.80,178747,48.61
23-Aug-2011,23.55,24.40,23.30, 24.15,24.10,31139,7.49
22-Aug-2011,24.05,25.00,22.80, 23.20,23.30,45316,10.66
19-Aug-2011,24.30,24.90,23.00, 24.25,23.85,52442,12.56
18-Aug-2011,27.90,27.90,25.00, 25.40,25.45,53100,13.51
17-Aug-2011,28.00,28.40,26.60, 26.95,26.75,28830,7.87
16-Aug-2011,30.50,31.45,28.00, 28.40,28.20,24961,7.16
12-Aug-2011,30.00,30.50,29.25, 29.25,29.40,27697,8.28
11-Aug-2011,30.20,30.95,29.75, 29.75,29.95,35771,10.84
10-Aug-2011,31.70,32.00,30.35, 30.55,30.50,34627,10.77
09-Aug-2011,30.00,31.00,29.25, 29.95,30.00,42710,12.88
08-Aug-2011,30.80,32.00,28.50, 30.95,30.95,80745,24.75
05-Aug-2011,32.25,32.25,31.00, 31.80,31.85,57882,18.38
04-Aug-2011,34.90,34.90,33.35, 33.35,33.75,36624,12.53
03-Aug-2011,34.15,35.00,34.10, 34.60,34.40,22890,7.85
02-Aug-2011,36.35,36.35,35.05, 35.25,35.10,28584,10.16
01-Aug-2011,36.00,37.00,36.00, 36.05,36.05,22475,8.13
29-Jul-2011,37.00,37.50,36.00, 36.00,36.10,55559,20.20
28-Jul-2011,38.00,38.25,37.05, 37.10,37.10,15560,5.85
27-Jul-2011,38.75,38.75,37.50, 37.85,37.85,9492,3.61
26-Jul-2011,38.25,38.85,37.60, 37.85,37.80,28973,11.01
25-Jul-2011,39.00,39.50,38.10, 38.25,38.50,19408,7.46
22-Jul-2011,38.70,38.95,38.10, 38.10,38.20,24630,9.48
21-Jul-2011,38.65,39.35,38.00, 38.15,38.10,22256,8.55
20-Jul-2011,39.35,39.75,38.35, 38.55,38.65,18207,7.12
19-Jul-2011,39.45,40.40,39.05, 39.15,39.30,27019,10.71
18-Jul-2011,39.00,42.80,39.00, 39.55,39.45,110677,44.73
15-Jul-2011,40.00,40.90,39.65, 39.65,39.80,18192,7.26
14-Jul-2011,40.80,40.80,39.50, 40.10,40.35,13093,5.29
13-Jul-2011,39.60,40.85,39.60, 40.20,40.00,29212,11.75
12-Jul-2011,40.15,41.00,39.50, 39.50,39.80,19912,7.97
11-Jul-2011,42.00,42.00,40.90, 41.00,41.10,18978,7.85
08-Jul-2011,42.45,42.70,41.25, 41.40,41.45,30360,12.80
07-Jul-2011,41.10,43.70,41.00, 42.30,42.35,88813,37.93
06-Jul-2011,41.50,41.50,40.55, 40.95,40.90,15253,6.26
05-Jul-2011,41.70,41.90,40.85, 41.25,41.25,27748,11.47
04-Jul-2011,42.20,42.20,41.00, 41.40,41.25,38738,16.02
01-Jul-2011,42.30,43.50,41.00, 41.70,41.30,30110,12.63
30-Jun-2011,43.40,43.90,42.00, 42.25,42.25,51453,22.07
29-Jun-2011,43.50,44.00,42.25, 42.30,42.50,57598,24.70
28-Jun-2011,42.00,44.10,40.55, 43.20,43.05,256827,111.00
27-Jun-2011,36.45,40.05,36.45, 40.05,40.05,113208,44.87
24-Jun-2011,37.15,37.15,35.50, 36.65,36.40,59349,21.53
23-Jun-2011,37.00,38.20,36.15, 36.50,36.40,18947,6.97
22-Jun-2011,37.85,38.50,37.05, 37.30,37.40,19453,7.31
21-Jun-2011,38.10,39.15,37.40, 37.80,38.05,26740,10.26
20-Jun-2011,40.40,40.40,37.05, 38.00,38.15,42150,16.20
17-Jun-2011,40.10,40.30,39.35, 39.75,39.70,30558,12.19
16-Jun-2011,41.30,41.50,40.20, 40.30,40.45,42537,17.33
15-Jun-2011,42.75,42.75,41.20, 41.25,41.45,21803,9.09
14-Jun-2011,42.95,42.95,41.15, 41.75,41.85,48823,20.52
13-Jun-2011,42.25,43.40,41.80, 42.50,42.50,117025,49.79
10-Jun-2011,42.50,43.00,41.55, 41.70,41.75,123688,52.27
09-Jun-2011,41.50,42.00,40.50, 41.60,41.25,47689,19.69
08-Jun-2011,41.70,42.35,40.75, 41.10,40.95,33942,14.05
07-Jun-2011,40.45,43.20,39.75, 41.60,41.35,148750,62.48
