Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,32.10,32.65,31.50, 32.05,32.05,12232,3.94
29-Dec-2011,32.80,33.25,32.25, 32.90,32.60,4731,1.55
28-Dec-2011,32.25,33.00,32.10, 32.90,32.55,11330,3.66
27-Dec-2011,33.90,33.90,32.10, 32.75,32.45,4665,1.53
26-Dec-2011,32.15,33.20,30.25, 33.20,32.80,28685,9.18
23-Dec-2011,31.30,31.30,29.75, 30.25,30.20,2704,0.83
22-Dec-2011,29.00,31.20,28.60, 30.50,30.35,2781,0.83
21-Dec-2011,31.00,31.00,29.25, 30.15,29.75,6710,1.99
20-Dec-2011,28.60,31.40,28.15, 29.10,29.15,8708,2.53
19-Dec-2011,29.50,29.85,28.00, 28.55,28.75,16840,4.84
16-Dec-2011,33.00,33.60,29.65, 29.85,30.35,13441,4.14
15-Dec-2011,33.90,33.95,31.10, 32.65,32.85,9603,3.15
14-Dec-2011,33.05,34.00,33.05, 33.30,33.40,10604,3.57
13-Dec-2011,33.10,34.40,33.10, 33.50,33.55,9720,3.28
12-Dec-2011,34.40,34.40,32.75, 33.75,33.80,37534,12.62
09-Dec-2011,35.00,35.00,32.50, 33.70,33.40,18908,6.36
08-Dec-2011,35.10,35.95,33.20, 34.50,34.20,28498,9.79
07-Dec-2011,36.20,36.60,34.60, 35.40,35.60,75689,26.79
05-Dec-2011,40.00,40.90,34.80, 36.25,36.20,123359,45.78
02-Dec-2011,39.95,43.20,38.60, 41.00,41.00,881646,365.85
01-Dec-2011,45.25,45.25,37.00, 38.15,38.45,99248,39.27
30-Nov-2011,34.00,38.55,34.00, 38.55,38.55,93910,35.86
29-Nov-2011,32.75,33.20,32.10, 32.10,32.15,2625,0.84
28-Nov-2011,32.00,33.00,31.80, 32.95,32.50,19550,6.30
25-Nov-2011,32.90,32.90,30.50, 31.80,31.75,8523,2.72
24-Nov-2011,32.75,32.75,26.05, 30.00,30.20,91802,26.88
23-Nov-2011,33.10,34.50,31.95, 33.70,32.50,7296,2.40
22-Nov-2011,33.00,38.00,32.20, 34.10,34.15,4748,1.66
21-Nov-2011,34.45,35.50,31.00, 34.00,34.00,4764,1.61
18-Nov-2011,36.10,36.10,34.50, 35.30,35.30,5573,1.94
17-Nov-2011,37.40,37.40,36.10, 36.75,36.45,3403,1.24
16-Nov-2011,37.10,38.80,35.80, 36.00,36.10,2267,0.82
15-Nov-2011,40.95,40.95,36.75, 36.85,37.00,4036,1.51
14-Nov-2011,40.00,40.00,38.20, 38.85,38.85,6112,2.37
11-Nov-2011,40.00,41.55,39.15, 40.50,40.50,19833,7.97
09-Nov-2011,39.50,40.45,39.00, 40.45,39.45,932,0.37
08-Nov-2011,40.50,40.50,38.80, 40.00,39.95,807,0.32
04-Nov-2011,39.00,40.00,39.00, 40.00,39.90,2211,0.87
03-Nov-2011,38.30,39.75,38.15, 39.75,39.65,2738,1.06
02-Nov-2011,39.70,40.75,38.50, 38.70,38.80,26474,10.33
01-Nov-2011,40.90,40.90,39.70, 40.25,40.05,1377,0.55
31-Oct-2011,39.50,40.90,39.20, 40.15,40.15,17298,6.89
28-Oct-2011,38.50,41.15,38.15, 41.10,40.05,5584,2.20
26-Oct-2011,39.00,39.25,38.00, 38.75,38.50,850,0.33
25-Oct-2011,38.25,39.25,37.50, 39.00,38.90,3143,1.21
24-Oct-2011,37.15,38.75,37.15, 38.75,38.30,5110,1.95
21-Oct-2011,37.00,38.25,36.50, 37.40,38.00,3051,1.15
20-Oct-2011,36.90,38.20,36.60, 37.95,37.85,4843,1.83
19-Oct-2011,36.00,38.90,34.55, 37.85,37.55,4152,1.55
18-Oct-2011,37.75,38.45,36.75, 37.45,36.95,1627,0.61
17-Oct-2011,37.50,39.20,37.15, 37.30,37.70,3255,1.24
14-Oct-2011,38.75,39.20,37.50, 37.50,38.25,2260,0.87
13-Oct-2011,38.00,38.85,37.05, 38.85,38.70,5863,2.22
12-Oct-2011,37.75,38.65,36.85, 38.50,38.45,3215,1.22
11-Oct-2011,37.00,38.75,36.50, 37.30,37.55,3443,1.31
10-Oct-2011,36.50,38.95,36.00, 37.95,37.40,1301,0.49
07-Oct-2011,36.50,37.45,35.95, 37.25,37.25,4497,1.65
05-Oct-2011,37.50,38.40,35.05, 35.05,35.30,34725,12.63
04-Oct-2011,38.85,39.45,37.55, 37.90,38.20,6750,2.60
03-Oct-2011,39.00,39.85,38.00, 39.10,39.10,8624,3.31
30-Sep-2011,39.00,39.90,38.20, 39.90,39.75,20402,7.91
29-Sep-2011,38.00,39.85,37.50, 39.85,39.70,28389,11.20
28-Sep-2011,39.00,40.00,38.30, 38.30,38.75,2138,0.83
27-Sep-2011,38.00,40.00,37.00, 39.20,39.25,1892,0.74
26-Sep-2011,38.00,39.00,37.30, 38.10,38.25,2265,0.87
23-Sep-2011,39.00,45.00,37.20, 38.45,38.60,10169,3.92
22-Sep-2011,40.50,40.95,39.15, 39.95,39.75,9227,3.67
21-Sep-2011,40.45,42.35,40.45, 41.05,41.10,5133,2.14
20-Sep-2011,40.20,42.45,40.20, 41.20,41.20,12762,5.29
19-Sep-2011,39.25,40.60,39.25, 40.55,40.20,3100,1.24
16-Sep-2011,40.10,41.10,39.55, 40.35,40.20,4485,1.80
15-Sep-2011,44.95,44.95,39.55, 40.65,40.40,4317,1.73
14-Sep-2011,37.55,41.25,37.55, 41.00,40.75,4473,1.82
13-Sep-2011,40.65,40.95,40.00, 40.20,40.20,6410,2.59
12-Sep-2011,40.10,41.80,39.15, 40.10,40.10,2781,1.11
09-Sep-2011,43.25,43.25,40.50, 40.60,41.05,6162,2.58
08-Sep-2011,42.80,43.40,41.05, 42.20,42.85,8339,3.57
07-Sep-2011,40.45,43.25,39.65, 43.00,42.90,19178,8.15
06-Sep-2011,39.10,40.85,39.10, 39.45,39.65,7643,3.06
05-Sep-2011,39.00,40.25,39.00, 40.00,40.15,7493,2.99
02-Sep-2011,39.50,40.00,38.15, 39.00,38.85,4280,1.67
30-Aug-2011,39.00,39.50,37.15, 38.45,38.85,6181,2.40
29-Aug-2011,35.35,38.00,35.35, 37.90,37.65,3888,1.44
26-Aug-2011,37.00,38.15,35.60, 36.80,36.65,10649,3.97
25-Aug-2011,35.15,39.90,35.15, 37.75,37.50,6477,2.42
24-Aug-2011,37.15,37.15,36.00, 36.75,36.40,4614,1.68
23-Aug-2011,34.10,38.00,34.10, 36.40,36.90,8134,2.94
22-Aug-2011,33.20,40.00,33.20, 35.30,35.30,2728,0.98
19-Aug-2011,34.05,35.15,33.00, 34.05,34.50,12791,4.36
18-Aug-2011,36.10,36.95,35.10, 35.25,35.40,21647,7.75
17-Aug-2011,36.00,38.75,35.00, 35.55,36.05,13340,4.87
16-Aug-2011,38.25,40.80,37.50, 38.05,37.65,10758,4.25
12-Aug-2011,40.00,40.35,38.00, 39.45,39.05,8147,3.21
11-Aug-2011,38.50,40.25,38.10, 39.80,39.50,14794,5.77
10-Aug-2011,37.50,39.50,37.50, 38.55,38.55,3689,1.44
09-Aug-2011,37.00,39.90,34.95, 37.90,37.55,15443,5.86
08-Aug-2011,37.00,41.55,32.35, 39.00,39.75,38273,14.63
05-Aug-2011,38.15,38.75,36.00, 37.75,38.10,15049,5.63
04-Aug-2011,41.35,41.35,39.00, 39.40,39.15,3288,1.30
03-Aug-2011,40.10,40.95,38.10, 40.40,40.40,3281,1.30
02-Aug-2011,40.25,41.50,39.55, 39.55,40.35,4843,1.97
01-Aug-2011,41.20,41.95,40.15, 41.10,40.90,4582,1.87
29-Jul-2011,41.50,42.50,41.15, 41.25,41.40,2652,1.10
28-Jul-2011,42.00,42.55,41.30, 41.30,41.40,4756,1.98
27-Jul-2011,42.35,43.40,42.35, 43.10,42.75,4609,1.97
26-Jul-2011,43.40,44.25,43.00, 43.00,43.05,4751,2.07
25-Jul-2011,43.30,44.00,43.05, 43.35,43.35,2247,0.97
22-Jul-2011,42.60,44.80,42.60, 43.05,43.10,22065,9.49
21-Jul-2011,41.55,43.95,41.55, 42.70,42.65,3895,1.65
20-Jul-2011,42.30,43.50,42.25, 43.00,42.90,5359,2.29
19-Jul-2011,42.50,43.90,41.05, 43.50,43.20,4972,2.13
18-Jul-2011,42.55,43.50,42.45, 43.30,42.95,951,0.41
15-Jul-2011,42.00,44.25,41.50, 42.65,42.75,3060,1.31
14-Jul-2011,43.95,44.40,41.55, 43.10,43.15,3458,1.50
13-Jul-2011,41.20,43.00,41.10, 42.45,42.45,1350,0.57
12-Jul-2011,42.50,42.85,41.20, 41.85,41.80,1653,0.69
11-Jul-2011,42.25,43.75,41.80, 43.00,43.10,7327,3.18
08-Jul-2011,43.10,44.15,41.10, 43.25,43.30,9880,4.29
07-Jul-2011,42.00,43.20,40.65, 42.95,42.95,3485,1.49
06-Jul-2011,42.50,43.15,42.50, 42.80,42.95,3432,1.47
05-Jul-2011,43.90,43.90,42.00, 42.10,42.25,5363,2.28
04-Jul-2011,41.50,43.30,40.35, 42.80,42.75,11281,4.82
01-Jul-2011,41.60,42.55,41.50, 42.40,41.85,5179,2.17
30-Jun-2011,42.50,42.65,41.00, 42.40,42.25,3231,1.36
29-Jun-2011,41.40,41.85,41.00, 41.70,41.35,5500,2.27
28-Jun-2011,44.40,44.40,40.55, 41.35,41.10,7655,3.14
27-Jun-2011,38.65,41.90,38.65, 41.90,41.80,4645,1.92
24-Jun-2011,39.05,41.35,39.05, 41.05,41.05,12426,5.05
23-Jun-2011,40.50,40.50,38.05, 39.30,39.50,5100,2.02
22-Jun-2011,42.00,42.00,39.00, 39.00,39.90,36164,14.60
21-Jun-2011,42.80,42.80,39.15, 40.30,40.40,4304,1.73
20-Jun-2011,42.20,42.20,40.00, 40.00,40.30,8875,3.61
17-Jun-2011,43.95,43.95,42.15, 42.70,42.40,2223,0.94
16-Jun-2011,42.30,43.00,42.20, 42.25,42.25,1824,0.78
15-Jun-2011,42.35,43.25,42.35, 43.00,42.90,3067,1.31
14-Jun-2011,43.35,43.70,42.90, 42.90,43.00,5923,2.56
13-Jun-2011,42.10,43.85,40.70, 43.85,43.15,8728,3.71
10-Jun-2011,41.80,43.00,41.65, 42.20,42.10,6540,2.76
09-Jun-2011,42.25,42.70,41.50, 42.15,42.15,2588,1.09
08-Jun-2011,42.10,43.25,41.65, 42.10,42.10,6768,2.84
07-Jun-2011,43.95,43.95,41.85, 41.95,42.25,2395,1.02
06-Jun-2011,42.85,42.85,42.15, 42.15,42.20,1026,0.43
03-Jun-2011,44.50,44.80,41.80, 41.95,42.00,12612,5.37
