Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,543.55,571.80,543.55, 562.90,565.20,513219,2891.73
29-Dec-2011,562.80,565.50,542.10, 543.00,546.80,506817,2799.12
28-Dec-2011,600.20,605.00,560.00, 560.20,566.10,667206,3852.14
27-Dec-2011,598.10,618.85,596.35, 599.95,602.10,939413,5727.72
26-Dec-2011,573.00,612.00,565.00, 611.00,598.10,771087,4545.74
23-Dec-2011,540.00,577.65,523.10, 565.15,567.85,788499,4401.78
22-Dec-2011,517.00,532.00,512.60, 525.40,526.45,178397,933.12
21-Dec-2011,539.90,544.80,518.10, 521.00,524.15,158230,832.51
20-Dec-2011,528.00,545.00,515.50, 523.50,522.80,420493,2218.58
19-Dec-2011,532.00,547.00,507.00, 536.00,526.80,863706,4596.21
16-Dec-2011,493.85,546.00,490.00, 525.00,531.85,2067595,10882.27
15-Dec-2011,555.00,555.05,452.10, 484.50,480.35,624383,3137.89
14-Dec-2011,573.00,586.20,552.30, 557.00,556.85,356518,2030.53
13-Dec-2011,620.00,629.90,565.20, 574.00,573.45,631675,3749.03
12-Dec-2011,630.00,660.00,620.20, 626.40,623.30,242651,1531.25
09-Dec-2011,630.00,651.50,620.20, 631.00,627.05,406674,2592.58
08-Dec-2011,660.55,685.00,622.20, 631.00,631.80,1723428,11544.02
07-Dec-2011,668.00,693.35,645.50, 665.05,667.85,600149,4027.42
05-Dec-2011,668.00,718.00,658.05, 662.00,667.00,1241858,8633.27
02-Dec-2011,611.15,709.95,611.15, 675.00,668.60,699903,4679.48
01-Dec-2011,614.40,621.95,602.00, 603.60,607.85,41594,253.36
30-Nov-2011,604.85,618.00,604.85, 610.00,609.90,46544,284.27
29-Nov-2011,624.65,624.65,599.00, 604.80,602.30,36787,225.90
28-Nov-2011,621.15,635.70,620.00, 625.20,623.40,67554,423.71
25-Nov-2011,608.85,633.90,591.40, 618.00,616.80,146859,909.65
24-Nov-2011,573.30,610.10,567.35, 610.10,602.20,167191,983.66
23-Nov-2011,560.05,574.00,553.10, 568.00,569.50,73302,415.45
22-Nov-2011,545.95,611.80,541.10, 559.60,559.30,61265,341.17
21-Nov-2011,526.00,546.00,526.00, 544.30,536.65,28735,154.18
18-Nov-2011,536.00,538.95,523.00, 538.95,532.55,31235,165.75
