Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,60.05,60.70,58.70, 58.75,59.10,784626,468.94
29-Dec-2011,59.80,60.55,59.15, 60.00,59.75,1673075,1000.58
28-Dec-2011,60.70,62.45,59.55, 59.80,60.20,1103340,665.73
27-Dec-2011,60.40,61.00,59.15, 60.80,60.75,1387559,837.08
26-Dec-2011,59.65,61.35,59.45, 60.00,60.25,1569202,945.81
23-Dec-2011,59.90,61.00,58.10, 60.95,60.45,2261641,1350.93
22-Dec-2011,57.00,59.95,54.25, 59.55,59.20,5329829,3020.95
21-Dec-2011,58.70,59.25,54.50, 55.40,55.50,5399002,3031.65
20-Dec-2011,61.45,62.70,56.80, 57.35,57.20,5427978,3252.48
19-Dec-2011,60.25,62.60,58.95, 61.75,61.45,1983841,1199.95
16-Dec-2011,63.15,64.40,59.50, 60.30,60.85,2592166,1610.66
15-Dec-2011,61.15,63.85,59.45, 63.55,63.45,1370054,847.72
14-Dec-2011,59.80,62.50,59.65, 61.25,61.15,2097216,1289.78
13-Dec-2011,59.55,61.00,58.15, 60.50,60.25,2663374,1590.29
12-Dec-2011,66.00,66.40,59.60, 60.55,60.90,1549749,978.34
09-Dec-2011,63.80,65.80,63.10, 65.30,65.40,1065115,687.12
08-Dec-2011,66.40,66.95,64.60, 64.60,65.15,1674993,1106.18
07-Dec-2011,66.80,67.45,65.50, 66.70,66.45,1819970,1211.46
05-Dec-2011,65.60,67.75,65.40, 66.15,65.80,1848112,1228.45
02-Dec-2011,66.20,66.70,64.55, 66.30,66.30,1912622,1256.24
01-Dec-2011,67.10,68.80,64.85, 65.25,65.75,2044688,1360.31
30-Nov-2011,64.95,66.50,63.65, 66.30,66.05,1442517,944.50
29-Nov-2011,65.40,66.50,63.80, 65.00,64.95,2121372,1387.16
28-Nov-2011,64.60,66.05,63.60, 64.55,64.65,3023524,1963.38
25-Nov-2011,64.60,65.60,62.50, 63.40,63.25,1697635,1083.82
24-Nov-2011,60.55,66.00,60.10, 65.50,64.60,2925198,1835.05
23-Nov-2011,60.90,62.65,60.25, 60.75,60.90,1705165,1048.16
22-Nov-2011,61.00,63.50,59.80, 60.90,61.40,1776848,1096.67
21-Nov-2011,60.50,61.80,59.00, 60.05,60.00,1091973,663.10
18-Nov-2011,59.30,61.75,57.35, 61.00,60.30,1210045,714.46
17-Nov-2011,60.25,60.85,58.65, 59.20,59.65,1477768,882.74
16-Nov-2011,60.95,61.70,58.80, 60.70,60.25,1148527,689.90
15-Nov-2011,61.60,62.90,60.20, 60.70,61.00,2808487,1741.82
14-Nov-2011,61.40,62.30,60.50, 61.90,61.60,2798201,1720.84
11-Nov-2011,59.85,62.40,58.90, 61.30,61.25,4113374,2519.31
09-Nov-2011,61.20,62.20,59.00, 59.30,59.35,7305156,4465.59
08-Nov-2011,57.00,60.35,56.10, 60.15,59.85,3117251,1819.81
04-Nov-2011,55.90,57.00,55.90, 56.90,56.85,713804,403.57
03-Nov-2011,55.35,56.00,54.70, 55.80,55.40,889128,491.92
02-Nov-2011,55.90,57.05,55.10, 55.20,55.40,1237552,694.99
01-Nov-2011,57.50,57.50,56.20, 56.45,56.50,760588,431.68
31-Oct-2011,57.25,58.30,56.40, 57.70,57.60,1386955,798.59
28-Oct-2011,56.50,58.25,56.00, 57.00,57.05,2723615,1552.22
26-Oct-2011,56.90,57.00,55.45, 55.70,55.70,277463,154.97
25-Oct-2011,54.50,56.30,53.65, 56.00,56.05,1781475,977.01
24-Oct-2011,54.60,55.30,53.60, 54.30,54.20,1030400,561.67
21-Oct-2011,53.25,55.70,53.15, 53.85,53.90,3447869,1885.61
20-Oct-2011,54.10,54.20,52.00, 53.45,53.20,3858669,2024.42
19-Oct-2011,54.85,55.40,54.10, 54.10,54.50,1083348,593.53
18-Oct-2011,54.95,55.30,53.80, 54.45,54.40,1556313,844.64
17-Oct-2011,57.20,57.20,55.50, 55.75,55.75,1055626,591.35
14-Oct-2011,56.90,57.75,56.10, 56.65,56.60,1322859,752.82
13-Oct-2011,58.60,59.50,57.00, 57.00,57.30,1248635,728.91
12-Oct-2011,56.90,58.90,56.90, 58.25,58.45,1295735,752.72
11-Oct-2011,57.80,57.80,56.10, 57.30,57.10,1625527,928.48
10-Oct-2011,54.75,56.65,54.05, 56.55,56.45,1412200,787.73
07-Oct-2011,54.10,55.40,53.80, 54.55,54.60,1131667,616.57
05-Oct-2011,52.25,53.65,52.10, 53.15,52.85,1255046,661.26
04-Oct-2011,53.00,54.25,51.70, 51.90,51.90,1291608,682.56
03-Oct-2011,54.20,55.00,51.90, 53.00,53.25,3591832,1896.55
30-Sep-2011,55.50,56.70,55.05, 55.35,55.25,985399,548.40
29-Sep-2011,55.20,56.65,54.20, 55.70,56.05,2020578,1122.15
28-Sep-2011,57.55,58.45,55.30, 55.75,55.65,1274185,722.85
27-Sep-2011,60.00,60.00,56.20, 57.45,57.15,2259313,1286.71
26-Sep-2011,57.80,58.35,55.50, 55.65,56.35,837611,476.33
23-Sep-2011,57.85,58.90,55.90, 58.75,58.05,1553880,893.76
22-Sep-2011,59.50,60.00,57.85, 58.00,58.65,2152168,1266.15
21-Sep-2011,59.60,61.25,58.95, 60.40,60.35,1840823,1112.10
20-Sep-2011,59.05,60.50,58.75, 59.50,59.55,1277605,762.11
19-Sep-2011,58.50,60.65,58.25, 60.05,60.15,1157430,691.21
16-Sep-2011,60.50,60.85,58.50, 58.80,58.80,1041860,619.80
15-Sep-2011,61.50,62.95,59.50, 59.75,60.00,1706325,1033.20
14-Sep-2011,58.60,60.40,58.15, 59.55,59.20,1949454,1158.01
13-Sep-2011,58.20,60.00,58.00, 58.15,58.35,885465,521.49
12-Sep-2011,59.20,59.40,57.50, 57.75,57.90,1288991,752.31
09-Sep-2011,62.75,63.30,59.95, 60.15,60.15,1571938,960.65
08-Sep-2011,63.00,63.45,61.50, 62.40,62.25,1447143,901.47
07-Sep-2011,63.35,63.70,62.25, 63.00,62.95,1464811,924.76
06-Sep-2011,61.00,63.50,59.85, 63.20,63.00,2758219,1701.51
05-Sep-2011,58.75,61.95,58.15, 61.55,61.40,3092307,1859.51
02-Sep-2011,59.40,60.60,58.05, 59.50,59.80,2661337,1576.42
30-Aug-2011,56.50,59.90,55.25, 59.80,59.15,6450955,3700.92
29-Aug-2011,54.20,56.95,53.90, 56.10,56.30,3396307,1897.72
26-Aug-2011,55.30,56.45,52.40, 54.15,53.95,3396314,1851.01
25-Aug-2011,57.35,58.00,55.20, 55.25,55.65,2719363,1532.05
24-Aug-2011,57.85,58.90,56.15, 56.80,56.75,3420634,1970.60
23-Aug-2011,54.75,58.25,53.40, 57.60,57.65,5597594,3173.17
22-Aug-2011,55.00,55.60,51.65, 54.90,54.65,6746004,3632.88
19-Aug-2011,53.50,55.95,50.80, 52.90,52.90,8522854,4517.09
18-Aug-2011,59.00,60.35,56.00, 56.25,56.75,4800227,2764.45
17-Aug-2011,56.50,59.35,54.40, 58.95,58.65,6019561,3394.34
16-Aug-2011,62.50,63.30,55.60, 55.80,56.30,6958801,4026.68
12-Aug-2011,67.50,67.80,60.80, 61.75,62.05,7973147,5028.79
11-Aug-2011,71.20,71.30,66.30, 66.50,67.20,5779989,3927.15
