Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,137.00,138.50,135.00, 135.00,136.80,75,0.10
29-Dec-2011,135.00,138.00,135.00, 136.00,135.80,786,1.06
28-Dec-2011,142.90,142.90,136.50, 136.50,139.75,831,1.17
27-Dec-2011,140.00,145.00,140.00, 143.90,143.45,1071,1.54
26-Dec-2011,136.00,142.00,136.00, 142.00,140.20,623,0.86
23-Dec-2011,140.00,141.00,135.00, 135.00,135.10,1178,1.62
22-Dec-2011,130.00,136.50,130.00, 135.05,136.20,2652,3.59
21-Dec-2011,135.45,135.50,128.15, 130.50,132.00,284,0.38
20-Dec-2011,133.00,133.00,128.00, 128.00,129.40,705,0.92
19-Dec-2011,135.00,139.00,131.05, 131.35,132.10,4409,5.86
16-Dec-2011,149.95,149.95,133.00, 133.00,135.15,873,1.18
15-Dec-2011,138.00,138.00,136.10, 136.10,136.15,1930,2.66
14-Dec-2011,144.90,144.90,138.00, 140.00,140.00,3850,5.39
13-Dec-2011,142.00,144.80,141.05, 143.45,142.00,1414,2.01
12-Dec-2011,147.10,147.10,138.50, 144.00,144.45,2786,4.02
09-Dec-2011,146.00,150.00,146.00, 149.90,149.85,2645,3.95
08-Dec-2011,152.95,152.95,139.00, 144.00,144.05,430,0.62
07-Dec-2011,149.75,150.00,145.10, 146.25,146.25,317,0.47
05-Dec-2011,150.00,150.00,146.95, 149.75,149.40,201,0.30
02-Dec-2011,144.20,150.00,144.20, 149.95,149.95,93170,139.75
01-Dec-2011,155.00,155.00,149.50, 150.00,150.00,3021,4.53
30-Nov-2011,151.25,154.50,148.00, 149.50,151.55,993,1.50
29-Nov-2011,159.70,159.70,152.30, 154.95,153.70,1106,1.71
28-Nov-2011,161.95,175.40,152.50, 155.60,158.90,856,1.38
25-Nov-2011,153.00,161.00,151.05, 151.10,154.80,3387,5.27
24-Nov-2011,156.75,157.00,154.00, 154.00,154.00,142,0.22
23-Nov-2011,154.05,156.90,153.00, 156.90,156.90,50621,77.47
22-Nov-2011,160.90,160.90,152.25, 156.80,156.80,1410,2.18
21-Nov-2011,152.50,158.00,152.05, 155.05,155.90,1797,2.77
18-Nov-2011,153.40,163.30,151.50, 163.30,160.80,4272,6.62
17-Nov-2011,155.00,162.80,154.00, 156.00,157.70,3085,4.84
16-Nov-2011,160.00,160.00,149.05, 159.50,155.10,6873,10.47
15-Nov-2011,166.35,167.50,160.00, 164.50,163.85,623,1.02
14-Nov-2011,169.50,178.40,140.10, 156.05,164.15,7799,12.79
11-Nov-2011,165.00,166.00,160.00, 165.00,163.70,2190,3.54
09-Nov-2011,161.40,174.00,157.05, 169.95,166.75,3845,6.35
08-Nov-2011,170.35,173.00,163.10, 164.50,166.15,3648,6.09
04-Nov-2011,163.00,185.00,156.10, 171.00,176.45,13174,23.01
03-Nov-2011,154.50,168.40,152.00, 165.00,163.00,7696,12.44
02-Nov-2011,144.00,159.00,143.25, 159.00,154.10,6175,9.29
01-Nov-2011,141.10,145.50,140.00, 145.50,144.35,1665,2.39
31-Oct-2011,141.65,142.00,140.50, 140.50,141.80,94,0.13
28-Oct-2011,146.50,147.20,141.60, 146.00,145.90,1724,2.51
26-Oct-2011,151.00,151.00,151.00, 151.00,151.00,4,0.01
25-Oct-2011,138.65,148.95,138.65, 148.95,147.85,1300,1.92
24-Oct-2011,144.40,149.00,140.10, 148.00,147.55,1777,2.60
21-Oct-2011,148.50,148.50,140.00, 145.00,144.40,3372,4.83
20-Oct-2011,140.05,145.00,140.05, 145.00,144.35,1628,2.33
19-Oct-2011,136.45,146.40,136.45, 146.00,145.40,2283,3.28
18-Oct-2011,140.10,142.00,135.95, 141.00,141.15,2132,2.96
17-Oct-2011,145.00,145.00,140.00, 145.00,144.60,547,0.78
14-Oct-2011,145.30,148.00,137.50, 145.00,145.00,1790,2.57
13-Oct-2011,133.50,140.00,133.50, 140.00,139.00,1759,2.43
12-Oct-2011,133.00,139.80,130.70, 139.80,137.70,370,0.50
11-Oct-2011,135.00,139.50,133.00, 139.50,137.85,1437,1.95
10-Oct-2011,139.00,140.00,135.00, 135.25,137.30,1146,1.57
07-Oct-2011,135.00,139.00,126.70, 135.00,135.05,2514,3.39
05-Oct-2011,130.00,137.90,130.00, 135.00,135.00,481,0.64
04-Oct-2011,139.50,140.00,135.00, 137.90,136.05,890,1.21
03-Oct-2011,135.00,146.95,123.00, 135.50,135.50,392,0.53
30-Sep-2011,141.00,142.00,138.00, 140.00,140.00,1750,2.45
29-Sep-2011,140.00,141.85,140.00, 140.10,140.10,1346,1.88
28-Sep-2011,138.05,142.00,138.05, 142.00,141.70,3140,4.44
27-Sep-2011,142.80,142.80,137.00, 140.00,140.00,7060,9.88
26-Sep-2011,147.50,147.50,135.00, 140.00,137.45,3493,4.85
23-Sep-2011,148.00,150.00,141.95, 142.35,142.85,4100,5.88
22-Sep-2011,150.00,152.50,146.15, 150.00,148.95,6340,9.47
21-Sep-2011,151.00,154.00,150.05, 150.35,151.45,4276,6.53
20-Sep-2011,145.20,152.90,145.20, 152.00,151.15,2418,3.64
19-Sep-2011,149.90,150.00,148.00, 149.00,148.55,451,0.67
16-Sep-2011,150.00,150.90,144.00, 144.10,146.10,2536,3.77
15-Sep-2011,148.90,151.50,143.00, 145.00,146.30,205,0.30
14-Sep-2011,147.50,152.00,141.30, 152.00,148.20,1695,2.49
13-Sep-2011,150.00,150.00,140.00, 142.00,145.95,1361,1.98
12-Sep-2011,143.00,147.00,141.00, 147.00,147.00,290,0.41
09-Sep-2011,152.30,152.50,143.00, 143.00,143.05,451,0.66
08-Sep-2011,142.25,150.00,140.00, 150.00,147.80,1210,1.78
07-Sep-2011,139.50,142.00,137.50, 141.90,140.85,1402,1.97
06-Sep-2011,136.00,140.00,135.00, 139.50,139.15,483,0.67
05-Sep-2011,133.50,140.00,130.00, 132.00,134.00,4481,6.07
02-Sep-2011,136.50,145.00,132.30, 140.00,140.00,1106,1.54
30-Aug-2011,127.00,140.00,127.00, 137.30,139.35,2413,3.38
29-Aug-2011,135.00,140.00,132.10, 140.00,139.35,2260,3.15
26-Aug-2011,140.00,140.00,130.00, 132.50,132.10,940,1.25
25-Aug-2011,132.05,140.00,130.00, 135.00,133.45,863,1.17
24-Aug-2011,140.00,140.00,135.00, 139.90,139.85,535,0.74
23-Aug-2011,140.00,140.00,139.00, 140.00,139.85,1065,1.49
22-Aug-2011,140.00,140.00,136.00, 139.00,139.00,2704,3.76
19-Aug-2011,133.05,141.00,133.05, 139.00,139.00,573,0.80
18-Aug-2011,141.00,145.95,141.00, 141.00,141.80,307,0.44
17-Aug-2011,139.00,150.00,139.00, 150.00,148.40,3719,5.48
16-Aug-2011,154.50,155.00,141.00, 143.00,143.00,2291,3.39
12-Aug-2011,154.00,155.00,149.05, 152.00,152.00,318,0.48
