Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
26-Dec-2011,1.85,1.85,1.85, 1.85,1.85,700,0.01
19-Dec-2011,1.90,2.10,1.90, 1.90,1.90,2500,0.05
15-Dec-2011,1.80,2.00,1.80, 2.00,2.00,4501,0.08
14-Dec-2011,1.90,1.90,1.90, 1.90,1.90,6000,0.11
13-Dec-2011,2.00,2.00,2.00, 2.00,2.00,5,0.00
12-Dec-2011,2.00,2.00,2.00, 2.00,2.00,8,0.00
08-Dec-2011,2.00,2.00,1.90, 1.90,1.90,4000,0.08
07-Dec-2011,2.00,2.00,2.00, 2.00,2.00,700,0.01
05-Dec-2011,2.00,2.00,2.00, 2.00,2.00,63,0.00
24-Nov-2011,1.85,1.85,1.80, 1.80,1.80,5500,0.10
23-Nov-2011,1.90,1.90,1.85, 1.85,1.85,1001,0.02
22-Nov-2011,1.85,1.90,1.85, 1.90,1.90,500,0.01
18-Nov-2011,1.95,1.95,1.95, 1.95,1.95,518,0.01
17-Nov-2011,1.95,2.15,1.95, 1.95,1.95,1960,0.04
16-Nov-2011,2.00,2.05,2.00, 2.05,2.05,8,0.00
15-Nov-2011,2.10,2.10,2.10, 2.10,2.10,5,0.00
14-Nov-2011,2.10,2.10,2.10, 2.10,2.10,131,0.00
11-Nov-2011,2.00,2.10,2.00, 2.10,2.10,2203,0.05
09-Nov-2011,2.10,2.10,2.10, 2.10,2.10,500,0.01
08-Nov-2011,2.10,2.10,2.10, 2.10,2.10,1000,0.02
31-Oct-2011,1.90,2.00,1.90, 2.00,2.00,8,0.00
28-Oct-2011,2.00,2.00,2.00, 2.00,2.00,2,0.00
26-Oct-2011,1.90,2.00,1.90, 2.00,2.00,80,0.00
24-Oct-2011,1.95,1.95,1.95, 1.95,1.95,34,0.00
21-Oct-2011,2.00,2.05,2.00, 2.05,2.05,106,0.00
20-Oct-2011,2.00,2.10,2.00, 2.10,2.10,8,0.00
19-Oct-2011,2.10,2.10,2.10, 2.10,2.10,889,0.02
18-Oct-2011,2.20,2.20,2.20, 2.20,2.20,301,0.01
17-Oct-2011,2.30,2.30,2.30, 2.30,2.30,28,0.00
10-Oct-2011,2.50,2.50,2.40, 2.40,2.40,4,0.00
03-Oct-2011,2.50,2.50,2.50, 2.50,2.50,1000,0.02
28-Sep-2011,2.60,2.60,2.60, 2.60,2.60,2,0.00
26-Sep-2011,2.70,2.70,2.70, 2.70,2.70,8,0.00
19-Sep-2011,2.80,2.80,2.80, 2.80,2.80,96,0.00
13-Sep-2011,2.95,2.95,2.95, 2.95,2.95,1000,0.03
12-Sep-2011,2.70,2.95,2.70, 2.95,2.95,5345,0.15
06-Sep-2011,2.75,2.80,2.75, 2.80,2.80,200,0.01
05-Sep-2011,2.65,2.70,2.65, 2.70,2.70,445,0.01
30-Aug-2011,2.65,2.65,2.65, 2.65,2.65,50,0.00
29-Aug-2011,2.65,2.75,2.65, 2.75,2.75,1000,0.03
25-Aug-2011,2.60,2.60,2.60, 2.60,2.60,100,0.00
23-Aug-2011,2.50,2.50,2.50, 2.50,2.50,100,0.00
22-Aug-2011,2.40,2.60,2.40, 2.60,2.60,3,0.00
19-Aug-2011,2.35,2.50,2.35, 2.50,2.50,8,0.00
18-Aug-2011,2.45,2.45,2.35, 2.35,2.35,4,0.00
12-Aug-2011,2.40,2.40,2.40, 2.40,2.40,5,0.00
11-Aug-2011,2.40,2.40,2.40, 2.40,2.40,600,0.01
08-Aug-2011,2.50,2.50,2.50, 2.50,2.50,1196,0.03
05-Aug-2011,2.60,2.60,2.60, 2.60,2.60,260,0.01
01-Aug-2011,2.60,2.60,2.60, 2.60,2.60,9,0.00
29-Jul-2011,2.65,2.65,2.65, 2.65,2.65,100,0.00
22-Jul-2011,2.70,2.70,2.70, 2.70,2.70,15,0.00
21-Jul-2011,2.65,2.65,2.65, 2.65,2.65,200,0.01
20-Jul-2011,2.65,2.65,2.65, 2.65,2.65,13,0.00
19-Jul-2011,2.70,2.70,2.65, 2.65,2.65,500,0.01
18-Jul-2011,2.90,2.90,2.75, 2.75,2.75,250,0.01
12-Jul-2011,2.65,2.90,2.65, 2.90,2.85,1590,0.04
11-Jul-2011,2.75,2.75,2.75, 2.75,2.75,200,0.01
08-Jul-2011,2.70,2.70,2.70, 2.70,2.70,1,0.00
07-Jul-2011,2.60,2.60,2.60, 2.60,2.60,1,0.00
06-Jul-2011,2.65,2.65,2.60, 2.60,2.60,1200,0.03
05-Jul-2011,2.55,2.60,2.55, 2.60,2.60,11,0.00
04-Jul-2011,2.65,2.65,2.60, 2.60,2.60,1000,0.03
01-Jul-2011,2.65,2.70,2.65, 2.65,2.65,1400,0.04
29-Jun-2011,2.70,2.70,2.70, 2.70,2.70,13,0.00
27-Jun-2011,2.65,2.65,2.65, 2.65,2.65,100,0.00
24-Jun-2011,2.65,2.90,2.65, 2.90,2.75,160,0.00
21-Jun-2011,2.75,2.75,2.75, 2.75,2.75,150,0.00
17-Jun-2011,2.75,2.90,2.70, 2.90,2.80,622,0.02
16-Jun-2011,2.75,2.75,2.75, 2.75,2.75,500,0.01
15-Jun-2011,2.85,2.85,2.85, 2.85,2.85,549,0.02
14-Jun-2011,2.90,2.90,2.70, 2.70,2.70,900,0.02
13-Jun-2011,2.75,2.75,2.75, 2.75,2.75,417,0.01
10-Jun-2011,2.85,3.00,2.75, 2.75,2.75,13242,0.38
09-Jun-2011,2.85,2.85,2.85, 2.85,2.85,3,0.00
08-Jun-2011,2.90,2.90,2.90, 2.90,2.90,704,0.02
07-Jun-2011,3.00,3.00,3.00, 3.00,3.00,101,0.00
