Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,1240.00,1240.00,1222.00, 1222.00,1222.00,38,0.47
29-Dec-2011,1220.05,1240.00,1215.00, 1240.00,1240.00,267,3.27
28-Dec-2011,1242.05,1242.05,1230.50, 1230.50,1230.50,41,0.51
27-Dec-2011,1242.05,1242.05,1242.00, 1242.00,1242.00,11,0.14
26-Dec-2011,1249.50,1259.00,1245.00, 1246.05,1254.60,133,1.67
23-Dec-2011,1249.90,1266.60,1249.85, 1264.00,1262.70,590,7.44
22-Dec-2011,1240.15,1250.00,1236.00, 1236.00,1236.75,23,0.29
21-Dec-2011,1252.00,1265.00,1250.00, 1264.50,1260.35,634,7.98
20-Dec-2011,1235.10,1248.00,1211.00, 1240.10,1243.45,395,4.89
19-Dec-2011,1231.00,1259.00,1231.00, 1259.00,1248.35,241,2.98
16-Dec-2011,1252.45,1279.00,1246.00, 1269.95,1257.40,124,1.56
15-Dec-2011,1254.00,1275.00,1206.60, 1265.00,1259.65,878,10.89
14-Dec-2011,1255.00,1259.05,1240.00, 1240.00,1247.05,176,2.20
13-Dec-2011,1259.00,1267.00,1251.00, 1265.00,1259.65,411,5.18
12-Dec-2011,1245.00,1264.00,1244.50, 1264.00,1257.10,1353,16.94
09-Dec-2011,1240.00,1256.95,1240.00, 1243.00,1241.75,94,1.17
08-Dec-2011,1246.20,1261.50,1246.20, 1257.00,1258.30,24,0.30
07-Dec-2011,1230.00,1283.00,1205.00, 1283.00,1261.45,1204,15.13
05-Dec-2011,1269.95,1270.00,1231.60, 1231.60,1231.60,62,0.78
02-Dec-2011,1247.00,1247.00,1231.50, 1231.50,1231.50,23,0.28
01-Dec-2011,1240.10,1260.00,1240.00, 1247.35,1249.15,107,1.34
30-Nov-2011,1250.00,1250.00,1226.00, 1232.00,1234.50,86,1.06
29-Nov-2011,1255.00,1269.00,1241.00, 1241.00,1244.00,64,0.81
28-Nov-2011,1259.00,1279.95,1240.00, 1279.95,1276.80,842,10.55
25-Nov-2011,1250.00,1252.00,1226.55, 1226.55,1239.00,181,2.26
24-Nov-2011,1249.00,1258.90,1245.05, 1258.90,1258.90,97,1.21
23-Nov-2011,1238.00,1268.90,1238.00, 1260.00,1264.55,1387,17.31
22-Nov-2011,1277.00,1284.95,1183.00, 1250.00,1223.70,1705,20.88
