Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,359.00,393.95,359.00, 390.00,386.65,6815,25.94
29-Dec-2011,355.00,375.95,353.00, 374.80,366.85,8577,30.90
28-Dec-2011,357.00,359.00,354.00, 359.00,355.70,3016,10.72
27-Dec-2011,352.10,361.80,352.10, 357.00,358.35,2173,7.78
26-Dec-2011,353.00,363.10,353.00, 357.00,355.95,4729,16.91
23-Dec-2011,350.00,363.10,342.05, 357.00,356.45,10971,39.16
22-Dec-2011,351.65,355.10,342.00, 342.60,343.25,6148,21.26
21-Dec-2011,352.75,352.90,342.00, 351.65,350.60,6256,21.77
20-Dec-2011,355.20,359.00,340.50, 347.95,345.20,5782,20.20
19-Dec-2011,379.00,379.00,353.00, 360.00,359.50,16292,58.46
16-Dec-2011,389.00,392.50,365.55, 368.20,370.95,5770,22.03
15-Dec-2011,382.80,389.70,382.05, 387.00,384.95,2906,11.17
14-Dec-2011,387.05,398.25,387.05, 388.00,389.15,2277,8.91
13-Dec-2011,388.90,390.60,381.85, 388.90,387.70,6328,24.45
12-Dec-2011,400.15,406.80,392.40, 392.40,394.90,5410,21.61
09-Dec-2011,400.25,407.30,398.20, 400.00,401.10,7128,28.60
08-Dec-2011,414.85,414.85,402.20, 403.20,403.05,32152,130.28
07-Dec-2011,418.95,418.95,410.25, 411.80,411.65,31184,128.80
05-Dec-2011,421.00,421.00,414.05, 415.00,415.50,4731,19.72
02-Dec-2011,418.05,425.00,410.10, 416.40,418.90,13330,55.70
01-Dec-2011,411.00,423.00,406.00, 415.00,415.55,35373,146.56
30-Nov-2011,439.85,448.70,401.20, 414.00,412.00,332205,1420.10
29-Nov-2011,384.00,414.75,379.25, 414.00,409.65,31687,127.39
28-Nov-2011,377.85,384.00,377.85, 379.00,379.60,4232,16.11
25-Nov-2011,365.00,382.40,365.00, 371.00,371.50,2538,9.50
24-Nov-2011,367.25,372.90,361.90, 367.00,365.30,14030,51.07
23-Nov-2011,373.00,375.00,367.20, 368.00,369.40,8133,30.14
22-Nov-2011,376.95,386.00,373.20, 373.50,373.50,2181,8.18
21-Nov-2011,382.00,390.00,373.25, 373.25,374.10,5808,22.13
18-Nov-2011,378.00,383.75,375.00, 381.90,380.50,9187,34.69
17-Nov-2011,386.50,394.00,377.15, 378.20,378.25,8929,34.38
16-Nov-2011,385.65,395.00,379.20, 380.50,381.70,14965,57.49
15-Nov-2011,391.00,395.70,388.20, 391.50,388.80,3706,14.44
14-Nov-2011,402.00,402.00,388.00, 388.00,389.75,2795,11.00
11-Nov-2011,407.40,412.00,401.50, 402.50,402.35,6973,28.36
09-Nov-2011,410.00,416.00,406.20, 408.00,407.40,6128,25.16
08-Nov-2011,414.00,414.00,406.25, 406.65,407.75,1818,7.44
04-Nov-2011,417.85,417.85,405.20, 405.20,406.85,4055,16.56
03-Nov-2011,413.90,417.95,407.20, 415.70,412.65,5327,21.90
02-Nov-2011,392.20,413.90,392.20, 412.00,410.60,35573,145.47
01-Nov-2011,396.00,396.95,387.30, 395.00,393.45,12102,47.46
31-Oct-2011,390.00,403.00,385.00, 395.00,397.25,19906,78.69
28-Oct-2011,398.15,398.15,381.00, 385.50,388.30,12856,49.67
26-Oct-2011,392.00,395.90,390.00, 395.90,395.15,1022,4.03
25-Oct-2011,387.55,394.00,386.50, 391.00,390.85,3341,13.01
24-Oct-2011,391.55,397.50,387.00, 387.35,389.95,3444,13.53
21-Oct-2011,399.90,405.90,390.00, 390.00,391.55,4686,18.59
20-Oct-2011,396.25,400.80,394.45, 394.45,395.70,2492,9.93
19-Oct-2011,385.10,407.00,382.10, 400.00,400.05,39603,158.55
18-Oct-2011,398.00,401.45,385.30, 386.00,386.10,11138,43.08
17-Oct-2011,396.00,402.75,390.75, 395.25,399.35,1983,7.90
14-Oct-2011,400.50,406.00,387.40, 396.00,395.70,6456,25.56
13-Oct-2011,378.00,421.00,378.00, 401.05,403.50,68744,281.40
12-Oct-2011,375.10,383.50,375.10, 376.30,380.20,38222,145.72
11-Oct-2011,409.00,409.00,375.20, 378.50,379.05,51549,196.38
10-Oct-2011,375.10,383.65,371.50, 375.00,375.60,6881,25.81
07-Oct-2011,371.10,382.30,371.10, 376.00,376.65,10105,38.02
05-Oct-2011,381.00,383.00,370.00, 370.00,372.80,5016,18.96
04-Oct-2011,393.00,393.00,370.20, 375.00,374.55,58426,222.82
03-Oct-2011,407.00,407.00,388.00, 388.10,388.90,3110,12.19
30-Sep-2011,405.15,410.00,398.05, 400.00,401.60,604,2.45
29-Sep-2011,405.00,405.00,399.10, 401.00,404.15,7421,29.76
28-Sep-2011,411.00,411.00,397.00, 406.00,405.80,6465,26.04
27-Sep-2011,405.00,418.00,396.40, 411.00,411.65,9875,40.16
26-Sep-2011,410.00,410.00,400.15, 405.00,404.70,2690,10.89
23-Sep-2011,413.00,418.00,408.30, 412.00,412.90,8004,32.99
22-Sep-2011,429.95,430.95,408.30, 412.00,412.65,17075,70.96
21-Sep-2011,425.00,434.90,424.75, 433.00,430.45,12337,53.15
20-Sep-2011,403.10,428.90,403.10, 425.00,423.55,25667,107.90
19-Sep-2011,417.50,417.50,405.60, 407.00,406.80,1618,6.63
16-Sep-2011,410.00,416.95,408.65, 411.00,411.65,1712,7.06
15-Sep-2011,416.95,416.95,405.00, 406.55,407.00,3064,12.54
14-Sep-2011,407.00,415.00,401.10, 409.00,411.25,993,4.06
13-Sep-2011,415.95,417.00,403.15, 406.50,406.30,3648,14.96
12-Sep-2011,413.10,417.95,408.95, 417.95,413.60,5782,23.87
09-Sep-2011,412.00,427.95,412.00, 413.20,416.10,20262,85.31
08-Sep-2011,410.00,415.00,410.00, 412.50,411.25,3479,14.34
07-Sep-2011,409.85,417.00,403.80, 407.55,409.85,14566,60.03
06-Sep-2011,379.00,424.95,379.00, 405.50,403.85,37320,152.30
05-Sep-2011,369.00,382.20,364.00, 377.05,379.50,7219,27.06
02-Sep-2011,370.00,370.00,362.05, 363.95,365.35,7040,25.84
30-Aug-2011,378.95,379.05,367.50, 367.50,368.80,7031,26.19
29-Aug-2011,382.00,387.90,362.90, 370.05,369.45,9127,34.34
26-Aug-2011,393.75,393.75,376.85, 379.80,379.50,18343,70.80
25-Aug-2011,398.25,410.00,389.00, 394.80,392.50,35061,139.91
24-Aug-2011,396.50,402.95,395.00, 400.00,400.25,8669,34.66
23-Aug-2011,389.20,394.80,387.00, 393.00,391.95,2104,8.23
22-Aug-2011,388.00,394.00,384.00, 391.00,389.10,3986,15.48
19-Aug-2011,382.00,389.00,378.00, 388.95,386.70,9599,36.59
18-Aug-2011,390.10,396.00,373.20, 390.00,386.85,10951,42.33
17-Aug-2011,396.80,398.80,386.30, 391.00,390.70,3053,11.94
16-Aug-2011,402.50,409.25,386.15, 392.50,392.65,13162,52.64
12-Aug-2011,400.25,407.00,399.10, 405.00,403.30,11637,46.83
11-Aug-2011,398.80,400.00,395.00, 397.05,398.30,5999,23.82
10-Aug-2011,400.00,405.00,392.05, 394.50,394.75,6853,27.20
09-Aug-2011,390.10,406.45,385.00, 389.95,388.60,10367,41.16
08-Aug-2011,391.00,407.00,381.00, 397.05,399.60,12975,51.57
05-Aug-2011,406.25,408.00,382.00, 399.90,395.85,31048,122.70
04-Aug-2011,426.00,433.00,413.70, 416.00,416.45,11272,47.78
03-Aug-2011,436.00,436.00,418.00, 420.55,422.20,39574,169.49
02-Aug-2011,440.70,447.80,423.05, 441.00,441.55,86645,378.32
01-Aug-2011,432.50,443.50,419.50, 438.00,436.75,84871,366.49
29-Jul-2011,398.90,435.70,391.15, 428.90,427.50,296141,1262.78
28-Jul-2011,405.00,406.00,383.00, 393.00,392.90,27039,106.26
27-Jul-2011,417.40,424.65,405.25, 407.60,407.60,22396,92.38
26-Jul-2011,425.40,425.40,407.25, 410.90,410.05,12560,52.26
25-Jul-2011,405.00,434.00,399.00, 420.35,422.10,95172,404.13
22-Jul-2011,401.00,411.20,390.30, 400.50,403.90,26365,107.04
21-Jul-2011,405.60,409.60,393.50, 396.00,397.00,12589,50.41
20-Jul-2011,405.00,426.70,400.25, 402.50,403.35,137894,571.83
19-Jul-2011,382.00,408.00,382.00, 401.10,402.35,53606,214.27
18-Jul-2011,383.00,385.00,380.00, 382.30,383.95,688,2.63
15-Jul-2011,376.25,389.00,375.25, 380.00,380.35,4525,17.34
14-Jul-2011,370.00,388.00,365.00, 374.50,375.75,4342,16.52
13-Jul-2011,375.00,375.00,369.10, 371.05,371.60,5088,18.85
12-Jul-2011,378.20,380.00,366.25, 372.50,371.20,1545,5.75
11-Jul-2011,374.00,386.00,374.00, 380.50,381.85,4651,17.79
08-Jul-2011,384.00,384.95,376.00, 376.95,377.10,1788,6.77
07-Jul-2011,384.00,386.85,378.05, 381.90,380.35,2484,9.49
06-Jul-2011,381.15,387.35,381.00, 385.00,384.15,3216,12.31
05-Jul-2011,387.00,387.00,381.25, 383.05,384.40,1802,6.93
04-Jul-2011,391.00,391.00,383.20, 385.50,386.45,2487,9.60
01-Jul-2011,377.30,394.30,377.30, 389.75,386.45,3816,14.75
30-Jun-2011,386.95,389.00,374.95, 385.80,383.90,4025,15.35
29-Jun-2011,369.00,380.00,368.50, 378.50,377.15,5253,19.75
28-Jun-2011,372.15,375.30,363.20, 366.00,367.50,2714,10.04
27-Jun-2011,372.00,376.90,370.55, 372.90,372.60,2840,10.61
