Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,275.70,281.00,264.10, 269.00,267.15,30404,83.46
29-Dec-2011,275.00,280.70,271.00, 271.60,272.15,11178,30.72
28-Dec-2011,281.95,286.45,275.05, 277.00,276.80,25521,71.64
27-Dec-2011,281.70,294.40,276.00, 282.35,282.70,124134,358.55
26-Dec-2011,280.00,291.95,278.55, 280.00,281.30,56301,160.40
23-Dec-2011,256.30,291.00,256.00, 282.25,281.30,268100,754.53
22-Dec-2011,253.00,262.00,247.25, 257.70,257.50,8291,21.17
21-Dec-2011,253.35,253.40,249.10, 250.90,251.80,2360,5.93
20-Dec-2011,249.00,253.20,247.65, 250.00,250.70,5654,14.11
19-Dec-2011,255.85,255.85,246.95, 254.00,251.70,6937,17.32
16-Dec-2011,262.30,267.00,256.00, 259.00,258.25,7375,19.35
15-Dec-2011,263.40,265.05,258.00, 258.10,260.85,5772,15.09
14-Dec-2011,268.10,275.95,266.05, 268.40,267.15,12042,32.75
13-Dec-2011,272.00,274.00,267.40, 269.50,269.45,12084,32.71
12-Dec-2011,285.35,290.00,276.05, 279.00,277.70,7600,21.39
09-Dec-2011,284.05,290.90,280.55, 283.00,283.45,10510,30.03
08-Dec-2011,294.00,305.00,290.25, 291.85,291.65,44651,133.13
07-Dec-2011,294.70,297.85,288.35, 293.65,294.35,13158,38.66
05-Dec-2011,299.40,300.70,290.80, 294.00,293.10,10762,31.85
02-Dec-2011,295.00,301.80,293.00, 297.00,297.00,20371,60.69
01-Dec-2011,304.35,306.00,295.00, 295.20,296.40,14122,42.26
30-Nov-2011,295.00,306.00,288.00, 294.70,295.90,29207,87.28
29-Nov-2011,284.00,306.55,281.10, 297.00,296.65,144405,431.48
28-Nov-2011,276.70,290.00,276.70, 283.95,282.70,23024,65.22
25-Nov-2011,268.00,281.00,266.10, 276.95,272.30,11614,32.04
24-Nov-2011,280.90,280.90,262.30, 268.00,269.90,7740,20.85
23-Nov-2011,283.00,285.00,270.50, 272.10,274.20,8659,24.07
22-Nov-2011,282.00,293.35,280.10, 292.00,285.55,36533,104.76
21-Nov-2011,278.70,295.90,276.10, 280.05,281.40,33208,95.30
18-Nov-2011,280.05,284.80,272.10, 281.60,282.50,10228,28.49
17-Nov-2011,278.00,293.85,278.00, 283.55,284.35,14870,42.48
16-Nov-2011,305.35,305.35,283.10, 288.00,286.95,19936,57.65
15-Nov-2011,326.50,326.50,303.10, 306.00,305.35,17562,55.29
14-Nov-2011,331.90,332.90,310.10, 321.00,317.75,14168,45.59
11-Nov-2011,334.00,337.50,324.20, 327.50,327.20,12402,40.85
09-Nov-2011,343.00,346.20,335.10, 335.65,335.70,16466,56.04
08-Nov-2011,344.80,347.50,339.20, 342.00,341.70,20895,71.69
04-Nov-2011,343.95,351.50,339.10, 341.50,341.45,25969,89.52
03-Nov-2011,343.00,347.25,338.00, 341.00,340.00,22303,76.56
02-Nov-2011,344.55,349.40,341.15, 341.55,342.35,21323,73.46
01-Nov-2011,338.00,362.00,337.45, 348.00,346.40,128209,452.40
31-Oct-2011,343.00,348.85,338.00, 343.00,342.25,29117,100.23
28-Oct-2011,345.00,353.80,341.00, 343.65,342.25,25670,88.66
26-Oct-2011,340.10,344.45,336.65, 343.15,342.30,21959,75.13
25-Oct-2011,338.40,346.50,335.50, 341.50,339.80,61489,209.83
24-Oct-2011,334.25,338.00,327.60, 332.60,332.00,14020,46.69
21-Oct-2011,336.60,341.50,325.10, 329.05,328.75,26743,89.90
20-Oct-2011,335.00,342.40,332.00, 333.50,333.15,21945,73.87
19-Oct-2011,338.50,345.00,335.20, 337.00,337.25,21766,73.96
18-Oct-2011,337.35,346.70,330.60, 334.10,333.40,61630,209.58
17-Oct-2011,349.40,349.40,339.00, 341.00,340.15,16213,55.74
14-Oct-2011,347.90,352.50,342.00, 345.00,345.20,25311,88.00
13-Oct-2011,349.70,357.95,344.05, 346.40,346.05,63316,222.42
12-Oct-2011,346.05,354.00,340.40, 347.00,345.80,55629,193.81
11-Oct-2011,332.65,360.65,331.90, 345.50,344.35,184539,642.47
10-Oct-2011,321.75,335.50,316.80, 328.10,327.85,60376,197.71
07-Oct-2011,317.80,326.90,311.00, 317.25,317.05,38418,123.46
05-Oct-2011,313.95,320.10,305.00, 315.30,310.50,27685,86.52
04-Oct-2011,325.05,335.05,297.55, 307.45,306.95,34633,109.55
03-Oct-2011,327.65,335.40,323.65, 326.70,327.15,18288,60.27
30-Sep-2011,339.10,352.05,331.00, 333.00,333.10,46562,159.87
29-Sep-2011,341.55,352.90,337.00, 337.00,338.95,34574,119.48
28-Sep-2011,336.10,362.50,331.00, 342.50,343.05,156482,550.04
27-Sep-2011,344.00,344.00,330.35, 335.85,333.90,22290,74.97
26-Sep-2011,333.00,348.50,323.00, 327.25,328.85,56243,189.92
23-Sep-2011,342.00,342.00,321.00, 329.00,329.50,33203,109.60
22-Sep-2011,365.00,366.00,340.30, 342.00,342.80,30231,106.76
21-Sep-2011,374.20,379.40,368.10, 370.00,369.60,18078,67.34
20-Sep-2011,365.00,384.65,337.10, 376.00,374.25,36288,136.82
19-Sep-2011,375.00,388.55,366.20, 371.40,372.85,52644,199.48
16-Sep-2011,392.00,392.70,370.10, 375.05,375.75,33803,129.03
15-Sep-2011,397.00,403.80,388.35, 392.00,390.55,88420,350.72
14-Sep-2011,387.90,407.00,387.00, 393.00,393.50,164222,651.46
13-Sep-2011,364.05,397.00,364.05, 383.85,382.75,132133,510.15
12-Sep-2011,382.05,387.00,355.40, 360.00,362.40,50386,187.79
