Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,0.80,0.80,0.75, 0.80,0.80,4900,0.04
29-Dec-2011,0.75,0.75,0.75, 0.75,0.75,7721,0.06
28-Dec-2011,0.75,0.75,0.75, 0.75,0.75,1003,0.01
27-Dec-2011,0.75,0.75,0.75, 0.75,0.75,1100,0.01
26-Dec-2011,0.70,0.85,0.70, 0.80,0.80,9867,0.08
23-Dec-2011,0.80,0.85,0.75, 0.80,0.80,3044,0.02
22-Dec-2011,0.85,0.90,0.75, 0.90,0.80,7600,0.06
21-Dec-2011,0.75,0.85,0.75, 0.80,0.80,1021,0.01
20-Dec-2011,0.80,0.85,0.75, 0.85,0.85,7255,0.06
19-Dec-2011,0.75,0.80,0.75, 0.80,0.80,8399,0.07
16-Dec-2011,0.85,0.95,0.80, 0.80,0.80,3389,0.03
14-Dec-2011,0.90,0.90,0.85, 0.85,0.85,2,0.00
13-Dec-2011,0.85,0.90,0.85, 0.90,0.90,9657,0.08
12-Dec-2011,0.85,0.95,0.85, 0.95,0.95,2676,0.02
09-Dec-2011,0.85,1.00,0.85, 1.00,1.00,5857,0.06
07-Dec-2011,0.85,0.95,0.85, 0.95,0.95,110,0.00
05-Dec-2011,0.90,0.90,0.85, 0.85,0.85,3330,0.03
02-Dec-2011,0.90,0.95,0.90, 0.95,0.95,4502,0.04
01-Dec-2011,0.85,0.90,0.85, 0.90,0.90,5771,0.05
30-Nov-2011,0.95,0.95,0.90, 0.90,0.90,11551,0.10
29-Nov-2011,0.90,1.00,0.85, 1.00,0.95,4302,0.04
28-Nov-2011,0.90,0.95,0.90, 0.95,0.95,1401,0.01
25-Nov-2011,0.80,1.00,0.80, 0.90,0.90,10134,0.09
24-Nov-2011,0.85,0.85,0.85, 0.85,0.85,401,0.00
23-Nov-2011,1.00,1.00,0.75, 0.90,0.85,22926,0.19
22-Nov-2011,0.85,0.85,0.80, 0.80,0.80,1111,0.01
17-Nov-2011,0.85,1.00,0.85, 0.95,0.95,19980,0.19
16-Nov-2011,0.80,0.90,0.80, 0.85,0.85,1067,0.01
15-Nov-2011,0.95,0.95,0.90, 0.90,0.90,1712,0.02
14-Nov-2011,0.90,1.00,0.90, 1.00,1.00,14880,0.14
11-Nov-2011,0.95,0.95,0.95, 0.95,0.95,11411,0.11
09-Nov-2011,0.95,0.95,0.90, 0.95,0.95,26402,0.24
08-Nov-2011,0.90,1.00,0.90, 0.95,0.95,10151,0.10
04-Nov-2011,1.00,1.00,0.90, 0.90,0.90,7244,0.07
03-Nov-2011,0.95,1.00,0.90, 0.90,0.90,4900,0.05
02-Nov-2011,0.90,0.95,0.90, 0.95,0.95,510,0.00
01-Nov-2011,0.90,1.00,0.90, 0.90,0.90,9550,0.09
31-Oct-2011,1.00,1.05,0.95, 0.95,0.95,19136,0.19
28-Oct-2011,0.90,0.95,0.90, 0.90,0.90,11100,0.10
26-Oct-2011,0.90,1.00,0.90, 0.95,0.95,320,0.00
25-Oct-2011,0.90,0.95,0.90, 0.95,0.95,1126,0.01
24-Oct-2011,0.90,1.00,0.90, 0.95,0.90,8220,0.08
21-Oct-2011,0.90,1.05,0.90, 0.95,0.95,15111,0.14
20-Oct-2011,0.80,1.05,0.80, 1.05,1.05,9877,0.09
19-Oct-2011,0.95,0.95,0.85, 0.85,0.85,310,0.00
18-Oct-2011,0.80,0.95,0.80, 0.95,0.90,3503,0.03
17-Oct-2011,1.00,1.00,0.90, 0.90,0.90,6427,0.06
14-Oct-2011,0.80,1.05,0.80, 1.00,1.00,11276,0.11
13-Oct-2011,0.85,1.00,0.85, 1.00,1.00,1049,0.01
12-Oct-2011,0.80,1.00,0.80, 0.95,0.95,2529,0.02
11-Oct-2011,0.75,1.00,0.75, 1.00,0.95,6277,0.06
10-Oct-2011,0.95,0.95,0.75, 0.85,0.85,21171,0.17
07-Oct-2011,0.85,0.90,0.85, 0.90,0.85,746,0.01
05-Oct-2011,0.95,0.95,0.80, 0.90,0.90,702,0.01
04-Oct-2011,1.00,1.00,0.80, 0.80,0.80,4927,0.04
03-Oct-2011,1.05,1.05,0.85, 0.90,0.90,749,0.01
30-Sep-2011,1.00,1.00,0.85, 0.95,0.95,12031,0.11
29-Sep-2011,0.85,0.95,0.85, 0.90,0.90,7609,0.07
28-Sep-2011,0.85,1.00,0.85, 1.00,1.00,3420,0.03
27-Sep-2011,0.85,0.95,0.85, 0.90,0.90,4975,0.05
26-Sep-2011,0.95,0.95,0.85, 0.95,0.95,2560,0.02
23-Sep-2011,0.80,0.95,0.80, 0.95,0.95,28010,0.26
22-Sep-2011,1.00,1.00,0.85, 0.85,0.85,1150,0.01
21-Sep-2011,1.00,1.00,0.90, 0.95,0.95,2494,0.02
20-Sep-2011,1.10,1.10,0.90, 0.95,0.95,12250,0.12
19-Sep-2011,1.00,1.00,0.90, 1.00,1.00,4490,0.04
16-Sep-2011,1.00,1.05,0.90, 0.90,0.90,4521,0.04
15-Sep-2011,0.85,0.85,0.85, 0.85,0.85,3500,0.03
14-Sep-2011,0.90,0.95,0.85, 0.90,0.90,8843,0.08
13-Sep-2011,0.80,0.95,0.80, 0.95,0.95,24818,0.24
12-Sep-2011,0.90,0.95,0.90, 0.95,0.95,7400,0.07
09-Sep-2011,0.90,1.00,0.90, 0.90,0.90,7963,0.07
08-Sep-2011,1.05,1.05,0.90, 1.00,1.00,14314,0.13
07-Sep-2011,1.15,1.15,0.90, 1.00,1.00,21048,0.22
06-Sep-2011,0.90,1.00,0.90, 1.00,1.00,16986,0.16
05-Sep-2011,0.90,1.00,0.85, 0.90,0.95,2911,0.03
02-Sep-2011,0.90,1.00,0.90, 0.90,1.00,2448,0.02
30-Aug-2011,0.90,1.00,0.85, 0.85,0.85,7642,0.07
29-Aug-2011,0.85,0.90,0.85, 0.90,0.90,6593,0.06
26-Aug-2011,0.90,0.90,0.85, 0.85,0.85,3557,0.03
25-Aug-2011,0.95,0.95,0.90, 0.95,0.95,701,0.01
24-Aug-2011,0.90,1.00,0.90, 0.95,0.95,8703,0.08
23-Aug-2011,0.90,0.95,0.90, 0.95,0.95,7871,0.07
22-Aug-2011,0.95,1.00,0.85, 1.00,1.00,3402,0.03
19-Aug-2011,0.90,1.00,0.90, 0.95,0.95,5732,0.05
18-Aug-2011,1.00,1.10,0.95, 0.95,1.00,18618,0.19
17-Aug-2011,1.00,1.10,1.00, 1.00,1.00,5047,0.05
16-Aug-2011,1.00,1.05,1.00, 1.05,1.00,4518,0.05
12-Aug-2011,1.05,1.10,1.00, 1.00,1.00,28219,0.29
11-Aug-2011,1.05,1.15,1.05, 1.15,1.15,2500,0.03
10-Aug-2011,1.05,1.10,1.00, 1.05,1.05,26318,0.27
09-Aug-2011,1.20,1.20,1.05, 1.10,1.05,23107,0.24
08-Aug-2011,1.00,1.20,1.00, 1.05,1.05,2926,0.03
05-Aug-2011,1.00,1.20,1.00, 1.10,1.15,12512,0.14
04-Aug-2011,1.00,1.25,1.00, 1.10,1.15,2753,0.03
03-Aug-2011,1.05,1.20,1.05, 1.20,1.20,3600,0.04
