Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,23.95,24.35,23.10, 23.75,23.80,1177758,282.71
29-Dec-2011,24.45,24.65,23.30, 23.30,23.70,4403865,1060.73
28-Dec-2011,25.00,25.00,24.45, 24.55,24.60,1487642,366.79
27-Dec-2011,25.95,26.15,24.75, 25.00,25.00,1550495,393.65
26-Dec-2011,27.80,27.80,25.45, 25.70,25.70,1097180,282.19
23-Dec-2011,26.40,26.75,25.70, 26.00,26.05,2235313,585.31
22-Dec-2011,24.40,26.40,24.40, 26.40,26.25,2969996,764.08
21-Dec-2011,24.35,24.60,23.90, 24.45,24.40,1204523,292.11
20-Dec-2011,24.20,24.45,23.35, 23.75,23.70,1524281,361.28
19-Dec-2011,24.35,24.55,23.35, 24.00,24.15,2045891,490.18
16-Dec-2011,25.85,25.95,24.00, 24.40,24.35,1901886,479.65
15-Dec-2011,26.00,26.00,25.40, 25.50,25.60,1281267,328.47
14-Dec-2011,26.60,27.10,26.10, 26.15,26.30,1553424,412.50
13-Dec-2011,25.00,26.85,25.00, 26.65,26.65,1167453,308.91
12-Dec-2011,27.50,27.50,26.05, 26.25,26.35,1588187,418.76
09-Dec-2011,26.40,27.15,26.15, 26.50,26.55,1747933,463.91
08-Dec-2011,27.50,27.90,26.65, 26.80,26.75,1819255,492.48
07-Dec-2011,28.65,28.70,27.10, 27.50,27.55,2592749,719.24
05-Dec-2011,28.70,29.00,27.95, 28.55,28.50,1375969,391.11
02-Dec-2011,28.30,28.95,27.60, 28.65,28.70,1565414,445.63
01-Dec-2011,28.80,28.80,27.90, 28.15,28.20,1601289,454.55
30-Nov-2011,27.90,28.10,27.30, 27.65,27.70,1711834,472.81
29-Nov-2011,29.35,30.25,27.60, 27.80,28.00,3612286,1044.92
28-Nov-2011,29.30,30.00,28.80, 29.45,29.35,4048355,1181.36
25-Nov-2011,28.75,29.85,28.20, 28.95,28.95,3225345,937.22
24-Nov-2011,27.25,29.25,26.45, 29.15,28.80,8403435,2314.96
23-Nov-2011,30.30,30.80,27.20, 27.70,27.55,6025800,1723.31
22-Nov-2011,29.25,29.90,29.20, 29.40,29.45,2303362,680.35
21-Nov-2011,30.00,30.80,28.65, 29.10,28.95,3646078,1079.01
18-Nov-2011,28.85,30.50,28.55, 30.40,30.30,3774416,1120.08
17-Nov-2011,29.40,30.40,28.50, 28.75,28.65,3221200,953.97
16-Nov-2011,28.50,29.70,28.15, 29.50,29.30,3820929,1099.89
15-Nov-2011,29.40,29.95,28.20, 28.35,28.35,3526327,1021.21
14-Nov-2011,32.00,32.15,29.35, 29.50,29.60,4615743,1399.54
11-Nov-2011,33.10,33.75,31.50, 31.70,31.65,3929446,1275.96
09-Nov-2011,34.15,34.20,33.15, 33.45,33.35,3942251,1325.38
08-Nov-2011,34.80,34.80,33.05, 33.75,33.70,5953792,2004.64
04-Nov-2011,35.70,35.70,34.40, 34.65,34.50,5371450,1881.61
03-Nov-2011,36.50,36.50,35.00, 35.25,35.15,9402454,3348.97
02-Nov-2011,36.90,38.10,36.65, 37.40,37.50,1753477,660.61
01-Nov-2011,38.30,38.60,37.00, 37.30,37.30,2361532,893.11
31-Oct-2011,37.00,38.95,36.70, 38.25,38.40,2563556,979.80
28-Oct-2011,37.25,37.25,35.95, 37.00,37.10,1958308,718.30
26-Oct-2011,35.40,35.80,35.20, 35.55,35.55,504272,179.09
25-Oct-2011,36.20,36.20,34.90, 35.05,35.10,2345821,828.49
24-Oct-2011,37.35,37.40,35.65, 35.75,35.70,1439757,523.97
21-Oct-2011,37.45,37.45,36.85, 37.15,36.95,917110,340.79
20-Oct-2011,37.45,37.75,36.90, 37.40,37.45,1065185,398.42
19-Oct-2011,37.80,38.20,36.90, 37.45,37.40,2305116,860.80
18-Oct-2011,37.65,38.00,36.80, 37.40,37.40,1039380,388.29
17-Oct-2011,38.40,38.70,37.90, 38.30,38.30,1993431,763.35
14-Oct-2011,36.85,38.50,36.40, 38.00,37.95,2846957,1080.81
13-Oct-2011,37.25,37.70,36.60, 36.75,36.70,2609202,967.44
12-Oct-2011,37.55,37.80,36.90, 36.90,37.05,1375316,511.20
11-Oct-2011,37.95,38.35,37.40, 37.50,37.55,1116923,422.33
10-Oct-2011,37.80,38.20,37.40, 37.65,37.60,983324,370.24
07-Oct-2011,38.00,38.70,37.20, 37.50,37.50,1029325,389.80
05-Oct-2011,38.00,38.15,37.30, 37.30,37.45,585672,220.37
04-Oct-2011,37.60,38.35,37.10, 37.75,37.75,894986,337.76
03-Oct-2011,38.25,38.30,37.00, 37.80,37.80,849652,319.78
30-Sep-2011,38.80,40.20,38.45, 38.60,38.75,1583098,621.49
29-Sep-2011,38.50,39.80,37.60, 39.70,39.40,2533007,978.14
28-Sep-2011,40.30,40.75,38.15, 38.60,38.60,1914009,747.00
27-Sep-2011,41.25,46.00,40.05, 40.45,40.30,1267958,513.08
26-Sep-2011,40.90,41.40,39.30, 39.60,39.85,1416076,566.68
23-Sep-2011,39.10,41.40,39.10, 40.90,40.75,2696135,1092.37
22-Sep-2011,42.50,42.65,40.25, 40.25,40.50,3700795,1533.30
21-Sep-2011,41.40,43.65,40.10, 43.05,43.15,6497506,2782.61
20-Sep-2011,49.95,49.95,46.60, 47.05,46.95,5165867,2476.59
19-Sep-2011,49.50,49.90,48.15, 49.00,49.05,1782444,877.62
16-Sep-2011,51.70,53.00,49.25, 49.60,49.50,3107148,1562.82
15-Sep-2011,51.80,52.80,50.50, 51.15,51.15,1820101,930.93
14-Sep-2011,55.00,55.00,50.50, 51.50,51.55,2796376,1435.20
13-Sep-2011,53.65,56.00,51.80, 52.00,52.50,3814302,2046.98
12-Sep-2011,55.90,55.90,53.05, 53.35,53.35,742729,401.84
09-Sep-2011,58.20,58.95,56.05, 56.65,56.50,1042440,598.35
08-Sep-2011,58.00,58.40,56.75, 58.30,58.00,910549,524.53
07-Sep-2011,56.40,57.85,56.20, 57.65,57.40,947729,542.79
06-Sep-2011,56.20,56.50,53.70, 56.00,55.95,957790,526.20
05-Sep-2011,54.90,57.40,54.80, 56.15,56.25,762380,429.51
02-Sep-2011,55.00,56.90,54.15, 56.40,55.95,924290,515.45
30-Aug-2011,55.00,55.50,52.80, 54.80,54.65,913348,498.30
29-Aug-2011,51.95,54.55,51.65, 54.05,54.25,882055,474.30
26-Aug-2011,53.80,54.45,50.55, 51.40,51.00,955491,498.32
25-Aug-2011,53.45,54.45,51.40, 53.50,53.60,1225703,648.11
24-Aug-2011,54.60,55.60,52.75, 53.10,53.05,810755,439.51
23-Aug-2011,55.15,57.05,53.25, 54.65,54.35,670737,364.69
22-Aug-2011,51.50,54.95,51.45, 54.70,54.65,1056269,560.24
19-Aug-2011,50.40,52.30,49.70, 51.10,51.00,1187050,604.12
18-Aug-2011,54.65,55.80,52.30, 53.20,52.90,855345,460.07
17-Aug-2011,53.45,55.35,52.40, 55.00,54.40,1109844,600.87
16-Aug-2011,59.55,59.80,53.20, 53.80,53.85,1280407,719.40
12-Aug-2011,61.90,62.25,57.65, 58.10,58.35,2021774,1203.02
11-Aug-2011,59.50,61.50,58.90, 60.65,60.85,1141012,695.08
10-Aug-2011,59.90,59.90,57.55, 59.00,59.05,877824,516.31
09-Aug-2011,54.95,58.40,53.60, 57.25,56.50,1292350,732.98
08-Aug-2011,59.90,59.90,55.50, 57.10,57.25,1398446,799.46
05-Aug-2011,61.00,62.25,58.10, 60.90,60.90,909069,553.32
04-Aug-2011,65.05,66.35,63.70, 64.15,64.30,665362,431.25
03-Aug-2011,64.00,65.25,62.40, 65.25,64.85,512041,326.30
02-Aug-2011,67.90,68.20,64.15, 64.30,64.80,1098423,717.75
01-Aug-2011,69.35,69.55,67.25, 68.10,68.40,489466,334.74
29-Jul-2011,68.50,70.50,67.75, 67.80,68.05,494920,341.69
28-Jul-2011,69.30,70.00,68.35, 69.00,68.90,850133,586.73
27-Jul-2011,72.10,72.25,69.65, 70.15,70.30,811098,574.11
26-Jul-2011,72.30,72.65,70.75, 72.10,71.90,811345,581.15
25-Jul-2011,71.40,72.90,71.40, 72.25,72.30,736641,533.30
22-Jul-2011,70.10,71.90,70.10, 71.55,71.60,820995,585.91
21-Jul-2011,70.50,70.75,69.20, 69.55,69.70,440594,308.40
20-Jul-2011,72.50,72.50,70.00, 70.00,70.30,615741,436.61
19-Jul-2011,70.40,72.35,69.40, 72.30,72.00,828487,586.52
