Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,677.50,690.00,675.05, 681.05,681.65,28504,193.96
29-Dec-2011,670.00,684.95,651.00, 681.00,675.25,34740,233.45
28-Dec-2011,680.00,686.80,655.00, 660.00,660.60,28214,188.94
27-Dec-2011,705.00,705.00,679.95, 681.45,681.90,15938,110.23
26-Dec-2011,686.50,710.05,686.00, 701.00,701.90,17998,126.04
23-Dec-2011,704.00,704.80,682.15, 687.70,689.50,18269,126.56
22-Dec-2011,699.00,699.00,685.20, 693.00,692.80,11325,78.49
21-Dec-2011,698.00,707.00,692.10, 697.00,699.00,32186,224.73
20-Dec-2011,702.55,706.90,695.00, 699.00,699.00,36845,257.70
19-Dec-2011,704.00,713.00,698.45, 704.70,700.80,63437,445.47
16-Dec-2011,692.00,712.00,692.00, 707.00,706.90,47284,333.61
15-Dec-2011,685.90,705.40,675.10, 697.00,699.90,28449,197.56
14-Dec-2011,703.70,703.70,681.10, 681.10,684.80,25058,172.34
13-Dec-2011,695.10,704.00,681.15, 691.00,690.00,45049,311.99
12-Dec-2011,718.90,718.90,698.05, 705.00,703.90,36702,258.48
09-Dec-2011,707.40,707.40,695.05, 703.55,701.45,11498,80.60
08-Dec-2011,712.85,715.00,708.00, 708.00,709.65,32046,228.24
07-Dec-2011,713.00,717.75,710.30, 715.90,712.85,35484,252.98
05-Dec-2011,710.05,719.70,710.00, 715.60,714.95,9996,71.31
02-Dec-2011,713.00,716.95,705.00, 708.00,709.10,12371,87.83
01-Dec-2011,706.00,729.70,704.00, 711.90,710.80,27714,198.30
30-Nov-2011,725.00,728.95,687.10, 702.50,700.45,307080,2151.61
29-Nov-2011,728.00,741.00,723.25, 725.25,725.30,14672,106.66
28-Nov-2011,737.50,741.40,723.00, 728.00,728.45,43988,321.73
25-Nov-2011,737.25,762.00,733.10, 733.35,734.75,66293,493.16
24-Nov-2011,721.20,749.20,715.00, 747.80,736.70,70894,512.42
23-Nov-2011,726.65,732.65,720.40, 725.00,724.25,62417,452.29
22-Nov-2011,734.95,739.95,723.00, 735.00,733.60,10958,80.13
21-Nov-2011,730.00,737.95,725.20, 731.45,730.05,24556,179.45
18-Nov-2011,734.00,736.00,724.15, 732.00,731.90,43350,315.68
17-Nov-2011,736.00,743.90,734.00, 736.55,735.85,38463,283.40
16-Nov-2011,736.00,741.90,730.30, 739.00,738.20,24810,182.95
15-Nov-2011,740.15,744.90,735.00, 738.00,736.95,11843,87.67
14-Nov-2011,746.05,759.90,742.10, 742.50,747.55,18330,138.20
11-Nov-2011,745.00,751.00,741.10, 749.00,749.50,11528,86.12
09-Nov-2011,750.15,760.00,748.10, 748.10,752.95,35920,271.64
08-Nov-2011,751.00,755.00,746.00, 754.25,752.65,18781,141.10
04-Nov-2011,742.05,752.00,742.05, 749.90,749.50,18891,141.55
03-Nov-2011,747.00,748.95,738.35, 744.25,742.50,16243,120.74
02-Nov-2011,739.45,750.00,735.55, 747.00,747.30,19730,147.44
01-Nov-2011,735.00,750.00,735.00, 746.90,744.45,30749,229.16
31-Oct-2011,748.80,748.80,735.50, 737.20,739.50,114739,848.39
28-Oct-2011,739.95,752.50,737.00, 740.90,743.55,93108,696.94
26-Oct-2011,731.00,737.95,731.00, 737.00,735.40,8445,62.16
25-Oct-2011,728.75,735.00,723.40, 731.10,727.55,95549,695.57
24-Oct-2011,727.00,737.80,725.00, 731.00,730.70,53785,392.30
21-Oct-2011,723.00,739.70,716.60, 722.35,721.15,90655,658.25
20-Oct-2011,743.00,750.00,728.00, 731.10,731.70,48340,358.35
19-Oct-2011,735.95,741.00,729.10, 739.10,739.20,30114,221.62
18-Oct-2011,725.15,734.80,725.05, 731.15,731.35,20171,147.47
17-Oct-2011,734.00,744.00,729.95, 734.00,731.65,23009,169.24
14-Oct-2011,727.05,735.00,725.50, 729.50,730.65,9085,66.25
13-Oct-2011,729.00,740.95,726.00, 734.00,732.55,25546,187.81
12-Oct-2011,727.90,731.00,720.25, 724.50,722.60,18558,134.64
11-Oct-2011,722.25,728.90,722.00, 726.05,723.45,26552,192.24
10-Oct-2011,727.70,733.80,714.10, 715.30,716.35,78130,561.12
07-Oct-2011,729.00,732.00,715.00, 722.00,727.70,19862,143.50
05-Oct-2011,701.20,719.40,701.20, 710.00,709.90,129874,922.27
04-Oct-2011,715.25,729.85,700.15, 707.50,710.75,140143,1013.85
03-Oct-2011,710.00,725.00,710.00, 725.00,722.35,106216,766.65
30-Sep-2011,679.45,724.80,679.45, 717.20,719.40,550664,3941.46
29-Sep-2011,735.00,735.00,707.00, 713.50,711.45,82335,586.68
28-Sep-2011,738.30,740.05,722.25, 723.00,724.55,62310,456.77
27-Sep-2011,731.00,748.70,731.00, 740.20,738.30,24402,179.84
26-Sep-2011,735.30,735.30,726.50, 727.00,729.00,31390,228.83
23-Sep-2011,738.05,738.05,730.05, 730.55,734.10,56433,414.13
22-Sep-2011,740.05,740.05,735.00, 738.00,737.15,101137,745.70
21-Sep-2011,747.95,747.95,732.05, 740.40,740.50,70367,521.08
20-Sep-2011,747.95,747.95,734.05, 739.55,740.15,50856,376.18
19-Sep-2011,730.95,741.95,730.10, 739.10,739.35,82036,603.66
16-Sep-2011,764.80,780.10,725.80, 730.10,742.10,553532,4132.39
15-Sep-2011,747.00,748.65,738.65, 745.50,745.90,22528,167.27
14-Sep-2011,739.30,745.00,735.05, 740.00,740.45,15762,116.64
13-Sep-2011,744.00,750.00,735.00, 736.00,737.15,24644,182.67
12-Sep-2011,741.50,746.70,735.00, 737.00,739.20,19777,146.64
09-Sep-2011,749.00,751.50,740.60, 742.00,746.15,36357,272.01
08-Sep-2011,759.00,759.00,741.00, 744.75,745.40,47549,354.59
07-Sep-2011,759.85,759.85,746.00, 752.05,750.90,45916,344.80
06-Sep-2011,752.05,760.95,752.00, 752.00,754.90,59892,452.35
05-Sep-2011,740.00,763.95,740.00, 754.10,756.85,77437,583.98
02-Sep-2011,759.00,760.00,742.45, 748.00,748.25,37444,280.69
30-Aug-2011,757.00,768.00,748.10, 749.00,749.95,151884,1141.94
29-Aug-2011,736.90,754.35,736.90, 747.00,750.35,60947,456.95
26-Aug-2011,749.90,761.00,735.05, 749.95,749.50,172538,1295.93
25-Aug-2011,735.40,750.00,733.00, 745.00,743.70,40523,301.08
24-Aug-2011,749.90,753.90,732.10, 732.10,737.35,63084,469.97
23-Aug-2011,739.00,750.00,730.00, 743.25,745.05,35818,265.68
22-Aug-2011,720.00,748.00,716.40, 732.55,739.55,51736,377.57
19-Aug-2011,718.00,726.00,711.15, 723.60,722.50,42724,307.86
18-Aug-2011,724.90,732.00,709.05, 727.85,728.40,39036,281.31
17-Aug-2011,743.20,749.95,719.95, 726.00,724.90,829665,6051.99
16-Aug-2011,757.00,757.00,744.90, 747.45,748.70,24267,181.52
12-Aug-2011,753.40,758.45,746.00, 746.60,747.35,21671,162.48
11-Aug-2011,754.90,765.00,747.55, 749.80,750.05,44123,332.82
10-Aug-2011,757.55,764.05,755.00, 758.25,759.90,52884,401.70
09-Aug-2011,743.00,759.70,730.00, 754.75,752.95,51943,388.84
08-Aug-2011,746.00,763.95,705.05, 755.00,753.60,67785,503.92
05-Aug-2011,750.00,756.95,740.20, 751.00,753.70,1481725,11113.90
04-Aug-2011,760.00,768.30,760.00, 761.80,760.40,11870,90.60
03-Aug-2011,760.00,768.00,751.00, 764.00,763.55,29980,228.37
02-Aug-2011,779.95,785.05,762.20, 766.95,766.10,37775,291.27
01-Aug-2011,772.05,778.70,771.00, 777.85,776.95,128389,997.80
29-Jul-2011,772.00,780.50,765.55, 772.00,772.05,69320,536.61
28-Jul-2011,769.90,777.60,761.55, 774.00,771.90,69736,538.53
27-Jul-2011,757.00,774.00,752.05, 772.50,768.75,111126,851.56
26-Jul-2011,742.05,754.75,737.10, 753.00,752.05,75472,567.28
25-Jul-2011,745.00,755.00,738.00, 748.00,747.70,33087,247.04
22-Jul-2011,742.20,760.00,735.00, 745.00,745.05,74812,554.78
21-Jul-2011,746.70,764.75,737.20, 742.00,741.60,95828,712.85
20-Jul-2011,730.00,744.95,730.00, 743.00,741.70,144761,1073.72
19-Jul-2011,740.00,743.25,728.00, 739.00,738.55,198560,1463.32
18-Jul-2011,748.00,759.70,732.10, 737.00,737.10,56481,421.63
15-Jul-2011,768.00,768.00,744.00, 750.50,752.35,162816,1222.08
14-Jul-2011,768.00,785.25,767.60, 770.40,772.90,221128,1717.03
13-Jul-2011,742.25,770.00,742.25, 765.50,765.35,74758,571.75
12-Jul-2011,758.00,764.80,752.25, 761.00,760.70,40414,306.26
11-Jul-2011,742.25,758.30,742.25, 756.50,756.45,24289,183.45
08-Jul-2011,742.00,761.45,742.00, 756.00,757.35,54049,408.99
07-Jul-2011,742.00,764.05,742.00, 759.95,761.45,92358,696.91
06-Jul-2011,746.00,750.90,742.15, 747.15,748.65,33150,247.60
05-Jul-2011,739.95,749.50,737.55, 744.50,746.60,105255,780.00
04-Jul-2011,735.00,744.90,735.00, 741.85,741.10,135012,1000.44
01-Jul-2011,726.00,740.00,726.00, 739.90,737.90,36954,271.82
30-Jun-2011,725.05,741.80,721.00, 727.00,725.35,85974,627.26
29-Jun-2011,749.95,756.00,728.00, 729.15,731.85,135139,992.30
28-Jun-2011,742.00,781.00,742.00, 774.75,774.90,158370,1211.50
27-Jun-2011,740.00,765.00,740.00, 760.00,759.30,54194,411.66
24-Jun-2011,732.50,759.50,732.50, 754.05,754.95,65498,492.85
23-Jun-2011,742.05,742.50,732.20, 738.00,738.90,31359,231.27
22-Jun-2011,730.10,747.95,730.10, 740.25,741.75,33749,250.52
21-Jun-2011,751.00,751.60,740.25, 742.90,741.45,34743,258.55
20-Jun-2011,758.00,758.00,744.00, 750.00,747.40,45202,338.70
17-Jun-2011,760.50,763.80,751.00, 753.50,756.95,31748,240.38
16-Jun-2011,765.00,767.00,761.00, 763.00,764.10,40976,313.63
15-Jun-2011,763.05,767.00,763.05, 765.00,766.25,60908,466.51
