Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,560.00,626.00,560.00, 613.00,606.15,8311,50.21
29-Dec-2011,610.00,617.65,606.00, 610.00,611.00,2744,16.81
28-Dec-2011,630.10,650.00,612.00, 615.00,612.75,15733,97.82
27-Dec-2011,635.00,640.00,625.00, 640.00,639.75,20638,131.59
26-Dec-2011,630.10,639.90,630.10, 630.60,633.35,872,5.53
23-Dec-2011,630.00,640.00,630.00, 630.00,631.55,2960,18.83
22-Dec-2011,630.00,639.90,630.00, 639.90,639.45,6795,43.35
21-Dec-2011,632.00,643.00,632.00, 639.00,638.45,6675,42.66
20-Dec-2011,624.00,635.00,624.00, 633.00,632.85,7678,48.39
19-Dec-2011,640.00,640.00,612.15, 637.00,633.10,10655,66.96
16-Dec-2011,635.00,652.00,632.25, 642.00,640.35,26746,172.55
15-Dec-2011,633.60,644.95,633.00, 640.00,639.90,20746,132.82
14-Dec-2011,649.80,656.95,641.10, 650.00,649.25,15523,100.99
13-Dec-2011,643.00,658.95,632.15, 639.00,652.70,14003,91.45
12-Dec-2011,646.00,664.00,646.00, 659.00,655.10,16596,109.29
09-Dec-2011,645.70,664.90,645.70, 663.00,662.95,3778,24.80
08-Dec-2011,664.00,679.90,651.00, 660.00,659.90,8056,53.28
07-Dec-2011,652.00,670.00,651.90, 667.80,663.25,17313,115.06
05-Dec-2011,641.80,657.95,641.80, 656.95,652.30,14698,95.81
02-Dec-2011,640.00,653.00,635.55, 643.55,648.85,5768,37.25
01-Dec-2011,640.00,650.00,635.00, 638.00,637.20,3916,25.03
30-Nov-2011,636.00,637.00,625.20, 628.00,630.35,8020,50.63
29-Nov-2011,636.60,642.15,635.00, 635.00,636.80,4389,27.94
28-Nov-2011,633.00,647.95,633.00, 646.00,645.20,3278,20.99
25-Nov-2011,630.00,638.00,628.00, 633.00,634.00,9024,56.90
24-Nov-2011,631.70,639.45,618.30, 629.00,634.95,14293,90.74
23-Nov-2011,646.00,653.80,641.00, 649.00,648.30,39041,253.42
22-Nov-2011,647.00,655.00,640.50, 646.00,645.60,4202,27.14
21-Nov-2011,655.00,655.00,649.00, 649.25,649.55,7841,51.01
18-Nov-2011,645.00,654.90,631.20, 645.05,649.25,5153,32.97
17-Nov-2011,660.00,660.00,644.95, 645.00,646.80,11750,76.75
16-Nov-2011,649.90,659.95,635.00, 645.00,645.15,6143,39.98
15-Nov-2011,641.25,655.00,633.00, 649.85,645.15,24700,158.70
14-Nov-2011,688.30,688.30,642.25, 645.10,648.70,18330,119.88
11-Nov-2011,690.15,693.30,655.50, 669.00,668.15,15682,104.74
09-Nov-2011,688.20,699.95,688.20, 695.00,692.75,3247,22.53
08-Nov-2011,700.00,710.00,691.35, 693.80,696.60,9993,70.04
04-Nov-2011,711.00,715.00,695.65, 710.00,711.55,9376,66.66
03-Nov-2011,689.00,711.00,689.00, 705.00,704.10,15794,110.87
02-Nov-2011,690.00,693.00,681.25, 685.00,689.00,62675,431.85
01-Nov-2011,680.10,694.00,680.10, 694.00,691.00,5502,37.93
31-Oct-2011,693.00,700.00,682.05, 685.00,685.00,17186,117.96
28-Oct-2011,679.90,714.80,679.10, 693.00,696.50,45839,320.77
