Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,33.10,35.00,32.20, 32.25,32.50,6569,2.16
29-Dec-2011,35.45,35.45,32.70, 33.00,33.35,5922,2.01
28-Dec-2011,35.00,35.00,34.10, 35.00,35.00,728,0.25
27-Dec-2011,35.60,35.60,34.50, 34.95,34.95,1502,0.52
26-Dec-2011,36.85,36.85,34.60, 34.60,34.60,11,0.00
23-Dec-2011,34.00,35.95,33.40, 35.00,34.35,22382,7.74
22-Dec-2011,34.25,34.25,31.15, 31.90,31.80,1560,0.50
21-Dec-2011,34.95,34.95,32.00, 32.75,32.75,1672,0.55
20-Dec-2011,34.85,34.85,32.10, 32.95,32.55,407,0.13
19-Dec-2011,35.70,35.70,28.60, 32.10,31.95,30854,9.65
16-Dec-2011,38.80,38.80,35.25, 35.25,35.70,2031,0.73
15-Dec-2011,36.80,36.80,36.00, 36.10,36.45,2912,1.05
14-Dec-2011,39.00,39.00,36.65, 37.25,37.15,1882,0.70
13-Dec-2011,38.20,38.20,36.20, 37.00,36.95,1926,0.71
12-Dec-2011,38.40,38.40,36.75, 36.75,36.75,3198,1.19
09-Dec-2011,36.10,38.00,36.10, 37.40,37.70,7999,3.00
08-Dec-2011,38.80,38.80,36.65, 36.90,36.90,4470,1.65
07-Dec-2011,38.80,38.80,36.30, 37.95,37.85,1084,0.40
05-Dec-2011,38.85,38.85,36.55, 37.95,37.30,1162,0.43
02-Dec-2011,37.00,38.50,36.45, 38.00,38.00,2905,1.10
01-Dec-2011,39.85,39.85,36.70, 37.60,37.55,1163,0.43
30-Nov-2011,37.00,38.25,35.45, 37.40,36.80,11000,4.05
29-Nov-2011,39.50,39.90,37.00, 37.50,37.25,7661,2.86
28-Nov-2011,39.50,39.75,38.00, 39.75,39.35,26244,10.18
25-Nov-2011,38.15,41.70,37.90, 38.50,39.25,203511,81.18
24-Nov-2011,36.90,36.90,33.25, 35.20,35.75,10428,3.65
23-Nov-2011,33.00,36.70,32.50, 36.00,35.00,15289,5.20
22-Nov-2011,35.85,35.85,33.20, 33.80,33.50,2175,0.72
21-Nov-2011,36.70,36.70,33.30, 33.50,33.50,7816,2.62
18-Nov-2011,34.90,34.90,33.35, 33.50,33.55,5227,1.77
17-Nov-2011,36.75,36.75,34.15, 34.95,34.95,451,0.16
16-Nov-2011,37.40,37.40,34.05, 35.10,35.10,3448,1.20
15-Nov-2011,38.90,38.90,34.60, 35.25,35.25,7418,2.62
14-Nov-2011,37.95,38.00,36.50, 37.00,36.85,5692,2.11
11-Nov-2011,36.15,36.80,35.50, 36.00,36.05,3441,1.24
09-Nov-2011,37.00,38.85,36.25, 37.20,37.20,3103,1.17
08-Nov-2011,36.10,38.40,36.10, 37.55,37.85,6297,2.36
04-Nov-2011,37.80,37.80,36.10, 37.00,36.85,4605,1.69
03-Nov-2011,37.80,37.80,36.15, 36.60,36.55,2517,0.92
02-Nov-2011,36.00,37.25,36.00, 36.90,36.80,8066,2.96
01-Nov-2011,36.00,37.65,36.00, 36.95,36.95,5718,2.12
31-Oct-2011,34.55,36.45,34.55, 35.40,35.30,15207,5.36
28-Oct-2011,35.20,35.50,35.20, 35.40,35.40,930,0.33
26-Oct-2011,33.65,35.90,33.05, 35.10,35.30,1190,0.42
25-Oct-2011,34.20,35.05,33.65, 35.05,34.50,9707,3.33
24-Oct-2011,33.65,35.25,33.65, 35.25,35.00,5829,2.02
21-Oct-2011,35.75,35.80,33.30, 34.40,34.00,2731,0.93
20-Oct-2011,33.55,34.35,33.50, 34.00,34.05,4034,1.36
19-Oct-2011,33.60,34.80,33.60, 34.40,34.40,7925,2.72
18-Oct-2011,34.05,35.50,33.10, 33.95,33.60,3543,1.20
17-Oct-2011,34.05,35.80,34.05, 34.45,34.45,449,0.15
14-Oct-2011,36.45,36.50,34.05, 34.15,34.10,1310,0.45
13-Oct-2011,36.00,36.00,34.50, 35.00,34.60,1798,0.62
12-Oct-2011,36.80,36.80,34.85, 35.00,35.00,3368,1.19
11-Oct-2011,34.00,36.75,33.75, 36.00,35.85,3525,1.25
10-Oct-2011,34.00,35.35,33.50, 35.30,34.70,7278,2.49
07-Oct-2011,34.00,35.50,33.00, 33.35,33.35,5462,1.83
05-Oct-2011,33.85,34.90,33.35, 33.35,33.35,3967,1.33
04-Oct-2011,36.75,36.75,33.60, 33.60,33.85,2427,0.82
03-Oct-2011,34.45,34.45,33.30, 33.35,33.35,3002,1.00
30-Sep-2011,34.60,34.60,33.65, 33.80,33.80,5271,1.79
29-Sep-2011,34.25,34.70,33.80, 34.50,34.60,14917,5.13
28-Sep-2011,34.10,34.55,33.40, 34.35,33.70,6169,2.09
27-Sep-2011,34.90,34.90,33.10, 33.90,33.85,8701,2.94
26-Sep-2011,35.00,35.25,33.50, 33.65,34.10,3903,1.33
23-Sep-2011,35.00,35.00,34.00, 34.75,34.60,12268,4.24
22-Sep-2011,36.80,36.80,34.10, 34.80,34.70,7388,2.57
21-Sep-2011,36.70,36.70,35.45, 36.00,35.75,7762,2.78
20-Sep-2011,36.85,36.85,35.30, 35.80,35.80,2580,0.92
19-Sep-2011,36.90,36.90,35.05, 35.45,35.15,952,0.33
16-Sep-2011,36.50,36.70,34.60, 35.75,35.75,3280,1.18
15-Sep-2011,36.90,36.90,35.00, 35.15,35.30,2988,1.06
14-Sep-2011,36.00,36.00,35.05, 35.70,35.65,2436,0.86
13-Sep-2011,36.90,37.50,35.25, 35.50,35.40,7128,2.57
12-Sep-2011,36.00,36.00,34.10, 35.20,35.20,2989,1.05
09-Sep-2011,36.40,36.40,35.00, 35.00,35.05,4415,1.56
08-Sep-2011,36.45,36.45,35.25, 35.75,35.45,3482,1.24
07-Sep-2011,36.35,36.35,34.60, 34.90,34.95,2321,0.81
06-Sep-2011,35.55,35.55,33.90, 34.25,34.30,4065,1.39
05-Sep-2011,36.90,36.90,34.00, 35.50,34.60,11243,3.93
02-Sep-2011,35.65,35.65,33.60, 35.40,35.00,7334,2.54
30-Aug-2011,35.95,35.95,33.85, 34.45,34.30,4266,1.47
29-Aug-2011,33.10,35.00,32.60, 34.95,34.20,6657,2.30
26-Aug-2011,35.55,35.55,33.00, 33.00,33.00,5596,1.88
25-Aug-2011,35.90,35.90,33.00, 34.00,34.00,779,0.27
24-Aug-2011,36.00,36.00,34.40, 34.40,34.45,3018,1.04
23-Aug-2011,36.00,36.00,34.75, 35.25,35.25,628,0.22
22-Aug-2011,34.95,35.40,33.25, 35.35,35.10,13757,4.74
19-Aug-2011,32.20,34.95,32.20, 33.50,33.55,5248,1.77
18-Aug-2011,36.50,36.50,33.10, 34.90,33.35,12225,4.18
17-Aug-2011,36.00,37.90,35.50, 35.50,35.50,1975,0.71
16-Aug-2011,36.15,36.35,35.10, 36.00,35.60,7107,2.55
12-Aug-2011,36.95,36.95,36.10, 36.40,36.15,3812,1.39
11-Aug-2011,36.90,36.90,36.00, 36.15,36.05,5993,2.18
10-Aug-2011,37.80,37.80,36.05, 37.00,36.85,23181,8.52
09-Aug-2011,36.20,36.90,35.50, 36.60,36.30,18419,6.69
08-Aug-2011,37.05,37.05,36.00, 36.45,36.50,16575,6.04
05-Aug-2011,38.30,38.90,36.00, 37.75,37.85,15251,5.69
04-Aug-2011,39.95,39.95,38.75, 38.80,38.90,1364,0.54
03-Aug-2011,38.25,39.65,37.70, 39.00,38.90,5514,2.14
02-Aug-2011,40.00,40.00,38.80, 39.35,38.85,7445,2.93
01-Aug-2011,40.10,40.50,39.40, 40.30,39.90,6309,2.52
29-Jul-2011,41.75,41.75,40.25, 40.45,40.35,2726,1.11
28-Jul-2011,41.50,41.70,40.50, 41.25,41.45,17776,7.33
27-Jul-2011,41.50,42.20,40.65, 41.10,41.40,7866,3.26
26-Jul-2011,42.80,43.95,39.50, 40.85,41.10,52250,21.87
25-Jul-2011,42.90,42.90,41.60, 41.80,41.90,18678,7.89
22-Jul-2011,43.00,43.00,41.45, 41.95,41.70,7077,2.97
21-Jul-2011,43.70,43.70,42.10, 42.10,42.55,7294,3.10
20-Jul-2011,43.55,43.55,42.35, 42.70,42.55,5132,2.18
19-Jul-2011,41.60,43.80,41.60, 42.45,42.55,20854,8.95
18-Jul-2011,41.60,42.30,40.90, 42.00,42.05,14393,5.99
15-Jul-2011,42.00,42.00,40.65, 41.10,41.00,4539,1.87
14-Jul-2011,41.90,41.90,40.85, 41.50,41.40,4565,1.88
13-Jul-2011,41.80,41.80,40.65, 41.25,41.40,8640,3.56
12-Jul-2011,41.05,41.25,40.35, 40.35,40.45,8958,3.63
11-Jul-2011,41.25,42.45,41.00, 41.50,41.35,8104,3.36
08-Jul-2011,41.50,42.30,41.00, 41.15,41.20,6860,2.83
07-Jul-2011,43.50,43.60,41.50, 41.60,41.85,17579,7.44
