Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,539.95,540.00,500.00, 500.00,505.05,349,1.81
29-Dec-2011,513.75,576.00,500.00, 531.00,529.70,1192,6.28
28-Dec-2011,502.00,520.00,502.00, 516.00,514.20,865,4.43
27-Dec-2011,519.50,519.50,508.00, 508.00,508.00,95,0.49
26-Dec-2011,502.05,505.00,502.05, 505.00,505.00,33,0.17
23-Dec-2011,520.00,522.95,505.00, 505.00,516.60,140,0.73
22-Dec-2011,500.00,513.50,500.00, 510.00,510.00,272,1.38
21-Dec-2011,511.90,511.90,500.00, 500.00,508.90,355,1.81
20-Dec-2011,500.00,547.70,500.00, 515.00,505.90,238,1.25
19-Dec-2011,502.00,505.00,500.00, 505.00,500.10,3737,18.69
16-Dec-2011,500.00,517.05,500.00, 507.00,507.00,297,1.52
15-Dec-2011,500.00,515.00,500.00, 515.00,515.00,182,0.91
14-Dec-2011,504.50,504.50,502.00, 502.00,502.00,218,1.10
13-Dec-2011,508.00,509.00,505.00, 505.00,505.00,315,1.59
12-Dec-2011,548.95,548.95,510.05, 510.10,511.50,245,1.26
09-Dec-2011,501.00,518.00,501.00, 510.00,510.00,249,1.28
08-Dec-2011,506.00,519.20,506.00, 508.00,510.60,122,0.62
07-Dec-2011,529.80,530.00,510.00, 525.00,520.85,92,0.48
05-Dec-2011,519.00,520.00,512.00, 512.00,512.00,121,0.62
02-Dec-2011,521.00,521.00,502.00, 502.00,504.00,108,0.55
01-Dec-2011,520.00,520.00,510.00, 518.95,518.95,54,0.28
30-Nov-2011,490.05,514.90,490.05, 505.00,510.55,71445,351.73
29-Nov-2011,499.90,499.90,490.00, 495.00,490.40,50297,246.47
28-Nov-2011,502.00,515.00,485.00, 485.00,490.20,2268,11.37
25-Nov-2011,505.00,515.10,501.60, 515.00,515.00,31,0.16
24-Nov-2011,515.95,515.95,496.00, 508.00,508.00,600,3.02
23-Nov-2011,518.85,518.90,505.00, 506.00,511.05,194,0.99
22-Nov-2011,510.00,528.95,505.05, 525.90,510.65,170,0.88
21-Nov-2011,524.00,524.00,510.00, 510.00,512.60,512,2.63
18-Nov-2011,521.50,539.00,520.00, 531.50,534.55,141,0.75
17-Nov-2011,532.00,533.00,522.05, 532.00,532.55,64,0.34
16-Nov-2011,530.00,534.90,521.60, 530.00,528.10,104,0.55
15-Nov-2011,578.50,578.50,501.15, 531.80,519.20,2108,11.02
14-Nov-2011,575.05,579.40,575.00, 578.50,575.00,531,3.05
11-Nov-2011,589.90,589.90,575.00, 575.00,575.30,74,0.43
09-Nov-2011,580.00,591.95,576.00, 576.00,576.50,88,0.51
08-Nov-2011,585.00,585.00,575.00, 577.00,582.20,324,1.88
04-Nov-2011,585.15,589.45,575.30, 589.45,589.05,546,3.19
03-Nov-2011,580.00,590.80,580.00, 590.80,590.80,20,0.12
02-Nov-2011,582.10,591.00,581.00, 581.00,589.35,14,0.08
01-Nov-2011,593.00,594.00,576.05, 576.05,576.10,64,0.37
31-Oct-2011,580.70,587.00,580.05, 581.05,581.70,30,0.17
28-Oct-2011,587.00,593.45,580.00, 593.45,583.95,158,0.93
