Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,78.00,78.80,77.05, 77.45,77.80,9270,7.20
29-Dec-2011,77.00,80.80,75.20, 78.35,77.95,8473,6.49
28-Dec-2011,72.25,78.95,71.30, 78.95,77.65,13353,9.81
27-Dec-2011,66.40,74.00,66.10, 74.00,71.05,26476,18.44
26-Dec-2011,67.50,68.95,66.05, 67.15,67.25,8698,5.85
23-Dec-2011,67.00,68.45,65.50, 66.05,67.20,8924,6.02
22-Dec-2011,74.00,74.00,65.20, 67.05,67.25,6974,4.62
21-Dec-2011,66.80,67.45,66.00, 66.05,66.35,13462,8.97
20-Dec-2011,68.20,68.65,65.00, 65.30,65.80,13327,8.90
19-Dec-2011,67.00,68.90,60.90, 68.00,67.75,33356,22.31
16-Dec-2011,69.25,71.95,67.50, 67.50,67.65,11190,7.91
15-Dec-2011,72.90,72.90,62.60, 71.45,69.25,21154,14.64
14-Dec-2011,70.50,73.85,70.50, 71.25,71.85,22015,15.87
13-Dec-2011,75.50,75.50,70.55, 71.05,72.10,22443,16.36
12-Dec-2011,74.50,75.95,74.30, 74.30,74.30,6547,4.91
09-Dec-2011,74.25,76.45,73.05, 73.75,74.00,14990,11.21
08-Dec-2011,74.55,75.00,74.00, 74.00,74.75,4081,3.05
07-Dec-2011,75.00,75.75,75.00, 75.25,75.25,5237,3.95
05-Dec-2011,77.20,77.40,74.85, 75.00,75.00,11154,8.56
02-Dec-2011,75.85,77.90,75.85, 77.80,77.80,10635,8.15
01-Dec-2011,76.50,76.80,75.70, 76.20,76.20,11423,8.72
30-Nov-2011,75.50,76.80,72.80, 76.00,76.30,11119,8.32
29-Nov-2011,76.50,76.75,75.05, 75.05,75.65,5859,4.48
28-Nov-2011,76.00,76.75,75.90, 76.10,76.70,6336,4.84
25-Nov-2011,73.00,76.00,72.00, 76.00,75.80,8362,6.30
24-Nov-2011,75.00,75.60,73.55, 75.00,75.00,8084,6.02
23-Nov-2011,76.05,78.00,74.75, 75.00,75.00,9430,7.21
22-Nov-2011,74.10,78.00,74.10, 77.00,76.75,9122,6.93
21-Nov-2011,77.00,78.25,74.00, 77.40,76.10,10860,8.29
18-Nov-2011,78.45,79.00,77.00, 77.00,77.35,10138,7.90
17-Nov-2011,79.50,80.95,78.00, 80.50,79.45,8091,6.38
16-Nov-2011,81.50,84.70,77.10, 79.00,78.50,9568,7.61
15-Nov-2011,82.95,84.90,81.50, 81.50,82.75,6100,5.11
14-Nov-2011,87.40,88.00,82.05, 83.85,83.45,17343,14.57
11-Nov-2011,87.50,89.00,87.00, 88.60,88.65,8004,7.05
09-Nov-2011,88.10,88.95,88.00, 88.00,88.00,1020,0.90
08-Nov-2011,89.00,89.00,86.00, 88.00,88.85,9527,8.45
04-Nov-2011,88.00,90.30,87.15, 89.00,89.00,3054,2.73
03-Nov-2011,89.00,90.40,88.50, 89.65,89.30,5350,4.76
02-Nov-2011,88.00,91.00,87.05, 90.00,90.05,14853,13.21
01-Nov-2011,88.00,90.40,88.00, 88.70,89.05,12960,11.66
31-Oct-2011,89.50,91.00,88.00, 88.75,88.95,10657,9.52
28-Oct-2011,88.10,88.70,87.25, 88.60,88.60,13776,12.07
26-Oct-2011,88.00,88.00,86.90, 88.00,87.85,10399,9.06
25-Oct-2011,87.00,87.00,86.00, 86.15,86.15,1222,1.06
24-Oct-2011,86.95,87.00,86.70, 87.00,87.00,2178,1.89
21-Oct-2011,88.00,88.00,86.05, 86.05,86.15,3643,3.17
20-Oct-2011,87.00,87.40,86.50, 87.00,87.00,2436,2.12
19-Oct-2011,87.00,87.00,86.80, 87.00,87.00,785,0.68
18-Oct-2011,87.70,88.50,86.55, 86.80,86.80,916,0.80
17-Oct-2011,89.50,89.90,88.00, 88.75,88.50,5423,4.81
