Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,345.30,357.95,340.00, 340.05,340.60,836,2.88
29-Dec-2011,345.05,354.00,345.05, 347.55,349.20,499,1.74
28-Dec-2011,347.55,354.60,346.80, 346.80,348.00,258,0.90
27-Dec-2011,367.50,372.90,351.00, 351.00,353.35,2269,8.16
26-Dec-2011,358.95,367.00,354.55, 366.00,364.60,1100,3.97
23-Dec-2011,356.50,356.50,347.00, 347.00,348.90,8455,29.69
22-Dec-2011,354.95,362.95,349.80, 353.55,354.05,1673,5.92
21-Dec-2011,352.00,357.95,349.00, 357.00,355.75,385,1.36
20-Dec-2011,346.05,357.70,345.00, 345.00,346.75,745,2.61
19-Dec-2011,368.85,368.85,345.00, 350.10,350.55,1430,5.01
16-Dec-2011,371.00,371.00,355.15, 355.15,357.80,534,1.95
15-Dec-2011,375.00,375.00,331.00, 361.05,361.75,4746,17.17
14-Dec-2011,369.00,374.95,367.00, 368.20,369.20,1311,4.84
13-Dec-2011,371.10,371.35,368.00, 370.50,368.60,643,2.37
12-Dec-2011,380.55,380.55,370.00, 370.05,371.10,2255,8.45
09-Dec-2011,385.00,386.40,380.05, 380.25,380.25,366,1.40
08-Dec-2011,393.50,393.50,383.15, 387.00,384.00,1196,4.61
07-Dec-2011,385.00,397.00,385.00, 397.00,393.10,1728,6.76
05-Dec-2011,399.00,399.00,383.00, 387.05,387.30,1856,7.19
02-Dec-2011,378.65,392.00,378.10, 385.10,385.70,2166,8.37
01-Dec-2011,385.00,395.00,376.50, 378.40,380.70,2809,10.80
30-Nov-2011,380.60,387.70,376.00, 381.95,380.60,5280,20.16
29-Nov-2011,374.00,388.80,366.70, 372.75,376.40,4343,16.43
28-Nov-2011,373.20,379.20,369.10, 373.85,371.40,3098,11.55
25-Nov-2011,384.95,384.95,362.50, 365.05,367.65,2538,9.49
24-Nov-2011,376.15,389.50,370.10, 372.20,373.90,2634,9.89
23-Nov-2011,383.65,391.00,376.25, 380.50,381.70,3874,14.83
22-Nov-2011,390.65,398.95,384.00, 387.00,388.00,1918,7.45
21-Nov-2011,393.10,408.90,388.95, 390.10,392.15,5512,21.79
18-Nov-2011,391.10,403.80,391.10, 398.00,398.75,1872,7.47
17-Nov-2011,400.00,410.95,398.20, 400.70,400.00,1938,7.79
16-Nov-2011,410.00,423.85,397.00, 402.90,402.40,4826,19.42
15-Nov-2011,435.00,435.00,410.55, 413.50,411.85,6793,28.56
14-Nov-2011,447.95,448.00,425.00, 425.00,429.80,2236,9.73
11-Nov-2011,440.05,443.60,432.70, 432.70,436.95,3088,13.56
09-Nov-2011,454.00,465.00,440.00, 441.05,443.35,5521,25.09
08-Nov-2011,463.00,463.00,448.00, 451.65,451.50,4409,20.05
04-Nov-2011,460.00,465.00,455.00, 460.00,457.85,3743,17.18
03-Nov-2011,464.95,464.95,450.50, 455.60,454.15,2090,9.52
02-Nov-2011,452.45,479.00,452.45, 458.00,458.55,44870,210.65
01-Nov-2011,448.00,464.00,441.95, 452.50,450.85,5397,24.31
31-Oct-2011,464.90,464.90,440.20, 444.25,446.30,2584,11.57
28-Oct-2011,454.95,460.90,445.00, 447.00,447.50,5381,24.35
26-Oct-2011,441.80,455.00,437.15, 446.50,449.55,2546,11.42
25-Oct-2011,428.00,447.70,422.05, 432.95,432.55,1150,4.95
24-Oct-2011,443.10,446.75,430.15, 433.95,432.85,1487,6.55
21-Oct-2011,452.00,454.90,436.50, 444.00,443.50,5588,24.90
20-Oct-2011,449.95,452.00,442.00, 446.10,447.90,1982,8.89
19-Oct-2011,440.15,448.50,440.10, 443.40,447.05,3150,14.02
18-Oct-2011,444.00,451.00,440.00, 446.00,441.55,2214,9.88
17-Oct-2011,409.00,449.00,409.00, 449.00,446.95,960,4.22
14-Oct-2011,439.05,443.85,433.00, 433.00,436.75,1193,5.23
13-Oct-2011,431.80,454.90,431.80, 442.15,443.95,2115,9.46
12-Oct-2011,428.00,446.75,428.00, 439.10,440.50,2134,9.37
11-Oct-2011,453.55,453.55,434.15, 441.75,438.65,3285,14.52
10-Oct-2011,435.00,449.40,433.00, 445.00,445.35,7903,35.01
07-Oct-2011,417.00,438.40,417.00, 431.00,429.25,6050,26.01
05-Oct-2011,403.00,422.95,403.00, 415.30,414.25,2185,9.03
04-Oct-2011,419.00,429.00,402.10, 411.50,415.25,1693,7.02
03-Oct-2011,412.00,415.00,410.00, 411.00,411.55,822,3.38
30-Sep-2011,411.60,427.95,411.60, 419.00,417.45,1367,5.73
29-Sep-2011,443.00,443.00,401.25, 429.50,426.10,1947,8.20
28-Sep-2011,442.00,442.00,416.25, 418.00,418.35,2159,9.15
27-Sep-2011,417.00,458.80,417.00, 440.00,439.50,61041,271.45
26-Sep-2011,412.00,415.00,399.00, 411.00,411.05,4598,18.72
23-Sep-2011,413.00,423.00,405.00, 417.00,416.35,1599,6.63
22-Sep-2011,432.05,432.05,415.00, 416.00,417.25,2265,9.51
21-Sep-2011,434.65,439.00,432.55, 437.95,435.10,855,3.72
20-Sep-2011,459.10,459.10,432.10, 434.65,433.75,1204,5.26
19-Sep-2011,431.80,440.00,428.20, 428.70,430.45,1543,6.67
16-Sep-2011,439.00,445.95,432.30, 439.90,437.10,1625,7.12
15-Sep-2011,435.00,440.00,435.00, 440.00,437.05,1059,4.61
14-Sep-2011,430.00,436.95,425.00, 434.00,430.80,1038,4.48
13-Sep-2011,423.00,442.00,420.15, 432.90,426.55,2155,9.22
12-Sep-2011,435.00,439.30,420.05, 425.00,423.95,1989,8.48
09-Sep-2011,452.00,466.00,440.00, 441.90,442.60,3383,15.30
08-Sep-2011,469.95,472.00,453.05, 455.00,454.65,4724,21.72
07-Sep-2011,460.00,504.80,460.00, 466.00,464.75,81093,393.46
06-Sep-2011,441.95,469.95,425.50, 456.10,456.35,17843,80.98
05-Sep-2011,419.00,430.00,418.00, 430.00,429.55,1822,7.76
02-Sep-2011,420.00,422.95,412.05, 419.00,413.80,559,2.33
30-Aug-2011,421.00,424.00,416.50, 419.75,420.80,1866,7.83
29-Aug-2011,412.00,414.00,405.00, 407.75,408.80,2952,12.07
26-Aug-2011,411.00,422.45,397.05, 400.85,399.10,3772,15.58
25-Aug-2011,409.05,412.85,401.00, 401.00,402.05,1068,4.33
24-Aug-2011,413.00,424.40,405.50, 412.85,409.50,310,1.27
23-Aug-2011,405.05,417.85,405.05, 410.00,411.90,606,2.50
22-Aug-2011,396.00,409.85,396.00, 402.00,404.90,2578,10.43
19-Aug-2011,403.20,415.00,403.15, 408.95,406.85,4669,19.02
