Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,20.50,20.50,20.50, 20.50,20.50,102,0.02
28-Dec-2011,21.50,21.50,21.00, 21.00,21.00,13,0.00
27-Dec-2011,22.95,22.95,21.30, 21.30,21.45,109,0.02
26-Dec-2011,21.50,23.00,21.25, 23.00,23.00,716,0.16
23-Dec-2011,21.15,22.00,20.95, 21.10,21.10,755,0.16
22-Dec-2011,20.60,21.00,20.60, 21.00,21.00,101,0.02
21-Dec-2011,20.95,22.25,20.05, 21.00,21.00,15945,3.41
20-Dec-2011,20.30,21.45,20.00, 21.45,21.45,740,0.15
19-Dec-2011,22.50,22.75,20.25, 21.95,20.40,113,0.02
16-Dec-2011,22.50,22.95,22.50, 22.95,22.95,3,0.00
15-Dec-2011,21.50,23.95,21.00, 22.00,22.00,445,0.10
14-Dec-2011,22.00,23.90,22.00, 23.00,22.40,1801,0.41
13-Dec-2011,21.00,22.20,21.00, 22.00,22.00,2931,0.64
12-Dec-2011,20.50,25.50,20.50, 21.55,21.55,2410,0.55
09-Dec-2011,21.50,22.00,21.00, 21.30,21.30,52,0.01
08-Dec-2011,21.50,22.00,21.00, 21.50,22.00,278,0.06
07-Dec-2011,24.85,24.85,21.25, 21.35,21.35,537,0.12
05-Dec-2011,22.00,22.00,20.40, 21.50,21.50,9,0.00
02-Dec-2011,21.40,22.00,21.00, 21.75,21.85,2211,0.47
01-Dec-2011,20.00,21.40,20.00, 21.40,21.40,183,0.04
30-Nov-2011,22.50,22.50,21.00, 21.00,21.05,1609,0.34
29-Nov-2011,20.10,24.90,20.10, 21.95,22.60,5268,1.19
28-Nov-2011,21.00,22.00,20.55, 21.05,21.05,1378,0.29
25-Nov-2011,20.15,23.00,20.15, 21.95,21.95,622,0.13
24-Nov-2011,22.50,24.45,21.00, 21.05,21.50,2219,0.47
23-Nov-2011,22.45,22.50,21.00, 21.05,21.75,25233,5.59
22-Nov-2011,19.00,23.50,17.25, 22.00,22.00,10320,2.25
21-Nov-2011,21.50,21.50,18.80, 18.90,20.05,30490,6.18
18-Nov-2011,21.25,21.55,21.25, 21.50,21.50,14,0.00
17-Nov-2011,22.50,23.25,22.25, 22.25,22.25,364,0.08
16-Nov-2011,23.60,23.60,22.00, 22.40,22.50,3030,0.68
15-Nov-2011,22.65,23.60,22.65, 23.60,23.60,102,0.02
14-Nov-2011,23.00,23.75,23.00, 23.05,23.05,1156,0.27
11-Nov-2011,22.50,23.75,22.25, 23.00,23.00,4044,0.93
09-Nov-2011,23.50,23.50,22.75, 23.10,23.10,773,0.18
08-Nov-2011,24.00,25.00,23.15, 23.15,23.60,566,0.14
04-Nov-2011,23.85,23.90,23.20, 23.20,23.20,1313,0.31
03-Nov-2011,23.40,24.90,23.40, 24.00,23.95,660,0.16
02-Nov-2011,23.00,23.80,22.50, 23.80,23.80,755,0.18
01-Nov-2011,23.30,23.35,23.30, 23.35,23.35,458,0.11
31-Oct-2011,23.00,24.40,22.15, 24.00,24.00,16413,3.94
28-Oct-2011,22.60,23.95,22.60, 23.95,23.60,1462,0.34
26-Oct-2011,23.10,24.00,22.00, 24.00,23.15,252,0.06
25-Oct-2011,23.50,23.80,23.05, 23.10,23.15,4124,0.96
24-Oct-2011,24.00,24.10,24.00, 24.00,24.00,9613,2.31
