Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,342.10,346.20,338.15, 344.00,343.50,3435770,11743.90
29-Dec-2011,343.00,350.80,336.30, 340.50,340.95,5068247,17399.65
28-Dec-2011,342.70,345.95,339.60, 344.30,343.70,1943231,6663.44
27-Dec-2011,345.10,347.95,340.20, 344.70,343.10,2520555,8653.75
26-Dec-2011,334.00,345.60,333.00, 345.55,344.75,3666822,12518.38
23-Dec-2011,336.00,337.85,327.65, 330.90,330.65,3240784,10726.97
22-Dec-2011,339.00,342.00,323.30, 333.00,335.20,5911454,19597.38
21-Dec-2011,332.00,345.15,327.70, 344.00,341.50,4648963,15586.45
20-Dec-2011,339.80,339.80,319.25, 323.05,323.25,8050347,26440.38
19-Dec-2011,334.00,343.40,321.25, 336.05,336.40,10875946,36355.55
16-Dec-2011,337.65,352.60,329.50, 334.35,336.55,7129037,24610.43
15-Dec-2011,338.00,342.20,332.00, 338.65,336.65,9889975,33196.00
14-Dec-2011,345.20,353.80,341.90, 348.75,348.80,5326642,18618.69
13-Dec-2011,339.60,350.80,336.95, 347.40,345.85,6110761,21096.90
12-Dec-2011,361.35,362.80,340.45, 343.05,342.30,7915098,27473.68
09-Dec-2011,364.40,365.90,351.65, 359.50,358.70,8867119,31763.95
08-Dec-2011,376.50,376.50,364.10, 366.00,367.25,5981204,22032.04
07-Dec-2011,390.50,391.00,376.00, 376.60,377.35,7499002,28595.41
05-Dec-2011,392.10,397.80,385.65, 389.80,390.50,4608295,18040.62
02-Dec-2011,381.30,393.85,372.30, 393.85,390.60,9427836,35839.00
01-Dec-2011,392.90,395.65,374.85, 377.45,379.10,8410443,32135.05
30-Nov-2011,376.00,389.00,367.25, 378.70,386.10,47139255,180207.24
29-Nov-2011,390.80,392.15,368.10, 372.90,373.70,6858554,25889.53
28-Nov-2011,378.00,389.80,377.45, 389.15,387.50,5911532,22663.89
25-Nov-2011,375.95,382.20,370.50, 373.80,375.15,4637766,17521.97
24-Nov-2011,367.00,384.50,363.20, 375.00,378.70,12051919,44944.40
23-Nov-2011,374.00,374.00,354.80, 365.40,364.80,10060801,36593.32
22-Nov-2011,387.00,388.80,372.60, 379.15,378.70,6424856,24341.10
21-Nov-2011,384.00,395.80,383.00, 387.00,388.45,9322995,36479.23
18-Nov-2011,391.60,402.00,391.60, 398.25,397.50,5670723,22516.57
17-Nov-2011,402.40,408.80,392.75, 393.05,395.65,3947782,15843.47
16-Nov-2011,404.90,412.00,395.80, 403.00,401.60,6320574,25662.82
15-Nov-2011,405.00,408.50,400.10, 401.05,401.60,5694312,23034.64
14-Nov-2011,398.65,406.70,397.50, 405.00,405.20,5906547,23890.32
11-Nov-2011,390.00,398.90,388.95, 396.00,395.60,3363567,13283.53
09-Nov-2011,395.60,402.50,393.00, 394.15,395.25,3174141,12682.56
08-Nov-2011,397.00,402.30,395.15, 397.40,397.15,3987770,15858.36
04-Nov-2011,391.00,400.50,385.05, 397.40,397.30,7576437,29961.28
03-Nov-2011,383.45,394.80,383.05, 394.55,393.40,3287671,12779.44
02-Nov-2011,390.05,395.70,383.25, 383.80,384.45,2653510,10317.80
01-Nov-2011,386.80,396.00,386.80, 393.30,394.55,1640827,6464.23
31-Oct-2011,393.80,395.60,388.35, 391.55,391.80,2182727,8558.12
28-Oct-2011,399.20,409.30,389.10, 391.00,391.95,4265585,16890.38
26-Oct-2011,391.00,395.00,391.00, 393.20,393.05,365675,1436.81
25-Oct-2011,386.00,393.65,381.90, 390.60,388.45,3190974,12402.25
24-Oct-2011,384.40,384.80,377.05, 383.50,383.00,2204524,8400.65
21-Oct-2011,391.90,391.90,376.50, 378.85,378.00,2936003,11256.35
20-Oct-2011,381.00,391.95,380.00, 388.90,390.05,2500435,9641.03
19-Oct-2011,375.30,386.60,371.75, 385.00,384.75,3861167,14782.99
18-Oct-2011,374.55,379.45,371.35, 374.50,374.10,2986591,11209.63
17-Oct-2011,381.45,386.85,377.15, 380.60,380.05,2473417,9410.74
14-Oct-2011,367.20,384.90,367.20, 384.00,383.65,3693590,13933.54
13-Oct-2011,376.00,376.90,366.10, 370.00,369.90,4699139,17388.49
12-Oct-2011,376.00,377.95,370.15, 372.15,373.20,3708998,13878.06
11-Oct-2011,367.25,380.45,367.00, 372.25,375.00,6300227,23721.44
10-Oct-2011,352.00,368.00,343.55, 366.25,363.55,10066752,35740.08
07-Oct-2011,371.20,375.90,348.20, 353.45,354.80,13527004,48320.14
05-Oct-2011,373.90,373.90,365.05, 368.20,366.10,4481624,16526.70
04-Oct-2011,378.50,383.10,365.35, 370.60,369.90,4761342,17858.68
03-Oct-2011,373.10,382.95,371.05, 382.70,380.95,3213776,12117.86
30-Sep-2011,376.85,388.50,371.75, 378.50,378.00,3183837,12176.38
29-Sep-2011,377.00,380.80,373.60, 377.00,375.40,3807792,14324.33
28-Sep-2011,389.80,389.80,376.95, 379.15,379.25,1838156,7003.80
27-Sep-2011,386.50,389.45,381.65, 387.00,387.60,4798589,18567.53
26-Sep-2011,376.75,385.35,368.00, 380.00,380.90,3562657,13471.38
23-Sep-2011,369.00,382.20,360.65, 374.00,375.00,7091652,26363.39
22-Sep-2011,388.70,388.70,368.05, 373.65,372.80,4916728,18545.62
21-Sep-2011,394.95,395.45,391.50, 393.25,393.25,2455878,9665.24
20-Sep-2011,388.80,392.50,385.80, 391.15,391.40,3666900,14303.42
19-Sep-2011,384.00,389.90,379.50, 386.90,386.85,3038911,11727.75
16-Sep-2011,388.80,389.80,381.65, 387.00,385.80,6222318,23975.80
15-Sep-2011,382.00,389.90,372.70, 389.00,387.10,4522062,17157.33
14-Sep-2011,383.00,384.00,372.50, 377.50,377.35,5730400,21571.50
13-Sep-2011,389.90,391.85,379.40, 380.40,381.55,3754165,14500.53
12-Sep-2011,397.05,397.85,382.55, 384.00,385.80,2961250,11501.02
09-Sep-2011,403.90,407.00,395.60, 399.70,400.15,5413450,21802.89
08-Sep-2011,401.65,404.30,396.20, 398.95,399.50,3560723,14235.56
07-Sep-2011,400.00,405.80,398.05, 401.60,401.65,4227778,17001.92
06-Sep-2011,403.10,406.00,390.85, 397.70,398.25,4443145,17665.90
05-Sep-2011,402.50,409.25,400.70, 404.80,405.55,2656579,10763.11
02-Sep-2011,416.00,418.95,406.50, 408.10,408.60,5160183,21162.59
30-Aug-2011,407.00,416.45,401.05, 403.65,404.65,5031304,20631.32
29-Aug-2011,403.00,410.70,402.75, 405.75,405.05,3285238,13353.41
26-Aug-2011,400.40,408.30,395.35, 399.95,398.65,5659774,22847.76
25-Aug-2011,401.90,409.40,392.85, 404.05,402.30,7669345,30615.49
