Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,228.00,231.00,227.55, 230.05,230.70,36,0.08
29-Dec-2011,233.00,243.00,232.00, 232.00,237.65,89,0.21
28-Dec-2011,231.10,231.10,230.05, 230.05,230.10,60,0.14
27-Dec-2011,240.00,240.00,240.00, 240.00,240.00,10,0.02
26-Dec-2011,240.00,244.75,236.75, 236.75,236.75,28,0.07
23-Dec-2011,249.60,249.60,232.10, 246.90,247.25,206,0.50
22-Dec-2011,242.95,242.95,233.10, 242.85,233.65,115,0.27
21-Dec-2011,230.05,243.00,230.05, 239.55,234.85,33,0.08
20-Dec-2011,228.00,237.95,223.15, 236.85,226.55,281,0.64
19-Dec-2011,223.00,261.95,223.00, 234.70,231.05,936,2.18
16-Dec-2011,233.75,245.75,233.75, 241.00,234.00,248,0.58
15-Dec-2011,231.00,245.80,231.00, 238.55,238.55,3427,8.06
14-Dec-2011,247.90,247.90,232.00, 232.00,232.90,2124,5.06
13-Dec-2011,252.00,257.80,240.00, 243.70,243.70,285,0.69
12-Dec-2011,248.00,252.90,242.90, 246.85,243.20,810,1.97
09-Dec-2011,250.00,251.00,245.55, 245.55,245.55,449,1.12
08-Dec-2011,245.25,257.85,245.25, 250.00,250.00,173,0.43
07-Dec-2011,265.80,268.90,246.00, 256.95,248.05,615,1.54
05-Dec-2011,269.00,269.00,252.50, 252.50,255.70,56,0.14
02-Dec-2011,260.00,260.00,257.00, 257.00,257.00,8,0.02
01-Dec-2011,246.70,270.00,246.70, 257.65,253.30,197,0.50
30-Nov-2011,252.00,252.90,248.05, 252.90,251.95,51,0.13
29-Nov-2011,258.50,258.50,247.00, 247.00,248.30,2011,5.09
28-Nov-2011,245.15,257.95,245.15, 249.00,249.00,572,1.43
25-Nov-2011,259.70,259.70,244.95, 248.00,247.00,1267,3.14
24-Nov-2011,242.80,263.00,242.80, 248.00,246.95,737,1.82
23-Nov-2011,269.60,269.60,248.05, 248.05,248.85,466,1.17
22-Nov-2011,245.00,268.90,245.00, 249.95,250.80,130,0.32
21-Nov-2011,252.00,264.25,250.00, 250.00,250.00,494,1.24
18-Nov-2011,250.50,264.70,242.00, 255.00,254.40,1756,4.40
17-Nov-2011,251.65,264.00,250.00, 250.50,255.60,130,0.33
16-Nov-2011,249.30,264.75,249.30, 258.20,250.45,334,0.83
15-Nov-2011,263.00,263.00,253.00, 255.25,255.25,87,0.22
14-Nov-2011,267.00,274.75,261.40, 270.25,270.35,516,1.39
11-Nov-2011,264.65,275.05,260.05, 266.25,269.75,467,1.26
09-Nov-2011,261.00,270.45,260.00, 267.25,263.75,975,2.55
08-Nov-2011,260.00,271.00,255.00, 270.00,264.55,196,0.52
04-Nov-2011,260.00,271.55,255.10, 264.00,267.80,197,0.52
03-Nov-2011,268.95,268.95,258.00, 264.75,264.75,51,0.13
02-Nov-2011,270.00,271.00,264.25, 268.25,264.60,251,0.66
01-Nov-2011,253.00,278.95,253.00, 269.00,269.00,344,0.91
31-Oct-2011,274.75,277.00,265.10, 266.25,270.40,451,1.22
28-Oct-2011,274.00,274.90,258.00, 258.00,260.80,605,1.58
26-Oct-2011,289.00,289.00,253.50, 273.00,259.80,273,0.72
25-Oct-2011,268.00,268.00,253.90, 266.60,257.75,1292,3.33
24-Oct-2011,255.20,263.95,252.25, 252.25,252.25,466,1.21
21-Oct-2011,268.90,268.90,255.00, 264.50,264.50,145,0.38
20-Oct-2011,257.75,267.95,251.00, 264.00,264.00,174,0.45
19-Oct-2011,259.00,259.00,250.60, 252.55,252.55,62,0.16
18-Oct-2011,250.00,259.00,250.00, 259.00,259.00,32,0.08
17-Oct-2011,250.00,255.00,250.00, 254.00,254.75,5,0.01
14-Oct-2011,259.75,260.00,252.20, 254.50,259.95,138,0.36
13-Oct-2011,269.00,269.00,251.00, 264.80,262.15,71,0.19
12-Oct-2011,257.75,260.00,250.10, 255.80,255.80,461,1.19
11-Oct-2011,250.00,254.90,250.00, 251.00,252.45,11,0.03
10-Oct-2011,251.00,256.40,251.00, 256.00,256.00,5,0.01
07-Oct-2011,249.00,259.75,249.00, 255.75,255.75,129,0.33
05-Oct-2011,240.00,250.00,240.00, 242.25,243.70,88,0.21
04-Oct-2011,245.00,255.00,241.00, 253.65,246.30,135,0.33
03-Oct-2011,247.55,253.95,247.00, 247.00,248.10,48,0.12
30-Sep-2011,286.90,286.90,248.10, 251.00,251.00,151,0.42
29-Sep-2011,264.50,264.50,251.15, 257.00,252.80,429,1.09
28-Sep-2011,248.10,262.00,248.10, 261.90,261.30,663,1.70
27-Sep-2011,248.00,259.40,247.55, 250.10,250.10,51,0.13
26-Sep-2011,257.00,257.00,241.60, 246.00,246.00,102,0.26
23-Sep-2011,250.05,257.40,247.25, 256.70,250.30,162,0.40
22-Sep-2011,257.05,257.05,252.25, 252.25,254.95,280,0.72
21-Sep-2011,260.00,267.50,255.50, 259.50,260.00,1244,3.23
20-Sep-2011,250.00,254.90,240.00, 254.50,254.00,517,1.30
19-Sep-2011,259.90,259.90,254.75, 254.75,254.75,10,0.03
16-Sep-2011,247.40,251.95,244.00, 248.95,247.70,578,1.44
15-Sep-2011,252.00,258.70,248.50, 251.20,250.70,582,1.47
14-Sep-2011,256.00,263.00,245.30, 245.30,247.70,703,1.79
13-Sep-2011,255.00,278.70,248.35, 254.95,251.50,1734,4.40
12-Sep-2011,261.00,267.45,251.30, 258.00,252.55,516,1.32
09-Sep-2011,267.00,274.00,260.25, 262.10,265.60,523,1.38
08-Sep-2011,269.95,275.00,260.00, 268.75,262.35,223,0.59
07-Sep-2011,262.60,279.85,258.20, 263.25,264.85,3181,8.31
06-Sep-2011,267.00,267.65,267.00, 267.65,267.65,52,0.14
05-Sep-2011,274.00,274.00,262.00, 262.75,262.75,755,2.00
02-Sep-2011,270.00,280.00,267.15, 267.15,269.75,228,0.62
30-Aug-2011,286.00,286.00,265.30, 265.55,265.75,421,1.12
29-Aug-2011,260.25,274.75,260.00, 260.35,261.35,622,1.66
26-Aug-2011,280.25,293.95,253.95, 253.95,257.70,2416,6.53
25-Aug-2011,300.00,300.00,278.10, 278.10,278.10,12,0.03
24-Aug-2011,286.30,288.85,285.90, 286.15,286.75,208,0.60
23-Aug-2011,300.00,300.00,285.00, 285.30,285.75,288,0.83
22-Aug-2011,285.00,319.90,285.00, 287.50,287.50,1485,4.59
19-Aug-2011,290.00,290.00,275.00, 278.00,282.15,240,0.68
18-Aug-2011,308.00,308.00,294.05, 302.00,294.45,368,1.09
17-Aug-2011,309.45,309.45,301.00, 307.00,301.35,279,0.84
16-Aug-2011,298.00,310.50,298.00, 308.00,307.70,2636,8.07
12-Aug-2011,295.00,295.00,295.00, 295.00,295.00,10,0.03
11-Aug-2011,306.00,306.00,288.25, 288.25,294.20,1520,4.55
10-Aug-2011,306.95,306.95,292.00, 298.00,302.60,836,2.50
09-Aug-2011,281.10,293.95,272.00, 293.95,293.30,855,2.41
08-Aug-2011,291.60,309.95,289.00, 291.90,299.70,1104,3.24
05-Aug-2011,292.00,305.00,290.00, 297.20,303.95,501,1.49
04-Aug-2011,300.10,324.00,300.10, 310.65,306.10,357,1.09
03-Aug-2011,302.05,309.95,302.05, 309.90,309.10,15,0.05
02-Aug-2011,303.00,310.00,303.00, 309.50,309.50,85,0.26
01-Aug-2011,319.40,319.40,301.00, 301.00,301.05,214,0.65
29-Jul-2011,305.00,315.40,305.00, 305.55,305.55,621,1.90
28-Jul-2011,310.55,315.00,302.30, 312.50,309.25,290,0.90
