Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,44.30,45.40,42.25, 43.25,43.20,37780,16.55
29-Dec-2011,43.00,46.75,40.50, 44.30,44.00,45929,20.43
28-Dec-2011,48.40,48.75,44.50, 45.70,45.40,95127,43.49
27-Dec-2011,48.50,49.20,48.40, 48.65,48.60,54526,26.61
26-Dec-2011,49.05,49.90,47.25, 48.65,48.75,58812,28.63
23-Dec-2011,49.10,50.80,48.50, 48.70,49.00,110037,54.68
22-Dec-2011,46.75,52.90,46.00, 48.55,48.85,209912,104.11
21-Dec-2011,39.40,53.00,39.40, 47.35,46.75,197252,93.48
20-Dec-2011,60.50,60.50,48.30, 48.50,49.20,386927,214.37
19-Dec-2011,59.15,60.75,55.35, 60.50,60.35,354260,211.73
16-Dec-2011,60.00,61.70,59.85, 60.00,60.00,96221,58.10
15-Dec-2011,61.45,61.45,59.35, 60.15,60.00,183266,109.91
14-Dec-2011,60.00,60.30,59.85, 60.10,60.00,43649,26.20
13-Dec-2011,59.90,60.40,59.90, 60.10,60.05,86470,51.91
12-Dec-2011,60.20,60.60,60.00, 60.10,60.00,83292,50.00
09-Dec-2011,60.05,60.20,59.65, 60.00,60.00,69327,41.61
08-Dec-2011,60.05,61.45,60.00, 60.00,60.05,151505,91.58
07-Dec-2011,60.20,60.80,60.00, 60.05,60.05,89356,53.74
05-Dec-2011,60.50,60.70,60.00, 60.05,60.00,72080,43.30
02-Dec-2011,60.30,61.20,60.15, 60.20,60.25,55663,33.64
01-Dec-2011,61.20,61.80,60.10, 60.10,60.15,50517,30.69
30-Nov-2011,60.90,61.45,60.10, 60.10,60.20,51696,31.29
29-Nov-2011,61.80,62.45,60.20, 60.70,60.50,51997,31.79
28-Nov-2011,61.35,62.35,60.60, 61.30,61.15,64975,39.98
25-Nov-2011,60.10,63.70,59.50, 60.60,60.35,130938,80.99
24-Nov-2011,60.00,64.45,60.00, 60.90,60.70,253112,156.23
23-Nov-2011,60.05,60.25,59.60, 60.05,60.10,151796,91.08
22-Nov-2011,60.20,60.80,60.00, 60.05,60.00,45250,27.20
21-Nov-2011,60.40,60.80,59.80, 60.00,60.00,121666,73.16
18-Nov-2011,60.05,60.35,59.65, 60.10,60.05,109005,65.42
17-Nov-2011,60.25,61.70,60.00, 60.10,60.05,103355,62.44
16-Nov-2011,60.70,62.55,60.00, 60.50,60.15,124287,75.61
15-Nov-2011,65.95,66.40,60.15, 60.40,60.35,93527,58.30
14-Nov-2011,66.40,70.45,65.00, 65.25,65.50,419887,284.67
11-Nov-2011,66.85,69.20,63.50, 64.95,64.15,226802,152.07
09-Nov-2011,61.25,71.45,61.25, 66.40,66.45,1095815,749.96
08-Nov-2011,60.20,62.45,60.00, 61.25,61.25,138403,84.38
04-Nov-2011,60.10,60.75,60.05, 60.75,60.55,52133,31.51
03-Nov-2011,60.05,60.65,60.00, 60.15,60.10,51391,30.91
