Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,11.00,11.05,10.70, 10.85,10.85,6384,0.70
29-Dec-2011,11.00,11.25,10.65, 10.70,10.70,2763,0.31
28-Dec-2011,11.15,11.15,10.70, 10.80,11.00,2859,0.31
27-Dec-2011,10.70,11.20,10.70, 10.70,10.70,2187,0.24
26-Dec-2011,10.50,11.35,10.50, 10.95,10.90,3286,0.36
23-Dec-2011,10.70,11.20,10.40, 11.00,10.95,12904,1.40
22-Dec-2011,10.55,11.00,10.50, 10.95,10.95,2378,0.26
21-Dec-2011,11.00,11.90,10.90, 10.95,10.95,5429,0.61
20-Dec-2011,11.85,12.40,11.30, 11.50,11.45,5512,0.64
19-Dec-2011,12.35,12.35,11.70, 11.90,11.90,6949,0.82
16-Dec-2011,12.50,13.15,12.25, 12.40,12.30,3372,0.42
15-Dec-2011,12.55,13.00,12.55, 13.00,12.85,3230,0.41
14-Dec-2011,13.70,13.70,12.50, 13.40,13.20,8430,1.07
13-Dec-2011,14.30,14.30,13.00, 13.95,13.15,5874,0.77
12-Dec-2011,14.35,14.35,13.65, 14.00,13.65,5343,0.74
09-Dec-2011,15.20,15.20,14.30, 14.30,14.35,3005,0.44
08-Dec-2011,15.20,15.40,15.05, 15.05,15.05,6755,1.02
07-Dec-2011,16.00,16.00,15.15, 15.80,15.80,1542,0.24
05-Dec-2011,15.60,15.60,15.15, 15.50,15.50,2007,0.31
02-Dec-2011,14.50,15.50,14.35, 15.35,15.35,7582,1.15
01-Dec-2011,14.50,15.20,14.50, 15.20,15.10,1419,0.21
30-Nov-2011,14.10,14.80,14.05, 14.50,14.50,1500,0.22
29-Nov-2011,15.35,15.35,14.15, 14.50,14.50,1171,0.17
28-Nov-2011,14.50,15.90,14.50, 14.70,14.75,791,0.12
25-Nov-2011,14.25,15.70,14.25, 15.20,15.20,522,0.08
24-Nov-2011,15.35,15.35,14.65, 15.00,15.00,1503,0.22
23-Nov-2011,14.75,15.85,14.75, 14.75,14.85,5600,0.84
22-Nov-2011,15.00,15.50,15.00, 15.35,15.35,4565,0.69
21-Nov-2011,15.30,15.85,15.25, 15.25,15.30,1824,0.28
18-Nov-2011,15.00,16.00,15.00, 16.00,16.00,5906,0.93
17-Nov-2011,16.35,16.35,15.75, 15.75,15.75,117,0.02
16-Nov-2011,16.00,16.80,15.60, 15.60,16.05,13203,2.09
15-Nov-2011,16.50,16.50,16.15, 16.35,16.35,2527,0.41
14-Nov-2011,16.50,17.35,16.05, 16.05,16.55,7779,1.27
11-Nov-2011,17.30,17.30,16.00, 16.40,16.85,6669,1.10
09-Nov-2011,16.50,16.85,16.15, 16.80,16.55,3483,0.58
08-Nov-2011,17.50,17.50,16.45, 16.45,16.45,675,0.11
04-Nov-2011,16.50,16.95,16.30, 16.95,16.90,1362,0.23
03-Nov-2011,17.00,17.35,16.20, 16.20,16.35,3610,0.60
02-Nov-2011,16.45,17.40,16.40, 17.00,17.00,1282,0.22
01-Nov-2011,16.90,17.30,16.90, 17.00,17.00,6655,1.14
31-Oct-2011,16.85,17.00,15.70, 17.00,16.95,7924,1.34
28-Oct-2011,17.45,17.45,16.20, 16.85,16.45,6210,1.03
26-Oct-2011,17.25,17.40,16.40, 16.55,17.05,1294,0.22
25-Oct-2011,16.60,16.95,16.35, 16.90,16.90,5079,0.86
24-Oct-2011,17.20,17.25,16.30, 16.40,16.55,4539,0.76
21-Oct-2011,16.65,17.25,16.60, 17.25,17.10,481,0.08
20-Oct-2011,16.90,17.20,16.45, 17.20,17.10,2421,0.40
19-Oct-2011,16.65,17.80,16.65, 16.70,16.85,10960,1.87
18-Oct-2011,16.55,17.80,16.55, 16.65,17.20,6465,1.11
17-Oct-2011,17.35,17.75,17.05, 17.05,17.10,3310,0.57
14-Oct-2011,16.90,18.20,16.90, 17.50,17.50,4136,0.73
13-Oct-2011,17.30,17.75,17.05, 17.75,17.70,1834,0.32
12-Oct-2011,17.50,17.90,17.00, 17.00,17.30,8924,1.55
11-Oct-2011,17.10,18.20,17.10, 17.35,17.35,1212,0.21
10-Oct-2011,17.85,17.90,17.00, 17.90,17.80,1301,0.23
07-Oct-2011,17.25,17.85,17.00, 17.15,17.15,6500,1.11
05-Oct-2011,17.10,18.60,17.05, 17.40,17.80,10004,1.74
04-Oct-2011,18.15,18.90,17.10, 18.50,17.95,13964,2.52
03-Oct-2011,18.00,19.25,18.00, 18.05,18.00,2180,0.40
30-Sep-2011,18.05,19.30,18.05, 18.65,18.65,1368,0.26
29-Sep-2011,18.40,19.20,18.40, 18.50,18.55,6751,1.26
28-Sep-2011,18.30,19.65,18.30, 19.05,19.20,4651,0.90
27-Sep-2011,18.95,19.15,18.40, 18.75,19.10,4640,0.88
26-Sep-2011,18.00,19.45,18.00, 18.45,18.20,5489,1.01
23-Sep-2011,19.00,19.00,18.05, 18.85,18.85,4740,0.88
22-Sep-2011,18.55,19.25,18.55, 19.00,19.00,2386,0.45
21-Sep-2011,18.80,19.40,18.35, 19.40,19.30,1279,0.24
20-Sep-2011,18.45,19.50,18.45, 18.75,18.75,3718,0.70
19-Sep-2011,20.00,20.00,18.85, 18.90,19.00,2113,0.40
16-Sep-2011,18.30,19.50,18.30, 19.35,19.35,6361,1.20
15-Sep-2011,19.40,19.80,18.90, 19.65,19.25,5027,0.98
14-Sep-2011,18.85,19.40,18.75, 19.00,19.30,5311,1.00
13-Sep-2011,19.10,19.70,18.20, 19.35,19.40,3587,0.69
12-Sep-2011,19.10,19.90,19.05, 19.05,19.10,1257,0.24
09-Sep-2011,19.95,19.95,19.00, 19.65,19.30,7054,1.37
08-Sep-2011,20.95,20.95,19.50, 19.50,19.60,13596,2.69
