Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,0.55,0.55,0.50, 0.55,0.55,974334,5.22
29-Dec-2011,0.55,0.55,0.50, 0.55,0.55,908318,4.78
28-Dec-2011,0.55,0.55,0.50, 0.55,0.55,657539,3.51
27-Dec-2011,0.55,0.55,0.50, 0.55,0.55,504469,2.69
26-Dec-2011,0.55,0.55,0.50, 0.55,0.50,1621365,8.63
23-Dec-2011,0.55,0.55,0.50, 0.55,0.50,786147,4.05
22-Dec-2011,0.50,0.55,0.50, 0.55,0.55,497017,2.62
21-Dec-2011,0.50,0.55,0.50, 0.55,0.50,1047881,5.45
20-Dec-2011,0.55,0.55,0.50, 0.50,0.50,1585473,8.12
19-Dec-2011,0.55,0.60,0.50, 0.55,0.50,872927,4.62
16-Dec-2011,0.60,0.60,0.50, 0.55,0.55,1860609,10.24
15-Dec-2011,0.55,0.60,0.50, 0.55,0.55,2473091,13.44
14-Dec-2011,0.55,0.60,0.55, 0.60,0.55,459532,2.62
13-Dec-2011,0.55,0.60,0.55, 0.55,0.60,683167,3.85
12-Dec-2011,0.60,0.60,0.55, 0.60,0.55,820285,4.60
09-Dec-2011,0.55,0.60,0.55, 0.60,0.60,862129,4.98
08-Dec-2011,0.55,0.60,0.55, 0.60,0.55,740836,4.20
07-Dec-2011,0.60,0.60,0.55, 0.55,0.60,1886641,11.22
05-Dec-2011,0.60,0.60,0.55, 0.60,0.55,411104,2.40
02-Dec-2011,0.60,0.60,0.55, 0.60,0.60,603347,3.48
01-Dec-2011,0.60,0.60,0.55, 0.60,0.60,1287075,7.42
30-Nov-2011,0.60,0.60,0.55, 0.55,0.60,1024143,5.85
29-Nov-2011,0.60,0.60,0.55, 0.55,0.55,812299,4.63
28-Nov-2011,0.55,0.60,0.50, 0.60,0.55,1417422,7.83
25-Nov-2011,0.55,0.60,0.50, 0.55,0.55,1694719,9.53
24-Nov-2011,0.60,0.60,0.50, 0.55,0.55,3113337,17.21
23-Nov-2011,0.55,0.60,0.55, 0.55,0.55,1878135,10.50
22-Nov-2011,0.60,0.60,0.55, 0.60,0.55,1692991,9.63
21-Nov-2011,0.60,0.60,0.55, 0.60,0.55,1493144,8.55
18-Nov-2011,0.65,0.65,0.55, 0.55,0.60,2144696,13.00
17-Nov-2011,0.65,0.65,0.55, 0.65,0.65,3204236,19.42
16-Nov-2011,0.65,0.65,0.60, 0.60,0.65,845189,5.28
15-Nov-2011,0.70,0.70,0.60, 0.65,0.60,2420877,15.71
14-Nov-2011,0.70,0.70,0.65, 0.70,0.65,871622,5.75
11-Nov-2011,0.70,0.70,0.65, 0.65,0.65,1498141,10.20
09-Nov-2011,0.70,0.70,0.65, 0.65,0.65,1022007,6.90
08-Nov-2011,0.70,0.70,0.65, 0.70,0.70,1120181,7.66
04-Nov-2011,0.70,0.70,0.65, 0.70,0.70,1067229,7.16
03-Nov-2011,0.70,0.70,0.65, 0.70,0.65,555933,3.74
02-Nov-2011,0.70,0.70,0.65, 0.70,0.65,400175,2.69
01-Nov-2011,0.70,0.70,0.65, 0.70,0.70,863768,5.88
31-Oct-2011,0.70,0.70,0.65, 0.70,0.65,605115,4.08
28-Oct-2011,0.70,0.70,0.65, 0.70,0.70,1169732,7.99
26-Oct-2011,0.70,0.70,0.65, 0.70,0.70,407326,2.79
25-Oct-2011,0.70,0.70,0.65, 0.65,0.65,1606744,10.49
24-Oct-2011,0.70,0.70,0.65, 0.65,0.65,726092,4.82
21-Oct-2011,0.70,0.70,0.65, 0.70,0.65,581917,3.86
20-Oct-2011,0.70,0.70,0.65, 0.65,0.70,1051146,6.92
19-Oct-2011,0.70,0.70,0.65, 0.65,0.65,813118,5.51
18-Oct-2011,0.65,0.70,0.65, 0.70,0.70,1162300,7.91
17-Oct-2011,0.65,0.70,0.65, 0.65,0.65,1707547,11.42
14-Oct-2011,0.65,0.70,0.65, 0.70,0.70,1062321,7.13
13-Oct-2011,0.70,0.70,0.65, 0.70,0.65,754169,5.09
12-Oct-2011,0.70,0.70,0.65, 0.70,0.70,1213063,8.16
11-Oct-2011,0.70,0.70,0.65, 0.65,0.65,881396,5.92
10-Oct-2011,0.70,0.70,0.65, 0.65,0.65,634843,4.24
07-Oct-2011,0.70,0.70,0.65, 0.70,0.70,1418937,9.73
05-Oct-2011,0.70,0.70,0.65, 0.70,0.65,853889,5.67
04-Oct-2011,0.65,0.70,0.65, 0.70,0.65,2029383,13.42
03-Oct-2011,0.70,0.70,0.65, 0.65,0.70,1835056,12.17
30-Sep-2011,0.65,0.70,0.65, 0.70,0.65,1468206,9.91
29-Sep-2011,0.65,0.70,0.65, 0.70,0.70,2748103,18.70
28-Sep-2011,0.65,0.70,0.65, 0.70,0.70,890748,6.01
27-Sep-2011,0.70,0.70,0.65, 0.65,0.65,1328446,8.81
26-Sep-2011,0.70,0.70,0.65, 0.70,0.65,2296806,15.39
23-Sep-2011,0.65,0.70,0.65, 0.70,0.65,1263328,8.54
22-Sep-2011,0.75,0.75,0.70, 0.70,0.70,1521966,10.81
21-Sep-2011,0.70,0.75,0.65, 0.75,0.75,966416,6.88
20-Sep-2011,0.70,0.75,0.65, 0.70,0.70,1388184,9.61
19-Sep-2011,0.70,0.70,0.65, 0.65,0.70,1494997,10.21
16-Sep-2011,0.70,0.75,0.65, 0.70,0.70,1370692,9.68
15-Sep-2011,0.75,0.75,0.65, 0.70,0.70,1289161,8.94
14-Sep-2011,0.70,0.75,0.65, 0.70,0.70,16889556,122.64
13-Sep-2011,0.70,0.75,0.65, 0.70,0.65,1431956,9.81
12-Sep-2011,0.65,0.70,0.65, 0.70,0.70,834229,5.75
09-Sep-2011,0.75,0.75,0.65, 0.75,0.70,1777020,12.44
08-Sep-2011,0.75,0.75,0.65, 0.70,0.70,3491854,24.55
07-Sep-2011,0.75,0.75,0.65, 0.75,0.70,3384698,23.53
06-Sep-2011,0.75,0.80,0.70, 0.70,0.70,11559426,83.23
05-Sep-2011,0.75,0.75,0.70, 0.75,0.75,2695690,20.02
02-Sep-2011,0.75,0.75,0.70, 0.75,0.75,1156735,8.42
30-Aug-2011,0.70,0.75,0.70, 0.75,0.75,3112345,22.96
29-Aug-2011,0.65,0.70,0.65, 0.70,0.70,1523511,10.22
26-Aug-2011,0.65,0.75,0.65, 0.70,0.65,1309324,8.87
25-Aug-2011,0.75,0.75,0.65, 0.65,0.70,2058197,14.30
24-Aug-2011,0.70,0.70,0.65, 0.70,0.70,1969140,13.43
23-Aug-2011,0.65,0.70,0.60, 0.70,0.65,1964124,12.92
22-Aug-2011,0.65,0.65,0.60, 0.65,0.65,1823162,11.50
19-Aug-2011,0.65,0.70,0.60, 0.60,0.60,2595744,16.25
18-Aug-2011,0.70,0.70,0.65, 0.65,0.65,2161276,14.34
17-Aug-2011,0.70,0.70,0.65, 0.65,0.65,904020,6.10
16-Aug-2011,0.70,0.75,0.65, 0.70,0.65,1316450,9.05
12-Aug-2011,0.70,0.75,0.65, 0.70,0.70,1823777,12.81
11-Aug-2011,0.70,0.75,0.65, 0.65,0.70,2854760,19.87
10-Aug-2011,0.70,0.70,0.65, 0.65,0.70,1841564,12.67
09-Aug-2011,0.65,0.70,0.65, 0.70,0.65,2519553,16.91
08-Aug-2011,0.75,0.75,0.65, 0.70,0.65,4780010,32.19
05-Aug-2011,0.75,0.75,0.70, 0.70,0.70,4878931,35.24
04-Aug-2011,0.75,0.80,0.75, 0.80,0.75,3215350,24.46
03-Aug-2011,0.80,0.80,0.70, 0.70,0.75,3186084,23.55
02-Aug-2011,0.80,0.80,0.75, 0.75,0.75,1016766,7.84
01-Aug-2011,0.75,0.80,0.75, 0.75,0.75,1373159,10.55
29-Jul-2011,0.80,0.80,0.75, 0.75,0.75,2198908,16.87
28-Jul-2011,0.80,0.85,0.75, 0.80,0.75,3994503,31.73
27-Jul-2011,0.85,0.85,0.80, 0.80,0.80,2711850,21.90
26-Jul-2011,0.80,0.85,0.80, 0.80,0.80,1647384,13.43
25-Jul-2011,0.85,0.85,0.80, 0.80,0.80,1094694,8.98
22-Jul-2011,0.80,0.85,0.80, 0.80,0.80,1575128,12.97
21-Jul-2011,0.85,0.85,0.80, 0.80,0.80,1403161,11.46
20-Jul-2011,0.85,0.85,0.80, 0.85,0.80,3274668,26.68
19-Jul-2011,0.85,0.85,0.80, 0.85,0.80,2086978,16.93
18-Jul-2011,0.85,0.85,0.80, 0.80,0.80,1207264,9.90
15-Jul-2011,0.80,0.85,0.80, 0.85,0.80,3616743,29.23
14-Jul-2011,0.85,0.85,0.80, 0.85,0.80,8878993,71.55
13-Jul-2011,0.85,0.85,0.80, 0.85,0.85,1796862,15.02
12-Jul-2011,0.85,0.85,0.80, 0.80,0.80,2675769,21.69
11-Jul-2011,0.80,0.85,0.80, 0.85,0.80,2292913,18.60
08-Jul-2011,0.85,0.85,0.80, 0.80,0.80,6834685,55.20
07-Jul-2011,0.85,0.90,0.80, 0.80,0.80,11295624,92.98
06-Jul-2011,0.80,0.85,0.80, 0.85,0.85,9756164,82.91
05-Jul-2011,0.80,0.85,0.80, 0.80,0.80,4088568,33.21
04-Jul-2011,0.85,0.85,0.80, 0.85,0.80,4312582,35.17
01-Jul-2011,0.85,0.90,0.80, 0.85,0.80,19611936,168.11
30-Jun-2011,0.85,0.90,0.85, 0.85,0.85,3345591,28.77
29-Jun-2011,0.85,0.90,0.85, 0.85,0.85,5627132,48.18
28-Jun-2011,0.85,0.90,0.85, 0.90,0.85,1419947,12.50
27-Jun-2011,0.85,0.95,0.85, 0.90,0.85,10585150,92.81
24-Jun-2011,0.85,0.90,0.80, 0.90,0.90,3821863,32.75
23-Jun-2011,0.90,0.95,0.85, 0.85,0.85,7137075,61.57
22-Jun-2011,0.90,0.95,0.90, 0.90,0.90,2310480,21.02
21-Jun-2011,0.90,0.95,0.90, 0.90,0.90,8811042,79.69
20-Jun-2011,1.00,1.05,0.95, 0.95,0.95,10401183,102.53
17-Jun-2011,1.00,1.05,1.00, 1.00,1.00,2182102,21.98
16-Jun-2011,1.05,1.05,1.00, 1.00,1.00,2733705,27.37
15-Jun-2011,1.00,1.05,1.00, 1.00,1.00,3597034,36.11
14-Jun-2011,1.05,1.05,1.00, 1.00,1.00,3535855,35.57
13-Jun-2011,1.00,1.05,1.00, 1.00,1.05,892715,9.03
10-Jun-2011,1.00,1.05,1.00, 1.00,1.00,1279916,12.97
09-Jun-2011,1.05,1.05,1.00, 1.05,1.00,1061054,10.76
08-Jun-2011,1.00,1.05,1.00, 1.00,1.00,980361,9.92
07-Jun-2011,1.05,1.05,1.00, 1.00,1.00,932740,9.44
06-Jun-2011,1.05,1.05,1.00, 1.00,1.00,754093,7.67
03-Jun-2011,1.05,1.05,1.00, 1.05,1.00,1663824,16.90
02-Jun-2011,1.05,1.05,1.00, 1.05,1.00,3044875,30.74
01-Jun-2011,1.00,1.05,1.00, 1.05,1.00,1409303,14.39
31-May-2011,1.05,1.05,1.00, 1.05,1.00,2642643,26.63
30-May-2011,1.05,1.05,1.00, 1.05,1.00,893113,9.09
27-May-2011,1.00,1.05,1.00, 1.05,1.00,797987,8.15
26-May-2011,1.05,1.05,1.00, 1.00,1.00,748451,7.60
25-May-2011,1.05,1.05,1.00, 1.00,1.00,1193272,12.13
24-May-2011,1.05,1.05,1.00, 1.05,1.00,1215670,12.35
23-May-2011,1.05,1.05,1.00, 1.00,1.00,1255484,12.73
20-May-2011,1.00,1.05,1.00, 1.00,1.00,3760577,37.87
19-May-2011,1.05,1.05,1.00, 1.00,1.00,3990655,40.35
18-May-2011,1.05,1.10,1.00, 1.00,1.05,6522388,65.68
17-May-2011,1.10,1.10,1.05, 1.05,1.05,1430147,15.14
16-May-2011,1.05,1.10,1.05, 1.05,1.05,1859495,19.82
13-May-2011,1.05,1.10,1.05, 1.05,1.05,1305068,13.95
12-May-2011,1.10,1.10,1.05, 1.05,1.05,1177485,12.60
11-May-2011,1.05,1.10,1.05, 1.10,1.10,896967,9.59
10-May-2011,1.10,1.10,1.05, 1.05,1.05,1128549,12.00
09-May-2011,1.05,1.10,1.05, 1.10,1.05,1587305,17.00
06-May-2011,1.10,1.10,1.05, 1.10,1.05,1572453,16.92
05-May-2011,1.10,1.10,1.05, 1.10,1.05,1938810,20.85
04-May-2011,1.05,1.10,1.05, 1.05,1.10,2018718,21.89
03-May-2011,1.10,1.15,1.05, 1.05,1.10,3643864,40.06
02-May-2011,1.10,1.10,1.05, 1.10,1.10,2506951,27.35
29-Apr-2011,1.05,1.05,1.00, 1.05,1.05,2375608,24.91
28-Apr-2011,1.15,1.25,1.00, 1.00,1.00,57558556,612.49
27-Apr-2011,1.20,1.25,1.10, 1.15,1.15,14438965,166.99
26-Apr-2011,1.35,1.35,1.15, 1.20,1.20,18484038,225.66
25-Apr-2011,1.40,1.45,1.30, 1.35,1.40,7518297,103.07
21-Apr-2011,1.40,1.45,1.25, 1.35,1.40,19988205,273.75
20-Apr-2011,1.10,1.35,1.05, 1.35,1.35,40430123,515.23
19-Apr-2011,1.10,1.15,1.05, 1.10,1.10,3224119,35.26
18-Apr-2011,1.10,1.15,1.05, 1.10,1.10,3238170,35.61
15-Apr-2011,1.15,1.15,1.05, 1.10,1.10,4246171,46.92
13-Apr-2011,1.15,1.15,1.10, 1.15,1.15,1300603,14.67
