Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,22.00,22.30,20.55, 21.30,21.20,69681,14.65
29-Dec-2011,21.95,22.55,21.55, 22.00,21.85,10364,2.28
28-Dec-2011,23.20,23.20,21.40, 22.05,21.80,14231,3.13
27-Dec-2011,23.60,23.60,22.00, 23.10,23.00,6871,1.56
26-Dec-2011,24.95,24.95,23.00, 23.35,23.25,12613,2.94
23-Dec-2011,22.05,23.50,22.05, 23.15,22.90,11215,2.57
22-Dec-2011,21.75,22.60,21.75, 22.50,22.50,6295,1.41
21-Dec-2011,21.70,22.80,21.25, 22.50,22.25,2910,0.65
20-Dec-2011,21.20,22.05,21.05, 21.50,21.70,10563,2.28
19-Dec-2011,22.55,22.60,21.10, 21.60,21.50,16708,3.60
16-Dec-2011,23.35,23.40,22.30, 22.30,22.45,18663,4.29
15-Dec-2011,23.10,23.50,22.90, 23.15,23.00,45548,10.58
14-Dec-2011,23.80,23.95,23.35, 23.35,23.55,5316,1.26
13-Dec-2011,23.70,24.00,23.25, 24.00,23.80,9703,2.31
12-Dec-2011,23.10,24.90,23.10, 23.60,23.75,15672,3.74
09-Dec-2011,23.55,24.45,23.15, 24.10,23.95,13934,3.35
08-Dec-2011,25.45,25.45,24.00, 24.10,24.10,26315,6.43
07-Dec-2011,25.45,25.90,25.00, 25.45,25.25,11703,2.99
05-Dec-2011,25.80,26.20,25.25, 25.40,25.45,16248,4.16
02-Dec-2011,25.50,25.95,25.40, 25.95,25.80,8608,2.21
01-Dec-2011,27.20,27.25,25.65, 25.70,25.65,15566,4.05
30-Nov-2011,26.25,26.50,25.20, 25.90,25.95,84883,22.01
29-Nov-2011,25.00,26.45,25.00, 25.35,25.70,15055,3.85
28-Nov-2011,25.50,26.00,25.15, 25.55,25.45,30550,7.75
25-Nov-2011,26.35,26.35,24.30, 25.35,25.20,30497,7.71
24-Nov-2011,25.05,25.05,24.20, 25.00,24.75,17189,4.24
23-Nov-2011,26.10,26.10,24.75, 25.50,25.35,28307,7.16
22-Nov-2011,26.90,26.90,25.50, 26.05,25.95,40021,10.41
21-Nov-2011,26.40,26.50,25.00, 26.05,26.05,60460,15.69
18-Nov-2011,25.60,26.00,24.85, 26.00,25.55,148870,38.11
17-Nov-2011,24.00,26.15,24.00, 24.60,24.45,167643,42.35
16-Nov-2011,23.00,24.70,23.00, 24.70,24.40,42377,10.11
15-Nov-2011,23.05,24.45,22.85, 23.25,23.15,29257,6.97
14-Nov-2011,23.90,24.75,23.40, 24.00,23.70,152835,37.09
11-Nov-2011,22.90,23.60,22.75, 23.25,23.30,45112,10.56
09-Nov-2011,23.90,23.95,23.00, 23.35,23.20,12271,2.87
08-Nov-2011,23.15,24.95,22.75, 23.25,23.40,202242,48.32
04-Nov-2011,22.95,23.55,22.90, 23.00,23.00,33994,7.94
03-Nov-2011,22.70,23.70,22.70, 23.30,23.30,8533,1.99
02-Nov-2011,22.60,23.70,22.60, 23.30,23.05,40940,9.52
01-Nov-2011,22.75,23.00,22.15, 22.90,22.90,15103,3.43
31-Oct-2011,22.00,22.75,21.55, 22.75,22.60,16331,3.65
28-Oct-2011,21.80,22.80,21.50, 22.20,22.00,36351,8.07
26-Oct-2011,22.50,22.50,21.70, 21.95,22.10,30359,6.70
25-Oct-2011,21.35,22.25,20.60, 21.40,21.50,10562,2.27
24-Oct-2011,23.60,24.15,21.25, 21.55,21.40,17784,3.92
21-Oct-2011,21.40,21.95,20.85, 20.85,21.50,21122,4.55
20-Oct-2011,22.05,22.05,21.50, 21.80,21.80,3777,0.82
19-Oct-2011,21.50,22.50,21.10, 22.40,21.65,22086,4.82
18-Oct-2011,22.15,22.20,21.30, 21.80,21.55,7645,1.66
17-Oct-2011,22.00,22.45,21.95, 22.20,22.20,29677,6.57
14-Oct-2011,21.55,22.15,21.50, 22.05,22.00,14880,3.25
13-Oct-2011,22.00,22.00,21.00, 21.55,21.55,19406,4.17
12-Oct-2011,22.00,22.00,21.10, 21.65,21.85,8750,1.90
11-Oct-2011,22.00,23.35,21.05, 21.90,21.75,31721,7.04
10-Oct-2011,21.50,22.00,20.80, 21.70,21.90,29426,6.35
07-Oct-2011,20.95,21.35,20.85, 21.20,21.10,22024,4.64
05-Oct-2011,20.90,22.00,20.65, 20.65,20.80,41715,8.74
04-Oct-2011,19.25,20.50,19.25, 19.80,20.10,25855,5.21
03-Oct-2011,19.45,19.65,18.80, 19.50,19.40,18421,3.55
30-Sep-2011,19.55,20.50,19.05, 19.60,19.40,16594,3.27
29-Sep-2011,19.90,19.95,19.15, 19.70,19.65,15716,3.05
28-Sep-2011,20.25,20.25,19.50, 19.50,19.80,8939,1.78
27-Sep-2011,19.80,20.45,19.75, 20.15,20.15,6655,1.34
26-Sep-2011,20.90,21.00,19.05, 19.75,19.65,39618,7.91
23-Sep-2011,21.00,21.00,20.00, 20.50,20.65,22695,4.64
22-Sep-2011,21.10,21.70,20.50, 20.70,20.65,15390,3.21
21-Sep-2011,21.50,22.35,21.50, 21.80,21.70,6304,1.37
20-Sep-2011,20.90,22.70,20.90, 22.00,22.10,39527,8.67
19-Sep-2011,21.00,21.15,20.70, 20.80,20.95,16711,3.49
16-Sep-2011,20.90,20.95,20.50, 20.55,20.65,27197,5.63
15-Sep-2011,21.20,21.20,20.50, 20.75,20.75,18518,3.84
14-Sep-2011,21.20,21.20,20.80, 21.00,21.00,5717,1.20
13-Sep-2011,21.75,21.75,19.55, 20.80,20.85,18408,3.84
12-Sep-2011,21.05,21.30,20.50, 21.00,20.90,37328,7.76
09-Sep-2011,21.25,25.45,20.75, 21.00,21.00,282313,62.70
08-Sep-2011,21.00,21.80,20.70, 21.80,21.20,90943,19.24
07-Sep-2011,20.95,21.85,20.70, 21.00,21.00,14917,3.17
06-Sep-2011,21.20,21.35,20.50, 21.00,21.25,9616,2.02
05-Sep-2011,20.45,21.00,20.00, 20.50,20.70,11817,2.45
02-Sep-2011,20.25,21.20,20.25, 20.70,20.65,8136,1.69
30-Aug-2011,20.40,22.00,20.25, 20.50,20.45,21787,4.59
