Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,272.50,273.90,268.00, 270.00,269.45,1478,3.98
29-Dec-2011,267.00,273.85,267.00, 272.00,272.00,469,1.27
28-Dec-2011,277.70,277.70,270.05, 270.75,272.10,2001,5.45
27-Dec-2011,278.60,278.60,274.00, 275.00,275.00,281,0.77
26-Dec-2011,274.35,274.35,272.20, 272.95,272.75,592,1.61
23-Dec-2011,272.95,279.80,270.10, 271.00,272.15,874,2.41
22-Dec-2011,267.00,271.80,263.20, 270.00,270.35,8967,24.02
21-Dec-2011,274.95,274.95,270.00, 270.00,270.30,1330,3.60
20-Dec-2011,269.00,272.00,269.00, 270.25,270.25,8141,21.99
19-Dec-2011,278.00,278.00,272.00, 272.00,272.40,2880,7.88
16-Dec-2011,280.05,283.30,279.00, 281.50,279.95,16293,45.70
15-Dec-2011,288.50,288.50,280.00, 280.00,280.15,6412,17.99
14-Dec-2011,287.00,291.00,284.00, 290.00,289.45,5250,15.20
13-Dec-2011,280.00,295.00,280.00, 286.15,289.55,12591,36.33
12-Dec-2011,277.55,281.95,277.55, 280.95,280.05,5889,16.50
09-Dec-2011,280.05,282.70,280.00, 280.00,280.90,1733,4.86
08-Dec-2011,277.50,282.50,277.30, 280.00,280.25,1435,4.03
07-Dec-2011,283.00,283.00,279.50, 281.75,280.25,3790,10.63
05-Dec-2011,277.05,282.85,277.05, 282.70,281.55,1222,3.43
02-Dec-2011,275.70,283.95,270.55, 283.20,281.70,1249,3.51
01-Dec-2011,282.00,283.90,277.00, 281.00,278.20,2461,6.89
30-Nov-2011,279.95,281.65,276.35, 280.05,280.50,702,1.97
29-Nov-2011,284.45,285.75,277.20, 278.00,278.30,1541,4.34
28-Nov-2011,275.05,286.55,275.05, 280.10,282.30,2684,7.55
25-Nov-2011,285.00,285.00,275.20, 275.50,278.35,2424,6.80
24-Nov-2011,280.50,280.95,275.00, 279.00,278.60,5375,14.85
