Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,15.80,16.45,15.75, 16.15,16.00,18552,2.98
29-Dec-2011,16.00,16.85,15.95, 16.20,16.20,20006,3.23
28-Dec-2011,16.70,16.95,16.20, 16.25,16.35,19319,3.17
27-Dec-2011,16.35,17.20,16.25, 16.70,16.60,15315,2.56
26-Dec-2011,17.35,17.35,16.60, 16.70,16.80,20129,3.39
23-Dec-2011,16.00,18.50,16.00, 16.60,16.75,36128,6.16
22-Dec-2011,16.00,16.55,16.00, 16.40,16.35,9391,1.53
21-Dec-2011,16.20,16.75,16.05, 16.30,16.35,18225,2.98
20-Dec-2011,16.95,16.95,15.80, 15.90,16.00,22995,3.71
19-Dec-2011,17.00,17.00,15.80, 16.15,16.15,24535,3.96
16-Dec-2011,17.55,17.55,16.70, 16.75,16.80,23148,3.96
15-Dec-2011,17.10,17.45,17.10, 17.15,17.25,23044,3.97
14-Dec-2011,17.30,18.55,17.30, 17.65,17.55,41870,7.49
13-Dec-2011,17.65,18.30,15.20, 17.85,17.65,63973,11.26
12-Dec-2011,19.30,19.75,18.55, 18.80,18.90,37747,7.21
09-Dec-2011,19.50,20.25,18.40, 19.00,19.25,138738,26.92
08-Dec-2011,21.55,24.50,19.65, 19.90,20.05,616646,135.83
07-Dec-2011,16.90,20.60,16.90, 20.60,20.60,220123,43.41
05-Dec-2011,17.35,17.35,17.05, 17.10,17.20,5241,0.90
02-Dec-2011,17.30,17.50,17.05, 17.15,17.20,13844,2.39
01-Dec-2011,17.15,19.55,17.05, 17.20,17.10,21114,3.67
30-Nov-2011,16.85,16.85,16.40, 16.40,16.40,9735,1.62
29-Nov-2011,16.90,17.10,16.50, 16.85,16.65,12445,2.10
28-Nov-2011,16.90,17.45,16.50, 16.65,16.75,11381,1.91
25-Nov-2011,16.30,16.90,16.25, 16.70,16.65,16343,2.73
24-Nov-2011,17.35,17.35,15.65, 16.30,16.25,36238,5.81
23-Nov-2011,17.25,17.60,16.15, 16.50,16.60,23548,3.97
22-Nov-2011,17.20,17.65,17.15, 17.35,17.30,8845,1.54
21-Nov-2011,17.80,17.95,17.10, 17.10,17.35,22510,3.94
18-Nov-2011,18.00,18.35,17.40, 17.60,17.55,18528,3.26
17-Nov-2011,18.50,18.90,18.00, 18.35,18.15,24211,4.46
16-Nov-2011,19.25,19.25,18.15, 18.35,18.30,17151,3.14
15-Nov-2011,19.60,19.80,18.15, 18.45,18.35,51638,9.79
14-Nov-2011,19.60,20.60,19.60, 19.60,19.60,11203,2.22
11-Nov-2011,20.90,20.90,19.65, 19.80,19.85,18133,3.60
09-Nov-2011,20.95,21.30,20.05, 20.20,20.10,53177,10.92
08-Nov-2011,19.75,22.45,19.60, 20.80,20.75,146672,31.03
04-Nov-2011,20.50,20.50,19.65, 19.85,19.75,21908,4.38
03-Nov-2011,19.50,19.90,19.50, 19.80,19.80,5828,1.15
02-Nov-2011,19.60,20.15,19.60, 19.80,19.60,21275,4.18
01-Nov-2011,19.50,20.30,19.40, 19.85,19.85,22386,4.46
31-Oct-2011,19.70,20.10,19.60, 20.00,20.00,53349,10.49
28-Oct-2011,20.25,20.25,19.55, 19.80,19.75,23055,4.58
26-Oct-2011,19.55,19.95,19.45, 19.70,19.60,6260,1.23
25-Oct-2011,19.70,19.95,19.25, 19.45,19.40,26435,5.15
24-Oct-2011,19.65,20.35,19.65, 19.80,19.85,8405,1.68
21-Oct-2011,19.60,20.25,19.60, 20.00,19.85,7780,1.55
20-Oct-2011,20.00,20.35,19.95, 20.00,20.00,6546,1.31
19-Oct-2011,20.25,20.50,19.80, 20.05,20.25,8513,1.72
