Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,12.60,14.30,12.50, 12.80,12.65,135891,18.00
29-Dec-2011,13.45,14.00,13.45, 13.45,13.45,144577,19.66
28-Dec-2011,15.00,15.25,14.70, 14.70,14.90,20320,3.04
27-Dec-2011,15.85,15.90,15.10, 15.30,15.45,14996,2.32
26-Dec-2011,15.50,15.90,15.45, 15.50,15.60,20146,3.16
23-Dec-2011,15.80,16.00,14.75, 15.80,15.65,38018,5.94
22-Dec-2011,15.50,15.70,14.30, 15.50,15.25,41839,6.30
21-Dec-2011,14.10,15.40,14.10, 14.80,14.90,26659,3.92
20-Dec-2011,14.40,15.80,14.00, 15.00,14.70,115484,17.35
19-Dec-2011,13.90,15.25,13.05, 14.35,14.40,93136,13.01
16-Dec-2011,14.05,14.70,13.70, 13.90,14.05,25345,3.58
15-Dec-2011,14.65,15.00,14.00, 14.15,14.10,40373,5.83
14-Dec-2011,14.80,15.35,14.80, 15.00,15.00,30931,4.68
13-Dec-2011,15.10,15.70,14.70, 15.05,15.10,27012,4.12
12-Dec-2011,16.10,16.60,15.35, 15.50,15.60,37615,5.97
09-Dec-2011,16.80,16.80,15.90, 16.20,16.10,29434,4.76
08-Dec-2011,17.15,17.15,16.05, 16.70,16.65,36297,6.05
07-Dec-2011,17.50,17.50,16.70, 16.95,16.90,35760,6.09
05-Dec-2011,16.50,17.30,16.50, 17.05,17.10,17002,2.91
02-Dec-2011,16.75,17.40,16.75, 17.00,17.00,33372,5.70
01-Dec-2011,17.10,17.50,16.95, 17.15,17.05,26479,4.56
30-Nov-2011,17.00,17.50,16.70, 16.90,16.85,27818,4.73
29-Nov-2011,18.60,18.60,17.05, 17.50,17.20,40091,7.02
28-Nov-2011,17.00,18.00,16.85, 17.90,17.85,56161,9.91
25-Nov-2011,16.80,17.45,16.20, 16.85,16.70,62109,10.48
24-Nov-2011,16.70,16.80,15.10, 16.40,16.40,66125,10.78
23-Nov-2011,17.00,17.45,16.45, 16.70,16.75,81793,13.90
22-Nov-2011,18.95,18.95,17.00, 17.05,17.20,81712,14.55
21-Nov-2011,18.90,19.30,18.35, 18.35,18.45,47984,9.03
18-Nov-2011,19.20,19.55,18.30, 18.90,18.85,78275,14.67
17-Nov-2011,20.65,20.65,19.40, 19.50,19.60,43534,8.67
16-Nov-2011,21.35,21.35,19.45, 20.10,20.15,72964,14.80
15-Nov-2011,22.60,22.90,20.75, 21.25,21.05,67791,14.59
14-Nov-2011,22.70,23.95,22.40, 22.50,22.60,180062,42.04
11-Nov-2011,21.85,22.70,20.55, 22.50,22.40,257312,56.57
09-Nov-2011,21.25,22.10,20.80, 21.30,21.00,109131,23.20
08-Nov-2011,21.15,21.95,20.95, 21.10,21.20,49018,10.40
04-Nov-2011,22.00,22.40,21.50, 21.65,21.60,52917,11.53
03-Nov-2011,21.95,22.00,21.10, 21.70,21.65,38193,8.29
02-Nov-2011,22.85,23.00,21.70, 22.00,21.95,50636,11.32
01-Nov-2011,22.50,23.50,22.50, 22.80,22.75,80455,18.52
31-Oct-2011,22.85,23.20,21.55, 22.95,22.85,122996,28.05
28-Oct-2011,22.30,22.30,21.50, 22.30,22.30,77189,16.95
26-Oct-2011,20.30,21.35,20.20, 21.35,21.20,34888,7.34
25-Oct-2011,20.45,20.85,20.05, 20.05,20.30,56921,11.58
24-Oct-2011,21.70,21.85,20.65, 20.75,20.85,49733,10.58
