Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,2.90,2.90,2.75, 2.85,2.85,27720,0.78
29-Dec-2011,2.65,2.85,2.65, 2.80,2.75,29687,0.82
28-Dec-2011,2.90,2.90,2.75, 2.80,2.75,17642,0.49
27-Dec-2011,2.95,2.95,2.75, 2.85,2.85,22270,0.63
26-Dec-2011,2.80,2.95,2.80, 2.80,2.80,24454,0.70
23-Dec-2011,3.00,3.00,2.65, 2.80,2.85,45796,1.32
22-Dec-2011,2.65,2.75,2.60, 2.75,2.75,30539,0.82
21-Dec-2011,2.65,2.90,2.65, 2.80,2.75,43938,1.22
20-Dec-2011,2.65,2.80,2.60, 2.75,2.70,42851,1.16
19-Dec-2011,2.75,2.80,2.60, 2.80,2.75,55556,1.51
16-Dec-2011,2.80,2.95,2.70, 2.75,2.75,52806,1.49
15-Dec-2011,2.95,3.00,2.80, 2.80,2.85,54911,1.59
14-Dec-2011,3.30,3.30,2.95, 2.95,3.00,41939,1.26
13-Dec-2011,3.00,3.15,3.00, 3.00,3.00,21924,0.67
12-Dec-2011,3.15,3.20,3.00, 3.00,3.05,23824,0.73
09-Dec-2011,2.95,3.15,2.95, 3.15,3.05,33100,1.02
08-Dec-2011,3.35,3.35,3.05, 3.05,3.10,29535,0.91
07-Dec-2011,3.25,3.30,3.15, 3.15,3.20,28866,0.93
05-Dec-2011,3.10,3.30,3.10, 3.30,3.25,32030,1.03
02-Dec-2011,2.95,3.25,2.95, 3.05,3.10,30698,0.97
01-Dec-2011,3.15,3.40,3.15, 3.25,3.25,28291,0.91
30-Nov-2011,3.10,3.35,3.10, 3.15,3.15,17065,0.55
29-Nov-2011,3.40,3.60,3.15, 3.25,3.20,140260,4.75
28-Nov-2011,3.20,3.60,3.00, 3.05,3.10,55155,1.73
25-Nov-2011,2.80,3.15,2.80, 3.05,3.00,29759,0.90
24-Nov-2011,3.00,3.05,2.85, 2.90,2.90,22214,0.65
23-Nov-2011,2.95,3.05,2.85, 3.00,3.00,40099,1.18
22-Nov-2011,3.00,3.15,2.85, 2.95,3.00,58593,1.73
21-Nov-2011,3.20,3.20,2.95, 2.95,3.00,16803,0.50
18-Nov-2011,2.90,3.25,2.90, 3.20,3.15,34692,1.05
17-Nov-2011,3.10,3.25,3.00, 3.15,3.10,28854,0.91
16-Nov-2011,3.50,3.50,3.00, 3.15,3.20,48904,1.53
15-Nov-2011,3.30,3.40,3.20, 3.25,3.25,59405,1.95
14-Nov-2011,3.15,3.60,3.15, 3.30,3.30,51239,1.71
11-Nov-2011,3.40,3.55,3.40, 3.40,3.40,32651,1.13
09-Nov-2011,3.75,3.75,3.45, 3.50,3.50,31413,1.12
