Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,6.10,6.40,6.00, 6.10,6.15,13193,0.81
29-Dec-2011,6.30,6.50,6.10, 6.20,6.15,12302,0.78
28-Dec-2011,6.10,6.35,6.10, 6.20,6.30,3111,0.19
27-Dec-2011,6.30,6.35,6.05, 6.25,6.25,4676,0.29
26-Dec-2011,6.20,6.50,6.00, 6.15,6.10,14150,0.87
23-Dec-2011,6.05,6.45,6.05, 6.40,6.30,5233,0.33
22-Dec-2011,6.00,6.35,6.00, 6.15,6.15,8286,0.51
21-Dec-2011,6.00,6.45,6.00, 6.30,6.25,16501,1.01
20-Dec-2011,6.35,6.70,6.25, 6.25,6.25,11558,0.73
19-Dec-2011,6.95,6.95,6.55, 6.55,6.55,18598,1.23
16-Dec-2011,6.65,6.95,6.65, 6.95,6.90,16546,1.13
15-Dec-2011,6.75,6.90,6.60, 6.85,6.85,19479,1.31
14-Dec-2011,6.85,7.05,6.80, 6.85,6.85,3853,0.27
13-Dec-2011,7.00,7.00,6.75, 6.90,6.80,8631,0.59
12-Dec-2011,7.00,7.35,6.80, 7.10,7.05,10664,0.76
09-Dec-2011,6.80,7.15,6.70, 6.95,7.05,21979,1.52
08-Dec-2011,6.95,7.20,6.75, 6.80,6.95,16196,1.14
07-Dec-2011,7.45,7.45,6.95, 6.95,6.95,13740,0.97
05-Dec-2011,7.05,7.30,7.05, 7.25,7.25,1811,0.13
02-Dec-2011,7.35,7.35,6.90, 7.05,7.05,6004,0.42
01-Dec-2011,6.75,7.30,6.70, 7.05,7.05,14159,1.00
30-Nov-2011,6.80,7.15,6.70, 6.95,6.95,3161,0.22
29-Nov-2011,7.00,7.35,6.90, 6.95,6.95,2800,0.19
28-Nov-2011,7.00,7.30,7.00, 7.00,7.10,8052,0.57
25-Nov-2011,6.90,7.20,6.70, 6.95,6.95,7702,0.55
24-Nov-2011,6.75,6.95,6.50, 6.95,6.90,8199,0.55
23-Nov-2011,6.65,7.00,6.65, 6.85,6.80,12033,0.81
22-Nov-2011,6.80,7.10,6.80, 7.00,7.00,4963,0.35
21-Nov-2011,6.80,7.00,6.65, 6.65,6.75,11856,0.81
18-Nov-2011,7.05,7.35,7.00, 7.00,7.00,7854,0.56
17-Nov-2011,7.35,7.60,7.30, 7.30,7.35,11454,0.84
16-Nov-2011,7.40,7.65,7.20, 7.50,7.40,13864,1.02
15-Nov-2011,7.30,7.75,7.30, 7.50,7.45,22064,1.66
14-Nov-2011,7.40,7.65,7.40, 7.55,7.55,9463,0.71
11-Nov-2011,7.50,7.70,7.30, 7.50,7.50,10655,0.81
09-Nov-2011,7.50,7.75,7.50, 7.60,7.60,7509,0.57
08-Nov-2011,7.50,7.75,7.50, 7.50,7.50,19724,1.50
04-Nov-2011,7.85,8.15,7.80, 7.80,7.85,5036,0.40
03-Nov-2011,7.85,8.10,7.75, 7.85,7.85,8068,0.64
02-Nov-2011,7.60,8.25,7.60, 7.95,7.95,9885,0.79
01-Nov-2011,7.75,8.00,7.75, 8.00,8.00,14105,1.12
31-Oct-2011,7.50,8.10,7.50, 7.80,7.75,5345,0.42
28-Oct-2011,7.45,8.05,7.45, 8.05,7.85,16966,1.31
26-Oct-2011,7.65,7.85,7.50, 7.75,7.70,16207,1.26
25-Oct-2011,7.60,7.85,7.35, 7.50,7.45,17463,1.30
24-Oct-2011,7.10,7.75,7.10, 7.70,7.65,18009,1.38
21-Oct-2011,7.00,7.50,7.00, 7.40,7.40,13692,1.01
20-Oct-2011,7.10,7.35,7.05, 7.35,7.20,10046,0.72
19-Oct-2011,7.00,7.40,7.00, 7.20,7.20,9411,0.68
18-Oct-2011,7.15,7.45,7.05, 7.30,7.30,9024,0.66
17-Oct-2011,7.05,7.35,7.05, 7.25,7.20,9976,0.72
14-Oct-2011,7.25,7.25,7.00, 7.10,7.05,7989,0.56
13-Oct-2011,7.10,7.40,7.10, 7.25,7.25,9803,0.71
12-Oct-2011,7.10,7.30,7.00, 7.10,7.05,5976,0.43
11-Oct-2011,7.05,7.55,7.05, 7.05,7.10,13861,1.00
10-Oct-2011,7.10,7.25,7.00, 7.20,7.15,3999,0.28
07-Oct-2011,7.00,7.30,7.00, 7.15,7.15,7430,0.53
05-Oct-2011,7.05,7.25,7.00, 7.00,7.00,6364,0.45
04-Oct-2011,7.10,7.50,6.95, 7.05,7.10,15684,1.13
03-Oct-2011,7.20,7.40,6.95, 7.10,7.10,4835,0.35
