Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,11.80,12.20,11.10, 11.70,11.70,1777,0.20
29-Dec-2011,12.00,12.00,11.55, 11.55,11.60,42,0.00
28-Dec-2011,11.85,12.40,11.85, 12.40,12.20,62,0.01
27-Dec-2011,12.75,12.75,12.00, 12.00,12.00,11570,1.41
26-Dec-2011,12.40,12.40,12.10, 12.30,12.15,327,0.04
22-Dec-2011,11.70,12.45,11.65, 11.80,11.80,462,0.06
21-Dec-2011,12.15,12.75,12.05, 12.05,12.20,935,0.11
20-Dec-2011,12.10,12.75,12.10, 12.65,12.45,301,0.04
19-Dec-2011,12.00,12.70,12.00, 12.50,12.40,6407,0.80
16-Dec-2011,12.10,12.75,12.10, 12.75,12.45,3064,0.38
15-Dec-2011,12.75,12.75,12.15, 12.70,12.70,505,0.06
14-Dec-2011,12.35,12.90,12.35, 12.75,12.75,259,0.03
13-Dec-2011,12.55,13.05,12.55, 12.65,12.65,143,0.02
12-Dec-2011,12.70,12.90,12.70, 12.90,12.70,5164,0.66
09-Dec-2011,12.90,13.00,12.65, 13.00,13.00,6739,0.87
08-Dec-2011,13.00,13.00,12.60, 13.00,13.00,1143,0.15
07-Dec-2011,13.00,13.00,13.00, 13.00,13.00,218,0.03
05-Dec-2011,13.00,13.75,12.90, 13.00,13.00,602,0.08
01-Dec-2011,13.00,13.30,12.60, 13.30,12.95,3911,0.51
30-Nov-2011,13.00,13.00,12.40, 12.95,12.90,2102,0.27
29-Nov-2011,12.95,12.95,12.50, 12.95,12.95,302,0.04
28-Nov-2011,12.35,13.00,12.25, 13.00,13.00,2072,0.26
25-Nov-2011,12.20,13.40,12.20, 12.35,12.55,4751,0.60
24-Nov-2011,13.00,13.00,12.45, 13.00,13.00,5685,0.72
23-Nov-2011,12.75,13.35,12.25, 12.70,12.70,1643,0.20
21-Nov-2011,12.75,13.45,12.50, 13.00,13.00,2676,0.35
18-Nov-2011,12.70,12.75,12.70, 12.75,12.75,351,0.04
17-Nov-2011,12.75,13.50,12.75, 13.50,13.25,6553,0.85
16-Nov-2011,12.65,13.40,12.65, 13.05,13.05,3329,0.43
15-Nov-2011,13.55,13.85,12.60, 13.05,13.05,2038,0.27
14-Nov-2011,13.90,14.60,13.90, 14.05,14.05,2079,0.30
11-Nov-2011,13.95,14.50,13.95, 14.50,14.40,1710,0.24
09-Nov-2011,14.10,14.60,14.10, 14.60,14.55,459,0.07
08-Nov-2011,14.30,14.65,14.25, 14.60,14.60,160,0.02
04-Nov-2011,14.90,14.90,14.20, 14.70,14.65,1438,0.21
03-Nov-2011,14.15,14.40,14.15, 14.40,14.40,895,0.13
02-Nov-2011,13.70,14.70,13.40, 14.10,14.10,2683,0.38
01-Nov-2011,13.50,13.90,13.50, 13.50,13.50,721,0.10
31-Oct-2011,13.90,13.90,13.55, 13.55,13.55,946,0.13
28-Oct-2011,13.50,13.50,13.30, 13.50,13.50,3530,0.48
26-Oct-2011,13.90,14.00,13.75, 13.75,13.95,1020,0.14
