Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,681.45,707.00,670.00, 705.00,704.35,48696,337.73
29-Dec-2011,665.00,706.15,663.00, 680.00,693.95,126131,863.05
28-Dec-2011,648.00,672.50,648.00, 659.90,664.15,132601,871.52
27-Dec-2011,670.05,674.00,654.00, 656.15,655.60,14651,97.11
26-Dec-2011,677.95,679.70,655.00, 666.00,667.50,232897,1544.43
23-Dec-2011,725.00,725.00,632.00, 665.10,659.20,98747,664.80
22-Dec-2011,709.55,716.00,700.00, 710.00,706.90,108854,768.99
21-Dec-2011,712.00,715.35,700.00, 700.00,705.35,79990,567.13
20-Dec-2011,702.35,716.95,702.30, 710.50,710.40,37882,269.02
19-Dec-2011,703.00,713.00,703.00, 705.60,709.45,15407,109.29
16-Dec-2011,716.80,717.00,709.00, 710.05,710.25,73304,520.63
15-Dec-2011,700.00,721.35,700.00, 710.00,710.90,37159,264.64
14-Dec-2011,705.15,710.25,695.20, 708.00,708.00,44278,312.58
13-Dec-2011,695.50,706.00,695.50, 704.75,703.85,7482,52.44
12-Dec-2011,700.00,702.90,695.00, 700.00,700.05,23931,167.14
09-Dec-2011,699.95,700.00,694.00, 700.00,696.00,124678,867.78
08-Dec-2011,708.75,708.75,696.15, 701.00,700.60,62977,440.85
07-Dec-2011,699.95,709.40,695.00, 705.00,705.05,62912,441.89
05-Dec-2011,699.00,704.85,696.50, 698.00,698.45,54815,383.48
02-Dec-2011,706.05,712.70,698.00, 698.25,700.05,63215,443.25
01-Dec-2011,735.60,735.60,704.00, 705.00,705.00,77263,545.09
30-Nov-2011,715.55,718.95,703.00, 705.00,705.65,172895,1233.12
29-Nov-2011,723.00,724.30,712.00, 713.10,715.60,47294,338.26
28-Nov-2011,716.20,724.00,712.00, 715.00,715.10,69687,498.38
25-Nov-2011,722.00,726.00,715.05, 716.00,716.15,8390,60.22
24-Nov-2011,717.05,724.70,710.05, 720.50,718.90,28517,205.04
23-Nov-2011,720.65,736.35,710.00, 715.40,716.35,43635,313.44
22-Nov-2011,712.25,719.80,710.00, 715.00,716.50,71454,511.33
21-Nov-2011,715.65,720.95,706.75, 715.50,715.75,18869,134.55
18-Nov-2011,714.05,724.80,712.50, 715.00,715.45,26733,191.60
17-Nov-2011,731.60,731.60,713.00, 717.50,719.50,122547,882.32
16-Nov-2011,718.65,727.40,712.60, 726.95,725.80,81124,586.42
15-Nov-2011,729.95,734.50,711.55, 726.35,724.85,413449,2988.50
14-Nov-2011,730.00,741.45,715.00, 730.00,731.90,100581,736.41
11-Nov-2011,750.05,751.70,720.50, 723.00,723.00,107093,776.15
09-Nov-2011,762.30,774.00,757.60, 758.00,760.80,21850,166.75
08-Nov-2011,767.95,771.00,759.80, 768.70,766.80,24780,190.29
04-Nov-2011,758.05,764.70,756.40, 763.75,763.00,38994,297.36
03-Nov-2011,758.80,764.80,751.30, 764.80,758.10,42248,318.21
02-Nov-2011,749.00,760.00,749.00, 753.00,753.35,54459,409.80
01-Nov-2011,765.50,768.00,750.00, 754.00,752.55,39875,300.95
31-Oct-2011,774.30,787.95,762.00, 762.00,765.40,18055,139.08
28-Oct-2011,768.00,788.50,761.20, 772.00,772.50,49201,381.69
26-Oct-2011,774.90,774.90,755.00, 758.00,759.65,1292,9.81
25-Oct-2011,752.00,766.45,750.20, 755.95,756.45,13745,103.87
24-Oct-2011,755.10,768.90,754.05, 756.00,756.30,41254,312.01
21-Oct-2011,756.00,758.40,750.00, 758.00,755.10,42218,318.68
20-Oct-2011,755.85,765.80,751.10, 751.10,756.30,77047,582.18
19-Oct-2011,750.65,767.80,750.65, 760.00,760.00,163609,1243.70
18-Oct-2011,784.00,784.00,750.00, 754.75,755.10,34553,260.32
17-Oct-2011,758.90,777.95,755.05, 765.05,765.45,89968,689.29
14-Oct-2011,740.30,762.00,740.30, 749.55,749.80,209815,1573.97
13-Oct-2011,750.45,755.00,745.00, 749.00,747.75,98072,733.99
12-Oct-2011,755.05,760.00,745.00, 753.00,752.10,150734,1128.26
11-Oct-2011,759.00,774.55,750.30, 753.90,752.80,177845,1339.95
10-Oct-2011,759.00,769.25,752.60, 757.00,757.00,75587,572.55
07-Oct-2011,760.05,778.95,756.20, 766.95,762.05,51411,391.62
05-Oct-2011,764.85,780.00,760.00, 780.00,771.05,130967,1003.38
04-Oct-2011,748.50,764.80,748.10, 764.50,759.35,29724,225.14
03-Oct-2011,782.00,800.00,743.00, 748.00,748.05,41770,312.63
30-Sep-2011,723.60,782.50,723.60, 761.05,759.00,36075,275.58
29-Sep-2011,776.00,776.00,751.00, 761.70,757.70,160328,1223.95
28-Sep-2011,796.00,807.00,775.00, 780.00,778.90,177256,1409.98
27-Sep-2011,809.65,814.90,790.95, 795.00,795.05,188691,1502.81
26-Sep-2011,811.05,815.00,782.10, 789.00,789.75,97803,775.26
23-Sep-2011,801.30,815.15,800.10, 805.05,807.20,166254,1340.72
22-Sep-2011,840.00,844.95,820.00, 824.00,823.35,12425,102.61
21-Sep-2011,826.40,869.80,826.15, 836.00,840.80,148152,1250.24
20-Sep-2011,838.60,838.60,821.00, 825.00,823.80,49194,405.01
19-Sep-2011,830.00,839.70,824.00, 829.00,827.20,35034,291.71
16-Sep-2011,830.35,884.90,820.40, 823.00,843.85,234285,1960.48
15-Sep-2011,829.65,829.90,805.10, 817.50,819.05,36496,299.80
14-Sep-2011,832.00,832.00,817.35, 820.85,820.95,44743,367.23
13-Sep-2011,827.05,835.90,815.90, 825.85,823.20,10625,88.04
12-Sep-2011,823.30,839.45,816.05, 834.00,833.25,35988,299.43
09-Sep-2011,825.50,840.00,815.10, 822.00,823.30,24767,204.71
08-Sep-2011,834.90,839.00,825.00, 831.00,830.10,20918,173.87
07-Sep-2011,832.00,833.00,825.15, 828.50,829.75,22335,185.31
06-Sep-2011,828.30,832.65,815.00, 818.25,822.70,93369,768.14
