Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,20.50,20.50,19.55, 19.55,19.55,101,0.02
29-Dec-2011,20.50,20.50,20.50, 20.50,20.50,500,0.10
28-Dec-2011,21.00,21.00,19.95, 20.95,20.95,197,0.04
27-Dec-2011,21.00,21.00,21.00, 21.00,21.00,400,0.08
26-Dec-2011,20.80,20.80,20.00, 20.80,20.80,551,0.11
23-Dec-2011,20.80,20.80,20.80, 20.80,20.80,1,0.00
19-Dec-2011,19.00,19.85,18.75, 19.85,19.85,102,0.02
16-Dec-2011,19.00,19.00,19.00, 19.00,19.00,1,0.00
15-Dec-2011,19.50,19.50,19.00, 19.00,19.00,350,0.07
14-Dec-2011,20.30,20.30,19.50, 19.55,19.60,446,0.09
13-Dec-2011,19.05,20.05,19.05, 19.05,19.35,301,0.06
12-Dec-2011,19.15,20.10,18.85, 20.05,20.05,111,0.02
09-Dec-2011,18.75,19.15,18.75, 19.15,19.15,115,0.02
08-Dec-2011,20.60,20.60,18.75, 18.75,19.15,201,0.04
07-Dec-2011,20.50,20.50,19.65, 19.65,19.65,410,0.08
05-Dec-2011,21.25,21.25,20.25, 20.40,20.40,603,0.12
01-Dec-2011,21.25,21.25,21.25, 21.25,21.25,45,0.01
30-Nov-2011,21.50,21.50,20.65, 20.65,21.20,155,0.03
29-Nov-2011,21.65,21.65,21.50, 21.50,21.50,157,0.03
28-Nov-2011,22.50,22.50,21.40, 21.65,21.65,1301,0.28
25-Nov-2011,22.50,22.50,22.50, 22.50,22.50,200,0.04
24-Nov-2011,21.20,21.95,20.50, 21.95,21.95,390,0.08
23-Nov-2011,21.10,21.10,21.00, 21.10,21.10,83,0.02
22-Nov-2011,21.00,21.15,21.00, 21.10,21.05,50,0.01
21-Nov-2011,22.00,22.50,21.80, 21.80,21.80,1162,0.26
18-Nov-2011,22.00,23.00,22.00, 22.95,22.90,897,0.20
17-Nov-2011,22.65,22.65,21.55, 22.20,22.20,457,0.10
16-Nov-2011,23.70,23.70,22.65, 22.65,22.65,1377,0.31
15-Nov-2011,24.10,24.10,23.70, 23.80,23.80,1541,0.37
14-Nov-2011,23.00,24.20,23.00, 24.10,24.10,860,0.21
11-Nov-2011,23.00,23.50,23.00, 23.20,23.20,760,0.18
09-Nov-2011,23.45,23.45,22.85, 23.35,23.35,786,0.18
08-Nov-2011,24.70,24.70,23.45, 23.45,23.45,1193,0.28
04-Nov-2011,23.00,24.65,22.70, 24.65,24.65,329,0.08
03-Nov-2011,24.75,24.75,20.55, 24.00,24.00,2684,0.62
02-Nov-2011,22.25,24.90,22.25, 23.00,23.00,575,0.13
01-Nov-2011,25.95,25.95,22.85, 23.05,23.05,4159,0.96
31-Oct-2011,25.30,25.30,23.55, 23.60,23.60,2112,0.51
28-Oct-2011,25.50,25.50,25.50, 25.50,25.50,1,0.00
26-Oct-2011,25.35,25.35,25.35, 25.35,25.35,70,0.02
25-Oct-2011,26.00,26.00,25.20, 26.00,25.90,821,0.21
24-Oct-2011,25.30,26.85,25.30, 26.75,26.75,1379,0.35
21-Oct-2011,25.00,27.85,24.50, 25.25,25.25,350,0.10
20-Oct-2011,25.80,26.00,25.80, 25.80,25.80,617,0.16
19-Oct-2011,25.00,25.05,24.10, 24.45,24.45,176,0.04
18-Oct-2011,25.80,27.00,25.80, 25.85,25.85,456,0.12
14-Oct-2011,26.10,26.10,26.05, 26.05,26.05,750,0.20
13-Oct-2011,27.00,27.20,26.70, 26.70,26.70,479,0.13
12-Oct-2011,28.40,28.40,28.40, 28.40,28.40,175,0.05
11-Oct-2011,26.65,26.65,26.60, 26.60,26.60,112,0.03
10-Oct-2011,25.75,27.90,25.75, 27.85,27.20,521,0.14
07-Oct-2011,26.30,27.00,25.75, 25.75,25.75,600,0.16
05-Oct-2011,26.00,26.50,26.00, 26.50,26.50,636,0.17
04-Oct-2011,27.00,27.00,26.15, 26.15,26.15,361,0.10
03-Oct-2011,26.50,28.00,26.05, 26.05,26.20,192,0.05
30-Sep-2011,27.65,28.45,27.00, 28.00,27.50,49,0.01
29-Sep-2011,27.35,28.60,27.35, 28.30,28.30,1580,0.44
28-Sep-2011,27.50,28.85,27.50, 27.50,27.50,790,0.22
27-Sep-2011,28.10,28.25,28.10, 28.20,28.25,500,0.14
26-Sep-2011,30.00,30.00,28.00, 28.00,28.00,1503,0.44
23-Sep-2011,29.90,30.00,29.90, 30.00,29.95,3,0.00
22-Sep-2011,29.75,29.80,29.75, 29.80,29.75,815,0.24
20-Sep-2011,28.45,29.70,28.40, 28.55,28.55,1276,0.37
19-Sep-2011,28.10,29.35,28.10, 29.35,29.35,2500,0.72
16-Sep-2011,28.00,30.00,27.60, 29.70,29.60,1257,0.37
15-Sep-2011,29.50,29.50,29.50, 29.50,29.50,100,0.03
14-Sep-2011,28.55,28.55,28.45, 28.45,28.45,15,0.00
13-Sep-2011,28.30,30.65,28.20, 28.35,28.30,527,0.16
09-Sep-2011,28.00,29.40,28.00, 28.10,28.20,226,0.06
08-Sep-2011,31.80,31.90,27.65, 27.65,28.00,710,0.20
06-Sep-2011,28.00,28.00,28.00, 28.00,28.00,50,0.01
05-Sep-2011,31.00,31.00,27.50, 27.50,27.55,311,0.09
