Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,359.05,371.90,359.05, 365.00,364.50,985929,3608.41
29-Dec-2011,350.00,363.40,341.30, 354.70,357.70,1076075,3847.93
28-Dec-2011,355.00,359.40,349.55, 353.80,353.80,470678,1668.22
27-Dec-2011,365.15,367.40,349.10, 356.00,355.40,509788,1819.78
26-Dec-2011,360.50,368.65,360.50, 367.90,366.80,219955,805.39
23-Dec-2011,368.15,377.00,361.00, 362.20,362.15,959090,3534.83
22-Dec-2011,373.00,374.00,355.30, 365.05,365.35,3052227,11062.27
21-Dec-2011,367.00,382.90,365.20, 381.05,373.30,1564333,5817.70
20-Dec-2011,383.10,388.90,360.10, 360.90,361.70,885363,3279.11
19-Dec-2011,400.50,411.70,381.50, 382.00,388.75,835663,3261.00
16-Dec-2011,409.50,416.85,402.00, 403.15,407.50,1187299,4888.29
15-Dec-2011,400.05,414.50,400.05, 410.00,408.70,922640,3764.79
14-Dec-2011,412.00,424.00,402.00, 413.45,411.05,1092342,4509.65
13-Dec-2011,421.05,421.05,409.35, 415.00,413.10,644742,2665.45
12-Dec-2011,439.05,440.00,419.45, 419.75,420.20,542370,2315.25
09-Dec-2011,434.95,437.75,428.00, 435.10,433.00,547455,2369.96
08-Dec-2011,453.00,455.00,437.30, 439.00,439.90,871833,3863.53
07-Dec-2011,450.00,457.80,445.70, 450.85,452.20,827857,3744.67
05-Dec-2011,443.75,453.00,437.20, 450.00,449.15,665208,2966.64
02-Dec-2011,438.05,445.00,432.60, 444.00,443.60,1435413,6309.29
01-Dec-2011,443.00,451.75,433.60, 441.80,439.10,464906,2053.33
30-Nov-2011,439.00,439.00,425.00, 429.85,431.10,536462,2305.89
29-Nov-2011,454.10,459.50,434.15, 436.05,436.10,522593,2324.76
28-Nov-2011,443.50,457.00,436.55, 454.30,454.95,837546,3733.62
25-Nov-2011,436.00,444.50,429.25, 439.60,437.70,721874,3162.89
24-Nov-2011,436.00,446.00,412.60, 433.00,438.90,850203,3661.69
23-Nov-2011,457.40,457.40,416.50, 419.00,419.10,479363,2026.43
22-Nov-2011,429.90,441.75,423.00, 437.80,436.75,414775,1800.58
21-Nov-2011,433.20,433.20,420.15, 421.15,422.05,303214,1296.92
18-Nov-2011,437.05,441.95,419.70, 436.50,437.10,560317,2405.75
