Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,136.00,145.00,136.00, 138.40,138.15,10866,15.09
29-Dec-2011,136.05,142.80,136.05, 138.75,138.45,29040,40.60
28-Dec-2011,136.35,144.45,136.35, 138.30,138.40,3209,4.46
27-Dec-2011,149.20,149.20,137.10, 139.55,140.40,2218,3.12
26-Dec-2011,139.20,147.90,138.00, 139.30,139.85,17844,24.97
23-Dec-2011,138.00,141.95,138.00, 140.00,139.20,5385,7.53
22-Dec-2011,136.10,144.80,136.10, 138.05,140.50,24414,34.40
21-Dec-2011,133.00,154.00,133.00, 140.10,140.00,51123,71.63
20-Dec-2011,138.00,149.70,137.55, 137.55,139.85,32070,45.03
19-Dec-2011,140.10,152.60,140.10, 142.05,142.70,11233,16.01
16-Dec-2011,140.10,149.00,140.10, 148.90,147.00,13622,19.90
15-Dec-2011,141.00,145.50,137.10, 145.30,143.75,17945,25.31
14-Dec-2011,140.10,150.00,140.10, 146.00,146.10,4544,6.59
13-Dec-2011,137.00,145.05,137.00, 144.00,143.45,7890,11.35
12-Dec-2011,144.00,150.10,143.00, 143.00,143.90,8281,12.10
09-Dec-2011,136.00,151.00,136.00, 146.30,147.05,3251,4.82
08-Dec-2011,147.75,156.70,144.30, 147.60,146.50,18321,27.04
07-Dec-2011,148.00,157.00,148.00, 154.00,153.65,16815,25.89
05-Dec-2011,147.75,157.90,147.75, 156.00,156.05,13256,20.68
02-Dec-2011,147.00,156.90,147.00, 154.00,156.30,99957,155.77
01-Dec-2011,149.00,157.90,149.00, 154.00,154.45,21531,33.39
30-Nov-2011,146.00,155.95,146.00, 153.00,153.45,23161,35.88
29-Nov-2011,147.00,157.00,147.00, 154.00,154.75,5445,8.43
28-Nov-2011,146.20,158.00,146.20, 153.00,153.75,6030,9.25
25-Nov-2011,136.60,166.00,136.60, 153.00,153.85,3337,5.22
24-Nov-2011,150.00,159.50,150.00, 157.75,158.35,110149,169.22
23-Nov-2011,151.00,157.95,151.00, 154.75,155.10,157343,243.96
22-Nov-2011,157.00,162.00,150.00, 156.30,157.95,133143,210.26
21-Nov-2011,156.00,162.90,156.00, 161.00,161.00,16438,26.47
18-Nov-2011,151.00,166.00,151.00, 162.25,162.30,8652,13.96
17-Nov-2011,149.00,171.50,149.00, 165.00,165.10,17488,28.84
16-Nov-2011,144.50,170.60,144.50, 167.15,168.60,135511,221.04
15-Nov-2011,168.00,171.00,161.90, 162.00,167.80,116283,195.96
14-Nov-2011,167.05,172.00,167.05, 171.70,170.30,22562,38.39
11-Nov-2011,170.00,170.00,164.00, 168.95,168.10,11056,18.46
09-Nov-2011,162.20,170.00,162.20, 168.00,168.10,33687,56.73
08-Nov-2011,161.00,175.00,161.00, 168.50,167.95,139794,236.79
04-Nov-2011,149.00,157.95,149.00, 156.30,157.00,8627,13.51
03-Nov-2011,157.10,158.50,154.15, 155.15,154.80,7844,12.30
02-Nov-2011,151.00,157.95,149.00, 157.50,156.80,16691,26.11
01-Nov-2011,144.50,159.45,144.50, 155.20,155.40,3504,5.49
31-Oct-2011,157.00,160.50,156.20, 158.00,157.70,21373,33.82
28-Oct-2011,155.00,161.50,154.00, 160.25,159.85,16528,26.41
26-Oct-2011,156.00,159.50,156.00, 158.00,156.70,1310,2.07
25-Oct-2011,153.50,156.10,153.50, 155.80,155.05,4096,6.34
24-Oct-2011,151.55,154.65,151.50, 152.55,153.05,5078,7.76
21-Oct-2011,154.00,158.90,151.20, 151.35,153.35,2592,4.00
20-Oct-2011,153.00,156.95,153.00, 156.90,156.05,3463,5.41
19-Oct-2011,153.60,158.00,153.60, 157.50,156.85,5892,9.24
18-Oct-2011,155.00,158.00,153.00, 155.55,156.30,4260,6.66
17-Oct-2011,148.00,159.95,148.00, 158.00,156.35,14544,22.16
14-Oct-2011,151.00,158.85,151.00, 155.55,155.85,4533,7.05
13-Oct-2011,157.00,160.80,157.00, 158.15,157.60,10278,16.23
12-Oct-2011,148.00,157.10,148.00, 156.40,156.45,13526,21.04
11-Oct-2011,144.00,151.65,142.00, 151.20,151.35,4729,7.09
10-Oct-2011,146.00,152.50,142.35, 146.40,146.40,3753,5.59
07-Oct-2011,136.30,149.00,136.30, 148.00,147.85,4720,6.93
05-Oct-2011,143.00,152.95,143.00, 143.90,145.25,6258,9.17
04-Oct-2011,274.10,295.00,274.10, 290.00,290.00,2265,6.58
03-Oct-2011,292.00,297.50,291.10, 293.00,292.90,2650,7.79
30-Sep-2011,289.00,301.00,289.00, 297.95,297.00,7947,23.65
29-Sep-2011,293.25,298.90,292.25, 293.25,294.40,2174,6.43
28-Sep-2011,289.00,309.90,289.00, 295.00,295.10,72608,214.21
27-Sep-2011,292.10,301.00,291.25, 291.25,293.25,18207,53.82
26-Sep-2011,305.00,305.00,292.10, 294.10,294.55,5575,16.50
