Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,72.00,77.40,71.70, 74.00,73.75,107129,80.14
29-Dec-2011,73.45,73.45,71.15, 72.70,71.85,11884,8.60
28-Dec-2011,73.00,74.45,71.55, 73.20,73.45,46190,33.84
27-Dec-2011,73.80,77.05,71.75, 72.15,72.25,106410,78.77
26-Dec-2011,71.00,73.15,70.20, 73.15,71.95,25557,18.31
23-Dec-2011,70.70,72.00,69.00, 72.00,71.35,30377,21.57
22-Dec-2011,68.00,69.90,66.50, 69.90,68.75,20771,14.14
21-Dec-2011,69.10,70.90,65.90, 67.95,67.70,37427,25.36
20-Dec-2011,70.90,72.00,68.05, 68.50,68.65,54784,38.27
19-Dec-2011,72.40,73.85,68.70, 70.90,70.90,85433,60.76
16-Dec-2011,73.10,75.05,72.05, 72.50,72.40,18904,13.88
15-Dec-2011,74.00,74.55,71.45, 73.70,73.55,33548,24.50
14-Dec-2011,76.05,76.80,73.50, 74.95,74.30,35967,27.10
13-Dec-2011,75.70,77.80,75.00, 75.65,76.05,73583,56.31
12-Dec-2011,79.05,80.00,74.50, 75.00,75.35,36307,27.85
09-Dec-2011,77.10,79.70,75.55, 77.55,78.15,36871,28.76
08-Dec-2011,80.90,80.90,77.25, 77.50,78.10,58700,45.98
07-Dec-2011,81.10,82.70,80.10, 80.50,81.05,69775,56.79
05-Dec-2011,77.00,83.40,76.80, 81.30,81.00,225728,183.50
02-Dec-2011,75.00,77.70,75.00, 77.10,77.00,62495,47.95
01-Dec-2011,74.10,77.00,74.10, 76.50,75.95,71445,54.07
30-Nov-2011,74.00,74.85,72.50, 72.60,73.00,44929,33.12
29-Nov-2011,76.00,77.35,73.20, 73.60,73.95,84035,62.59
28-Nov-2011,76.55,78.40,76.05, 76.50,76.70,38696,29.76
25-Nov-2011,74.20,78.25,71.25, 78.20,76.30,154192,116.54
24-Nov-2011,72.30,73.25,70.05, 73.25,72.35,38787,27.92
23-Nov-2011,71.60,73.35,70.00, 73.00,72.45,36550,26.14
22-Nov-2011,72.75,72.75,70.50, 72.00,71.50,34108,24.42
21-Nov-2011,73.80,73.80,70.20, 70.40,71.20,28224,20.16
18-Nov-2011,72.50,73.00,69.60, 71.60,71.55,43750,30.91
17-Nov-2011,73.35,73.70,71.30, 72.00,71.75,33720,24.39
16-Nov-2011,72.95,75.95,71.80, 73.00,72.20,64483,46.79
15-Nov-2011,75.20,76.00,72.50, 73.20,72.95,66227,48.96
14-Nov-2011,77.90,77.90,74.25, 74.55,74.95,100977,76.91
11-Nov-2011,73.60,77.80,72.00, 76.25,75.70,215962,163.68
09-Nov-2011,74.00,77.25,74.00, 74.30,74.75,192574,146.13
08-Nov-2011,75.50,76.40,73.80, 74.55,74.70,61396,45.80
04-Nov-2011,73.70,74.50,73.05, 74.00,74.15,64713,47.85
03-Nov-2011,73.00,73.70,72.55, 72.85,72.90,17374,12.69
02-Nov-2011,72.50,73.50,72.00, 72.95,72.75,29952,21.83
01-Nov-2011,73.00,73.75,72.10, 72.80,72.50,72625,53.07
31-Oct-2011,73.65,75.00,73.00, 73.45,73.40,127820,94.11
28-Oct-2011,75.00,75.00,73.40, 73.40,73.65,79198,58.66
26-Oct-2011,73.80,74.10,72.45, 74.00,73.80,18827,13.86
25-Oct-2011,74.40,74.75,71.65, 72.80,72.85,45109,32.90
24-Oct-2011,75.50,81.00,72.25, 73.00,74.60,342260,256.28
21-Oct-2011,73.45,76.60,73.45, 74.10,74.60,36810,27.70
20-Oct-2011,75.00,75.00,73.05, 74.30,74.15,10272,7.60
19-Oct-2011,74.50,75.45,74.00, 74.15,74.40,36091,26.89
18-Oct-2011,75.20,75.20,72.90, 74.50,74.30,47039,35.01
17-Oct-2011,75.25,76.85,74.85, 75.40,75.20,21910,16.56
14-Oct-2011,75.25,76.55,75.25, 75.50,75.60,22115,16.76
13-Oct-2011,78.00,78.15,75.25, 75.25,75.45,48237,36.64
12-Oct-2011,74.70,76.55,74.50, 75.75,75.75,18841,14.29
11-Oct-2011,74.00,76.60,74.00, 75.60,75.45,31734,24.05
10-Oct-2011,74.05,75.00,73.65, 74.00,73.95,44007,32.56
07-Oct-2011,75.50,78.00,74.45, 74.85,74.85,30184,22.82
05-Oct-2011,76.00,77.15,74.10, 75.30,75.00,30824,23.26
04-Oct-2011,75.55,78.90,75.20, 76.65,76.45,86604,66.53
03-Oct-2011,76.90,78.45,73.25, 78.45,75.10,178018,133.87
30-Sep-2011,77.75,78.40,77.00, 77.25,77.10,16227,12.59
29-Sep-2011,77.15,79.60,77.10, 78.70,78.35,40860,32.06
28-Sep-2011,78.35,79.00,77.65, 77.80,78.15,18982,14.87
27-Sep-2011,77.10,79.90,77.10, 78.00,78.20,32379,25.55
26-Sep-2011,79.00,79.40,77.00, 78.35,77.75,21523,16.79
23-Sep-2011,79.80,80.40,77.45, 79.00,79.15,47813,37.64
22-Sep-2011,81.10,82.00,79.20, 79.80,79.80,56465,45.50
21-Sep-2011,83.00,83.25,81.00, 82.45,82.30,80532,66.46
20-Sep-2011,83.70,84.50,82.15, 82.45,82.45,103851,86.37
19-Sep-2011,82.70,84.50,81.70, 81.90,82.25,68147,56.44
16-Sep-2011,82.15,83.40,82.15, 82.80,82.85,38008,31.47
15-Sep-2011,83.00,84.00,81.00, 82.10,81.85,57001,46.88
14-Sep-2011,82.00,83.00,81.05, 82.40,82.10,44921,36.85
13-Sep-2011,82.10,83.40,81.00, 81.85,81.95,76541,63.27
12-Sep-2011,83.50,83.85,81.50, 82.00,82.10,47247,38.98
09-Sep-2011,85.65,86.40,84.15, 84.20,84.35,76499,65.08
08-Sep-2011,85.40,88.65,84.10, 85.70,85.45,169683,146.72
07-Sep-2011,85.00,85.80,84.00, 84.90,84.75,78588,66.78
06-Sep-2011,84.90,85.75,83.15, 83.95,83.95,152949,128.39
05-Sep-2011,86.10,86.35,82.25, 84.40,84.40,71993,61.25
02-Sep-2011,87.00,87.65,85.20, 86.10,85.70,69754,60.26
30-Aug-2011,86.75,87.40,85.00, 85.90,85.75,51014,43.90
29-Aug-2011,84.00,85.95,84.00, 85.00,85.25,43915,37.46
26-Aug-2011,88.95,88.95,82.10, 83.45,83.65,60329,51.62
25-Aug-2011,89.40,89.40,85.40, 88.30,88.00,32988,28.71
24-Aug-2011,88.00,89.80,87.00, 87.40,87.55,36914,32.63
23-Aug-2011,88.05,89.95,86.30, 87.25,87.50,49925,44.04
22-Aug-2011,89.75,89.75,83.35, 87.00,87.65,36351,31.43
19-Aug-2011,83.30,90.00,81.40, 85.25,85.20,62865,52.74
18-Aug-2011,87.30,89.40,85.20, 86.05,86.15,31659,27.50
17-Aug-2011,88.50,89.80,85.20, 89.30,89.45,33432,29.70
16-Aug-2011,90.15,92.35,88.05, 88.85,88.40,70505,63.26
12-Aug-2011,92.90,93.90,90.00, 90.00,90.40,146325,133.80
11-Aug-2011,94.40,94.40,90.30, 90.50,90.70,86094,78.95
10-Aug-2011,92.90,96.50,90.60, 92.15,92.35,80550,74.82
09-Aug-2011,89.95,92.50,87.05, 92.10,91.50,109560,99.13
08-Aug-2011,87.00,93.00,84.25, 92.95,91.30,153209,136.40
05-Aug-2011,90.00,92.55,88.10, 90.00,89.00,205086,185.05
04-Aug-2011,100.00,100.60,94.00, 94.10,94.75,178083,172.70
03-Aug-2011,98.35,100.95,93.00, 100.00,97.35,809146,771.80
02-Aug-2011,103.00,103.40,97.50, 99.05,98.35,76651,76.67
01-Aug-2011,105.50,107.85,102.25, 102.65,102.95,88900,92.11
29-Jul-2011,106.25,108.00,104.00, 105.00,104.90,51509,54.76
28-Jul-2011,106.50,108.45,106.10, 107.00,106.60,73142,78.37
27-Jul-2011,109.50,110.45,106.55, 108.25,107.85,52352,56.90
26-Jul-2011,111.35,112.70,109.05, 109.45,109.45,146532,162.70
25-Jul-2011,108.90,113.30,107.55, 110.85,110.20,145364,160.90
22-Jul-2011,109.90,110.40,107.90, 108.40,108.20,55967,60.96
21-Jul-2011,110.15,111.90,108.15, 108.80,108.60,87279,95.83
20-Jul-2011,115.80,115.85,109.75, 109.75,111.00,129366,146.33
19-Jul-2011,116.00,117.90,114.25, 115.00,114.70,325191,377.62
18-Jul-2011,113.95,116.50,113.15, 114.35,114.55,280148,323.10
15-Jul-2011,111.65,116.50,110.15, 113.35,113.20,665307,761.64
14-Jul-2011,112.30,112.30,110.20, 110.95,110.75,82357,91.55
13-Jul-2011,109.95,111.85,109.05, 111.20,111.30,116202,129.01
12-Jul-2011,112.45,112.70,108.55, 108.65,109.25,145121,160.79
11-Jul-2011,111.00,114.50,109.15, 112.20,111.90,279432,314.81
08-Jul-2011,109.50,114.80,108.50, 111.00,111.10,564255,637.24
07-Jul-2011,109.45,110.50,108.05, 109.30,109.00,137863,150.58
06-Jul-2011,109.05,111.40,108.35, 108.50,108.90,145431,159.63
05-Jul-2011,107.90,110.70,105.70, 109.70,109.05,320887,350.35
04-Jul-2011,110.00,110.10,106.30, 106.50,106.95,138455,149.41
01-Jul-2011,106.50,111.65,104.70, 108.80,109.40,399523,438.23
30-Jun-2011,107.50,109.35,105.25, 105.55,106.20,178163,191.33
29-Jun-2011,112.00,112.00,101.35, 107.00,106.90,684937,741.01
28-Jun-2011,95.50,112.70,95.10, 111.00,111.10,1562146,1668.21
27-Jun-2011,95.00,96.50,94.00, 95.55,95.10,17919,17.07
24-Jun-2011,94.50,95.10,93.10, 94.75,94.45,28501,26.95
23-Jun-2011,93.50,93.50,91.45, 92.60,92.50,18189,16.87
22-Jun-2011,92.50,94.00,92.50, 93.60,93.50,40938,38.15
21-Jun-2011,95.95,95.95,91.50, 92.00,92.00,34467,32.07
20-Jun-2011,96.55,97.65,92.75, 92.80,93.15,28731,27.06
17-Jun-2011,99.65,99.65,96.00, 96.10,96.55,30363,29.62
16-Jun-2011,97.00,100.80,97.00, 97.65,98.35,54529,53.95
15-Jun-2011,99.00,100.40,97.50, 97.60,97.85,28788,28.31
14-Jun-2011,99.50,99.65,97.50, 98.00,98.00,23241,22.92
13-Jun-2011,98.05,99.50,97.00, 98.50,98.30,19675,19.30
10-Jun-2011,99.35,99.60,98.15, 98.25,98.40,22909,22.63
09-Jun-2011,100.85,100.90,98.00, 98.70,98.75,23902,23.75
08-Jun-2011,100.15,102.45,98.75, 99.00,99.25,38368,38.55
07-Jun-2011,99.50,100.80,98.00, 100.70,100.40,23487,23.50
06-Jun-2011,99.90,100.50,97.20, 99.00,98.90,18033,17.83
03-Jun-2011,99.20,104.00,98.40, 99.65,99.45,86653,88.37
02-Jun-2011,99.50,103.50,99.00, 101.25,101.30,120226,122.24
01-Jun-2011,98.00,102.00,98.00, 100.30,100.30,44499,44.64
31-May-2011,98.55,99.45,97.65, 98.75,98.70,46337,45.70
30-May-2011,96.50,98.50,96.50, 98.00,97.80,31770,31.08
27-May-2011,95.35,97.50,95.30, 96.50,96.85,36144,34.94
26-May-2011,94.20,97.00,93.60, 96.40,96.30,53309,51.07
25-May-2011,93.65,95.95,93.05, 94.00,94.35,41384,39.12
24-May-2011,95.80,95.85,94.05, 94.50,94.40,21041,19.95
