Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,55.40,57.45,54.00, 55.90,56.30,29594,16.61
29-Dec-2011,55.75,57.40,52.10, 54.40,54.25,30488,16.89
28-Dec-2011,59.00,60.00,53.70, 54.50,54.85,91667,51.48
27-Dec-2011,55.50,61.65,55.00, 59.10,59.40,172231,102.90
26-Dec-2011,57.70,57.70,55.75, 56.40,56.10,45662,25.72
23-Dec-2011,58.00,59.90,56.05, 56.05,56.40,35844,20.67
22-Dec-2011,54.00,58.70,54.00, 57.30,57.40,87656,49.88
21-Dec-2011,48.50,57.60,48.50, 54.15,54.65,381265,211.38
20-Dec-2011,51.00,51.95,47.70, 47.90,48.00,42551,20.84
19-Dec-2011,47.00,50.85,46.25, 50.40,49.75,108719,53.63
16-Dec-2011,48.90,49.45,46.85, 47.85,47.15,15257,7.30
15-Dec-2011,48.25,49.00,47.25, 48.00,47.85,11284,5.41
14-Dec-2011,47.70,51.20,47.50, 49.00,49.05,90543,44.56
13-Dec-2011,46.50,48.50,46.15, 47.80,47.50,34761,16.48
12-Dec-2011,45.55,48.00,45.25, 47.05,46.55,72905,33.59
09-Dec-2011,45.60,47.00,44.50, 46.00,46.45,47284,21.61
08-Dec-2011,45.10,46.90,41.35, 46.00,45.80,66830,30.38
07-Dec-2011,48.10,48.10,46.00, 46.65,46.45,27298,12.96
05-Dec-2011,46.50,48.55,46.25, 47.20,47.55,25457,12.15
02-Dec-2011,45.60,48.20,45.25, 47.85,47.55,20684,9.80
01-Dec-2011,48.45,48.45,45.50, 46.30,46.55,27660,12.85
30-Nov-2011,46.00,46.25,44.75, 45.70,45.35,8843,4.01
29-Nov-2011,48.20,48.20,44.50, 45.10,45.10,15682,7.21
28-Nov-2011,48.80,48.80,46.40, 46.75,47.15,21581,10.32
25-Nov-2011,45.90,47.85,45.80, 46.45,46.55,16932,7.93
24-Nov-2011,44.10,46.50,42.20, 46.00,45.65,14075,6.39
23-Nov-2011,45.10,46.50,44.00, 45.25,45.40,28723,12.91
22-Nov-2011,47.60,47.60,45.20, 45.80,46.05,6912,3.19
21-Nov-2011,46.65,48.00,45.10, 45.55,45.80,26515,12.24
18-Nov-2011,48.85,48.85,44.50, 47.30,47.55,35105,16.40
17-Nov-2011,48.65,49.50,46.20, 49.00,48.00,54509,26.07
16-Nov-2011,49.75,49.75,45.00, 47.50,47.10,61819,28.70
15-Nov-2011,51.55,53.50,46.00, 48.00,47.85,147113,73.05
14-Nov-2011,52.65,54.45,51.25, 52.90,52.35,175130,91.39
11-Nov-2011,52.40,53.10,48.90, 52.00,52.30,73130,37.38
09-Nov-2011,55.45,56.65,51.50, 51.65,51.80,209043,111.67
08-Nov-2011,51.00,56.20,50.10, 54.35,54.40,405213,219.52
04-Nov-2011,47.95,52.45,45.85, 49.80,49.85,428019,213.88
03-Nov-2011,45.60,48.00,45.60, 46.30,46.30,112688,52.18
02-Nov-2011,45.50,49.75,45.05, 46.25,46.05,161961,76.03
01-Nov-2011,41.60,48.40,40.50, 46.00,46.15,327012,151.61
31-Oct-2011,40.45,41.80,38.65, 41.80,41.05,27114,10.97
28-Oct-2011,40.80,41.35,38.05, 40.00,39.45,88335,34.51
26-Oct-2011,40.00,40.35,39.00, 40.20,40.05,9914,3.96
25-Oct-2011,37.90,40.30,37.40, 40.00,39.85,17791,6.97
