Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,46.00,47.25,45.55, 47.00,47.00,6192,2.89
29-Dec-2011,47.00,47.15,46.55, 46.70,46.70,2034,0.95
28-Dec-2011,47.00,47.35,46.00, 47.00,47.00,14886,6.97
27-Dec-2011,48.00,48.00,46.75, 47.65,47.05,1254,0.59
26-Dec-2011,47.40,47.95,46.55, 47.00,47.15,1865,0.88
23-Dec-2011,47.95,49.00,46.60, 46.75,46.75,10221,4.83
22-Dec-2011,46.30,48.00,45.80, 47.50,47.45,53465,24.84
21-Dec-2011,48.50,48.50,46.25, 47.00,47.00,14752,6.93
20-Dec-2011,48.80,48.80,46.55, 46.95,46.85,3872,1.82
19-Dec-2011,48.50,48.65,46.25, 47.50,47.50,13190,6.26
16-Dec-2011,48.30,49.45,47.20, 47.65,48.50,39915,19.28
15-Dec-2011,48.10,49.50,46.55, 49.00,48.60,17484,8.39
14-Dec-2011,48.50,49.60,48.25, 49.00,48.75,141674,69.34
13-Dec-2011,50.20,50.20,48.00, 49.75,49.45,4792,2.36
12-Dec-2011,48.80,50.00,48.80, 50.00,49.95,1661,0.82
09-Dec-2011,48.50,50.00,48.15, 49.50,49.15,16169,7.93
08-Dec-2011,48.50,50.40,48.30, 50.40,49.70,9349,4.59
07-Dec-2011,50.95,50.95,49.10, 49.75,49.65,5050,2.51
05-Dec-2011,50.45,50.50,48.55, 50.00,49.95,1389,0.69
02-Dec-2011,50.00,51.00,48.00, 50.45,49.65,5976,2.93
01-Dec-2011,48.55,51.45,46.00, 50.65,49.35,49728,24.16
30-Nov-2011,48.90,50.00,48.25, 48.25,48.40,3580,1.74
29-Nov-2011,49.15,49.95,48.80, 48.80,49.15,7035,3.49
28-Nov-2011,48.50,49.80,48.50, 49.25,49.75,12394,6.13
25-Nov-2011,48.10,50.50,48.00, 50.00,49.70,20193,9.96
24-Nov-2011,48.10,50.00,48.10, 49.00,48.95,13899,6.78
23-Nov-2011,50.90,50.90,47.55, 49.45,49.25,29330,14.44
22-Nov-2011,49.00,50.70,48.30, 50.55,50.15,11306,5.66
21-Nov-2011,50.00,50.15,46.30, 50.00,49.80,11987,5.96
