Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,197.00,204.65,197.00, 203.25,201.40,167722,337.21
29-Dec-2011,193.15,199.50,190.95, 197.50,197.00,312821,616.80
28-Dec-2011,199.70,201.95,192.50, 198.00,195.30,197115,385.10
27-Dec-2011,203.25,207.75,195.80, 199.00,199.70,320818,646.73
26-Dec-2011,203.00,208.90,203.00, 206.80,206.05,123144,253.90
23-Dec-2011,200.35,217.40,200.35, 204.00,204.50,207727,436.16
22-Dec-2011,216.95,220.00,213.30, 213.90,214.95,289502,624.28
21-Dec-2011,220.00,221.25,215.20, 220.10,219.85,183745,400.14
20-Dec-2011,216.00,221.70,211.30, 216.95,215.20,227719,494.32
19-Dec-2011,212.00,217.45,205.10, 216.20,216.25,167885,356.26
16-Dec-2011,220.00,221.50,208.50, 212.45,212.95,356997,766.79
15-Dec-2011,215.00,218.95,205.10, 215.00,217.00,252119,532.17
14-Dec-2011,220.05,224.00,215.65, 216.40,216.85,115694,253.56
13-Dec-2011,212.00,223.10,209.00, 222.00,222.25,382429,824.60
12-Dec-2011,232.00,233.90,211.50, 212.00,214.40,473300,1059.32
09-Dec-2011,240.00,240.00,229.00, 229.00,230.00,547063,1275.18
08-Dec-2011,261.20,261.20,240.50, 240.95,241.80,640118,1592.14
07-Dec-2011,248.60,262.50,245.05, 261.00,260.65,703996,1788.66
05-Dec-2011,254.05,257.00,247.05, 249.00,248.75,361501,904.42
02-Dec-2011,259.05,263.40,256.15, 259.20,260.40,270979,703.74
01-Dec-2011,264.10,268.00,254.50, 258.50,258.95,147744,386.05
30-Nov-2011,251.00,263.10,249.10, 262.60,260.25,397015,1021.59
29-Nov-2011,257.40,264.90,247.00, 250.00,250.45,399359,1027.20
28-Nov-2011,277.00,280.00,259.10, 261.60,261.85,265649,706.34
25-Nov-2011,258.60,295.80,258.60, 272.50,274.55,1784524,4951.32
24-Nov-2011,240.05,257.70,233.75, 252.75,252.10,300742,735.49
23-Nov-2011,259.75,259.75,238.75, 244.00,239.75,188230,463.63
22-Nov-2011,245.00,256.40,245.00, 255.70,253.60,39636,99.54
21-Nov-2011,257.95,258.95,247.25, 250.20,249.50,138313,348.55
18-Nov-2011,244.00,259.90,244.00, 259.10,257.50,84304,212.97
17-Nov-2011,244.55,250.30,242.10, 245.10,246.35,105957,262.56
16-Nov-2011,254.95,258.95,242.60, 249.85,249.20,134940,337.32
15-Nov-2011,265.65,267.45,251.45, 258.10,257.05,94122,242.65
14-Nov-2011,270.10,271.90,262.65, 267.95,265.55,34046,91.49
11-Nov-2011,264.55,271.45,263.05, 265.95,266.00,114220,304.89
09-Nov-2011,280.00,283.40,267.90, 267.90,270.95,175984,485.52
08-Nov-2011,279.25,280.80,276.60, 280.00,280.00,78372,219.29
04-Nov-2011,278.40,279.50,275.10, 278.05,278.40,66371,184.55
03-Nov-2011,272.00,277.50,271.10, 276.00,275.45,71261,195.89
02-Nov-2011,272.40,275.45,271.00, 273.00,272.20,78020,212.76
01-Nov-2011,276.20,281.90,272.00, 273.55,275.20,283102,779.72
31-Oct-2011,265.20,278.05,261.00, 277.00,276.20,203305,559.77
28-Oct-2011,263.00,270.00,263.00, 269.85,269.55,77001,206.38
26-Oct-2011,261.20,261.40,258.55, 261.00,260.50,11338,29.50
25-Oct-2011,258.00,260.05,255.05, 256.40,258.15,48829,125.97
24-Oct-2011,265.00,265.00,254.25, 258.50,257.35,105599,273.47
21-Oct-2011,263.35,267.45,261.00, 261.50,261.70,66501,175.10
20-Oct-2011,271.15,271.80,262.55, 264.50,264.20,127740,339.96
19-Oct-2011,270.00,273.30,270.00, 273.30,272.15,54760,148.70
18-Oct-2011,272.95,272.95,266.85, 269.05,269.20,96248,258.79
17-Oct-2011,272.90,275.55,270.20, 273.75,273.10,103680,283.04
14-Oct-2011,268.80,269.80,266.10, 268.65,269.10,23966,64.26
13-Oct-2011,276.00,276.90,267.30, 267.75,269.05,40568,110.12
12-Oct-2011,267.85,274.65,263.85, 273.00,273.10,160657,433.53
11-Oct-2011,273.00,275.40,264.10, 264.80,265.30,74591,201.70
10-Oct-2011,267.00,271.95,263.40, 271.95,270.05,118679,317.92
07-Oct-2011,274.50,274.50,260.00, 265.35,266.25,234322,619.61
05-Oct-2011,272.00,272.70,253.15, 253.65,257.65,140568,369.22
04-Oct-2011,267.30,274.90,267.00, 270.00,269.75,82542,223.40
03-Oct-2011,278.90,278.90,265.90, 270.00,267.80,55829,150.68
30-Sep-2011,272.15,280.00,272.15, 277.75,277.60,69287,191.44
29-Sep-2011,277.05,277.05,270.50, 275.00,274.15,115542,315.67
28-Sep-2011,280.00,286.50,275.05, 276.60,277.05,135669,384.31
27-Sep-2011,279.95,280.40,277.70, 279.00,279.75,33858,94.67
26-Sep-2011,278.00,278.00,271.20, 275.20,274.95,34850,95.46
23-Sep-2011,284.40,284.40,273.50, 276.00,277.75,96096,266.90
22-Sep-2011,289.85,289.85,282.90, 285.00,284.55,124495,354.56
21-Sep-2011,284.90,294.90,282.00, 292.00,293.10,227864,661.70
20-Sep-2011,284.95,284.95,280.50, 283.50,283.00,90862,257.36
19-Sep-2011,285.50,285.75,277.05, 281.70,280.70,80619,226.70
16-Sep-2011,280.00,285.05,277.05, 283.25,284.00,669786,1892.83
15-Sep-2011,277.75,281.00,275.50, 277.10,278.15,218374,607.67
14-Sep-2011,286.25,286.25,273.55, 274.00,275.35,158471,442.47
13-Sep-2011,286.45,289.85,282.10, 283.95,284.30,146434,418.96
