Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,2.75,2.75,2.50, 2.50,2.50,4806,0.13
29-Dec-2011,2.40,2.80,2.40, 2.75,2.70,708,0.02
28-Dec-2011,2.75,2.75,2.40, 2.65,2.65,1044,0.03
27-Dec-2011,2.55,2.60,2.50, 2.55,2.55,2746,0.07
26-Dec-2011,2.90,2.90,2.55, 2.60,2.60,3447,0.10
23-Dec-2011,2.85,2.85,2.55, 2.65,2.65,1654,0.04
22-Dec-2011,2.80,3.00,2.50, 2.65,2.65,2885,0.08
21-Dec-2011,2.50,2.75,2.45, 2.75,2.75,2101,0.06
20-Dec-2011,2.60,2.75,2.45, 2.70,2.70,2141,0.05
19-Dec-2011,2.60,2.60,2.35, 2.55,2.55,4679,0.12
16-Dec-2011,2.80,2.80,2.50, 2.60,2.55,8357,0.23
15-Dec-2011,2.50,2.90,2.45, 2.55,2.55,1297,0.03
14-Dec-2011,2.70,2.75,2.65, 2.70,2.70,462,0.01
13-Dec-2011,2.65,2.85,2.65, 2.85,2.85,202,0.01
12-Dec-2011,2.60,2.90,2.60, 2.70,2.70,1155,0.03
09-Dec-2011,2.85,2.85,2.70, 2.75,2.75,1089,0.03
08-Dec-2011,2.70,2.95,2.70, 2.70,2.70,325,0.01
07-Dec-2011,2.95,2.95,2.80, 2.80,2.80,265,0.01
05-Dec-2011,3.00,3.00,2.90, 2.95,2.95,72,0.00
02-Dec-2011,2.95,2.95,2.65, 2.80,2.80,5487,0.15
01-Dec-2011,2.70,3.10,2.65, 2.80,2.80,1647,0.05
30-Nov-2011,3.00,3.00,2.95, 2.95,2.95,400,0.01
29-Nov-2011,3.05,3.05,2.70, 3.00,2.75,3142,0.09
28-Nov-2011,3.10,3.10,2.85, 2.85,2.85,83,0.00
25-Nov-2011,3.20,3.20,2.85, 2.85,2.85,8807,0.26
24-Nov-2011,2.75,3.00,2.70, 2.95,2.95,1220,0.03
23-Nov-2011,3.15,3.15,2.70, 2.80,2.80,2130,0.06
22-Nov-2011,2.80,3.00,2.70, 2.90,2.85,18608,0.51
21-Nov-2011,2.85,3.10,2.85, 2.90,2.90,2200,0.06
18-Nov-2011,3.00,3.20,2.70, 3.20,3.15,7532,0.23
17-Nov-2011,3.00,3.20,2.95, 3.20,2.95,3711,0.11
16-Nov-2011,3.00,3.30,3.00, 3.20,3.20,2367,0.07
15-Nov-2011,3.40,3.40,3.10, 3.15,3.10,5365,0.17
14-Nov-2011,3.45,3.45,3.15, 3.40,3.35,7010,0.23
11-Nov-2011,3.25,3.30,3.25, 3.30,3.25,350,0.01
09-Nov-2011,3.40,3.65,3.25, 3.45,3.45,3054,0.10
08-Nov-2011,3.75,3.75,3.25, 3.35,3.35,2676,0.10
04-Nov-2011,3.20,3.45,3.20, 3.40,3.40,1601,0.05
03-Nov-2011,3.20,3.45,3.20, 3.25,3.25,2077,0.07
02-Nov-2011,3.20,3.45,3.20, 3.30,3.30,1271,0.04
01-Nov-2011,3.35,3.55,3.35, 3.35,3.35,932,0.03
31-Oct-2011,3.65,3.65,3.40, 3.60,3.50,1152,0.04
28-Oct-2011,3.50,3.55,3.35, 3.55,3.55,3465,0.12
26-Oct-2011,3.55,3.60,3.25, 3.60,3.40,1068,0.04
25-Oct-2011,3.60,3.60,3.35, 3.40,3.40,554,0.02
24-Oct-2011,3.40,3.65,3.40, 3.50,3.40,3639,0.12
21-Oct-2011,3.65,3.80,3.50, 3.65,3.55,18046,0.66
19-Oct-2011,3.35,3.70,3.35, 3.60,3.60,4403,0.16
