Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,982.00,1009.90,976.00, 990.10,990.55,47526,469.04
29-Dec-2011,1014.00,1015.20,975.00, 980.25,980.75,81690,805.38
28-Dec-2011,1020.20,1028.00,1008.55, 1012.00,1010.80,39501,403.01
27-Dec-2011,1016.20,1028.00,1014.00, 1020.00,1019.60,15256,156.01
26-Dec-2011,1025.00,1029.45,1012.25, 1020.00,1019.55,27823,284.11
23-Dec-2011,1025.00,1030.00,1019.95, 1023.00,1023.95,29728,305.36
22-Dec-2011,1015.00,1028.00,1012.00, 1025.00,1023.65,18562,189.89
21-Dec-2011,1005.05,1026.90,1000.00, 1018.10,1022.30,78105,797.15
20-Dec-2011,1009.00,1009.00,991.20, 1002.40,1000.30,51098,511.10
19-Dec-2011,1049.00,1049.00,981.00, 1010.05,1006.95,43120,431.97
16-Dec-2011,1059.00,1059.00,1011.35, 1014.00,1014.00,34382,354.74
15-Dec-2011,1035.00,1040.00,1022.10, 1028.10,1031.90,46044,475.61
14-Dec-2011,1040.00,1053.00,1031.90, 1041.05,1040.30,109726,1147.45
13-Dec-2011,1004.00,1037.00,998.55, 1033.00,1032.00,88434,900.92
12-Dec-2011,1010.00,1019.95,1000.70, 1001.10,1009.00,104007,1053.93
09-Dec-2011,1022.75,1022.75,992.10, 1000.25,999.75,23732,237.16
08-Dec-2011,1016.20,1029.70,1001.10, 1005.00,1004.55,42122,427.52
07-Dec-2011,1007.00,1030.00,1002.10, 1016.00,1016.25,94543,964.07
05-Dec-2011,1000.00,1008.00,997.00, 1000.05,1000.85,15446,154.70
02-Dec-2011,1009.00,1009.00,995.05, 1000.15,1000.85,23354,233.95
01-Dec-2011,1010.00,1018.00,998.20, 998.20,1002.25,21914,220.61
30-Nov-2011,1004.40,1011.20,991.00, 1002.00,1001.45,91362,916.45
29-Nov-2011,992.00,1009.00,992.00, 997.00,999.55,45672,457.63
28-Nov-2011,991.20,999.55,981.20, 994.00,991.35,39710,394.41
25-Nov-2011,975.00,994.85,971.00, 981.30,984.90,24660,242.85
24-Nov-2011,982.00,992.70,962.25, 967.00,974.45,170274,1661.38
23-Nov-2011,1004.10,1006.75,979.00, 983.45,984.55,75106,746.42
22-Nov-2011,1009.65,1009.65,975.00, 998.05,1003.30,52885,528.19
21-Nov-2011,1007.00,1009.90,990.15, 998.50,998.25,28310,282.46
18-Nov-2011,1011.00,1013.40,1000.00, 1002.00,1006.85,86590,872.77
17-Nov-2011,1001.00,1034.00,996.00, 1009.00,1013.65,69231,707.36
16-Nov-2011,1012.55,1017.95,998.10, 1008.00,1004.00,28166,282.77
15-Nov-2011,1040.00,1040.00,1011.55, 1012.05,1015.60,50377,517.40
14-Nov-2011,1050.65,1054.85,1031.20, 1039.90,1036.45,55063,575.25
11-Nov-2011,1051.50,1059.20,1036.00, 1046.15,1044.60,78428,819.18
09-Nov-2011,1070.00,1072.80,1050.00, 1050.50,1055.90,35746,379.72
08-Nov-2011,1072.55,1085.00,1058.65, 1065.00,1068.15,71002,759.96
04-Nov-2011,1050.00,1085.00,1050.00, 1078.00,1077.50,167145,1795.94
03-Nov-2011,1060.10,1072.00,1045.70, 1046.20,1049.90,86102,909.54
02-Nov-2011,1034.95,1066.00,1031.00, 1058.10,1057.35,108342,1135.67
01-Nov-2011,1005.95,1068.80,994.00, 1043.00,1041.35,354220,3707.04
31-Oct-2011,997.10,1012.20,972.50, 1000.00,1002.15,155740,1548.17
28-Oct-2011,1014.00,1015.00,990.25, 994.50,996.75,43521,436.28
26-Oct-2011,1010.00,1012.00,1000.20, 1004.00,1003.00,5687,57.12
25-Oct-2011,990.00,1002.75,987.00, 999.00,1000.20,37164,371.24
24-Oct-2011,991.00,999.00,989.50, 992.50,992.95,15367,152.47
21-Oct-2011,1000.00,1007.00,981.10, 992.15,987.90,18855,187.75
20-Oct-2011,1006.00,1014.95,988.30, 996.00,996.85,32709,327.36
19-Oct-2011,999.40,1020.00,999.40, 1003.50,1004.30,41780,421.72
18-Oct-2011,1001.25,1008.00,995.00, 997.50,999.40,71284,712.70
17-Oct-2011,997.90,1005.00,992.15, 1005.00,1000.05,48775,487.39
14-Oct-2011,991.00,996.00,985.00, 996.00,994.00,10992,108.99
13-Oct-2011,1000.00,1002.95,985.00, 986.00,987.85,9171,91.16
12-Oct-2011,996.30,1000.95,996.10, 1000.00,999.40,34429,344.08
11-Oct-2011,988.00,1000.00,984.05, 994.00,996.30,40877,407.28
10-Oct-2011,984.00,990.00,978.80, 984.05,984.05,23522,231.43
07-Oct-2011,991.55,1003.00,973.05, 980.10,986.00,83168,818.92
05-Oct-2011,1010.00,1015.00,992.25, 996.00,996.50,67579,673.62
04-Oct-2011,969.70,989.50,962.30, 984.00,984.80,146292,1438.61
03-Oct-2011,974.95,981.90,963.90, 965.00,965.75,26766,259.79
30-Sep-2011,988.85,994.00,975.95, 977.50,982.75,87220,858.67
29-Sep-2011,965.70,992.00,963.05, 991.00,989.25,142608,1396.39
28-Sep-2011,965.95,970.70,958.00, 966.00,965.70,101929,983.92
27-Sep-2011,970.00,976.90,959.00, 961.20,961.65,41346,399.59
26-Sep-2011,987.95,987.95,962.90, 965.70,967.25,20440,198.42
23-Sep-2011,965.00,988.85,936.00, 984.45,983.05,32516,317.66
22-Sep-2011,999.00,999.00,971.10, 975.10,975.00,33505,329.90
21-Sep-2011,988.05,1000.00,916.60, 1000.00,999.70,48152,478.51
20-Sep-2011,992.00,997.70,982.60, 988.50,988.15,21204,209.77
19-Sep-2011,985.60,995.00,980.20, 985.00,987.05,20316,200.83
16-Sep-2011,1000.00,1011.65,982.00, 983.00,989.55,154416,1543.80
15-Sep-2011,982.00,1005.00,982.00, 998.55,999.95,138369,1381.96
14-Sep-2011,974.95,985.00,967.30, 977.00,977.20,24333,237.77
13-Sep-2011,995.05,1001.00,965.25, 970.00,973.00,73982,731.71
12-Sep-2011,986.65,1000.00,981.35, 988.85,990.10,32652,324.80
09-Sep-2011,1024.60,1027.00,990.00, 993.05,995.40,159444,1602.92
08-Sep-2011,1040.00,1042.05,1018.10, 1020.00,1022.45,92988,952.59
07-Sep-2011,997.05,1056.90,994.95, 1035.00,1036.35,116299,1200.05
06-Sep-2011,1005.00,1019.65,1000.00, 1000.85,1003.15,36507,367.74
05-Sep-2011,979.00,1009.00,972.05, 1005.70,1004.15,94446,947.07
02-Sep-2011,962.00,985.20,950.95, 979.45,980.25,105143,1022.58
30-Aug-2011,963.00,963.00,946.00, 952.10,951.05,44879,428.28
29-Aug-2011,965.00,965.00,945.00, 947.75,947.15,94103,895.08
26-Aug-2011,972.90,975.65,940.00, 949.95,945.70,61161,584.80
25-Aug-2011,948.50,975.80,933.10, 970.00,966.15,131952,1266.92
24-Aug-2011,951.20,955.00,925.10, 932.90,932.30,42242,397.53
23-Aug-2011,950.00,959.85,942.65, 950.00,950.85,23104,219.79
22-Aug-2011,920.05,958.70,916.25, 952.00,953.25,74363,699.34
19-Aug-2011,906.30,927.95,889.75, 925.00,918.90,57716,529.77
18-Aug-2011,935.00,947.85,928.15, 929.00,931.75,58623,548.73
17-Aug-2011,915.00,939.00,911.10, 936.55,931.90,142066,1313.88
16-Aug-2011,920.15,929.95,903.30, 909.00,908.70,32671,298.88
12-Aug-2011,937.00,940.00,916.00, 919.30,920.15,108758,1002.52
11-Aug-2011,925.00,939.80,925.00, 930.00,931.20,38417,359.45
10-Aug-2011,948.95,948.95,930.00, 936.75,932.40,88195,824.81
09-Aug-2011,940.00,946.75,920.00, 932.00,931.70,57545,537.25
08-Aug-2011,961.95,961.95,935.10, 951.55,947.65,134543,1277.02
05-Aug-2011,960.00,974.90,951.70, 966.00,964.05,39226,377.94
04-Aug-2011,985.00,1001.00,972.30, 980.00,979.35,63558,629.53
03-Aug-2011,930.00,993.40,930.00, 979.85,979.75,40034,392.18
02-Aug-2011,978.00,987.00,966.50, 983.10,984.85,101104,989.06
01-Aug-2011,980.00,986.75,975.00, 976.55,978.10,20613,202.24
29-Jul-2011,975.00,987.90,961.00, 975.00,975.90,71058,692.05
28-Jul-2011,850.00,986.80,850.00, 979.00,980.20,96832,948.00
27-Jul-2011,979.90,983.70,971.00, 976.45,975.85,30590,298.66
