Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,219.95,219.95,219.95, 219.95,219.95,25,0.05
28-Dec-2011,209.50,209.50,209.50, 209.50,209.50,40,0.08
27-Dec-2011,199.55,199.55,199.55, 199.55,199.55,11,0.02
26-Dec-2011,190.05,190.05,190.05, 190.05,190.05,5,0.01
22-Dec-2011,181.00,181.00,181.00, 181.00,181.00,1,0.00
21-Dec-2011,190.10,190.10,189.05, 189.05,189.05,398,0.76
20-Dec-2011,181.10,199.00,181.00, 199.00,199.00,737,1.39
19-Dec-2011,189.30,198.90,189.30, 198.90,189.55,161,0.30
08-Dec-2011,231.00,231.00,209.00, 229.90,229.90,535,1.12
07-Dec-2011,215.60,220.00,215.60, 220.00,220.00,757,1.64
24-Nov-2011,225.55,249.10,225.55, 249.10,249.10,2,0.00
21-Nov-2011,237.40,237.40,237.40, 237.40,237.40,3,0.01
17-Nov-2011,229.75,249.90,229.75, 249.90,249.90,237,0.55
16-Nov-2011,241.80,241.80,241.80, 241.80,241.80,55,0.13
14-Nov-2011,232.50,254.50,232.50, 254.50,254.50,15,0.04
11-Nov-2011,234.30,247.90,233.15, 233.15,243.10,375,0.88
09-Nov-2011,245.60,245.60,245.40, 245.40,245.40,200,0.49
08-Nov-2011,252.15,252.15,240.00, 248.95,248.95,650,1.60
04-Nov-2011,240.10,240.10,240.10, 240.10,240.10,2,0.00
28-Oct-2011,240.05,241.35,240.05, 241.35,241.35,142,0.34
26-Oct-2011,262.50,262.50,238.00, 261.00,252.20,54,0.14
25-Oct-2011,250.00,250.00,250.00, 250.00,250.00,251,0.63
21-Oct-2011,254.05,254.05,250.00, 251.00,251.00,140,0.35
20-Oct-2011,254.25,254.25,254.25, 254.25,254.25,1,0.00
19-Oct-2011,264.90,264.90,242.10, 242.10,242.10,45,0.12
18-Oct-2011,233.10,253.00,233.10, 253.00,253.00,401,0.94
17-Oct-2011,242.30,243.00,242.20, 243.00,242.25,300,0.73
14-Oct-2011,261.50,261.50,245.00, 250.00,250.00,7,0.02
13-Oct-2011,248.90,259.00,248.90, 249.00,249.05,96,0.24
12-Oct-2011,261.80,261.80,261.80, 261.80,261.80,125,0.33
11-Oct-2011,249.20,249.30,249.20, 249.30,249.30,130,0.32
10-Oct-2011,240.05,240.05,237.40, 237.40,237.40,100,0.24
