Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,3.60,3.95,3.55, 3.95,3.70,2877,0.11
29-Dec-2011,3.80,3.80,3.60, 3.80,3.80,488,0.02
28-Dec-2011,3.85,3.85,3.70, 3.80,3.80,151,0.01
27-Dec-2011,3.65,3.65,3.65, 3.65,3.65,500,0.02
26-Dec-2011,3.90,4.00,3.60, 3.60,3.60,6668,0.26
23-Dec-2011,3.20,3.95,3.20, 3.45,3.50,1520,0.05
22-Dec-2011,3.80,3.90,3.55, 3.90,3.90,309,0.01
21-Dec-2011,4.25,4.25,3.45, 3.80,3.80,2446,0.09
20-Dec-2011,4.35,4.35,3.70, 4.00,3.70,2439,0.10
19-Dec-2011,4.45,4.45,3.50, 3.85,3.85,2029,0.08
16-Dec-2011,3.90,4.30,3.60, 4.20,4.05,760,0.03
15-Dec-2011,3.90,4.45,3.65, 4.20,4.20,12817,0.50
14-Dec-2011,4.85,4.85,4.15, 4.50,4.45,3479,0.16
13-Dec-2011,4.15,4.50,4.15, 4.50,4.40,1724,0.07
12-Dec-2011,4.15,4.95,4.05, 4.35,4.15,22379,0.97
09-Dec-2011,4.85,5.00,4.55, 4.55,4.55,1383,0.07
08-Dec-2011,5.50,5.50,4.80, 4.95,4.85,3973,0.19
07-Dec-2011,5.00,5.15,5.00, 5.15,5.05,990,0.05
05-Dec-2011,4.95,5.00,4.80, 5.00,5.00,9003,0.44
02-Dec-2011,5.05,5.25,4.95, 5.10,5.10,3639,0.19
01-Dec-2011,5.00,5.00,5.00, 5.00,5.00,4550,0.23
30-Nov-2011,4.65,5.05,4.65, 5.00,5.00,1691,0.08
29-Nov-2011,4.65,5.15,4.65, 5.15,4.95,2500,0.12
28-Nov-2011,5.50,5.50,4.75, 5.25,4.95,4111,0.20
25-Nov-2011,4.75,5.00,4.00, 4.85,4.85,9205,0.44
24-Nov-2011,5.00,5.00,4.85, 4.95,4.85,3982,0.20
23-Nov-2011,5.00,5.00,4.90, 4.90,4.95,1453,0.07
22-Nov-2011,4.70,5.10,4.70, 5.10,5.10,3084,0.15
21-Nov-2011,5.05,5.20,4.95, 4.95,4.95,5596,0.28
18-Nov-2011,5.00,5.15,5.00, 5.00,5.00,1992,0.10
17-Nov-2011,5.00,5.10,5.00, 5.05,5.05,6507,0.33
16-Nov-2011,5.00,5.10,5.00, 5.00,5.00,1850,0.09
15-Nov-2011,5.05,5.10,5.05, 5.05,5.05,1191,0.06
14-Nov-2011,5.00,5.35,5.00, 5.10,5.10,388,0.02
11-Nov-2011,5.00,5.30,4.75, 5.05,5.05,1796,0.09
09-Nov-2011,5.05,5.05,5.05, 5.05,5.05,18,0.00
08-Nov-2011,5.05,5.30,5.00, 5.05,5.05,1463,0.07
04-Nov-2011,5.30,5.30,5.30, 5.30,5.30,100,0.01
03-Nov-2011,5.40,5.40,5.35, 5.40,5.40,4,0.00
02-Nov-2011,5.00,5.40,4.90, 5.35,5.40,4277,0.22
01-Nov-2011,5.00,5.20,5.00, 5.05,5.05,885,0.04
31-Oct-2011,5.60,5.60,5.00, 5.00,5.00,1502,0.08
28-Oct-2011,5.05,5.20,5.00, 5.20,5.15,1303,0.07
