Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,9.15,9.15,9.15, 9.15,9.15,200,0.02
29-Dec-2011,8.65,9.35,8.10, 8.35,8.35,2985,0.25
28-Dec-2011,8.05,9.20,8.05, 8.80,8.80,3,0.00
22-Dec-2011,7.65,8.95,7.65, 8.95,8.95,202,0.02
21-Dec-2011,8.50,8.60,7.65, 8.60,8.10,700,0.06
20-Dec-2011,8.05,8.50,7.60, 8.50,8.50,202,0.02
16-Dec-2011,8.30,9.00,8.30, 9.00,9.00,131,0.01
15-Dec-2011,8.20,8.20,8.15, 8.15,8.15,500,0.04
14-Dec-2011,8.75,8.75,8.75, 8.75,8.75,100,0.01
13-Dec-2011,7.75,9.60,7.70, 9.60,9.60,450,0.04
12-Dec-2011,8.75,8.75,8.75, 8.75,8.75,373,0.03
09-Dec-2011,9.30,9.30,8.70, 8.70,8.70,1300,0.12
08-Dec-2011,8.55,8.55,8.50, 8.50,8.50,300,0.03
05-Dec-2011,11.40,11.40,9.15, 9.30,9.30,3200,0.30
02-Dec-2011,8.60,9.65,8.60, 9.65,9.65,150,0.01
29-Nov-2011,9.85,9.85,9.80, 9.80,9.80,10,0.00
25-Nov-2011,8.40,9.50,8.40, 9.50,9.50,30,0.00
24-Nov-2011,9.30,9.30,8.25, 8.25,9.20,732,0.07
23-Nov-2011,9.50,9.50,9.50, 9.50,9.50,10,0.00
22-Nov-2011,9.05,9.50,8.70, 9.50,9.10,398,0.04
21-Nov-2011,9.00,9.50,9.00, 9.05,9.05,741,0.07
18-Nov-2011,9.00,9.80,9.00, 9.80,9.80,160,0.01
17-Nov-2011,10.10,10.10,10.10, 10.10,10.10,100,0.01
16-Nov-2011,9.50,9.95,9.50, 9.95,9.95,465,0.04
15-Nov-2011,10.10,10.10,10.10, 10.10,10.10,230,0.02
14-Nov-2011,10.35,10.95,10.00, 10.00,10.10,2331,0.24
09-Nov-2011,11.30,11.30,11.10, 11.10,11.30,585,0.07
08-Nov-2011,11.45,12.00,10.55, 11.50,11.50,1316,0.15
04-Nov-2011,11.25,11.70,10.90, 11.70,11.30,358,0.04
01-Nov-2011,11.00,11.25,11.00, 11.25,11.15,140,0.02
31-Oct-2011,10.30,10.55,10.30, 10.35,10.35,419,0.04
28-Oct-2011,11.80,11.80,11.05, 11.10,11.10,954,0.11
26-Oct-2011,11.00,11.00,11.00, 11.00,11.00,611,0.07
25-Oct-2011,11.45,11.90,10.80, 10.80,10.80,1275,0.15
24-Oct-2011,11.30,11.35,10.75, 11.10,10.90,529,0.06
21-Oct-2011,10.40,11.00,10.25, 11.00,10.30,770,0.08
19-Oct-2011,10.05,10.15,9.65, 10.15,10.15,1552,0.15
17-Oct-2011,9.85,9.85,9.85, 9.85,9.85,1000,0.10
14-Oct-2011,9.80,10.35,9.80, 10.35,10.35,2693,0.28
13-Oct-2011,9.55,10.45,9.55, 9.80,9.80,761,0.07
12-Oct-2011,9.75,10.30,9.65, 10.25,10.25,2002,0.20
11-Oct-2011,9.65,10.50,9.05, 10.10,10.15,1700,0.17
10-Oct-2011,10.50,10.50,10.00, 10.00,10.00,433,0.05
07-Oct-2011,9.80,10.40,9.65, 10.05,10.05,68,0.01
05-Oct-2011,9.80,9.80,9.45, 9.45,9.45,500,0.05
04-Oct-2011,10.00,10.40,10.00, 10.40,10.40,214,0.02
03-Oct-2011,10.00,10.00,9.85, 9.85,9.95,120,0.01
30-Sep-2011,9.75,9.75,9.20, 9.70,9.70,750,0.07
29-Sep-2011,9.50,9.95,9.50, 9.75,9.75,1207,0.12
28-Sep-2011,10.10,10.10,10.05, 10.05,10.05,1125,0.11
27-Sep-2011,10.40,11.50,10.40, 10.50,10.50,10250,1.12
26-Sep-2011,10.35,11.25,10.35, 11.25,11.25,955,0.10
23-Sep-2011,10.35,11.90,10.35, 10.50,10.50,1842,0.21
22-Sep-2011,12.35,12.35,11.50, 11.50,11.50,2500,0.30
21-Sep-2011,12.80,12.80,11.50, 11.50,11.50,1500,0.18
20-Sep-2011,11.65,12.65,11.65, 12.65,12.65,417,0.05
19-Sep-2011,13.00,13.00,12.05, 12.50,12.50,11430,1.43
16-Sep-2011,11.40,11.95,11.30, 11.95,11.95,4674,0.54
15-Sep-2011,10.25,10.90,10.25, 10.90,10.85,1484,0.16
14-Sep-2011,10.10,10.25,10.05, 10.20,10.25,1003,0.10
13-Sep-2011,11.00,11.00,10.50, 10.50,10.50,174,0.02
12-Sep-2011,9.70,11.75,9.70, 10.00,10.00,2255,0.23
09-Sep-2011,11.75,11.75,10.70, 10.75,10.75,1204,0.13
08-Sep-2011,11.75,11.95,10.20, 11.85,11.85,492,0.05
07-Sep-2011,11.00,11.00,10.65, 10.85,10.85,1350,0.15
06-Sep-2011,10.50,10.50,9.75, 10.35,10.35,2214,0.23
05-Sep-2011,9.55,10.00,9.55, 10.00,10.00,1812,0.18
02-Sep-2011,10.60,10.65,10.60, 10.65,10.65,4,0.00
30-Aug-2011,10.00,11.00,10.00, 10.50,10.85,100,0.01
29-Aug-2011,10.65,10.65,10.65, 10.65,10.65,200,0.02
26-Aug-2011,10.65,10.75,10.50, 10.70,10.70,545,0.06
25-Aug-2011,12.25,12.25,11.95, 11.95,11.95,151,0.02
24-Aug-2011,11.00,11.00,10.80, 10.80,10.80,300,0.03
23-Aug-2011,9.75,10.60,9.60, 10.50,10.50,1125,0.12
22-Aug-2011,10.80,10.80,10.55, 10.55,10.75,263,0.03
19-Aug-2011,10.00,11.30,10.00, 11.30,11.30,396,0.04
18-Aug-2011,10.10,11.55,10.10, 11.50,11.50,615,0.07
17-Aug-2011,10.10,10.10,10.10, 10.10,10.10,80,0.01
12-Aug-2011,10.30,11.50,10.30, 11.50,11.50,1235,0.13
11-Aug-2011,11.50,11.50,10.10, 10.50,10.50,520,0.05
10-Aug-2011,11.00,11.50,11.00, 11.35,11.10,856,0.10
09-Aug-2011,10.50,10.50,10.50, 10.50,10.50,4,0.00
08-Aug-2011,10.00,10.15,9.75, 9.85,9.85,696,0.07
