Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,346.70,352.80,341.60, 345.55,350.25,235381,823.38
29-Dec-2011,341.15,348.35,336.20, 342.25,342.20,220666,756.78
28-Dec-2011,336.35,349.35,331.20, 342.00,342.80,268259,904.77
27-Dec-2011,337.00,342.00,336.00, 338.00,337.95,213982,723.27
26-Dec-2011,349.75,355.00,335.05, 337.95,338.85,323063,1112.20
23-Dec-2011,342.50,350.90,342.50, 345.50,345.35,200791,694.48
22-Dec-2011,327.15,345.70,327.15, 344.80,342.05,124542,421.36
21-Dec-2011,328.40,334.30,322.00, 332.90,326.65,140124,455.27
20-Dec-2011,331.70,335.00,323.50, 325.50,326.40,335581,1106.85
19-Dec-2011,334.00,336.75,330.55, 333.00,331.70,288341,961.35
16-Dec-2011,335.00,339.00,332.00, 334.75,333.60,363937,1222.45
15-Dec-2011,335.00,337.95,331.50, 335.00,335.05,340780,1139.42
14-Dec-2011,335.25,346.10,333.00, 337.15,334.95,183664,622.54
13-Dec-2011,335.00,340.80,333.15, 337.50,337.55,168877,571.42
12-Dec-2011,341.00,342.00,335.20, 337.00,337.45,50501,170.27
09-Dec-2011,334.15,342.00,332.95, 337.00,336.55,116102,390.70
08-Dec-2011,344.40,350.00,337.50, 339.00,339.30,287719,980.92
07-Dec-2011,358.75,358.75,343.90, 347.00,344.95,365625,1278.06
05-Dec-2011,359.00,364.50,351.65, 352.05,352.35,102255,365.45
02-Dec-2011,356.70,359.90,354.00, 359.00,358.25,153156,546.55
01-Dec-2011,363.95,366.95,351.15, 359.20,356.30,235048,844.87
30-Nov-2011,350.00,363.80,347.70, 358.90,356.90,138599,491.72
29-Nov-2011,354.90,354.90,344.35, 350.00,349.80,349182,1222.19
28-Nov-2011,357.95,368.00,342.10, 350.00,353.75,348607,1228.98
25-Nov-2011,344.95,363.70,344.95, 360.00,358.95,211165,753.83
24-Nov-2011,337.00,353.95,332.15, 348.00,348.05,174969,601.25
23-Nov-2011,335.05,349.70,331.40, 332.45,333.80,985892,3301.29
22-Nov-2011,334.00,337.00,330.10, 334.50,335.60,127126,425.16
21-Nov-2011,335.15,337.65,329.00, 334.50,335.00,701116,2348.13
18-Nov-2011,333.95,339.90,325.00, 337.30,335.30,603272,2025.69
17-Nov-2011,334.60,345.55,325.55, 337.90,336.30,584617,1973.64
16-Nov-2011,344.10,347.85,323.00, 334.90,334.60,2849950,9555.80
15-Nov-2011,361.00,366.70,340.25, 346.00,344.95,480318,1689.91
14-Nov-2011,363.95,365.00,355.70, 364.10,363.95,341240,1229.93
11-Nov-2011,363.00,363.00,349.10, 356.70,354.00,765580,2706.20
09-Nov-2011,378.10,379.30,365.85, 367.00,368.35,105688,395.40
08-Nov-2011,379.90,382.25,375.00, 377.95,377.45,137787,521.10
04-Nov-2011,376.15,383.00,371.50, 375.05,375.85,183740,692.05
03-Nov-2011,383.10,384.25,367.00, 374.50,374.70,309916,1162.55
02-Nov-2011,388.00,394.00,380.00, 381.90,381.15,349963,1354.05
01-Nov-2011,398.00,401.20,389.35, 395.00,392.75,262042,1030.67
31-Oct-2011,388.00,399.55,385.00, 397.00,397.95,139689,548.87
28-Oct-2011,389.00,392.25,378.10, 384.00,385.05,368114,1413.85
26-Oct-2011,382.80,390.00,380.00, 381.00,382.00,24153,92.23
25-Oct-2011,390.30,399.85,374.10, 380.00,379.10,322212,1234.16
24-Oct-2011,397.65,401.95,387.00, 389.90,390.15,57152,224.06
21-Oct-2011,395.00,404.85,389.20, 393.00,393.05,340197,1338.00
20-Oct-2011,402.45,402.45,391.00, 391.10,392.65,132784,527.24
19-Oct-2011,409.45,409.45,399.05, 400.00,400.80,133946,538.32
18-Oct-2011,402.05,402.90,396.00, 401.50,401.15,32364,129.09
17-Oct-2011,408.95,409.00,401.00, 403.00,403.25,33700,136.30
14-Oct-2011,414.65,414.65,402.75, 409.40,407.35,38526,156.92
13-Oct-2011,409.60,413.90,403.50, 405.00,404.35,23906,97.20
12-Oct-2011,401.90,413.00,401.00, 408.00,409.20,143165,585.55
11-Oct-2011,412.90,418.00,383.10, 397.10,399.80,449259,1793.56
10-Oct-2011,410.00,415.00,406.20, 411.00,410.55,209502,860.12
07-Oct-2011,400.00,409.00,400.00, 407.90,406.35,116280,470.38
05-Oct-2011,401.05,401.85,395.00, 396.00,397.20,244049,974.71
04-Oct-2011,402.00,409.00,396.00, 400.00,400.00,221714,886.97
03-Oct-2011,408.90,410.00,400.00, 400.00,401.90,106773,429.89
30-Sep-2011,408.25,415.05,408.10, 414.95,414.30,157361,650.39
29-Sep-2011,410.00,419.95,403.25, 418.50,414.85,152512,628.30
28-Sep-2011,411.10,425.45,406.05, 415.50,413.30,153775,631.08
27-Sep-2011,415.05,421.90,407.10, 412.00,409.45,254721,1044.33
26-Sep-2011,426.95,433.35,403.35, 409.00,414.85,227390,943.23
23-Sep-2011,413.00,436.00,410.25, 424.00,425.05,258937,1109.45
22-Sep-2011,421.20,432.65,417.10, 418.10,419.45,124363,527.53
21-Sep-2011,426.45,433.95,426.45, 429.50,431.15,133765,574.00
20-Sep-2011,410.00,440.00,410.00, 426.00,426.45,169316,722.41
19-Sep-2011,599.00,614.00,595.00, 607.00,606.85,169561,1030.84
16-Sep-2011,602.60,609.50,592.00, 593.55,593.65,101224,606.84
15-Sep-2011,605.95,610.00,601.10, 602.95,604.15,90062,546.23
14-Sep-2011,596.00,602.85,590.10, 599.00,600.30,104895,625.56
13-Sep-2011,596.10,608.40,591.10, 593.00,593.40,97413,583.23
12-Sep-2011,610.00,611.85,591.00, 592.00,592.15,95501,570.28
09-Sep-2011,617.60,624.50,612.05, 613.00,614.15,310077,1915.05
08-Sep-2011,612.05,618.50,605.30, 612.85,614.40,136727,840.60
07-Sep-2011,599.85,614.90,597.00, 611.00,612.45,140646,853.98
06-Sep-2011,616.00,622.65,591.20, 595.00,596.35,370980,2225.80
05-Sep-2011,605.00,624.75,605.00, 615.35,615.55,83970,518.67
02-Sep-2011,593.00,618.00,590.00, 615.00,615.30,91032,552.81
30-Aug-2011,596.95,599.90,586.00, 587.05,592.00,91752,543.29
29-Aug-2011,591.15,601.00,583.00, 587.30,588.40,105290,625.45
26-Aug-2011,587.00,598.80,583.15, 588.00,587.65,145035,856.41
25-Aug-2011,608.00,608.00,590.00, 591.05,591.50,81228,482.50
24-Aug-2011,602.85,608.40,596.00, 600.10,599.85,197046,1184.44
23-Aug-2011,612.00,612.00,592.60, 596.00,601.05,150082,898.18
22-Aug-2011,592.00,614.70,590.15, 611.80,610.35,66241,397.78
19-Aug-2011,595.20,595.20,583.00, 585.00,586.25,162384,951.36
18-Aug-2011,606.20,607.00,591.10, 598.65,595.20,307364,1837.15
17-Aug-2011,602.50,622.00,580.00, 607.05,606.25,219408,1304.21
16-Aug-2011,594.00,615.25,591.35, 600.60,598.65,127622,766.33
12-Aug-2011,620.20,633.30,601.30, 602.90,604.90,161893,989.38
11-Aug-2011,630.00,650.00,604.50, 619.00,616.80,104770,643.08
10-Aug-2011,614.00,620.00,597.05, 610.10,607.00,554182,3354.84
09-Aug-2011,599.00,614.00,592.05, 614.00,606.95,232863,1402.17
08-Aug-2011,598.85,617.00,591.25, 614.00,611.45,129278,784.67
05-Aug-2011,608.00,616.00,581.00, 612.00,613.25,317073,1917.20
04-Aug-2011,618.00,651.00,596.25, 612.00,614.75,1648959,10302.89
03-Aug-2011,612.20,625.00,602.50, 609.10,610.20,986370,5980.50
02-Aug-2011,629.85,629.95,614.20, 614.90,616.40,144297,896.60
01-Aug-2011,641.05,649.80,627.70, 630.00,631.95,125144,791.28
29-Jul-2011,651.00,659.00,625.20, 643.00,641.05,311364,1991.28
28-Jul-2011,670.00,670.00,651.20, 654.00,654.45,154538,1014.50
27-Jul-2011,680.45,683.65,667.25, 677.00,677.55,147455,999.04
26-Jul-2011,678.45,687.95,675.00, 678.80,677.35,72012,490.57
25-Jul-2011,684.00,684.00,670.00, 678.50,676.45,43764,294.95
22-Jul-2011,666.05,687.85,666.05, 678.00,676.60,58270,396.06
21-Jul-2011,670.90,672.75,665.00, 671.15,669.40,69676,465.16
20-Jul-2011,692.00,699.85,665.10, 673.00,670.85,180746,1225.44
19-Jul-2011,692.05,708.80,689.00, 693.15,693.45,203912,1423.66
18-Jul-2011,685.20,696.90,685.20, 687.50,687.45,32602,225.75
15-Jul-2011,687.00,700.00,683.20, 685.20,688.05,41806,289.81
14-Jul-2011,684.95,689.70,681.30, 685.00,687.60,17065,117.24
13-Jul-2011,684.50,688.00,679.05, 682.00,684.35,178563,1218.87
12-Jul-2011,680.80,686.00,674.05, 678.15,679.10,48818,332.79
11-Jul-2011,674.10,698.00,674.10, 687.60,685.95,112761,780.28
08-Jul-2011,678.95,690.00,675.00, 684.00,681.60,256850,1759.18
07-Jul-2011,673.05,680.90,663.10, 678.00,676.45,235494,1579.75
06-Jul-2011,673.00,675.00,661.10, 670.05,670.15,78727,526.12
05-Jul-2011,680.05,680.85,670.05, 671.00,673.75,66034,446.09
04-Jul-2011,680.15,684.15,677.70, 679.00,680.00,35468,241.65
01-Jul-2011,682.80,683.90,675.25, 677.00,680.15,76580,521.33
30-Jun-2011,684.15,684.20,668.20, 675.00,677.95,137501,927.54
29-Jun-2011,669.85,684.90,667.15, 680.00,683.20,139771,942.33
28-Jun-2011,675.00,678.90,664.00, 666.00,667.90,132443,887.59
27-Jun-2011,660.00,680.00,657.30, 671.95,671.95,210892,1419.01
24-Jun-2011,654.30,664.95,654.30, 663.00,661.30,145597,961.27
23-Jun-2011,662.75,666.00,643.05, 653.10,653.65,83939,547.89
22-Jun-2011,675.00,681.00,645.50, 657.00,660.25,97844,642.40
21-Jun-2011,674.10,680.90,670.00, 670.00,673.20,69240,468.78
20-Jun-2011,690.05,695.05,667.00, 670.95,671.60,105960,716.02
17-Jun-2011,695.00,697.90,682.05, 682.05,686.85,46894,323.67
16-Jun-2011,688.00,691.95,685.00, 690.05,689.85,158197,1089.90
15-Jun-2011,686.85,691.00,681.35, 688.00,687.75,65996,454.24
14-Jun-2011,688.95,688.95,680.05, 685.00,682.85,186461,1272.42
13-Jun-2011,678.70,687.00,677.70, 680.00,680.00,172872,1175.50
10-Jun-2011,688.95,693.00,672.50, 678.60,678.70,80352,546.05
09-Jun-2011,681.00,686.90,676.20, 684.00,684.80,49684,339.12
08-Jun-2011,679.00,682.50,675.50, 680.05,680.30,76424,520.11
07-Jun-2011,684.90,685.95,673.20, 684.00,683.40,82270,558.84
06-Jun-2011,680.50,685.95,671.50, 672.10,673.60,51791,351.62
03-Jun-2011,688.50,689.90,672.00, 680.00,680.50,128984,876.10
02-Jun-2011,685.80,694.80,678.00, 680.00,679.85,121260,829.30
01-Jun-2011,690.05,691.00,679.00, 690.00,687.00,230636,1577.54
31-May-2011,692.20,704.00,685.00, 685.00,687.70,187873,1297.62
30-May-2011,701.85,708.95,696.00, 706.00,705.05,127842,896.09
27-May-2011,700.95,706.00,695.50, 700.25,701.45,92649,647.62
26-May-2011,700.70,702.55,688.60, 694.65,691.80,70959,491.76
25-May-2011,700.35,704.80,691.10, 697.00,696.85,78028,544.19
24-May-2011,695.00,712.90,688.15, 707.00,707.35,106865,751.01
23-May-2011,702.05,704.85,688.00, 693.00,690.90,224097,1552.60
20-May-2011,719.90,721.00,697.00, 704.20,707.60,139238,984.62
19-May-2011,700.50,722.45,697.45, 722.45,716.90,123900,878.52
18-May-2011,708.05,715.00,699.00, 707.90,708.10,146499,1032.46
17-May-2011,714.00,717.00,706.10, 708.95,708.80,84120,598.23
16-May-2011,711.00,720.95,703.50, 713.00,711.60,87533,623.23
13-May-2011,715.00,720.00,705.15, 707.40,710.15,212943,1515.12
12-May-2011,699.00,716.00,694.00, 715.75,712.05,193045,1372.14
11-May-2011,700.00,706.90,687.70, 700.00,700.20,135362,949.18
10-May-2011,689.20,699.75,684.30, 695.05,693.60,118703,822.49
09-May-2011,694.95,696.90,685.15, 687.10,688.95,204455,1409.61
06-May-2011,700.00,700.00,686.00, 688.55,688.30,43484,300.25
05-May-2011,705.05,705.95,686.15, 688.45,689.10,80628,562.05
04-May-2011,685.55,706.95,677.90, 705.90,702.70,98389,684.98
03-May-2011,693.35,700.85,687.05, 691.95,690.40,22146,153.99
02-May-2011,693.60,710.10,693.05, 700.05,699.25,110102,770.40
29-Apr-2011,709.00,722.00,704.00, 705.00,707.35,196960,1404.74
28-Apr-2011,716.00,716.00,708.50, 710.00,710.05,206624,1467.59
27-Apr-2011,697.95,715.95,685.50, 708.00,704.20,463396,3270.26
26-Apr-2011,704.80,708.00,690.25, 691.50,692.30,138608,967.35
25-Apr-2011,718.10,719.95,698.00, 708.00,711.60,94228,668.93
21-Apr-2011,710.00,724.00,709.25, 711.00,713.95,121616,873.02
20-Apr-2011,696.00,711.90,687.05, 710.80,709.25,116272,814.96
19-Apr-2011,675.00,701.25,668.00, 693.50,694.25,142059,976.77
18-Apr-2011,682.05,690.40,673.10, 675.00,677.05,83351,567.85
15-Apr-2011,678.00,686.80,671.60, 680.35,680.80,225722,1535.27
13-Apr-2011,673.00,678.80,658.20, 671.05,671.70,313149,2097.44
11-Apr-2011,685.00,688.50,671.10, 672.00,673.50,127612,866.00
08-Apr-2011,700.00,700.00,683.05, 686.05,685.10,188189,1297.06
07-Apr-2011,701.25,709.95,686.90, 691.90,694.80,157558,1099.22
06-Apr-2011,702.95,728.50,697.15, 704.90,701.30,603763,4305.70
05-Apr-2011,711.95,711.95,694.20, 700.15,699.90,79619,555.91
04-Apr-2011,700.05,704.90,694.00, 700.00,700.30,99551,695.84
01-Apr-2011,694.95,708.90,687.05, 698.50,694.90,91025,637.39
