Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,102.00,102.75,98.30, 99.80,99.45,916163,912.21
29-Dec-2011,104.60,104.60,101.00, 101.30,101.55,891418,910.31
28-Dec-2011,103.00,105.50,102.00, 104.60,104.60,1414185,1473.92
27-Dec-2011,101.00,102.95,100.00, 102.65,102.65,649205,661.18
26-Dec-2011,100.00,101.95,99.70, 101.10,100.90,366819,371.02
23-Dec-2011,99.70,101.50,99.25, 100.50,100.40,1511862,1516.05
22-Dec-2011,99.80,101.60,98.10, 99.00,99.00,1326826,1318.67
21-Dec-2011,98.80,100.00,97.55, 99.30,99.80,751757,745.43
20-Dec-2011,96.50,98.20,96.00, 97.50,97.20,586334,568.68
19-Dec-2011,96.50,96.80,95.20, 96.30,96.40,595084,572.61
16-Dec-2011,98.55,100.40,95.25, 96.10,95.80,1010321,984.99
15-Dec-2011,96.50,98.80,95.75, 98.55,97.90,836938,812.30
14-Dec-2011,96.25,97.65,96.05, 96.50,96.70,984926,953.82
13-Dec-2011,96.05,97.20,95.25, 96.25,96.40,731305,704.19
12-Dec-2011,95.65,96.95,95.20, 96.15,96.25,812367,781.76
09-Dec-2011,97.50,97.50,94.60, 95.10,95.50,1069251,1030.37
08-Dec-2011,96.50,98.15,96.05, 97.80,97.55,1219638,1183.17
07-Dec-2011,95.75,97.05,95.50, 96.20,96.40,2102585,2035.12
05-Dec-2011,95.95,96.25,95.00, 95.70,95.75,357211,342.14
02-Dec-2011,95.00,96.05,93.20, 95.60,95.40,1606375,1518.13
01-Dec-2011,97.00,97.60,94.10, 94.50,94.25,1843110,1752.87
30-Nov-2011,96.10,96.95,94.35, 95.55,95.30,2301233,2196.48
29-Nov-2011,96.40,97.70,95.70, 95.90,95.95,1401599,1352.16
28-Nov-2011,96.00,97.35,95.55, 96.00,96.05,1027721,989.00
25-Nov-2011,96.35,96.90,95.40, 95.80,95.70,823409,790.54
24-Nov-2011,98.30,99.95,95.30, 96.00,96.35,1414911,1373.49
23-Nov-2011,98.65,100.85,97.30, 97.90,97.95,689731,678.83
22-Nov-2011,99.00,101.40,99.00, 101.00,100.85,1839680,1851.20
21-Nov-2011,96.95,99.50,95.75, 98.95,99.00,900346,888.24
18-Nov-2011,94.50,97.50,93.65, 97.20,96.95,665564,636.58
17-Nov-2011,95.50,97.70,94.10, 94.90,94.60,2004914,1925.85
16-Nov-2011,97.50,97.50,94.20, 95.25,95.45,1937687,1846.65
15-Nov-2011,100.40,100.40,96.65, 96.90,97.40,788851,780.06
14-Nov-2011,99.55,101.40,99.30, 99.70,99.95,1165858,1172.12
11-Nov-2011,99.00,100.15,98.00, 99.25,98.75,1339614,1329.00
09-Nov-2011,99.40,100.00,98.45, 98.70,98.80,567605,564.45
08-Nov-2011,99.50,100.50,99.50, 99.70,99.70,337238,336.87
04-Nov-2011,100.00,100.80,99.40, 99.40,99.80,674422,674.66
03-Nov-2011,100.00,100.60,99.30, 99.95,100.00,673098,673.34
02-Nov-2011,99.50,100.65,99.00, 99.70,99.95,586819,587.55
01-Nov-2011,102.00,102.45,99.30, 99.35,99.75,1050129,1055.00
31-Oct-2011,101.00,102.00,99.75, 101.50,101.30,2438478,2461.89
28-Oct-2011,98.00,100.85,98.00, 100.70,100.55,1234917,1231.57
26-Oct-2011,97.10,97.95,96.00, 97.50,97.65,256663,249.65
25-Oct-2011,98.55,99.15,94.75, 95.90,95.50,2675549,2561.22
24-Oct-2011,98.90,100.20,97.10, 97.70,97.60,769202,760.50
21-Oct-2011,98.00,99.50,97.55, 99.00,98.75,795510,787.00
20-Oct-2011,98.50,99.00,97.15, 98.00,98.10,570763,559.59
19-Oct-2011,98.30,99.80,97.30, 99.80,99.30,804169,792.67
18-Oct-2011,99.40,99.40,96.90, 97.50,97.35,979936,957.46
17-Oct-2011,100.95,100.95,99.20, 99.25,99.45,873227,871.96
14-Oct-2011,99.70,100.80,99.40, 100.35,100.15,640562,642.69
13-Oct-2011,100.55,101.25,99.60, 99.75,99.90,879679,883.66
12-Oct-2011,100.05,101.00,99.85, 100.20,100.40,891316,893.22
11-Oct-2011,101.50,101.50,99.40, 100.30,100.30,1970581,1976.38
10-Oct-2011,100.70,101.50,99.15, 100.00,99.90,1044100,1044.78
07-Oct-2011,101.50,101.80,99.50, 100.50,100.70,1912832,1920.49
05-Oct-2011,102.00,102.70,99.40, 100.50,100.00,1710504,1723.98
04-Oct-2011,103.00,105.00,101.35, 101.50,101.65,1510413,1561.02
03-Oct-2011,102.25,103.50,102.20, 103.25,103.10,783448,806.80
30-Sep-2011,104.00,104.00,97.75, 103.25,103.00,1023822,1051.69
29-Sep-2011,102.20,104.25,100.15, 103.10,102.35,2477759,2522.73
28-Sep-2011,103.80,104.40,101.70, 102.00,102.35,1113421,1148.81
27-Sep-2011,103.00,103.50,101.75, 103.00,102.60,928527,952.98
26-Sep-2011,102.50,103.95,100.20, 101.40,101.60,582523,594.28
23-Sep-2011,103.95,105.90,101.50, 102.75,102.70,946696,981.43
22-Sep-2011,106.00,106.85,103.40, 103.50,104.10,536990,563.87
21-Sep-2011,105.70,107.65,104.95, 107.00,107.00,2708611,2894.98
20-Sep-2011,104.00,105.40,103.55, 104.75,104.55,3176420,3332.99
19-Sep-2011,102.10,104.75,102.00, 103.85,103.75,1629382,1693.10
16-Sep-2011,106.30,108.10,101.35, 102.50,102.85,1721280,1806.39
15-Sep-2011,108.00,109.00,106.05, 106.30,106.55,1049597,1128.21
14-Sep-2011,106.30,108.60,105.75, 107.15,107.85,1590272,1708.12
13-Sep-2011,109.55,109.90,105.75, 106.50,106.35,1123939,1206.39
12-Sep-2011,109.30,111.00,108.00, 108.60,109.25,767278,842.08
09-Sep-2011,109.50,111.00,108.50, 110.10,109.50,863030,949.37
08-Sep-2011,107.05,109.05,106.15, 108.95,108.45,1826670,1966.91
07-Sep-2011,107.00,107.60,105.30, 107.00,107.05,1780156,1899.98
06-Sep-2011,108.20,108.80,106.05, 106.70,106.60,2236702,2393.44
05-Sep-2011,112.00,112.00,107.20, 107.50,107.80,2134543,2331.25
02-Sep-2011,108.25,113.95,108.00, 112.50,112.20,2639901,2969.71
30-Aug-2011,110.90,111.45,108.65, 111.00,110.75,1078485,1186.34
29-Aug-2011,110.00,110.80,108.00, 109.25,109.65,809669,891.38
26-Aug-2011,107.90,109.00,105.85, 108.00,108.00,1188959,1285.62
25-Aug-2011,107.85,108.25,106.00, 106.80,107.20,815702,875.61
24-Aug-2011,105.50,107.65,104.25, 106.70,106.50,601696,642.03
23-Aug-2011,109.90,110.00,104.10, 105.00,105.15,1002644,1060.24
22-Aug-2011,103.20,107.50,102.25, 107.40,107.00,678090,716.88
19-Aug-2011,103.90,105.00,102.20, 103.05,103.95,550688,570.41
18-Aug-2011,103.95,106.80,103.75, 104.75,105.25,1456502,1538.70
17-Aug-2011,102.50,104.50,101.20, 104.35,103.95,654934,676.51
16-Aug-2011,102.00,103.60,101.30, 102.50,102.10,765085,781.75
12-Aug-2011,102.50,102.50,100.50, 101.70,101.20,1010132,1022.19
11-Aug-2011,102.00,104.95,100.90, 101.55,101.45,1337659,1366.55
10-Aug-2011,104.20,106.50,102.15, 102.85,102.75,801860,832.23
09-Aug-2011,95.30,106.00,95.30, 103.55,103.60,1267884,1317.04
08-Aug-2011,101.00,103.90,97.95, 103.55,102.65,893222,910.26
