Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,118.00,122.00,115.50, 121.90,119.25,12803,14.97
29-Dec-2011,118.35,118.40,116.25, 118.00,118.00,19777,23.33
28-Dec-2011,117.90,118.45,116.70, 116.70,117.85,6818,8.05
27-Dec-2011,118.00,118.20,117.50, 117.50,117.60,12658,14.94
26-Dec-2011,118.00,125.85,118.00, 118.20,119.05,1175,1.40
23-Dec-2011,118.00,119.30,116.45, 118.00,117.85,13514,15.93
22-Dec-2011,116.05,118.50,116.00, 118.50,118.50,16604,19.59
21-Dec-2011,115.10,118.50,115.10, 118.00,118.00,32183,37.97
20-Dec-2011,115.85,118.50,115.80, 116.50,116.85,78324,91.91
19-Dec-2011,115.75,118.00,113.40, 118.00,116.00,107291,123.72
16-Dec-2011,116.00,117.00,115.30, 116.50,115.95,17153,19.90
15-Dec-2011,116.00,118.00,115.00, 116.50,116.45,153513,178.32
14-Dec-2011,115.00,116.85,115.00, 115.20,115.95,12017,13.94
13-Dec-2011,117.95,117.95,115.50, 116.00,116.00,12786,14.83
12-Dec-2011,115.00,118.80,115.00, 117.95,116.00,67017,77.78
09-Dec-2011,115.00,118.00,113.00, 117.90,116.05,18452,21.43
08-Dec-2011,112.55,117.00,112.55, 117.00,116.30,10840,12.56
07-Dec-2011,117.75,118.85,104.95, 116.10,117.20,42394,48.29
05-Dec-2011,112.00,117.95,112.00, 117.95,117.25,2159,2.50
02-Dec-2011,108.00,118.00,108.00, 117.90,116.80,7664,8.78
01-Dec-2011,107.35,111.00,106.00, 111.00,110.10,5122,5.61
30-Nov-2011,102.15,114.00,101.15, 114.00,107.65,89453,95.25
29-Nov-2011,99.95,106.90,96.00, 106.75,105.10,230441,222.05
28-Nov-2011,93.00,100.00,93.00, 96.00,96.00,3327,3.18
25-Nov-2011,90.00,100.00,90.00, 100.00,99.50,11780,11.56
24-Nov-2011,98.95,98.95,89.05, 89.10,90.00,5827,5.31
23-Nov-2011,91.00,102.05,89.00, 95.00,96.00,15417,14.83
22-Nov-2011,99.95,100.00,94.25, 96.90,95.35,1625,1.58
21-Nov-2011,100.00,104.00,93.85, 98.25,97.75,742,0.73
18-Nov-2011,97.00,100.90,96.05, 100.70,99.30,3991,3.95
17-Nov-2011,99.00,101.70,98.25, 98.25,98.25,582,0.58
16-Nov-2011,98.10,104.70,92.50, 99.25,99.70,3944,3.82
15-Nov-2011,102.00,103.75,98.10, 98.10,99.20,1763,1.76
14-Nov-2011,105.05,107.50,102.10, 103.95,102.50,2283,2.38
11-Nov-2011,109.95,109.95,103.10, 104.00,104.20,1541,1.62
09-Nov-2011,109.85,110.10,107.20, 108.00,108.15,4756,5.19
