Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,36.05,37.55,36.00, 36.55,36.45,222342,81.74
29-Dec-2011,35.25,38.80,35.05, 35.90,36.05,830681,307.12
28-Dec-2011,38.75,38.75,36.05, 36.20,36.30,347533,127.65
27-Dec-2011,40.60,40.75,37.75, 38.10,38.15,173362,67.64
26-Dec-2011,39.45,40.65,39.15, 40.00,39.95,120924,48.47
23-Dec-2011,39.45,39.80,38.65, 39.80,39.35,127929,50.11
22-Dec-2011,39.00,39.60,38.05, 38.20,38.55,237787,92.68
21-Dec-2011,38.80,39.90,37.50, 39.85,39.00,263641,101.29
20-Dec-2011,39.00,39.45,36.15, 36.65,37.30,207053,78.77
19-Dec-2011,38.50,40.15,38.40, 39.00,38.70,270390,105.44
16-Dec-2011,44.05,44.95,38.40, 41.00,40.25,186750,78.13
15-Dec-2011,45.00,45.30,43.60, 43.95,44.00,155168,68.78
14-Dec-2011,45.50,46.25,45.00, 45.00,45.00,115703,52.41
13-Dec-2011,45.00,45.50,43.50, 45.30,45.20,225923,101.79
12-Dec-2011,46.50,46.75,44.60, 45.00,45.05,217444,98.35
09-Dec-2011,46.20,46.70,45.35, 45.35,46.00,162222,75.01
08-Dec-2011,47.40,49.00,45.50, 46.95,46.90,624216,295.23
07-Dec-2011,46.40,49.20,45.40, 46.80,46.95,581178,276.29
05-Dec-2011,48.40,48.40,47.00, 47.20,47.30,126189,59.76
02-Dec-2011,45.50,48.40,45.00, 48.05,47.90,709985,337.13
01-Dec-2011,46.30,47.50,44.60, 45.10,45.15,303970,139.29
30-Nov-2011,45.85,46.40,45.10, 45.40,45.55,185640,84.77
29-Nov-2011,48.05,48.75,45.70, 45.75,46.45,147949,69.94
28-Nov-2011,48.80,49.70,47.75, 48.10,48.35,274247,132.99
25-Nov-2011,44.65,51.75,44.65, 48.00,47.85,2390536,1175.59
24-Nov-2011,44.95,45.85,44.00, 45.15,44.65,499156,223.13
23-Nov-2011,47.80,47.80,44.00, 45.10,45.25,556560,253.04
22-Nov-2011,47.80,48.35,46.35, 47.60,47.40,155448,73.84
21-Nov-2011,46.65,48.90,46.65, 48.50,47.70,199118,95.74
18-Nov-2011,48.00,48.60,45.35, 48.30,47.85,335093,158.05
17-Nov-2011,48.90,50.15,47.30, 47.85,48.40,434912,211.85
16-Nov-2011,49.40,49.70,44.10, 49.00,48.70,509731,242.36
15-Nov-2011,46.95,50.30,45.50, 49.70,49.00,739297,353.53
14-Nov-2011,50.85,50.95,45.80, 46.50,47.10,376510,183.45
11-Nov-2011,49.25,51.00,49.00, 50.20,50.30,200321,99.88
09-Nov-2011,50.60,50.60,49.30, 49.75,49.95,340357,170.29
08-Nov-2011,51.05,51.25,49.25, 50.10,50.25,197737,99.37
04-Nov-2011,50.45,51.45,50.00, 50.45,50.75,216389,109.85
03-Nov-2011,50.10,50.75,49.30, 50.15,49.85,151715,75.82
02-Nov-2011,48.10,50.55,47.75, 49.70,50.00,418912,205.80
01-Nov-2011,51.50,52.50,48.15, 48.50,49.25,862858,431.31
31-Oct-2011,50.10,52.25,50.10, 51.55,51.70,526834,271.58
28-Oct-2011,49.50,50.70,48.20, 50.25,49.90,649674,319.99
26-Oct-2011,48.45,48.45,46.60, 47.55,47.60,430352,204.87
25-Oct-2011,53.70,53.80,45.40, 47.20,47.20,3655826,1734.88
24-Oct-2011,54.35,54.70,52.40, 53.70,53.50,484928,259.28
21-Oct-2011,54.00,54.75,53.20, 54.40,54.20,248973,134.88
20-Oct-2011,54.25,54.70,53.70, 54.50,54.20,167114,90.55
19-Oct-2011,54.10,55.00,54.00, 54.30,54.55,148223,80.67
18-Oct-2011,55.05,55.05,53.75, 54.50,54.05,205958,111.39
17-Oct-2011,56.00,56.20,54.60, 55.20,55.00,240533,133.25
14-Oct-2011,55.50,56.10,54.05, 55.10,55.70,187804,103.92
13-Oct-2011,55.75,56.90,55.50, 55.50,55.90,183035,102.96
12-Oct-2011,55.35,56.00,54.45, 55.50,55.60,181249,99.97
11-Oct-2011,55.80,55.90,54.65, 54.90,55.00,193217,106.81
10-Oct-2011,54.80,54.90,52.90, 54.50,54.40,251698,136.17
07-Oct-2011,55.55,56.00,54.00, 54.00,54.40,209461,115.26
05-Oct-2011,54.70,55.00,53.05, 54.90,54.15,280051,150.64
04-Oct-2011,54.85,56.70,52.20, 54.00,53.10,778512,418.06
03-Oct-2011,55.20,56.85,53.35, 55.00,54.10,285274,155.45
30-Sep-2011,56.25,56.75,54.65, 54.90,55.30,143617,80.06
29-Sep-2011,56.40,56.90,54.20, 55.80,56.20,435730,240.93
28-Sep-2011,59.55,59.55,56.05, 56.50,56.50,239989,137.60
27-Sep-2011,59.05,60.10,58.20, 58.50,58.95,320593,190.31
26-Sep-2011,59.00,59.90,57.10, 58.05,57.90,268311,155.87
23-Sep-2011,55.50,61.30,54.25, 59.75,58.90,806061,468.16
22-Sep-2011,60.40,60.75,56.20, 57.05,56.95,332946,194.74
21-Sep-2011,60.35,62.30,59.45, 62.00,61.90,695201,425.25
20-Sep-2011,57.25,61.20,57.15, 60.40,59.90,467038,274.18
19-Sep-2011,56.45,57.80,56.05, 56.90,56.65,151430,86.04
16-Sep-2011,56.60,57.50,56.00, 57.00,57.10,313662,178.23
15-Sep-2011,58.30,59.00,54.65, 56.50,56.05,1015564,570.79
14-Sep-2011,54.50,58.90,54.25, 58.00,58.45,777585,445.55
13-Sep-2011,56.75,58.05,52.75, 54.00,54.10,469816,259.24
12-Sep-2011,58.90,59.00,55.10, 56.00,55.95,356237,200.82
09-Sep-2011,60.65,63.15,59.00, 59.25,59.65,678296,412.36
08-Sep-2011,61.15,61.60,59.10, 60.60,60.65,461311,279.81
07-Sep-2011,59.75,61.40,58.55, 59.75,60.20,471064,283.35
06-Sep-2011,57.75,59.80,55.90, 59.00,59.10,385343,223.16
05-Sep-2011,56.50,59.00,55.05, 58.20,58.20,439038,252.58
02-Sep-2011,56.40,57.25,54.30, 56.50,56.70,844202,472.89
30-Aug-2011,54.00,56.20,53.30, 55.90,55.50,958252,525.98
29-Aug-2011,50.30,54.40,49.90, 53.20,53.25,671028,350.78
26-Aug-2011,52.45,53.80,49.10, 50.25,49.90,950783,484.29
25-Aug-2011,56.00,57.40,51.70, 52.40,52.40,3249130,1759.48
24-Aug-2011,63.25,63.25,54.70, 55.05,56.00,3491138,2046.58
23-Aug-2011,65.90,65.90,63.00, 63.30,63.70,1764667,1141.80
22-Aug-2011,66.05,66.25,65.05, 65.50,65.15,1374693,902.81
19-Aug-2011,66.00,66.70,65.25, 66.00,66.15,2279856,1504.50
18-Aug-2011,66.90,66.90,65.70, 66.40,66.05,1258998,831.45
17-Aug-2011,66.70,67.45,65.70, 66.50,66.15,843183,557.96
16-Aug-2011,66.50,66.95,65.95, 66.05,66.00,1275255,842.36
12-Aug-2011,66.90,69.10,65.95, 66.40,66.00,1768517,1190.67
11-Aug-2011,64.95,67.25,63.90, 66.05,66.05,1731931,1141.86
10-Aug-2011,64.50,66.00,64.00, 64.00,64.25,183793,119.32
09-Aug-2011,63.70,66.40,63.10, 64.40,64.35,1459440,955.09
08-Aug-2011,66.00,66.60,65.80, 66.05,65.95,1684903,1112.27
05-Aug-2011,63.95,67.00,63.15, 66.65,66.60,1600496,1056.81
04-Aug-2011,66.25,67.50,65.70, 66.00,66.05,1205889,797.13
03-Aug-2011,66.40,67.40,65.50, 66.10,66.25,856336,571.02
02-Aug-2011,66.75,67.75,66.10, 67.20,67.45,1121872,752.24
01-Aug-2011,69.90,69.90,67.00, 67.00,67.00,1016941,687.34
29-Jul-2011,70.90,73.40,68.30, 68.65,68.85,2534790,1809.03
28-Jul-2011,68.65,71.25,68.05, 71.25,70.45,1618703,1131.43
27-Jul-2011,69.50,69.80,67.85, 69.00,68.80,407082,279.71
26-Jul-2011,71.90,72.20,68.80, 68.85,69.25,646931,454.87
25-Jul-2011,72.15,72.60,69.20, 71.80,71.55,1324804,946.65
22-Jul-2011,67.95,70.70,67.05, 70.65,70.30,1342418,933.28
21-Jul-2011,66.90,68.60,66.70, 67.80,67.65,628012,425.06
20-Jul-2011,67.95,68.30,66.90, 67.20,67.00,343178,230.49
19-Jul-2011,67.15,67.95,66.80, 67.50,67.45,245106,165.22
18-Jul-2011,66.70,67.75,66.20, 67.15,67.10,603850,405.40
15-Jul-2011,66.45,67.25,66.15, 66.50,66.40,223636,148.86
14-Jul-2011,66.30,67.80,66.00, 66.75,66.65,442009,295.22
13-Jul-2011,66.25,67.20,66.15, 66.35,66.35,348643,232.49
12-Jul-2011,66.35,67.15,65.60, 65.65,66.05,729645,482.81
11-Jul-2011,68.40,68.85,66.80, 67.20,67.20,564753,381.46
