Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,151.00,154.00,151.00, 153.00,153.00,967,1.48
29-Dec-2011,150.00,150.00,150.00, 150.00,150.00,1,0.00
28-Dec-2011,159.00,159.00,158.90, 158.90,158.95,2,0.00
27-Dec-2011,157.00,157.00,152.00, 152.00,152.00,101,0.15
26-Dec-2011,156.85,156.85,156.85, 156.85,156.85,1,0.00
23-Dec-2011,151.20,157.00,151.20, 157.00,152.40,136,0.21
22-Dec-2011,155.00,155.00,155.00, 155.00,155.00,1,0.00
21-Dec-2011,145.00,161.00,145.00, 157.50,156.85,375,0.58
20-Dec-2011,152.00,165.00,152.00, 160.00,160.00,320,0.50
19-Dec-2011,170.00,170.00,150.25, 159.95,158.75,19190,32.16
16-Dec-2011,155.00,155.00,155.00, 155.00,155.00,1,0.00
15-Dec-2011,154.90,155.00,154.90, 155.00,154.95,2,0.00
14-Dec-2011,155.00,155.00,155.00, 155.00,155.00,1,0.00
13-Dec-2011,155.00,157.00,148.00, 156.00,156.00,3763,5.79
09-Dec-2011,154.95,155.00,154.95, 155.00,154.95,2,0.00
08-Dec-2011,155.00,155.00,155.00, 155.00,155.00,1,0.00
07-Dec-2011,155.00,156.00,148.50, 150.00,150.00,254,0.38
02-Dec-2011,175.00,175.00,152.00, 152.00,152.00,27,0.04
30-Nov-2011,157.80,157.80,157.80, 157.80,157.80,9,0.01
29-Nov-2011,145.00,158.00,145.00, 157.00,157.00,81,0.12
28-Nov-2011,145.00,145.00,138.00, 138.00,138.00,8,0.01
25-Nov-2011,145.50,145.50,145.50, 145.50,145.50,100,0.15
24-Nov-2011,160.00,160.00,147.00, 147.00,147.00,18,0.03
23-Nov-2011,149.00,149.00,149.00, 149.00,149.00,26,0.04
22-Nov-2011,155.00,164.00,152.00, 154.50,154.75,186,0.29
21-Nov-2011,145.00,145.00,145.00, 145.00,145.00,15,0.02
18-Nov-2011,150.00,150.00,150.00, 150.00,150.00,50,0.08
16-Nov-2011,151.00,155.00,150.00, 150.00,150.05,179,0.27
15-Nov-2011,151.00,151.00,151.00, 151.00,151.00,10,0.02
14-Nov-2011,151.40,151.40,151.40, 151.40,151.40,3,0.00
11-Nov-2011,160.00,160.00,156.05, 159.95,159.95,100,0.16
09-Nov-2011,162.50,162.50,160.00, 160.00,160.00,602,0.97
08-Nov-2011,164.00,166.95,160.45, 160.45,160.45,926,1.50
04-Nov-2011,175.00,175.50,168.50, 168.50,168.50,712,1.24
02-Nov-2011,162.00,175.00,162.00, 174.05,174.05,220,0.38
31-Oct-2011,171.10,180.00,171.10, 180.00,180.00,26,0.04
