Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,56.40,58.55,55.90, 57.15,57.00,12533,7.18
29-Dec-2011,60.00,61.15,56.40, 57.00,56.90,14291,8.39
28-Dec-2011,56.00,60.50,56.00, 59.90,59.05,65267,38.35
27-Dec-2011,61.00,61.00,55.15, 56.05,56.25,23100,13.05
26-Dec-2011,63.45,63.45,60.60, 60.70,60.90,587,0.36
23-Dec-2011,60.85,63.25,60.05, 62.00,61.75,3482,2.16
22-Dec-2011,58.00,61.65,57.40, 59.70,59.90,6586,3.87
21-Dec-2011,59.10,59.10,56.00, 56.55,57.05,20181,11.50
20-Dec-2011,59.00,59.75,57.20, 58.05,58.10,28186,16.40
19-Dec-2011,63.05,63.05,58.60, 59.00,60.10,59796,36.18
16-Dec-2011,67.10,67.10,63.10, 64.00,63.60,4617,2.97
15-Dec-2011,64.25,66.40,64.00, 66.40,66.10,3285,2.14
14-Dec-2011,64.50,66.95,64.50, 66.00,65.25,2332,1.53
13-Dec-2011,65.25,67.95,63.50, 65.00,64.35,5958,3.85
12-Dec-2011,68.90,68.90,66.00, 66.00,66.40,3622,2.41
09-Dec-2011,66.80,67.55,66.40, 66.90,66.95,3644,2.44
08-Dec-2011,67.00,68.15,66.25, 68.15,67.55,8373,5.67
07-Dec-2011,68.50,69.60,67.70, 67.70,67.75,7099,4.86
05-Dec-2011,66.30,71.90,66.30, 67.70,68.50,50995,35.76
02-Dec-2011,67.00,68.30,66.50, 67.60,67.15,1086,0.73
01-Dec-2011,67.25,69.40,67.25, 68.60,68.20,4915,3.35
30-Nov-2011,68.00,68.00,66.30, 66.30,66.60,2307,1.55
29-Nov-2011,70.95,70.95,66.65, 67.60,67.25,7154,4.88
28-Nov-2011,63.70,70.90,63.70, 69.90,69.35,59874,41.50
25-Nov-2011,64.90,72.90,62.50, 64.00,64.30,57203,36.85
24-Nov-2011,63.55,65.10,63.25, 63.75,63.55,8113,5.19
23-Nov-2011,65.00,67.35,64.00, 64.00,64.85,10721,7.02
22-Nov-2011,69.00,69.00,65.20, 66.50,66.50,4500,2.99
21-Nov-2011,69.50,69.50,63.35, 66.70,67.00,2229,1.49
18-Nov-2011,64.00,70.95,62.55, 67.20,68.50,27409,18.86
17-Nov-2011,68.60,68.60,65.30, 65.35,65.70,5102,3.38
16-Nov-2011,67.50,69.40,67.30, 67.50,67.60,3187,2.17
15-Nov-2011,70.55,72.40,67.00, 68.80,68.35,23318,16.32
14-Nov-2011,72.50,73.75,66.10, 68.25,69.00,7992,5.63
11-Nov-2011,73.00,73.90,70.30, 71.50,71.50,8405,6.02
09-Nov-2011,75.50,77.85,73.05, 73.05,73.55,19793,14.87
08-Nov-2011,75.20,78.00,75.20, 75.65,76.45,2582,1.96
04-Nov-2011,75.25,76.60,75.25, 76.35,76.20,4382,3.33
03-Nov-2011,76.00,76.50,74.65, 76.40,76.20,2153,1.64
02-Nov-2011,75.10,77.50,73.70, 77.00,76.70,5820,4.46
01-Nov-2011,75.10,76.95,74.55, 76.00,76.10,2126,1.62
31-Oct-2011,75.70,77.65,74.40, 76.00,76.10,4552,3.47
28-Oct-2011,75.00,79.20,75.00, 76.80,76.70,17035,13.30
26-Oct-2011,75.00,77.70,75.00, 75.70,76.05,3912,2.98
25-Oct-2011,75.00,76.50,73.60, 75.50,75.85,6897,5.23
24-Oct-2011,75.50,76.80,73.60, 76.30,76.15,7606,5.77
21-Oct-2011,76.00,76.65,73.50, 76.50,76.05,9818,7.46
20-Oct-2011,75.00,77.30,75.00, 77.10,76.95,10742,8.22
19-Oct-2011,75.05,79.40,75.00, 76.90,76.80,73322,57.38
18-Oct-2011,77.20,77.20,73.25, 74.00,74.85,5117,3.84
17-Oct-2011,73.50,77.25,72.50, 76.80,76.60,8994,6.86
14-Oct-2011,74.55,74.60,73.25, 74.50,74.35,4599,3.39
13-Oct-2011,74.10,74.65,73.25, 74.00,74.15,2994,2.22
12-Oct-2011,73.45,75.45,72.55, 74.00,73.85,8224,6.07
11-Oct-2011,74.05,76.00,74.00, 74.00,74.45,5094,3.83
10-Oct-2011,71.00,76.50,70.10, 75.00,74.90,20736,15.56
07-Oct-2011,72.85,75.80,71.75, 71.80,72.15,3377,2.46
05-Oct-2011,71.70,73.50,71.25, 71.25,71.85,14683,10.58
04-Oct-2011,72.25,75.75,72.25, 72.25,72.65,13395,9.82
03-Oct-2011,74.15,76.65,74.15, 75.25,75.00,8369,6.31
30-Sep-2011,75.25,81.00,75.25, 76.95,76.65,14429,11.25
29-Sep-2011,77.15,81.50,77.15, 77.60,77.65,11195,8.80
28-Sep-2011,81.80,82.80,80.05, 80.70,80.70,12467,10.11
27-Sep-2011,81.50,84.50,81.20, 81.55,81.75,18639,15.37
26-Sep-2011,84.05,88.50,81.50, 82.10,82.65,48283,40.65
23-Sep-2011,81.00,90.75,80.50, 84.75,84.35,351571,307.74
22-Sep-2011,85.40,90.50,80.10, 81.00,81.50,172425,147.76
21-Sep-2011,84.80,86.50,83.00, 83.00,83.15,31341,26.60
20-Sep-2011,79.80,83.70,76.55, 83.00,82.25,70055,57.17
19-Sep-2011,74.75,78.40,72.00, 77.75,77.20,21595,16.30
16-Sep-2011,73.90,74.95,72.50, 73.25,73.55,16927,12.39
15-Sep-2011,69.10,74.80,69.10, 73.50,73.05,44424,32.39
14-Sep-2011,69.75,71.50,68.00, 68.30,68.55,13954,9.66
13-Sep-2011,70.00,74.00,69.50, 70.00,70.60,14327,10.32
12-Sep-2011,69.45,71.10,69.00, 70.20,70.25,5470,3.86
09-Sep-2011,71.50,74.10,71.10, 71.15,71.45,46508,33.50
08-Sep-2011,71.00,75.90,68.60, 73.00,72.85,48580,34.97
07-Sep-2011,71.00,71.00,69.00, 69.80,69.35,13595,9.56
06-Sep-2011,69.30,70.95,69.30, 70.15,70.40,7459,5.25
05-Sep-2011,73.50,73.50,70.00, 70.00,70.60,29972,21.19
02-Sep-2011,71.30,72.95,70.45, 72.00,72.00,85741,61.81
30-Aug-2011,72.05,72.85,69.35, 70.45,70.90,10141,7.26
29-Aug-2011,72.95,72.95,69.25, 71.75,71.05,111164,78.37
26-Aug-2011,71.00,72.05,68.15, 68.15,69.60,15499,10.88
25-Aug-2011,70.25,73.40,70.25, 71.80,71.85,16172,11.65
24-Aug-2011,75.00,75.50,72.15, 72.15,72.75,19624,14.47
23-Aug-2011,73.50,76.05,71.00, 75.00,75.00,13695,10.12
22-Aug-2011,73.80,73.80,70.65, 73.05,72.90,26385,19.13
19-Aug-2011,62.35,70.80,61.00, 70.00,70.10,153289,102.10
18-Aug-2011,66.00,66.30,63.25, 64.15,64.35,18259,11.79
17-Aug-2011,67.75,69.25,66.25, 67.30,67.40,76505,51.57
16-Aug-2011,72.70,72.70,67.50, 67.60,68.70,75435,51.91
12-Aug-2011,71.25,74.50,70.05, 70.30,71.70,17918,13.01
11-Aug-2011,67.15,73.00,67.15, 71.00,71.25,12589,8.94
10-Aug-2011,66.05,70.50,65.05, 68.60,68.60,29282,20.20
09-Aug-2011,63.05,66.80,63.00, 65.90,64.05,27501,17.72
08-Aug-2011,65.00,68.90,61.05, 65.05,65.05,147243,95.90
05-Aug-2011,68.55,68.55,64.60, 66.00,66.00,44494,29.30
